DBN,Grade,Year,Category,Number Tested,Mean Scale Score,Level 1 #,Level 1 %,Level 2 #,Level 2 %,Level 3 #,Level 3 %,Level 4 #,Level 4 %,Level 3+4 #,Level 3+4 %
01M015,3,2006,General Ed,29,675,1,3.4%,5,17.2%,17,58.6%,6,20.7%,23,79.3%
01M015,3,2006,Special Ed,10,644,1,10%,6,60%,3,30%,0,0%,3,30%
01M015,3,2007,General Ed,26,675,1,3.8%,3,11.5%,18,69.2%,4,15.4%,22,84.6%
01M015,3,2007,Special Ed,5,s,s,s,s,s,s,s,s,s,s,s
01M015,3,2008,General Ed,30,669,0,0%,4,13.3%,24,80%,2,6.7%,26,86.7%
01M015,3,2008,Special Ed,7,663,0,0%,2,28.6%,5,71.4%,0,0%,5,71.4%
01M015,3,2009,General Ed,30,668,0,0%,4,13.3%,25,83.3%,1,3.3%,26,86.7%
01M015,3,2009,Special Ed,3,s,s,s,s,s,s,s,s,s,s,s
01M015,3,2010,General Ed,20,680,5,25%,8,40%,5,25%,2,10%,7,35%
01M015,3,2010,Special Ed,6,668,1,16.7%,4,66.7%,1,16.7%,0,0%,1,16.7%
01M015,3,2011,General Ed,21,673,6,28.6%,11,52.4%,4,19%,0,0%,4,19%
01M015,3,2011,Special Ed,7,665,4,57.1%,2,28.6%,1,14.3%,0,0%,1,14.3%
01M015,4,2006,General Ed,32,638,10,31.3%,11,34.4%,10,31.3%,1,3.1%,11,34.4%
01M015,4,2006,Special Ed,17,614,10,58.8%,7,41.2%,0,0%,0,0%,0,0%
01M015,4,2007,General Ed,26,672,1,3.8%,4,15.4%,16,61.5%,5,19.2%,21,80.8%
01M015,4,2007,Special Ed,14,635,3,21.4%,9,64.3%,2,14.3%,0,0%,2,14.3%
01M015,4,2008,General Ed,32,660,2,6.3%,11,34.4%,16,50%,3,9.4%,19,59.4%
01M015,4,2008,Special Ed,9,637,3,33.3%,4,44.4%,2,22.2%,0,0%,2,22.2%
01M015,4,2009,General Ed,32,655,3,9.4%,13,40.6%,14,43.8%,2,6.3%,16,50%
01M015,4,2009,Special Ed,7,654,1,14.3%,2,28.6%,4,57.1%,0,0%,4,57.1%
01M015,4,2010,General Ed,26,662,7,26.9%,10,38.5%,8,30.8%,1,3.8%,9,34.6%
01M015,4,2010,Special Ed,3,s,s,s,s,s,s,s,s,s,s,s
01M015,4,2011,General Ed,22,675,0,0%,11,50%,9,40.9%,2,9.1%,11,50%
01M015,4,2011,Special Ed,6,643,3,50%,3,50%,0,0%,0,0%,0,0%
01M015,5,2006,General Ed,18,645,3,16.7%,7,38.9%,8,44.4%,0,0%,8,44.4%
01M015,5,2006,Special Ed,13,610,9,69.2%,2,15.4%,2,15.4%,0,0%,2,15.4%
01M015,5,2007,General Ed,30,651,4,13.3%,10,33.3%,15,50%,1,3.3%,16,53.3%
01M015,5,2007,Special Ed,20,615,6,30%,14,70%,0,0%,0,0%,0,0%
01M015,5,2008,General Ed,24,672,0,0%,5,20.8%,16,66.7%,3,12.5%,19,79.2%
01M015,5,2008,Special Ed,12,636,3,25%,6,50%,3,25%,0,0%,3,25%
01M015,5,2009,General Ed,28,666,1,3.6%,10,35.7%,11,39.3%,6,21.4%,17,60.7%
01M015,5,2009,Special Ed,11,647,1,9.1%,4,36.4%,5,45.5%,1,9.1%,6,54.5%
01M015,5,2010,General Ed,24,670,3,12.5%,13,54.2%,7,29.2%,1,4.2%,8,33.3%
01M015,5,2010,Special Ed,11,644,3,27.3%,6,54.5%,2,18.2%,0,0%,2,18.2%
