MONTH,PLANT,# COMPLAINT RESPONDED,# COMPLAINT REC'D,# COMPLAINT NOT RESPONDED W/IN 24
JANUARY,OH,7,9,2
JANUARY,BB,2,5,3
JANUARY,NR,3,3,0
JANUARY,HP,1,1,0
JANUARY,RICH P.S,1,1,0
JANUARY,NYOFCO,3,3,0
JANUARY TOTAL,,16,21,5
FEBRUARY,OH,25,28,3
FEBRUARY,BB,1,2,1
FEBRUARY,NR,1,1,0
FEBRUARY,NYOFCO,3,3,0
FEBRUARY TOTAL,,30,34,4
MARCH,OH,14,14,0
MARCH,HP,2,2,0
MARCH,NR,2,2,0
MARCH,26TH W,1,1,0
MARCH,NYOFCO,2,2,0
MARCH TOTAL,,21,21,0
APRIL,BB,4,4,0
APRIL,HP,2,2,0
APRIL,OB,2,2,0
APRIL,OH,1,10,9
APRIL,NC,1,1,0
APRIL,NR,1,1,0
APRIL,NYOFCO,5,5,0
APRIL,CFS-PAED-PS,1,1,0
APRIL TOTAL,,24,25,1
MAY,RH,1,1,0
MAY,CI,4,4,0
MAY,HP,2,2,0
MAY,NC,1,1,0
MAY,NYR,1,1,0
MAY,OB,2,3,1
MAY,OH,10,10,0
MAY,RH,2,2,0
MAY,RK,1,1,0
MAY,NYOFCO,5,5,0
MAY TOTAL,,29,30,1
JUNE,RH,1,1,0
JUNE,JAM,1,1,0
JUNE,26TH W,1,1,0
JUNE,WI,1,1,0
JUNE,OB,2,2,0
JUNE,CI,4,4,0
JUNE,HP,1,1,0
JUNE,BB,5,5,0
JUNE,OH,13,13,0
JUNE,NYOFCO,1,1,0
JUNE TOTAL,,31,31,0
JULY,BB,11,11,0
JULY,CI,4,4,0
JULY,HP,2,2,0
JULY,NC,1,1,0
JULY,OB,1,1,0
JULY,OH,7,7,0
JULY,PR,1,1,0
JULY,RK,1,1,0
JULY,26TH W,1,1,0
JULY,WI,3,3,0
JULY,CFS-,1,1,0
JULY TOTAL,,33,33,0
AUGUST,BB,3,3,0
AUGUST,CI,15,16,1
AUGUST,JAM,1,1,0
AUGUST,NR,4,4,0
AUGUST,OB,1,1,0
AUGUST,OH,5,5,0
AUGUST,PR,1,1,0
AUGUST,RK,1,1,0
AUGUST,26TH W,1,1,0
AUGUST TOTAL,,32,33,1
SEPTEMBER,BB,2,2,0
SEPTEMBER,CI,24,24,0
SEPTEMBER,HP,1,1,0
SEPTEMBER,NC,1,1,0
SEPTEMBER,NR,5,5,0
SEPTEMBER,OB,4,4,0
SEPTEMBER,OH,25,27,2
SEPTEMBER,RP,3,3,0
SEPTEMBER,RK,1,1,0
SEPTEMBER TOTAL,,66,68,2
OCTOBER,CI,2,2,0
OCTOBER,NR,3,3,0
OCTOBER,OH,7,7,0
OCTOBER,RK,2,2,0
OCTOBER,CFS,2,2,0
OCTOBER TOTAL,,19,19,0
NOVEMBER,BB,2,2,0
NOVEMBER,CI,8,8,0
NOVEMBER,NR,1,1,0
NOVEMBER,OH,10,10,0
NOVEMBER,RK,1,1,0
NOVEMBER,TI,1,1,0
NOVEMBER,CFS,8,8,0
NOVEMBER TOTAL,,25,25,0
DECEMBER,OH,1,1,0
DECEMBER TOTAL,,1,1,0
2010 TOTAL,N/A,340,326,14
