DBN,School Year,Overall Rating
20K062,SY05-06,WD
21K101,SY05-06,WD
18K115,SY05-06,WD
22K152,SY05-06,WD
22K315,SY05-06,WD
14K330,SY05-06,P
15K027,SY06-07,U
21K337,SY05-06,P
13K350,SY05-06,P
15K027,SY07-08,P
22K425,SY05-06,WD
15K429,SY05-06,P
15K447,SY05-06,WD
13K483,SY05-06,P
20K485,SY05-06,P
17K524,SY05-06,P
17K531,SY05-06,P
17K533,SY05-06,P
17K544,SY05-06,P
17K546,SY05-06,P
17K590,SY05-06,WD
13K670,SY05-06,WD
14K685,SY05-06,WD
23K697,SY05-06,WD
05M030,SY05-06,P
04M045,SY05-06,P
04M050,SY05-06,U
03M075,SY05-06,P
02M114,SY05-06,WD
01M134,SY05-06,WD
06M187,SY05-06,WD
03M199,SY05-06,WD
15K027,SY08-09,P
02M294,SY05-06,WD
02M298,SY05-06,P
03M299,SY05-06,P
05M304,SY05-06,P
02M305,SY05-06,P
03M307,SY05-06,P
02M313,SY05-06,P
02M316,SY05-06,P
02M407,SY05-06,WD
02M420,SY05-06,P
02M449,SY05-06,WD
02M459,SY05-06,P
03M479,SY05-06,WD
04M495,SY05-06,P
04M497,SY05-06,P
02M519,SY05-06,WD
02M560,SY05-06,WD
02M570,SY05-06,P
04M610,SY05-06,WD
05M692,SY05-06,P
01M696,SY05-06,WD
03M862,SY05-06,WD
24Q049,SY05-06,WD
28Q072,SY05-06,P
24Q093,SY05-06,WD
29Q109,SY05-06,P
29Q135,SY05-06,P
30Q166,SY05-06,WD
26Q188,SY05-06,P
28Q196,SY05-06,WD
25Q252,SY05-06,P
25Q263,SY05-06,WD
30Q450,SY05-06,P
27Q480,SY05-06,WD
26Q495,SY05-06,P
25Q499,SY05-06,WD
28Q505,SY05-06,P
24Q520,SY05-06,P
24Q530,SY05-06,WD
24Q560,SY05-06,U
26Q566,SY05-06,WD
30Q580,SY05-06,P
24Q877,SY05-06,WD
31R006,SY05-06,WD
31R035,SY05-06,WD
75R721,SY05-06,WD
10X020,SY05-06,WD
08X071,SY05-06,WD
11X103,SY05-06,P
09X231,SY05-06,P
09X239,SY05-06,P
12X245,SY05-06,P
12X248,SY05-06,P
11X265,SY05-06,P
08X269,SY05-06,U
12X271,SY05-06,P
12X278,SY05-06,WD
12X286,SY05-06,U
10X331,SY05-06,P
09X403,SY05-06,P
11X418,SY05-06,P
10X477,SY05-06,WD
08X530,SY05-06,U
07X548,SY05-06,P
12X682,SY05-06,WD
15K001,SY06-07,P
17K002,SY06-07,WD
13K003,SY06-07,P
75K004,SY06-07,P
16K005,SY06-07,P
17K006,SY06-07,P
19K007,SY06-07,WD
13K008,SY06-07,P
13K009,SY06-07,P
15K010,SY06-07,WD
13K011,SY06-07,P
17K012,SY06-07,U
19K013,SY06-07,WD
22K014,SY06-07,U
15K015,SY06-07,P
14K016,SY06-07,P
14K017,SY06-07,P
14K018,SY06-07,P
14K019,SY06-07,U
13K020,SY06-07,P
16K021,SY06-07,WD
17K022,SY06-07,P
14K023,SY06-07,P
15K024,SY06-07,WD
16K025,SY06-07,P
16K026,SY06-07,P
14K033,SY06-07,P
16K028,SY06-07,P
15K029,SY06-07,WD
20K030,SY06-07,P
14K031,SY06-07,WD
15K032,SY06-07,WD
14K049,SY06-07,U
14K034,SY06-07,WD
16K035,SY06-07,P
75K036,SY06-07,P
15K038,SY06-07,P
15K039,SY06-07,P
16K040,SY06-07,P
23K041,SY06-07,P
13K044,SY06-07,P
32K045,SY06-07,P
13K046,SY06-07,U
20K048,SY06-07,WD
23K055,SY06-07,P
14K050,SY06-07,U
15K051,SY06-07,P
22K052,SY06-07,WD
75K053,SY06-07,WD
13K054,SY06-07,U
19K072,SY06-07,U
13K056,SY06-07,P
16K057,SY06-07,P
15K058,SY06-07,P
14K059,SY06-07,P
17K061,SY06-07,WD
19K065,SY06-07,WD
18K066,SY06-07,WD
13K067,SY06-07,P
18K068,SY06-07,P
20K069,SY06-07,WD
14K071,SY06-07,P
19K072,SY07-08,P
23K073,SY06-07,P
32K075,SY06-07,P
75K077,SY06-07,P
22K078,SY06-07,U
16K081,SY06-07,P
14K084,SY06-07,P
32K086,SY06-07,P
15K088,SY06-07,P
19K089,SY06-07,P
21K090,SY06-07,WD
17K091,SY06-07,P
17K092,SY06-07,WD
13K093,SY06-07,P
15K094,SY06-07,WD
21K095,SY06-07,P
21K096,SY06-07,U
21K097,SY06-07,WD
21K098,SY06-07,P
21K099,SY06-07,WD
21K100,SY06-07,WD
20K102,SY06-07,WD
13K103,SY06-07,P
20K104,SY06-07,WD
20K105,SY06-07,WD
32K106,SY06-07,P
15K107,SY06-07,P
19K108,SY06-07,WD
22K109,SY06-07,WD
14K110,SY06-07,P
20K112,SY06-07,WD
13K113,SY06-07,P
18K114,SY06-07,P
32K116,SY06-07,P
13K117,SY06-07,U
22K119,SY06-07,P
14K120,SY06-07,P
21K121,SY06-07,P
32K123,SY06-07,U
15K124,SY06-07,P
14K126,SY06-07,P
20K127,SY06-07,P
21K128,SY06-07,P
15K130,SY06-07,P
15K131,SY06-07,WD
14K132,SY06-07,WD
13K133,SY06-07,U
22K134,SY06-07,WD
18K135,SY06-07,P
15K136,SY06-07,U
23K137,SY06-07,U
17K138,SY06-07,WD
22K139,SY06-07,P
75K140,SY06-07,P
75K141,SY06-07,WD
16K143,SY06-07,U
32K145,SY06-07,P
15K146,SY06-07,WD
14K147,SY06-07,WD
19K149,SY06-07,P
23K150,SY06-07,P
32K151,SY06-07,P
21K153,SY06-07,P
15K154,SY06-07,P
23K155,SY06-07,P
23K156,SY06-07,P
14K157,SY06-07,P
19K158,SY06-07,P
19K159,SY06-07,P
20K160,SY06-07,WD
17K161,SY06-07,WD
32K162,SY06-07,P
20K163,SY06-07,WD
20K164,SY06-07,WD
23K165,SY06-07,P
19K166,SY06-07,P
17K167,SY06-07,P
15K169,SY06-07,WD
20K170,SY06-07,WD
19K171,SY06-07,WD
15K172,SY06-07,WD
19K174,SY06-07,WD
20K176,SY06-07,WD
21K177,SY06-07,WD
23K178,SY06-07,P
20K179,SY06-07,P
20K180,SY06-07,P
17K181,SY06-07,P
23K183,SY06-07,P
23K184,SY06-07,U
20K185,SY06-07,WD
20K186,SY06-07,WD
20K187,SY06-07,WD
21K188,SY06-07,WD
17K189,SY06-07,WD
19K190,SY06-07,P
17K191,SY06-07,WD
20K192,SY06-07,WD
22K193,SY06-07,U
22K194,SY06-07,WD
22K195,SY06-07,WD
14K196,SY06-07,WD
22K197,SY06-07,WD
22K198,SY06-07,P
21K199,SY06-07,WD
20K200,SY06-07,WD
20K201,SY06-07,WD
19K202,SY06-07,P
22K203,SY06-07,WD
20K204,SY06-07,WD
20K205,SY06-07,P
22K206,SY06-07,WD
22K207,SY06-07,WD
18K208,SY06-07,WD
21K209,SY06-07,WD
18K211,SY06-07,P
21K212,SY06-07,WD
19K213,SY06-07,P
19K214,SY06-07,P
21K215,SY06-07,WD
21K216,SY06-07,WD
22K217,SY06-07,WD
19K218,SY06-07,P
18K219,SY06-07,WD
20K220,SY06-07,P
17K221,SY06-07,P
22K222,SY06-07,WD
20K223,SY06-07,P
19K224,SY06-07,P
21K225,SY06-07,P
21K226,SY06-07,P
20K227,SY06-07,U
21K228,SY06-07,P
20K229,SY06-07,WD
15K230,SY06-07,WD
75K231,SY06-07,P
18K232,SY06-07,P
18K233,SY06-07,P
22K234,SY06-07,WD
18K235,SY06-07,P
22K236,SY06-07,WD
21K238,SY06-07,WD
21K239,SY06-07,WD
22K240,SY06-07,U
17K241,SY06-07,WD
16K243,SY06-07,P
18K244,SY06-07,WD
22K245,SY06-07,P
17K246,SY06-07,P
20K247,SY06-07,WD
17K249,SY06-07,WD
14K250,SY06-07,WD
22K251,SY06-07,WD
18K252,SY06-07,U
21K253,SY06-07,WD
22K254,SY06-07,WD
22K255,SY06-07,WD
13K256,SY06-07,P
14K257,SY06-07,P
13K258,SY06-07,P
20K259,SY06-07,WD
19K260,SY06-07,P
15K261,SY06-07,P
16K262,SY06-07,P
13K265,SY06-07,P
13K266,SY06-07,P
16K267,SY06-07,P
18K268,SY06-07,P
22K269,SY06-07,WD
13K270,SY06-07,P
23K271,SY06-07,P
18K272,SY06-07,P
19K273,SY06-07,P
32K274,SY06-07,P
18K276,SY06-07,P
22K277,SY06-07,WD
22K278,SY06-07,WD
18K279,SY06-07,P
21K281,SY06-07,WD
13K282,SY06-07,WD
23K284,SY06-07,P
18K285,SY06-07,WD
13K287,SY06-07,P
21K288,SY06-07,U
17K289,SY06-07,P
19K290,SY06-07,WD
32K291,SY06-07,U
19K292,SY06-07,WD
15K295,SY06-07,P
32K296,SY06-07,P
14K297,SY06-07,P
23K298,SY06-07,P
32K299,SY06-07,P
13K301,SY06-07,P
19K302,SY06-07,P
21K303,SY06-07,WD
16K304,SY06-07,U
13K305,SY06-07,U
19K306,SY06-07,P
13K307,SY06-07,P
16K308,SY06-07,P
16K309,SY06-07,P
19K311,SY06-07,P
22K312,SY06-07,WD
13K313,SY06-07,P
17K316,SY06-07,P
14K318,SY06-07,P
14K319,SY06-07,WD
15K321,SY06-07,WD
14K322,SY06-07,P
23K323,SY06-07,P
22K326,SY06-07,WD
23K327,SY06-07,WD
19K328,SY06-07,P
21K329,SY06-07,P
23K332,SY06-07,P
17K334,SY06-07,P
16K335,SY06-07,WD
17K340,SY06-07,U
21K344,SY06-07,U
19K345,SY06-07,P
19K346,SY06-07,P
32K347,SY06-07,P
21K348,SY06-07,P
32K349,SY06-07,P
17K352,SY06-07,P
17K353,SY06-07,P
17K354,SY06-07,P
22K361,SY06-07,WD
19K364,SY06-07,P
75K368,SY06-07,P
75K369,SY06-07,WD
75K370,SY06-07,P
75K371,SY06-07,P
75K372,SY06-07,WD
75K373,SY06-07,P
17K375,SY06-07,U
32K376,SY06-07,P
32K377,SY06-07,P
14K380,SY06-07,WD
22K381,SY06-07,WD
17K382,SY06-07,P
32K383,SY06-07,P
32K384,SY06-07,P
16K385,SY06-07,P
13K336,SY05-06,P
23K392,SY06-07,P
16K393,SY06-07,P
17K394,SY06-07,P
75K396,SY06-07,P
17K397,SY06-07,P
17K398,SY06-07,P
17K399,SY06-07,WD
32K403,SY06-07,P
19K404,SY06-07,P
22K405,SY06-07,WD
17K408,SY06-07,P
19K409,SY06-07,WD
21K410,SY06-07,P
13K412,SY06-07,P
13K336,SY07-08,P
13K419,SY06-07,U
13K336,SY09-10,P
13K430,SY06-07,P
13K336,SY10-11,D
13K439,SY06-07,WD
15K442,SY06-07,P
15K443,SY06-07,P
20K445,SY06-07,WD
15K448,SY06-07,P
14K449,SY06-07,P
19K452,SY06-07,P
14K454,SY06-07,P
16K455,SY06-07,P
15K462,SY06-07,P
15K463,SY06-07,P
15K464,SY06-07,P
21K468,SY06-07,P
17K390,SY06-07,P
14K474,SY06-07,U
14K477,SY06-07,P
14K478,SY06-07,WD
21K400,SY05-06,P
17K484,SY06-07,U
14K488,SY06-07,P
17K489,SY06-07,P
