License Number,Name of Licensee,Alternative Name of Licensee,Street_Address,Zip_Code,Telephone,License Type,Location 1
B90005,HOPE AMBULT SVC INC,,1563 BOONE AVENUE,10460,(718) 842-5100,TLC Licensed Base - Paratransit,
B90010,COLING AMBULETTE SVC INC,,837 ROGERS AVENUE,11226,(718) 469-6200,TLC Licensed Base - Paratransit,
B90018,LEON'S AMBULETTE INC,,114-22  170 STREET,11434,(718) 291-0765,TLC Licensed Base - Paratransit,
B90028,AMERICAN BIO MED AMB INC,,11 WYONA STREET,11207,(718) 235-8900,TLC Licensed Base - Paratransit,
B90032,RICHMOND COUNTY AMBLNC SVC INC,,1355 CASTLETON AVENUE,10310,(718) 273-3555,TLC Licensed Base - Paratransit,
B90034,"NEW YORK CITY AMBULETTE, LLC",,601 BRIGHTON BEACH AVENUE UNIT #2,11235,(718) 805-2500,TLC Licensed Base - Paratransit,
B90038,ALERT AMBULETTE SVC CORP,,2702 STILLWELL AVENUE,11224,(718) 266-7000,TLC Licensed Base - Paratransit,
B90042,LIFECARE AMBULETTE INC.,,1224 BRUNSWICK AVENUE,11691,(646) 210-4014,TLC Licensed Base - Paratransit,
B90049,L-AL LIMOUSINE CORP,L-AL AMBULETTE,1504 ELM AVENUE,11230,(718) 382-3535,TLC Licensed Base - Paratransit,
B90056,EVERY BORO AMBLT SVC INC,,172-29 BROCHER ROAD,11434,(718) 528-6277,TLC Licensed Base - Paratransit,
B90058,AHAVA ACCESS INC,,6002 FOSTER AVENUE,11236,(718) 252-1111,TLC Licensed Base - Paratransit,
B90065,FIRST ALERT AMBULT CORP,,4675    3 AVENUE,10458,(718) 220-0010,TLC Licensed Base - Paratransit,
B90073,RITE-CHOICE TRANS INC,,436 KOSCIUSZKO STREET,11221,(718) 452-1172,TLC Licensed Base - Paratransit,
B90075,ROBIN BUS CO INC,,2302 NEPTUNE AVENUE,11224,(718) 996-3915,TLC Licensed Base - Paratransit,
B90083,ACCESS AMBLT SVC INC,,219 MIRIAM STREET 2D,10458,(718) 220-0987,TLC Licensed Base - Paratransit,
B90090,DTS INC,DOMINO TRANSPORT SVC,308 RIVERDALE AVENUE,10705,(914) 623-7023,TLC Licensed Base - Paratransit,
B90096,PAPI'S TRANS CORP,,2647 BROADWAY,10025,(212) 662-4094,TLC Licensed Base - Paratransit,
B90097,CITYWIDE MOBILE RESPONSE CORP,,1624 STILLWELL AVENUE,10461,(718) 597-6100,TLC Licensed Base - Paratransit,
B90098,HAPPY CARE AMBLT INC,,1174 COMMERCE AVENUE SUITE 101,10462,(718) 823-5523,TLC Licensed Base - Paratransit,
B90099,ONE WORLD AMBULETTE INC,,79-10   35 AVENUE,11372,(718) 446-7102,TLC Licensed Base - Paratransit,
B90105,MIDWOOD AMBLNC&OXYGEN SVCE INC,,2593 WEST   13 STREET,11223,(718) 645-1000,TLC Licensed Base - Paratransit,
B90110,MAELEEN AMBULT TRANSP INC,,1357 LAFAYETTE AVENUE LL,10474,(718) 860-3000,TLC Licensed Base - Paratransit,
B90113,UNITED AMBULETTE INC,,35-10 STARR AVENUE,11101,(718) 784-3100,TLC Licensed Base - Paratransit,
B90115,GIRLIE'S AMBLT SVC INC,,753 VAN SINDEREN AVENUE,11207,(718) 495-9288,TLC Licensed Base - Paratransit,
B90118,EMA'S AMBULETTE INC,,141-24 JEWEL AVENUE,11367,(718) 520-9000,TLC Licensed Base - Paratransit,
B90122,SINAI I INC,SINAI VAN SERVICE,1224 BRUNSWICK AVENUE,11691,(718) 868-0099,TLC Licensed Base - Paratransit,
B90125,HEART AMBULETTE CORP,,1820 MCDONALD AVENUE,11223,(718) 376-2800,TLC Licensed Base - Paratransit,
B90137,ALLIED CENTRAL AMBULETTE INC,,474 MARCUS GARVEY BOULEVARD,11216,(718) 493-3000,TLC Licensed Base - Paratransit,
B90139,"APPLE HOME CARE,LTD.",MEDI TRANS,10002 FARRAGUT ROAD,11236,(718) 372-1717,TLC Licensed Base - Paratransit,
B90140,VEGA TRANSPORTATION CO INC,,83-03   24 AVENUE 2 FL.,11370,(718) 507-0500,TLC Licensed Base - Paratransit,
B90145,"HORIZON TRANSPORTATION SERVICES, INC.",,671 FOUNTAIN AVENUE,11208,(718) 387-7070,TLC Licensed Base - Paratransit,
B90149,HUNTER AMBULETTE AMBUL INC,,28 SHERIDAN BOULEVARD,11696,(516) 371-2622,TLC Licensed Base - Paratransit,
B90154,PARK AMBULANCE SVC INC.,AMERICAN MEDICAL RESPONSE,930 FLUSHING AVENUE,11206,(718) 628-5757,TLC Licensed Base - Paratransit,
B90155,ASTRO AMBLT CORP,,1255 EAST   37 STREET,11210,(718) 258-2020,TLC Licensed Base - Paratransit,
B90162,NORTH SHORE AMBU & OXY SVC INC,,110-18 CORONA AVENUE,11368,(718) 458-9300,TLC Licensed Base - Paratransit,
B90166,D&L AMBULETTE INC,,454 RIVERDALE AVENUE,10705,(914) 423-5010,TLC Licensed Base - Paratransit,
B90204,BASIT N TARIQ AMBLT SVC LTD,,35-10 STARR AVENUE,11101,(718) 706-6888,TLC Licensed Base - Paratransit,
B90205,SPRING AMBULT INC,,1582 EAST   34 STREET,11234,(718) 951-0095,TLC Licensed Base - Paratransit,
B90238,GARAGE AMBLT SVC INC,NYC METRO CARE,2626 EAST 14 STREET SUITE 101B,11235,(212) 203-1823,TLC Licensed Base - Paratransit,
B90243,LEGAL AMBLT SVC INC,,757 MCDONALD AVENUE,11218,(718) 859-3100,TLC Licensed Base - Paratransit,
B90269,"ACTION AMBULETTE, INC.",,828 MCLEAN AVENUE,10704,(914) 968-3200,TLC Licensed Base - Paratransit,
B90275,EVE CONSOLIDATED BUS ENT INC,,1941 UTICA AVENUE 2FL.,11234,(718) 252-9797,TLC Licensed Base - Paratransit,
B90288,MAJOR AMBULETTE CORP,,2201 AVENUE X,11235,(718) 265-3333,TLC Licensed Base - Paratransit,
B90297,PROMPT TRANSIT SERVICE INC,,20 BROOKDALE PLACE UPSTAIRS,10550,(914) 664-6658,TLC Licensed Base - Paratransit,
B90301,FAST HELP AMBLT SVC INC,,1474 EAST   31 STREET M#6,11234,(718) 692-0700,TLC Licensed Base - Paratransit,
B90303,GRAND AMBULETTE SVC INC,,58-77   55 STREET,11378,(718) 381-5444,TLC Licensed Base - Paratransit,
B90310,AMBULETTE STAR TRANS INC,,1901 EMMONS AVENUE SUITE 208,11235,(718) 332-0320,TLC Licensed Base - Paratransit,
B90314,ASSOCIATED AMBULANCE SVC INC,AMERICAN MEDICAL RESPONSE,930 FLUSHING AVENUE,11206,(718) 628-5757,TLC Licensed Base - Paratransit,
B90316,FRIENDSHIP AMBLT INC,,1015 EAST  172 STREET,10460,(718) 589-7004,TLC Licensed Base - Paratransit,
B90323,FIRST RESPONSE INCORPORATION,,77-32 82ND STREET,11385,(718) 366-4267,TLC Licensed Base - Paratransit,
B90333,SHIVA AMBLT SVC INC,,5582 BROADWAY,10463,(718) 549-0391,TLC Licensed Base - Paratransit,
B90334,TAMAR TRANSP CORP,,601 BRIGHTON BEACH AVENUE,11235,(718) 997-1111,TLC Licensed Base - Paratransit,
B90335,CHRISTIAN AMBULETTE INC,,343 HIMROD STREET,11237,(718) 417-4565,TLC Licensed Base - Paratransit,
B90336,TRI-COUNTY AMBLT SVCE INC,,846 MIDLAND AVENUE,10704,(914) 965-7647,TLC Licensed Base - Paratransit,
B90342,RAINBOW AMBLT SVC INC,,327 SOUNDVIEW AVENUE,10473,(718) 842-2000,TLC Licensed Base - Paratransit,
B90345,FLUSHING MEDICAL AMBLT INC,,23-57   83 STREET,11370,(718) 699-4617,TLC Licensed Base - Paratransit,
B90346,EVENFLOW TRANSP INC,,555 SOUTH COLUMBUS AVENUE,10566,(914) 664-1300,TLC Licensed Base - Paratransit,
B90348,CITICOACH INC,TRIPWAY SERVICES,551 GRAND STREET 5,10002,(212) 777-1277,TLC Licensed Base - Paratransit,
B90349,TWINS AMBLT SVC INC,,2610 EAST   18 STREET,11235,(718) 743-2000,TLC Licensed Base - Paratransit,
B90354,SIGMA TRANSPORTATION INC,,244 HEMPSTEAD TURNPIKE,11552,(516) 739-5700,TLC Licensed Base - Paratransit,
B90357,OCEAN AMBLT SVC INC,,3072 BRIGHTON    1 STREET RM 6,11235,(718) 946-1000,TLC Licensed Base - Paratransit,
B90363,EXCLUSIVE AMBLT SVC INC,,913 957 EAST 108 STREET,11236,(718) 327-5500,TLC Licensed Base - Paratransit,
B90368,WINDSOR LEASING CORP,RITE-WAY PRIVATE CAR SERVICE,1598 BRONXDALE AVENUE,10462,(718) 892-4444,TLC Licensed Base - Paratransit,
B90369,UNIVERSAL AMBLT SVC INC,,91-01  120 STREET,11418,(718) 850-4989,TLC Licensed Base - Paratransit,
B90373,PRO-MED AMBLT SVC INC.,,8 VALERIE DR.,10918,(718) 320-2200,TLC Licensed Base - Paratransit,
B90395,VOLGA TRANSP CORP,,2407 AVENUE X,11235,(718) 743-7979,TLC Licensed Base - Paratransit,
B90401,TRANSCARE NEW YORK INC.,UNIMET AMBULETTE,25 14TH STREET,11215,(718) 763-8888,TLC Licensed Base - Paratransit,
B90413,LEFRA TRANSP INC,,700 LINDEN BOULEVARD,11203,(718) 940-3990,TLC Licensed Base - Paratransit,
B90418,VIRGO AMBULETTE CORP.,,4222 AVENUE I,11210,(718) 677-0317,TLC Licensed Base - Paratransit,
