Standard Code,Standard Name,Standard Agency Address,Standard Reference Number,Standard Title,Reference Code Section Number
ANSI,American National Standards Institute,"25 West 43rd Street, Fourth Floor
New York, NY 10036",A13.1—96,Scheme for the Identification of Piping Systems,"2609.3, 2703.2.2.1, 3003.2.3, 3403.5.2"
ANSI,American National Standards Institute,"26 West 43rd Street, Fourth Floor
New York, NY 10036",B31.3—99,"Process Piping, including addendum",2703.2.2.2
ANSI,American National Standards Institute,"27 West 43rd Street, Fourth Floor
New York, NY 10036",B31.9—96,Building Services Piping Code for Pressure Piping,"3403.6.2.1, 3403.6.3, 3403.6.11"
API,American Petroleum Institute,"1220 L Street, Northwest
Washington, DC 20005",650—1998,Welded Steel Tanks for Oil Storage,3406.8.3
API,American Petroleum Institute,"1221 L Street, Northwest
Washington, DC 20005",RP 1604—1996,Closure of Underground Petroleum Storage Tanks,3404.2.13
API,American Petroleum Institute,"1222 L Street, Northwest
Washington, DC 20005",Std 2000—1998,Venting Atmosphere and Low Pressure Storage Tanks: Nonrefrigerated and Refrigerated,3404.2.7.3.6
API,American Petroleum Institute,"1223 L Street, Northwest
Washington, DC 20005",Publ 2028—1991,Flame Arrestors in Piping Systems,3404.2.7.3.2
API,American Petroleum Institute,"1224 L Street, Northwest
Washington, DC 20005",RP 2350—1996,Overfill Protection for Storage Tanks in Petroleum Facilities,3406.4.6
ASME,The American Society of Mechanical Engineers,"Three Park Avenue
New York, NY 10016-5990",A17.1—2000,Safety Code for Elevators and Escalators,607.1
ASME,The American Society of Mechanical Engineers,"Three Park Avenue
New York, NY 10016-5991",A17.3—1996,Safety Code for Existing Elevators and Escalators with A17.3a-2000 Addenda,607.1
ASME,The American Society of Mechanical Engineers,"Three Park Avenue
New York, NY 10016-5992",BPVC-2001,"ASME Boiler and Pressure Vessel Code, 2001 Edition of","3003.1, 3003.9, 3203.1, 3203.4.3, 3203.8, 3406.8.1, 3406.8.3"
ASTM,ASTM International,"100 Barr Harbor Drive
West Conshohocken, PA 19428-2959",D 56—01,Test Method for Flash Point by Tag Closed Tester,3402.1
ASTM,ASTM International,"101 Barr Harbor Drive
West Conshohocken, PA 19428-2959",D 86—01e01,Test Method for Distillation of Petroleum Products at Atmospheric Pressure,2702.1
