Business Name,Industry Group,Type,Telephone,Cross Streets,Zip Code,Location 1
Cibo,Food & Drink,Restaurant,212-681-1616,between 41st - 42nd St,10017,"767 Second Ave
"
Dor L' Dor,AA&F,Women's Apparel,,between 41st - 42nd St,10017,"770 Second Ave
"
Verizon Wireless (Metro Wireless),Misc. Retail,Elec. & Telecom.,,between 41st - 42nd St,10017,
Sussex Wines & Spirits,Food & Drink,Wine & Liquor Store,212-867-5838,between 41st - 42nd St,10017,
Innovation Luggage,Misc. Retail,Luggage,212-599-2998,between 41st - 42nd St,10017,
Dean's Family Style Restaurant,Food & Drink,Restaurant,212-878-9600,between 42nd - 43rd St,10017,"801 Second Ave
"
Chase,Financial Services,Full-Service Branch,212-661-7519,between 42nd - 43rd St,10017,"801 Second Ave
"
McFadden's Saloon,Food & Drink,Restaurant,646-461-6837,between 42nd - 43rd St,10017,"800 Second Ave
"
Calico Jack's Cantina,Food & Drink,Bars & Lounges,212-557-4300,between 42nd - 43rd St,10017,"800 Second Ave
"
Bar Kuz 925,Food & Drink,Bars & Lounges,,between 42nd - 43rd St,10017,
UN Plaza Pharmacy,Misc. Retail,Pharmacy,,between 42nd - 43rd St,10017,
Isaac B. Salon,Pers. & Prof. Services,Hair Salon,212-867-4716,between 42nd - 43rd St,10017,"800 Second Ave
"
Dunkin Donuts,Food & Drink,Quick-Serve Eatery,212-599-1100,between 42nd - 43rd St,10017,"800 Second Ave
"
goodburger,Food & Drink,Quick-Serve Eatery,212-922-1700,between 42nd - 43rd St,10017,"800 Second Ave
"
Fed Ex Office,Pers. & Prof. Services,Printing/Shipping,212-599-2679,between 39th - 40th St,10017,"600 Third Ave
"
Just Salad,Food & Drink,Restaurant,212-682-3832,between 39th - 40th St,10017,"600 Third Ave
"
Java Detour,Food & Drink,Quick-Serve Eatery,,between 39th - 40th St,10017,"600 Third Ave
"
Qdoba,Food & Drink,Restaurant,,between 39th - 40th St,10017,"600 Third Ave
"
Vacant,Vacant,Vacant,,between 39th - 40th St,10017,"605 Third Ave
"
Zengo,Food & Drink,Restaurant,212-418-2018,between 40th - 41st St,10017,
Duane Reade ,Misc. Retail,Pharmacy,,between 40th - 41st St,10017,"630 Third Ave
"
Docks,Food & Drink,Restaurant,212-986-8080,between 40th - 41st,10017,"633 Third Ave
"
NYSC,Pers. & Prof. Services,Fitness Club,212-661-8500,between 40th - 41st,10017,"633 Third Ave
"
Chase Bank,Financial Services,Full-Service Branch,212-622-5810,between 40th - 41st,10017,"633 Third Ave
"
Sinigual,Food & Drink,Restaurant,,between 41st - 42nd St,10017,
The Vitamin Shoppe,Misc. Retail,Health & Beauty,212-867-5515,between 41st - 42nd St,10017,
Starbucks,Food & Drink,Quick-Serve Eatery,212-973-1377,between 41st - 42nd St,10017,"639 Third Ave
"
Sprint,Misc. Retail,Elec. & Telecom.,212-702-8933,between 41st - 42nd St,10017,"655 Third Ave
"
Duane Reade ,Misc. Retail,Pharmacy,212-599-4351,between 42nd - 43rd St,10017,"666 Third Ave
"
Staples,Misc. Retail,Office Supplies,,between 42nd - 43rd St,10017,"675 Third Ave
"
Crisp,Food & Drink,Quick-Serve Eatery,212-661-0000,between 43rd - 44th St,10017,"684 Third Ave
"
GNC,Misc. Retail,Heatlh & Beauty,212- 867-5504  ,between 43rd - 44th St,10017,"684 Third Ave
"
Café Hestia,Food & Drink,Quick-Serve Eatery,,between 43rd - 44th St,10017,
Naya Express,Food & Drink,Quick-Serve Eatery,,between 43rd - 44th St,10017,
Five Guys Burgers,Food & Drink,Quick-Serve Eatery,212-265-2280,between 43rd - 44th St,10017,"690 Third Ave
"
Muldoons Irish Pub,Food & Drink,Bars & Lounges,212-599-2750,between 43rd - 44th St,10017,
In Build-out,In Build-out,In Build-out,,between 43rd - 44th St,10017,"694 Third Ave
"
696 Deli,Food & Drink,Quick-Serve Eatery,,between 43rd - 44th St,10017,"696 Third Ave
"
Khawaja News,Misc. Retail,Newsstand,212-286-9667,between 43rd - 44th St,10017,"700 Third Ave
"
Uptown Communications/AT&T Wireless,Misc. Retail,Elec. & Telecom.,212-286-2700,between 43rd - 44th St,10017,
Juice Bar Plus,Food & Drink,Specialty Food,212-867-0887,between 43rd - 44th St,10017,
44st Pizza,Food & Drink,Quick-Serve Eatery,212-490-2874,between 43rd - 44th St,10017,
TD Bank,Financial Services,Full-Service Branch,212-599-2322,between 43rd - 44th St,10017,"685 Third Ave
"
Starbucks,Food & Drink,Quick-Serve Eatery,646-865-1250,between 43rd - 44th St,10017,"685 Third Ave
"
Liz Russell Aveda Lifestyle Salon,Pers. & Prof. Services,Hair Salon,212-557-0005,between 43rd - 44th St,10017,"685 Third Ave
"
Hale & Hearty Soups,Food & Drink,Quick-Serve Eatery,212-681-6460,between 43rd - 44th St,10017,"685 Third Ave
"
5th Ave Chocolatiere,Misc. Retail,Speciality Food Store,212-935-5454,between 43rd - 44th St,10017,"685 Third Ave
"
Da Minc Jewelers,AA&F,"Acc., Jewelry & Watches",212-682-7797,between 43rd - 44th St,10017,"685 Third Ave
"
Visual Images Ltd.,Misc. Retail,Art & Photography Supplies,212-687-4088,between 43rd - 44th St,10017,"685 Third Ave
"
Cosi Downtown,Food & Drink,Quick-Serve Eatery,212-697-8329,between 43rd - 44th St,10017,"685 Third Ave
"
Le Pain Quotidien,Vacant,Restaurant,212-286-5500,between 44th-45th,10017,"708 Third Ave
"
Hello Pasta,Vacant,Quick-Serve Eatery,,between 44th-45th St,10017,"708 Third Ave
"
Boi Sandwich,Food & Drink,Quick-Serve Eatery,,between 44th-45th St,10017,"708 Third Ave
"
Blarney Stone,Food & Drink,Bars & Lounges,212-490-0457,between 44th-45th,10017,"710 Third Ave
"
Pastafina,Food & Drink,Quick-Serve Eatery,212-867-4888 ,between 44th-45th St,10017,"712 Third Ave
"
Hofbrau Bierhaus NYC,Food & Drink,Restaurant,646-580-2437,between 44th - 45th St ,10017,"712 Third Ave
"
Vacant,Vacant,Vacant,,between 44th-45th St,10017,"714 Third Ave
"
