Borough,Cohort Year,Cohort Category,Total Cohort Num,Total Grads Num,Total Grads Pct of cohort,Total Regents Num,Total Regents Pct of cohort,Total Regents Pct of grads,Advanced Regents Num,Advanced Regents Pct of cohort,Advanced Regents Pct of grads,Regents w/o Advanced Num,Regents w/o Advanced Pct of cohort,Regents w/o Advanced Pct of grads,Local Num,Local Pct of cohort,Local Pct of grads,Still Enrolled Num,Still Enrolled Pct of cohort,Dropped Out Num,Dropped Out Pct of cohort
Bronx,2001,4 Year  June,"11,453","4,913",42.90%,"2,644",23.10%,53.80%,998,8.70%,20.30%,"1,646",14.40%,33.50%,"2,271",19.80%,46.20%,"3,512",30.70%,"2,438",21.30%
Bronx,2001,5 Year,"11,453","6,058",52.90%,"2,859",25.00%,47.20%,"1,022",8.90%,16.90%,"1,837",16.00%,30.30%,"3,209",28.00%,53.00%,"1,412",12.30%,"3,178",27.70%
Bronx,2001,6 Year,"11,453","6,360",55.50%,"2,895",25.30%,45.50%,"1,022",8.90%,16.10%,"1,873",16.40%,29.40%,"3,501",30.60%,55.00%,610,5.30%,"3,614",31.60%
Bronx,2002,4 Year  June,"12,032","5,328",44.30%,"3,118",25.90%,58.50%,992,8.20%,18.60%,"2,126",17.70%,39.90%,"2,217",18.40%,41.60%,"4,047",33.60%,"2,140",17.80%
Bronx,2002,5 Year,"12,032","6,582",54.70%,"3,401",28.30%,51.70%,"1,013",8.40%,15.40%,"2,388",19.80%,36.30%,"3,232",26.90%,49.10%,"1,724",14.30%,"3,008",25.00%
Bronx,2002,6 Year,"12,032","6,964",57.90%,"3,459",28.70%,49.70%,"1,014",8.40%,14.60%,"2,445",20.30%,35.10%,"3,556",29.60%,51.10%,"1,024",8.50%,"3,255",27.10%
Bronx,2003,4 Year  June,"13,632","6,389",46.90%,"3,861",28.30%,60.40%,"1,255",9.20%,19.60%,"2,606",19.10%,40.80%,"2,528",18.50%,39.60%,"4,258",31.20%,"2,472",18.10%
Bronx,2003,5 Year,"13,632","7,728",56.70%,"4,179",30.70%,54.10%,"1,271",9.30%,16.40%,"2,908",21.30%,37.60%,"3,549",26.00%,45.90%,"1,879",13.80%,"3,211",23.60%
Bronx,2003,6 Year,"13,681","8,186",59.80%,"4,255",31.10%,52.00%,"1,272",9.30%,15.50%,"2,983",21.80%,36.40%,"3,931",28.70%,48.00%,"1,032",7.50%,"3,481",25.40%
Bronx,2004,4 Year  June,"14,364","7,448",51.90%,"4,625",32.20%,62.10%,"1,395",9.70%,18.70%,"3,230",22.50%,43.40%,"2,823",19.70%,37.90%,"4,169",29.00%,"2,303",16.00%
