TYPE,APPROVAL STATUS,TRADE NAME,BUS NAME,MAILING OFFICE,MAIL CITY,State,Zip
LICENSE,APPROVED,D & D CONTRACTING,154-21 CORP. d/b/a D & D CONTRACTING,18-01 120TH STREET,COLLEGE POINT,NY,11356
CL.2-EXEMPT,APPROVED,168 MOVERS CORP.,168 MOVERS CORP.,69 - 73 185TH STREET,FRESH MEADOWS,NY,11365
CL.2-EXEMPT,APPROVED,1ST CLASS WRECKING CORP.,1ST CLASS WRECKING CORP.,67 INGRAHAM STREET,BROOKLYN,NY,11237
CL.2-BROKER,APPROVED,225 OAK LLC,225 OAK LLC,200 EAST 61 STREET SUITE 35F,NEW YORK,NY,10065
LICENSE,APPROVED,24 - 7 CONTAINER INC,24 - 7 CONTAINER INC,3405 KINGS HWY. 2-B,BROOKLYN,NY,11234
CL.2-EXEMPT,APPROVED,24 SEVEN PLUMBING INC.,24 SEVEN PLUMBING INC.,P.O. BOX 244,WOODMERE,NY,11598
CL.2-EXEMPT,APPROVED,2525 CONTRACTING INC D/B/A BROOKLYN SANITATION,2525 CONTRACTING INC D/B/A BROOKLYN SANITATION,200 N 14TH STREET,BROOKLYN,NY,11249
CL.2-EXEMPT,APPROVED,"3J'S RESTORATION, INC.","3J'S RESTORATION, INC.",293 N. UTICA AVENUE,NORTH MASSAPEQUA,NY,11758
CL.2-EXEMPT,APPROVED,3KTRUCKING CORP.,3KTRUCKING CORP.,20-30 149TH STREET,WHITESTONE,NY,11357
CL.2-EXEMPT,APPROVED,3L BROS. CORP.,3L BROS. CORP.,130 BAYARD STREET,BROOKLYN,NY,11222
CL.2-EXEMPT,APPROVED,7TH STAR RENOVATION INC,7TH STAR RENOVATION INC,95 EAST 165TH STREET,BRONX,NY,10452
CL.2-EXEMPT,APPROVED,8 AVE DEBRIS REMOVAL INC.,8 AVE DEBRIS REMOVAL INC.,4715 8TH AVE 2F,BROOKLYN,NY,11220
CL.2-EXEMPT,APPROVED,8 SPEED INC.,8 SPEED INC.,550 61 STREET,BROOKLYN,NY,11220
