Type of Encounter,2005 Number,2005 Percent of Total,2006 Number,2006 Percent of Total,2007 Number,2007 Percent of Total,2008 Number,2008 Percent of Total,2009 Number,2009 Percent of Total
Aided case,39,0.6%,44,0.6%,37,0.5%,36,0.5%,16,0.2%
Assisting Administration for Children Services,2,0%,5,0.1%,6,0.1%,6,0.1%,7,0.1%
Automobile checkpoint,18,0.3%,18,0.2%,14,0.2%,14,0.2%,4,0.1%
Complainant or victim at precinct to file complaint of crime,57,0.8%,73,1%,38,0.5%,56,0.8%,45,0.6%
Complainant or victim at precinct to obtain information,73,1.1%,94,1.2%,80,1.1%,90,1.2%,80,1%
Complainant or victim at precinct to retrieve property,0,0%,0,0%,0,0%,0,0%,16,0.2%
Complainant or victim observed encounter with third party,123,1.8%,149,1.9%,197,2.6%,150,2%,119,1.6%
Complainant or victim requested information from officer,68,1%,54,0.7%,49,0.6%,43,0.6%,32,0.4%
Complainant or victim requested investigation of crime,189,2.8%,219,2.9%,231,3.1%,207,2.8%,168,2.2%
Complainant or victim telephoned precinct,75,1.1%,56,0.7%,48,0.6%,50,0.7%,46,0.6%
Demonstration or protest,11,0.2%,16,0.2%,4,0.1%,4,0.1%,2,0%
Emotionally disturbed person aided case,44,0.6%,50,0.7%,39,0.5%,29,0.4%,49,0.6%
Execution of arrest or bench warrant,116,1.7%,112,1.5%,89,1.2%,100,1.4%,90,1.2%
Execution of search warrant,114,1.7%,137,1.8%,183,2.4%,167,2.3%,146,1.9%
Moving violation,361,5.3%,396,5.2%,319,4.2%,345,4.7%,294,3.8%
Other violation of Vehicle and Traffic Law,154,2.3%,148,1.9%,137,1.8%,119,1.6%,148,1.9%
Parking violation,192,2.8%,230,3%,186,2.5%,144,1.9%,165,2.2%
Police suspected complainant or victim of crime/auto,247,3.6%,368,4.8%,408,5.4%,335,4.5%,373,4.9%
Police suspected complainant or victim of crime/bldg,404,6%,528,6.9%,592,7.8%,529,7.2%,572,7.5%
Police suspected complainant or victim of crime/street,1367,20.1%,1756,22.9%,2010,26.6%,1788,24.2%,1999,26.1%
Police suspected complainant or victim of crime/subway,205,3%,222,2.9%,192,2.5%,189,2.6%,175,2.3%
Regulatory inspection,18,0.3%,9,0.1%,7,0.1%,10,0.1%,3,0%
Report of dispute,339,5%,381,5%,346,4.6%,344,4.7%,340,4.4%
Report of domestic dispute,151,2.2%,150,2%,137,1.8%,117,1.6%,127,1.7%
Report of gun possession or shots fired,57,0.8%,102,1.3%,86,1.1%,78,1.1%,58,0.8%
Report of noise or disturbance,83,1.2%,82,1.1%,88,1.2%,59,0.8%,67,0.9%
Report of possession or sale of narcotics,55,0.8%,75,1%,80,1.1%,60,0.8%,58,0.8%
Report of other crime,203,3%,240,3.1%,213,2.8%,171,2.3%,140,1.8%
Traffic accident,79,1.2%,88,1.1%,78,1%,78,1.1%,73,1%
Parade,28,0.4%,18,0.2%,13,0.2%,11,0.1%,14,0.2%
Patrol encounter,3,0%,11,0.1%,2,0%,0,0%,0,0%
Transit checkpoint,8,0.1%,9,0.1%,10,0.1%,7,0.1%,13,0.2%
Data unavailable or unknown,140,2.1%,65,0.8%,31,0.4%,41,0.6%,39,0.5%
Other,1763,26%,1758,22.9%,1599,21.2%,2018,27.3%,2186,28.5%
Total,6786,100%,7663,100%,7549,100%,7395,100%,7664,100%
"Complainant and/or alleged victim believes he or she was the subject of ""racial profiling""*",116,,81,,132,,84,,71,
