design_id,proj_type,name,boro_name,geodist,projdesc,range,desi_compl,ccate,cstat,newsf,newseats
53629,CIP,PS/IS 314,QUEENS,28,New,40 M OVER,02/07/2012 08:00:00 AM +0000,New Schools,Design,116000,757
55120,CIP,IS 311,QUEENS,24,New,40 M OVER,01/13/2012 08:00:00 AM +0000,New Schools,Design,107666,785
60354,CIP,PS 290,QUEENS,24,New,40 M OVER,07/25/2011 07:00:00 AM +0000,New Schools,Design,102450,616
64281,CIP,PS 294,BRONX,11,New,30 M - 40M,01/30/2012 08:00:00 AM +0000,New Schools,Design,63361,379
65719,CIP,PS 313,QUEENS,24,New,40 M OVER,11/17/2011 08:00:00 AM +0000,New Schools,Design,78000,432
66127,CIP,PS 315,QUEENS,24,New,40 M OVER,12/12/2011 08:00:00 AM +0000,New Schools,Design,132646,1110
66465,CIP,PS 87 Addition,QUEENS,24,Addition,15 M - 20M,09/30/2011 07:00:00 AM +0000,Additions,Design,19870,140
66811,CIP,PS 70 Addition,QUEENS,30,Addition,30 M - 40M,02/28/2012 08:00:00 AM +0000,Additions,Design,60000,508
66886,CIP,Beacon HS,MANHATTAN,2,New,40 M OVER,02/21/2012 08:00:00 AM +0000,New Schools,Design,230700,1487
70204,CIP,PS 59,STATEN ISLAND,31,Lease, 3 M - 4 M,01/06/2012 08:00:00 AM +0000,Leases,Design,0,372
71633,CIP,PS 151 (Phase III),MANHATTAN,2,Lease, 8 M - 9 M,02/07/2012 08:00:00 AM +0000,Leases,Design,0,136
D010086,CIP,PS/IS 48,QUEENS,28,FLOOD ELIMINATION, 2 M - 3 M,04/30/2010 07:00:00 AM +0000,Ext.  Work,Design,,
D011485,CIP,P.S. 315 (@ X859),BRONX,10,ELECTRICAL SYSTEMS, 1 M - 2 M,06/30/2008 07:00:00 AM +0000,Electrical,Design,,
D011799,CIP,P.S. 315 (@ X859),BRONX,10,SCIENCE LAB, 1 M - 2 M,03/26/2008 07:00:00 AM +0000,Science Lab Upgrades,Design,,
D012044,CIP,DOE DIV. OF SCHOOL BUILDINGS,QUEENS,30,CHILLER REPLACEMENT, 9 M - 10M,10/22/2009 07:00:00 AM +0000,Building Systems,Design,,
D012243,CIP,P.S. 171,MANHATTAN,4,PAVED AREAS - BLACKTOP, 0   - 1 M,04/03/2009 07:00:00 AM +0000,Site,Design,,
D012502,CIP,P.S. 57,STATEN ISLAND,31,PLANYC PLAYGROUND, 0   - 1 M,05/01/2009 07:00:00 AM +0000,Play Grounds,Design,,
D012512,CIP,P.S. 169,BROOKLYN,15,PLANYC PLAYGROUND, 0   - 1 M,04/30/2009 07:00:00 AM +0000,Play Grounds,Design,,
D012520,CIP,P.S. 151,QUEENS,30,PLANYC PLAYGROUND, 0   - 1 M,08/31/2011 07:00:00 AM +0000,Play Grounds,Design,,
D012558,CIP,P.S. 73,BRONX,9,WATER PENETRATION, 0   - 1 M,12/07/2009 08:00:00 AM +0000,Ext.  Work,Design,,
D012660,CIP,P.S. 26 (@X026),BRONX,10,WATER PENETRATION, 0   - 1 M,10/21/2011 07:00:00 AM +0000,Ext.  Work,Design,,
D012717,CIP,FREDERICK DOUGLAS ACADEMY@K026,BROOKLYN,16,RESO A LIBRARY, 1 M - 2 M,03/25/2011 07:00:00 AM +0000,Library Upgrades,Design,,
D012911,CIP,CURTIS HS,STATEN ISLAND,31,FUEL OIL TANK REPLACEMENT, 8 M - 9 M,05/03/2010 07:00:00 AM +0000,Building Systems,Design,,
D012934,CIP,P.S. 68,QUEENS,24,C OF O, 3 M - 4 M,08/10/2011 07:00:00 AM +0000,Other,Scope,,
D012937,CIP,P.S. 3,STATEN ISLAND,31,WINDOWS, 3 M - 4 M,10/29/2010 07:00:00 AM +0000,Ext.  Work,Design,,
D012995,CIP,WASHINGTON IRVING H.S.,MANHATTAN,2,WATER STORAGE TANK, 1 M - 2 M,08/27/2010 07:00:00 AM +0000,Building Systems,Design,,
D013158,CIP,P.S. 146 (@K142),BROOKLYN,15,PAVED AREAS - BLACKTOP/FE, 0   - 1 M,04/05/2010 07:00:00 AM +0000,Site,Design,,
D013171,CIP,I.S. 51,STATEN ISLAND,31,ELEVATORS/ESCALATORS, 0   - 1 M,11/02/2011 07:00:00 AM +0000,Building Systems,Design,,
D013171,CIP,P.S. 13,STATEN ISLAND,31,ELEVATORS/ESCALATORS, 0   - 1 M,11/02/2011 07:00:00 AM +0000,Building Systems,Design,,
D013185,CIP,P.S. 60,BRONX,8,FLOOD/EXT MASONRY/CEC REQ, 6 M - 7 M,04/15/2011 07:00:00 AM +0000,Ext.  Work,Design,,
D013199,CIP,P.S. 154,QUEENS,25,ACCESSIBILITY/ELEC SYS/MA, 4 M - 5 M,03/02/2010 08:00:00 AM +0000,Accessibility,Design,,
