PROGRAM TYPE,PROGRAM,SITE NAME,BOROUGH / COMMUNITY,AGENCY,Contact Number,Grade Level / Age Group ,Location 1
"After-School Programs,Beacon,NYCHA Centers",Beacon Satellite,NYCHA DYCKMAN HOUSES,Manhattan,"Alianza Dominicana, Inc. @Dyckman Community Center",(212) 567-8782,6 and up,"3782 Tenth Avenue
Manhattan, NEW YORK 10034
(40.862021922675375, -73.92075311672906)"
"After-School Programs,Beacon,NYCHA Centers",Beacon Satellite,NYCHA PINK HOUSES,Brooklyn,East New York Development Corporation @ Louis H. Pink Community Center,(718) 964-9043,6 and up,"2702 Linden Blvd
Brooklyn, NEW YORK 11208
(40.6691189432547, -73.86387037434672)"
"After-School Programs,Beacon,NYCHA Centers",Beacon Satellite,NYCHA CYPRESS HILLS HOUSES,Brooklyn,Police Athletic League @Cypress Hills Community Center,(718) 277-6641,6 and up,"475 Fountain Avenue
Brooklyn, NEW YORK 11208
(40.668276736421866, -73.87297612321264)"
"After-School Programs,Beacon,NYCHA Centers",Beacon Satellite,NYCHA BUSHWICK/HYLAN HOUSES,Brooklyn,YMCA-Eastern District @ Bushwick/Hylan Community Center,(718) 453-8116,6 and up,"50 Humboldt Street
Brooklyn, NEW YORK 11206
(40.70318766484067, -73.94074566957755)"
"After-School Programs,Beacon,NYCHA Centers",Beacon Satellite,NYCHA SUMNER HOUSES,Brooklyn,YMCA-Eastern District @Sumner Community Center,(718) 919-4756,6 and up,"862 Park Avenue
Brooklyn, NEW YORK 11206
(40.698586012218975, -73.94052293050422)"
"After-School Programs,Beacon,NYCHA Centers",Beacon Satellite,NYCHA TAYLOR-WYTHE AVENUE HOUSES,Brooklyn,El Puente De Williamsburg @Taylor-Wythe Community Center,(718) 333-0575,6 and up,"80 Clymer Street
Brooklyn, NEW YORK 11211
(40.70523254766283, -73.96569241813285)"
"After-School Programs,Beacon,NYCHA Centers",Beacon Satellite,NYCHA FARRAGUT HOUSES,Brooklyn,Goodwill Industries @ David G. Farragut Community Center,(718) 852-6347,6 and up,"228 York Street
Brooklyn, NEW YORK 11201
(40.70131567591148, -73.98228470785611)"
"After-School Programs,Beacon,NYCHA Centers",Beacon Satellite,NYCHA INGERSOLL HOUSES,Brooklyn,Goodwill Industries @Raymond V. Ingersoll Community Center,(718) 522-5604,6 and up,"177 Myrtle Avenue
Brooklyn, NEW YORK 11201
(40.69364100219984, -73.98224444725803)"
"After-School Programs,Beacon,NYCHA Centers",Beacon Satellite,NYCHA BAY VIEW HOUSES,Brooklyn,Sesame Flyers  @Bayview Community Center,(718) 968-9621,6 and up,"5985 Shore Parkway
Brooklyn, NEW YORK 11236
(40.63131541640772, -73.88565362344808)"
"After-School Programs,Beacon,NYCHA Centers",Beacon Satellite,NYCHA CONEY ISLAND I  SURFSIDE GARDENS,Brooklyn,Heartshare @Coney Island Surfside Community Center,(718) 449-2897,6 and up,"2947 28th Street
Brooklyn, NEW YORK 11224
(40.574390159947775, -73.99404773969015)"
