Wastewater Treatment Plant Name,Location,Plant in operation,Design Capacity,Dewatering,Population Served,Receiving Waterbody,Drainage Area,Plant Staff,Note
26th Ward WWTP,East,1944,85 MGD,26th Ward,283428,Jamaica Bay,"5,907 Acres, eastern section of Brooklyn, near Jamaica Bay",93,
Bowery Bay WWTP,North,1939,150 MGD,Bowery Bay,848328,Upper East River,"15,203 Acres, northeast section of Queens",81,
Coney Island WWTP,East,1935,110 MGD,26th Ward,596326,Jamaica Bay,"15,087 Acres, south and central Brooklyn",69,
Hunts Point WWTP,North,1952,200 MGD,Hunts Point,684569,Upper East River,"16,664 Acres, eastern section of the Bronx",108,
Jamaica WWTP,East,1903 / 1943,100 MGD,Jamaica WWTP,728123,Jamaica Bay,"25,313 Acres, southern section of Queens",66,
Newtown Creek WWTP,South,1967,310 MGD,Hunts Point WWTP,1068012,East River,"15,656 Acres, south and eastern midtown sections of Manhattan, northeast section of Brooklyn and western section of Queens",88,
North River WWTP,South,1986,170 MGD,Wards Island WWTP,588772,Hudson River,"6,030 Acres, west side of Manhattan above Bank Street",109,First and only Wastewater Treatment Plant in NYC to have a public park built on top. (http://www.nyc.gov/html/dep/html/wastewater/northri.shtml)
Oakwood Beach WWTP,South,1956,39.9 MGD,Oakwood Beach WWTP,244918,Lower New York Bay,"10,779 Acres, southern section of Staten Island",59,
Rockaway WWTP,East,1952,45 MGD,26th Ward WWTP,90474,Jamaica Bay,"6,259 Acres, Rockaway Peninsula",41,
Owls Head WWTP,East,1952,120 MGD,26th Ward / Wards Island WWTPs,758007,Upper New York Bay,"12,947 Acres, western section of Brooklyn",68,
Wards Island WWTP,North,1937,275 MGD,Wards Island WWTP,1061558,Upper East River,"12,056 Acres, western section of the Bronx and upper east side of Manhattan",118,
Tallman Island WWTP,North,1939,80 MGD,Tallman Island WWTP,410812,Upper East River,"16,860 Acres, northeast section of Queens",71,
Port Richmond WWTP,South,1953,60 MGD,Oakwood Beach WWTP,198128,Kill Van Kull,"9,665 Acres, northern section of Staten Island",46,
Red Hook WWTP,South,1987,60 MGD,Red Hook WWTP,192050,Lower East River,"3,200 Acres, northwest section of Brooklyn and Governor's Island",55,
