BORO,BLOCK,LOT,PARCEL_NAME,PARCEL_ADDRESS,JURIS,Jurisdiction Description,RPAD,RPAD_DESCRIPTION,PROP_FRONT,PROP_DEPTH,PROP_SQFT,IRREG,BLD_FRONT,BLD_DEPTH,BLD_SQFT,NUM_BLD,FLOORS,CD,COUNCIL_DISTRICT,COUNCILMEMBER_NAME,PR_ZONE,OV_ZONE,SD_ZONE,BBL,WATERFRONT,URBAN RENEWAL SITE,Agency,Owned/Leased,Primary Use Text,Final Commitment Text,Agreement (Lease-Out)
1,2,1,BATTERY MARITIME BLDG / FERRY,10 SOUTH STREET,JOINT,JOINT JURIS AMONG CITY AGENCIES,O9,OFFICE BLDGS/MISC,709,564,445250,I,709,564,445250,3,3,1,1,MARGARET CHIN,C4-6,,LM,1000020001,Y,,DSBS,O,NO USE,,
1,2,1,BATTERY MARITIME BLDG / FERRY,10 SOUTH STREET,JOINT,JOINT JURIS AMONG CITY AGENCIES,O9,OFFICE BLDGS/MISC,709,564,445250,I,709,564,445250,3,3,1,1,MARGARET CHIN,C4-6,,LM,1000020001,Y,,DOT,O,FERRY TERMINAL,,
1,2,23,PIER 6,SOUTH STREET,DSBS,DEPT OF SMALL BUSINESS SERVICES,T2,"PIERS, DOCKS, BULKHEADS",793,551,510025,I,85,551,24346,1,2,1,1,MARGARET CHIN,C4-6,,LM,1000020023,Y,Y,EDC,O,IN USE-TENANTED,,LONG-TERM AGREEMENT
1,2,23,PIER 6,SOUTH STREET,DSBS,DEPT OF SMALL BUSINESS SERVICES,T2,"PIERS, DOCKS, BULKHEADS",793,551,510025,I,85,551,24346,1,2,1,1,MARGARET CHIN,C4-6,,LM,1000020023,Y,Y,DSBS,O,NO USE,FINAL COMMITMNT-DISP,
1,3,1,BATTERY PARK,BATTERY PLACE,PARKS,DEPT OF PARKS & RECREATION,Q1,PARKS,323,1260,945425,I,89,57,945425,5,1,1,1,MARGARET CHIN,PARK,,,1000030001,Y,,PARKS,O,PARK,,
1,3,2,PETER MINUIT PLAZA/BATTERY PK,PETER MINUIT PLAZA,PARKS,DEPT OF PARKS & RECREATION,Q1,PARKS,496,76,39900,I,,,,,,1,1,MARGARET CHIN,PARK,,,1000030002,,,PARKS,O,PARK,,
1,3,3,PETER MINUIT PLAZA/BATTERY PK,WHITEHALL STREET,PARKS,DEPT OF PARKS & RECREATION,Q1,PARKS,180,370,33600,I,16,19,,1,1,1,1,MARGARET CHIN,PARK,,,1000030003,,,PARKS,O,PARK,,
1,6,1,VIETNAM VETERANS PLAZA,SOUTH ST,PARKS,DEPT OF PARKS & RECREATION,Q1,PARKS,234,349,35166,I,,,,,,1,1,MARGARET CHIN,PARK,,,1000060001,,,PARKS,O,PARK,,
1,12,28,BOWLING GREEN PARK,0 BROADWAY,PARKS,DEPT OF PARKS & RECREATION,Q1,PARKS,200,140,22500,I,,,,,,1,1,MARGARET CHIN,PARK,,,1000120028,,,PARKS,O,PARK,,
1,16,1,PIER A / MARINE UNIT #1,PIER A,DSBS,DEPT OF SMALL BUSINESS SERVICES,Y7,DEPT OF MARINE & AVIATION,77,293,83100,I,43,293,32000,1,3,1,1,MARGARET CHIN,C6-4,,LM,1000160001,Y,,DOT,O,FERRY TERMINAL,,
