Transit Bureau,2005,2006,2007,2008,2009,Total
Transit Bureau Headquarters,0%,0%,0%,1%,2%,3%
TB Liaison,0%,0%,0%,0%,0%,0%
TB Inspections,0%,0%,0%,0%,0%,0%
TB Special Investigations,0%,0%,0%,0%,0%,0%
TB Crime Analysis,0%,0%,0%,0%,0%,0%
TB Operations,0%,0%,0%,0%,0%,0%
TB Manhattan,0%,0%,0%,0%,0%,0%
TB Bronx,0%,0%,0%,0%,0%,0%
TB Queens,0%,0%,0%,0%,0%,0%
TB Brooklyn,0%,0%,0%,0%,0%,0%
TB District 1,2%,1%,3%,0%,1%,7%
TB District 2,3%,1%,0%,1%,0%,5%
TB District 3,0%,0%,0%,0%,0%,0%
TB District 4,1%,0%,0%,0%,3%,4%
TB District 11,0%,0%,0%,0%,0%,0%
TB District 12,0%,0%,1%,0%,0%,1%
TB District 20,0%,0%,0%,0%,0%,0%
TB District 23,1%,1%,0%,0%,0%,2%
TB District 30,0%,0%,2%,0%,0%,2%
TB District 32,0%,0%,0%,0%,0%,0%
TB District 33,3%,1%,3%,0%,0%,7%
TB District 34,0%,0%,1%,0%,1%,2%
TB Manhattan/TF,3%,0%,1%,0%,1%,5%
TB Bronx/TF,0%,0%,0%,0%,0%,0%
TB Queens/TF,1%,0%,0%,0%,0%,1%
TB Brooklyn/TF,0%,1%,1%,0%,0%,2%
TB Homeless,0%,0%,0%,0%,0%,0%
TB Canine,0%,0%,0%,0%,0%,0%
TB Vandal,0%,0%,0%,0%,0%,0%
TB Special Operations Unit,1%,0%,0%,0%,0%,1%
TB Other,0%,0%,0%,0%,0%,0%
Transit Bureau Total,15%,5%,12%,2%,8%,42%
Percent of All Subject Officers Against Whom Allegations were Substantiated,5.1%,1.3%,2.2%,0.5%,2.3%,2.1%
