Department,Phone Number
In an emergency,911
For general Citywide Information,311
Fire Department General Number ,718-999-2000
Fire Department Recruitment,718-999-FDNY
Community Affairs,718-999-1438
EMS Command,718-999-2770/1753
Human Resources Information Center,718-999-2164
Summer Intern Program,718-999-2181
Fire Cadet General Info,718-999-1468
Office of the Counsel,718-999-2040
Records Access Officer / FOIL requests,718-999-0293
Legal Enforcement Unit - Inquiries relating to Criminal Court/ ECB,718-999-1378
Court Desk and Litigation Support Unit,718-999-2146/1684
Press Office/Office of Public Information,718-999-2056
Certificate of Fitness,718-999-1986
Violations Records,718-999-2442
Fire Records,718-999-2681
Other Searches,718-999-2425
