Grade,Year,Category,Number Tested,Mean Scale Score,Level 1 #,Level 1 %,Level 2 #,Level 2 %,Level 3 #,Level 3 %,Level 4 #,Level 4 %,Level 3+4 #,Level 3+4 %
3,2006,ELL,2233,621,971,43.5%,762,34.1%,490,21.9%,10,0.4%,500,22.4%
3,2007,ELL,12632,631,3515,27.8%,5507,43.6%,3544,28.1%,66,0.5%,3610,28.6%
3,2008,ELL,11719,636,2304,19.7%,5862,50%,3460,29.5%,93,0.8%,3553,30.3%
3,2009,ELL,11980,645,1716,14.3%,4660,38.9%,5452,45.5%,152,1.3%,5604,46.8%
3,2010,ELL,12106,649,4150,34.3%,5086,42%,2460,20.3%,410,3.4%,2870,23.7%
3,2011,ELL,11871,647,4012,33.8%,5288,44.5%,2546,21.4%,25,0.2%,2571,21.7%
4,2006,ELL,2938,612,1327,45.2%,1116,38%,488,16.6%,7,0.2%,495,16.8%
4,2007,ELL,10873,623,3512,32.3%,5063,46.6%,2282,21%,16,0.1%,2298,21.1%
4,2008,ELL,10271,628,2607,25.4%,4649,45.3%,2991,29.1%,24,0.2%,3015,29.4%
4,2009,ELL,10012,638,1495,14.9%,4636,46.3%,3863,38.6%,18,0.2%,3881,38.8%
4,2010,ELL,10888,648,2828,26%,5996,55.1%,2039,18.7%,25,0.2%,2064,19%
4,2011,ELL,10841,648,2763,25.5%,5907,54.5%,2162,19.9%,9,0.1%,2171,20%
5,2006,ELL,4772,612,1690,35.4%,2364,49.5%,696,14.6%,22,0.5%,718,15%
5,2007,ELL,8591,620,2516,29.3%,4686,54.5%,1385,16.1%,4,0%,1389,16.2%
5,2008,ELL,8526,635,883,10.4%,4896,57.4%,2737,32.1%,10,0.1%,2747,32.2%
5,2009,ELL,8865,646,309,3.5%,4827,54.5%,3660,41.3%,69,0.8%,3729,42.1%
5,2010,ELL,8921,651,3234,36.3%,4265,47.8%,1319,14.8%,103,1.2%,1422,15.9%
5,2011,ELL,9266,650,3238,34.9%,4712,50.9%,1298,14%,18,0.2%,1316,14.2%
6,2006,ELL,4364,602,1786,40.9%,2206,50.5%,358,8.2%,14,0.3%,372,8.5%
6,2007,ELL,7633,619,1310,17.2%,5681,74.4%,637,8.3%,5,0.1%,642,8.4%
6,2008,ELL,7234,625,880,12.2%,5495,76%,857,11.8%,2,0%,859,11.9%
6,2009,ELL,7631,643,71,0.9%,4968,65.1%,2581,33.8%,11,0.1%,2592,34%
6,2010,ELL,7566,641,4041,53.4%,3127,41.3%,392,5.2%,6,0.1%,398,5.3%
6,2011,ELL,8219,640,4349,52.9%,3399,41.4%,469,5.7%,2,0%,471,5.7%
7,2006,ELL,5118,601,2024,39.5%,2736,53.5%,354,6.9%,4,0.1%,358,7%
7,2007,ELL,7370,599,2950,40%,3926,53.3%,492,6.7%,2,0%,494,6.7%
7,2008,ELL,7168,626,858,12%,5157,71.9%,1152,16.1%,1,0%,1153,16.1%
7,2009,ELL,7063,636,260,3.7%,5098,72.2%,1703,24.1%,2,0%,1705,24.1%
7,2010,ELL,7489,638,3848,51.4%,3319,44.3%,310,4.1%,12,0.2%,322,4.3%
7,2011,ELL,7787,639,3693,47.4%,3836,49.3%,257,3.3%,1,0%,258,3.3%
8,2006,ELL,4924,597,2472,50.2%,2292,46.5%,157,3.2%,3,0.1%,160,3.2%
8,2007,ELL,8236,604,3312,40.2%,4509,54.7%,413,5%,2,0%,415,5%
8,2008,ELL,6659,608,2310,34.7%,4008,60.2%,340,5.1%,1,0%,341,5.1%
8,2009,ELL,7354,623,971,13.2%,5496,74.7%,885,12%,2,0%,887,12.1%
8,2010,ELL,7486,623,3887,51.9%,3381,45.2%,214,2.9%,4,0.1%,218,2.9%
8,2011,ELL,8044,627,3516,43.7%,4341,54%,187,2.3%,0,0%,187,2.3%
All Grades,2006,ELL,24349,606,10270,42.2%,11476,47.1%,2543,10.4%,60,0.2%,2603,10.7%
All Grades,2007,ELL,55335,617,17115,30.9%,29372,53.1%,8753,15.8%,95,0.2%,8848,16%
All Grades,2008,ELL,51577,628,9842,19.1%,30067,58.3%,11537,22.4%,131,0.3%,11668,22.6%
All Grades,2009,ELL,52905,639,4822,9.1%,29685,56.1%,18144,34.3%,254,0.5%,18398,34.8%
All Grades,2010,ELL,54456,643,21988,40.4%,25174,46.2%,6734,12.4%,560,1%,7294,13.4%
All Grades,2011,ELL,56028,643,21571,38.5%,27483,49.1%,6919,12.3%,55,0.1%,6974,12.4%
