TYPE,BUS NAME,MAILING OFFICE,MAIL CITY,MSTAT,COMP PHONE,Location 1
CL.1,3J'S LAWN MAINTENANCE & LANDSCAPING,388 DOANE AVENUE,STATEN ISLAND,NY,(718) 966-0351,"388 DOANE AVENUE
STATEN ISLAND, NY 10308
(40.5585718165536, -74.15671510971399)"
CL.1,A & S WHITESTONE NURSERY INC.,23-02 FRANCIS LEWIS BLVD.,WHITESTONE,NY,(718) 746-0580,"23 02 FRANCIS LEWIS BLVD
WHITESTONE, NY 11357
(40.78628404147537, -73.81123206101074)"
CL.1,"A TO Z LANDSCAPING, INC",P.O. BOX 140678,STATEN ISLAND,NY,(718) 815-2484,"140678 STATEN ISLAND
NY 10314
(40.59649030298516, -74.16599111879503)"
CL.1,A. BIANCO LANDSCAPING,660 GULF AVENUE,STATEN ISLAND,NY,(718) 420-0901,"660 GULF AVENUE
STATEN ISLAND, NY 10314
(40.613758508449116, -74.18019119443426)"
CL.1,A. PALMIERI LANDSCAPING CO. INC,820 SOUTH FULTON AVE.,MOUNT VERNON,NY,(914) 699-2257,"820 FULTON AVE
MOUNT VERNON, NY 10550
(40.894203691683785, -73.82299044274882)"
CL.1,AB GARDEN CENTER INC,162-24 DEPOT ROAD,FLUSHING,NY,(718) 762-2689,"162 24 DEPOT ROAD
FLUSHING, NY 11358
(40.760350968822195, -73.79632645819947)"
CL.1,ABEL ULLOA D/B/A ABEL LANDSCAPING,126 SOLOMON AVE,INWOOD,NY,(516) 371-1857,"126 SOLOMON AVE
INWOOD, NY 11096
(40.61668588607489, -73.7512117393224)"
CL.1,ABEL VENTURA,283 ELLERY STREET,BENTWOOD,NY,(347) 515-0072,"283 ELLERY STREET
BENTWOOD, NY 11717
(40.79110939365762, -73.25509174863879)"
CL.1,"ACE LANDSCAPING SERVICES, INC.",P.O. BOX 622,VALLEY STREAM,NY,(516) 791-6241,"622 VALLEY STREAM
NY 11582
(40.66199800000777, -73.70272799999714)"
CL.1,ADAMS A&M CORP.,2641 EAST 6 STREET,BROOKLYN,NY,(718) 648-0226,"2641 6 STREET
BROOKLYN, NY 11235
(40.58599237896547, -73.96365272147035)"
CL.1,AHMED BOTI DBA M & B LANDSCAPING,78-37 160 STREET,FLUSHING,NY,(718) 969-7624,"78 37 160 STREET
FLUSHING, NY 11366
(40.72816440726166, -73.79226817393703)"
CL.1,AJ'S LANDSCAPING DESIGN CONTRACTING LLC,P.O. BOX 140428,STATEN ISLAND,NY,(718) 815-4094,"140428 STATEN ISLAND
NY 10314
(40.59649030298516, -74.16599111879503)"
CL.1,AL PAOLUCCI LANDSCAPING LLC,4208 FILLMORE AVENUE,BROOKLYN,NY,(718) 338-5131,"4208 FILLMORE AVENUE
BROOKLYN, NY 11234
(40.614174833543636, -73.92880031714256)"
CL.1,ALBERT SAVELLO,288 DOW AVENUE,CARLE PL,NY,(516) 741-9870,"288 DOW AVENUE
CARLE PL, NY 11514
(40.75038809217091, -73.61868764508478)"
CL.1,ALEJANDRO VALDOVINOS,124 COLIGNI AVE.,NEW ROCHELLE,NY,(914) 516-8734,"124 COLIGNI AVE
NEW ROCHELLE, NY 10805
(40.921376189601744, -73.79309316622692)"
CL.1,ALFA LANDSCAPING & CONTRACTING  INC.,2272 TILLOTSON AVE,BRONX,NY,(718) 652-6100,"2272 TILLOTSON AVE
BRONX, NY 10475
(40.88245553014519, -73.82714905814782)"
CL.1,ALFREDO C GUERRA D/B/A RIO LEMPA LANDSCAPING,89-15 144 STREET APT 4C,JAMAICA,NY,(347) 371-5938,"89 15 144 STREET
JAMAICA, NY 11435
(40.70119264912154, -73.80979665579099)"
CL.1,ALL THINGS GREEN INC.,194 BARD AVENUE,STATEN ISLAND,NY,(718) 981-3956,"194 BARD AVENUE
STATEN ISLAND, NY 10310
(40.64002870668866, -74.10769157185565)"
CL.1,"ALMSTEAD TREE & SHRUB CARE COMPANY, LLC",58 BEECHWOOD AVENUE,NEW ROCHELLE,NY,(914) 576-0193,"58 BEECHWOOD AVENUE
NEW ROCHELLE, NY 10801
(40.90526033883668, -73.79048513234193)"
CL.1,ALVAREZ & SONS LANDSCAPING CORP.,78 SHARPE AVENUE,STATEN ISLAND,NY,(718) 981-5205,"78 SHARPE AVENUE
STATEN ISLAND, NY 10302
(40.63809684667197, -74.13709712578503)"
CL.1,AMBIORIX GONZALEZ,P.O. BOX 267,BALDWIN,NY,(516) 379-0816,"267 BALDWIN
NY 11510
(40.659460261535315, -73.61910192948297)"
CL.1,AMEX LANDSCAPING COMPANY,316 HEBERTON AVE,STATEN ISLAND,NY,(917) 733-8547,"316 HEBERTON AVE
STATEN ISLAND, NY 10302
(40.63318352190087, -74.13382804515906)"
