ELECTION,CANDID,CANDNAME,OFFICECD,OFFICEBORO,OFFICEDIST,CANCLASS,PRIMARYPAY,GENERALPAY,RUNOFFPAY,TOTALPAY
ELECTION,CANDID,CANDNAME,OFFICECD,OFFICEBORO,OFFICEDIST,CANCLASS,PRIMARYPAY,GENERALPAY,RUNOFFPAY,TOTALPAY
2005,HF,"Addabbo, Joseph P",5,,32,P,0,0,0,0
2005,884,"Akbar, Celestina",5,,23,P,0,0,0,0
2005,864,"Antoine, Royston",5,,41,P,59900,0,0,59900
2005,838,"Arroyo, Maria C",5,,17,P,0,0,0,0
2005,51,"Avella, Tony",5,,19,P,0,75120,0,75120
2005,591,"Baez, Maria",5,,14,P,0,0,0,0
2005,835,"Baldeo, Albert J",5,,28,P,82500,0,0,82500
2005,DD,"Barron, Charles",5,,42,P,82500,58577,0,141077
2005,560,"Bernace, Victor A",5,,7,P,48900,0,0,48900
2005,HB,"Betancourt Jr, Ismael",5,,13,P,82500,0,0,82500
2005,870,"Beys, Michael P",5,,2,P,82500,0,0,82500
2005,321,"Bilal, Charles A",5,,28,P,0,0,0,0
2005,852,"Billups, Charles B",5,,35,P,0,44924,0,44924
2005,MT,"Blackwell, Eric S",5,,35,P,0,0,0,0
2005,849,"Bloch, Darren S",5,,2,P,82500,0,0,82500
2005,508,"Bloodsaw, Daryl G",5,,9,P,0,37700,0,37700
2005,890,"Boudouvas, Peter T",5,,19,P,0,81960,0,81960
2005,399,"Brewer, Gale A",5,,6,P,0,0,0,0
2005,830,"Brightharp, Joan J",5,,2,P,25512,0,0,25512
2005,812,"Brodsky, Meryl",5,,4,P,55776,0,0,55776
2005,1011,"Brown Jr, Will",5,,9,P,0,0,0,0
2005,848,"Cabbagestalk, Jr., Damon L",2,,,P,0,0,0,0
2005,892,"Carlino, John",5,,2,P,0,0,0,0
2005,ED,"Carrion, Jr., Adolfo",4,X,,P,0,0,0,0
2005,840,"Carroll, Rodney L",5,,9,P,72420,0,0,72420
2005,984,"Cavaco, Manuel S",5,,2,P,0,0,0,0
2005,891,"Ceder, David",5,,50,P,0,25324,0,25324
2005,853,"Cesnik, Eric A",5,,5,P,50518,0,0,50518
2005,844,"Chino, Theo B",1,,,P,0,0,0,0
2005,511,"Clarke, Yvette D",5,,40,P,81784,0,0,81784
2005,754,"Cornelius, Yasmin H",5,,9,P,82500,0,0,82500
2005,326,"de Blasio, Bill",5,,39,P,0,0,0,0
2005,Q0,"Denis, Nelson A",5,,8,P,78562,0,0,78562
2005,867,"Dickens, Inez E",5,,9,P,82500,0,0,82500
2005,444,"Dilan, Erik M",5,,37,P,0,0,0,0
2005,860,"Doty, Cynthia L",5,,9,P,65044,0,0,65044
2005,854,"Duggan, Essie M",5,,41,P,0,0,0,0
2005,809,"Ellner, Brian V",4,M,,P,708950,0,0,708950
2005,E5,"Emmanuel, Ernest",5,,45,P,0,0,0,0
2005,93,"Espaillat, Adriano",4,M,,P,522599,0,0,522599
2005,889,"Estrada Rukaj, Irene E",5,,13,P,0,0,0,0
2005,AY,"Ferrer, Fernando",1,,,P,1685000,2676060,0,4361060
2005,527,"Fidler, Lewis A",5,,46,P,82500,12092,0,94592
2005,B6,"Fields, C. Virginia",1,,,P,1459636,0,0,1459636
2005,526,"Fields, Jessie",4,M,,P,0,141189,0,141189
2005,880,"Flanagan, Claudia",5,,2,P,0,0,0,0
2005,879,"Foglia, Philip F",5,,13,P,0,82500,0,82500
2005,325,"Foster, Helen Diane",5,,16,P,0,20625,0,20625
2005,851,"Galarza, David",5,,38,P,52290,0,0,52290
2005,334,"Gallagher, Dennis P",5,,30,P,0,0,0,0
2005,1005,"Gallo, Russell C",5,,47,P,0,24860,0,24860
2005,721,"Garodnick, Daniel R",5,,4,P,82500,82500,0,165000
