MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Boro-Block-Lot,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Address,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Neighborhood,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Building Classification,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Total Units,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Year Built,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Gross SqFt,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Est. Gross Income,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Gross Income per SqFt,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Full Market Value,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Market Value per SqFt,COMPARABLE RENTAL – 1 –Boro-Block-Lot,COMPARABLE RENTAL – 1 –Address,COMPARABLE RENTAL – 1 –Neighborhood,COMPARABLE RENTAL – 1 –Building Classification,COMPARABLE RENTAL – 1 –Total Units,COMPARABLE RENTAL – 1 –Year Built,COMPARABLE RENTAL – 1 –Gross SqFt,COMPARABLE RENTAL – 1 –Est. Gross Income,COMPARABLE RENTAL – 1 –Gross Income per SqFt,COMPARABLE RENTAL – 1 –Full Market Value,COMPARABLE RENTAL – 1 –Market Value per SqFt,COMPARABLE RENTAL – 1 –Dist. from Coop in miles,COMPARABLE RENTAL – 2 –Boro-Block-Lot,COMPARABLE RENTAL – 2 –Address,COMPARABLE RENTAL – 2 –Neighborhood,COMPARABLE RENTAL – 2 –Building Classification,COMPARABLE RENTAL – 2 –Total Units,COMPARABLE RENTAL – 2 –Year Built,COMPARABLE RENTAL – 2 –Gross SqFt,COMPARABLE RENTAL – 2 –Est. Gross Income,COMPARABLE RENTAL – 2 –Gross Income per SqFt,COMPARABLE RENTAL – 2 –Full Market Value,COMPARABLE RENTAL – 2 –Market Value per SqFt,COMPARABLE RENTAL – 2 –Dist. from Coop in miles
1-00880-0042,"330 3 AVENUE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",GRAMERCY,D4-ELEVATOR,208,1964,186201,6271249,33.7,30400000,163,1-00928-0040,"320 23 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",KIPS BAY,D6-ELEVATOR,213,1965,153800,5841765,38,29400000,191,0.3,1-00896-0048,"135 3 AVENUE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",GRAMERCY,D6-ELEVATOR,221,1962,158505,4663641,29.4,22600000,143,0.5
1-00881-0047,"160 26 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",GRAMERCY,D4-ELEVATOR,49,1925,31283,945372,30.2,4580000,146,1-00918-0007,"207 37 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",MURRAY HILL,D9-ELEVATOR,35,1925,36020,1069133,29.7,5180000,144,0.6,1-00897-0008,"207 15 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",GRAMERCY,D9-ELEVATOR,61,1930,29088,894859,30.8,4340000,149,0.5
1-00882-0039,"153 26 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",GRAMERCY,D4-ELEVATOR,15,1905,15800,510972,32.3,2480000,157,1-00876-0021,"36 GRAMERCY PARK
Manhattan, NY
(40.74988399964684, -73.98797699993861)",GRAMERCY,D3-ELEVATOR,55,1909,61406,1977710,32.2,9580000,156,0.3,1-00850-0064,"12 22 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",FLATIRON,D5-ELEVATOR,87,1911,78646,2552000,32.4,12400000,158,0.35
1-00882-0050,"160 27 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",GRAMERCY,D4-ELEVATOR,72,1963,69300,2293137,33.1,11100000,160,1-00883-0044,"376 3 AVENUE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",GRAMERCY,D6-ELEVATOR,179,1964,175110,4938566,28.2,23900000,136,0.05,1-00928-0040,"320 23 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",KIPS BAY,D6-ELEVATOR,213,1965,153800,5841765,38,29400000,191,0.3
1-00882-0052,"150 27 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",GRAMERCY,D4-ELEVATOR,62,1960,47000,1805270,38.4,9080000,193,1-00872-0001,"36 UNION SQUARE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",GRAMERCY,D8-ELEVATOR,78,1963,65430,2735524,41.8,13800000,211,0.5,1-00927-0038,"320 22 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",KIPS BAY,D9-ELEVATOR,94,1948,67048,2353723,35.1,11800000,176,0.35
1-00883-0058,"140 28 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",GRAMERCY,D4-ELEVATOR,107,1931,98359,2877000,29.2,13900000,141,1-00844-0017,"31 UNION SQUARE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",FLATIRON,D9-ELEVATOR,88,1902,118067,3369000,28.5,16300000,138,0.6,1-00902-0030,"371 2 AVENUE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",GRAMERCY,D6-ELEVATOR,94,1930,77640,2326827,30,11300000,146,0.3
1-00884-0001,"407 PARK AVENUE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",MURRAY HILL,D4-ELEVATOR,151,1984,114407,3958482,34.6,19900000,174,1-00884-0048,"402 3 AVENUE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",MURRAY HILL,D6-ELEVATOR,150,1974,137628,4658342,33.8,22600000,164,0.1,1-00909-0028,"501 2 AVENUE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",MURRAY HILL,D6-ELEVATOR,130,1978,108614,3838941,35.3,19300000,178,0.2
1-00884-0027,"137 28 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",MURRAY HILL,D4-ELEVATOR,37,1927,28617,864805,30.2,4190000,146,1-00918-0007,"207 37 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",MURRAY HILL,D9-ELEVATOR,35,1925,36020,1069133,29.7,5180000,144,0.45,1-00897-0008,"207 15 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",GRAMERCY,D9-ELEVATOR,61,1930,29088,894859,30.8,4340000,149,0.65
1-00885-0001,"425 PARK AVENUE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",MURRAY HILL,D4-ELEVATOR,78,1927,111047,4286414,38.6,21600000,195,1-00878-0004,"295 PARK AVENUE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",GRAMERCY,D9-ELEVATOR,190,1900,145299,4811189,33.1,23300000,160,0.35,1-00753-0056,"324 30 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",CHELSEA,D5-ELEVATOR,224,1928,147888,6729000,45.5,20700000,140,0.85
1-00885-0008,"105 29 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",MURRAY HILL,D0-ELEVATOR,16,1913,45937,1435531,31.2,6960000,152,1-00562-0044,"25 10 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",GREENWICH VILLAGE-CENTRAL,D6-ELEVATOR,62,1929,45496,1532802,33.7,7430000,163,0.95,1-00911-0001,"431 3 AVENUE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",MURRAY HILL,D9-ELEVATOR,58,1920,45947,1324043,28.8,6420000,140,0.2
1-00885-0037,"145 29 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",MURRAY HILL,D4-ELEVATOR,39,1965,15360,520704,33.9,2620000,171,1-00885-0051,"150 30 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",MURRAY HILL,D1-ELEVATOR,48,1962,20660,711113,34.4,3580000,173,0,1-00935-0005,"530 2 AVENUE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",KIPS BAY,D7-ELEVATOR,53,1964,28431,949397,33.4,4600000,162,0.25
1-00885-0074,"126 30 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",MURRAY HILL,C6-WALK-UP,16,1900,6880,128174,18.63,521000,76,1-00912-0029,"563 2 AVENUE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",MURRAY HILL,C7-WALK-UP,14,1900,8568,235865,27.5,1140000,133,0.25,1-00914-0006,"205 33 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",MURRAY HILL,C4-WALK-UP,20,1910,10125,98795,9.76,334000,33,0.3
1-00886-0031,"133 30 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",MURRAY HILL,D4-ELEVATOR,22,1900,14990,445802,29.7,2160000,144,1-00891-0030,"145 35 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",MURRAY HILL,D6-ELEVATOR,43,1910,43208,1115610,25.8,5410000,125,0.25,1-00912-0036,"577 2 AVENUE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",MURRAY HILL,D5-ELEVATOR,40,1915,30658,1031052,33.6,5000000,163,0.15
1-00886-0034,"139 30 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",MURRAY HILL,D4-ELEVATOR,24,1910,16290,616413,37.8,3100000,190,1-00771-0001,"216 8 AVENUE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",CHELSEA,D7-ELEVATOR,39,1910,32325,1241000,38.4,6240000,193,0.9,1-00844-0008,"9 16 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",FLATIRON,D6-ELEVATOR,16,1900,30680,1145000,37.3,5760000,188,0.75
1-00888-0037,"165 32 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",MURRAY HILL,D4-ELEVATOR,141,1964,133749,4507341,33.7,21800000,163,1-00896-0048,"135 3 AVENUE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",GRAMERCY,D6-ELEVATOR,221,1962,158505,4663641,29.4,22600000,143,0.85,1-00928-0040,"320 23 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",KIPS BAY,D6-ELEVATOR,213,1965,153800,5841765,38,29400000,191,0.55
1-00889-0015,"139 33 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",MURRAY HILL,D4-ELEVATOR,196,1957,149786,4158059,27.8,20100000,134,1-00896-0048,"135 3 AVENUE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",GRAMERCY,D6-ELEVATOR,221,1962,158505,4663641,29.4,22600000,143,0.95,1-00865-0024,"35 35 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",MURRAY HILL,D6-ELEVATOR,135,1955,132955,3471000,26.1,16800000,126,0.15
1-00890-0001,"7 PARK AVENUE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",MURRAY HILL,D4-ELEVATOR,243,1953,200000,6882000,34.4,34600000,173,1-00928-0040,"320 23 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",KIPS BAY,D6-ELEVATOR,213,1965,153800,5841765,38,29400000,191,0.7,1-00889-0068,"120 34 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",MURRAY HILL,D6-ELEVATOR,282,1962,310860,9589498,30.8,46500000,150,0.05
1-00890-0020,"132 35 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",MURRAY HILL,D4-ELEVATOR,189,1969,205000,7189350,35.1,36100000,176,1-00913-0001,"471 3 AVENUE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",MURRAY HILL,D6-ELEVATOR,311,1972,351560,11305238,32.2,54800000,156,0.25,1-00928-0040,"320 23 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",KIPS BAY,D6-ELEVATOR,213,1965,153800,5841765,38,29400000,191,0.7
1-00890-0049,"166 35 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",MURRAY HILL,D4-ELEVATOR,117,1957,74798,1960455,26.2,9500000,127,1-00910-0061,"425 3 AVENUE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",MURRAY HILL,D6-ELEVATOR,105,1967,66403,1646492,24.8,7360000,111,0.3,1-00891-0039,"165 35 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",MURRAY HILL,D6-ELEVATOR,131,1955,96102,2654646,27.6,12900000,134,0.05
1-00890-0054,"152 35 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",MURRAY HILL,D4-ELEVATOR,49,1930,28250,853715,30.2,4140000,147,1-00918-0007,"207 37 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",MURRAY HILL,D9-ELEVATOR,35,1925,36020,1069133,29.7,5180000,144,0.2,1-00897-0008,"207 15 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",GRAMERCY,D9-ELEVATOR,61,1930,29088,894859,30.8,4340000,149,0.95
1-00891-0001,"23 PARK AVENUE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",MURRAY HILL,D4-ELEVATOR,17,1890,24898,549996,22.09,2460000,99,1-00771-0068,"258 22 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",CHELSEA,D1-ELEVATOR,39,1920,30375,710000,23.37,3170000,104,1,1-00914-0011,"221 33 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",MURRAY HILL,D9-ELEVATOR,45,1900,35508,738430,20.8,3300000,93,0.25
1-00891-0003,"35 PARK AVENUE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",MURRAY HILL,D4-ELEVATOR,150,1955,153693,4844403,31.5,23500000,153,1-00816-0042,"92 5 AVENUE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",FLATIRON,D6-ELEVATOR,223,1962,180000,3910000,21.72,17500000,97,1.05,1-00559-0009,"92 PARK AVENUE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",GREENWICH VILLAGE-CENTRAL,D6-ELEVATOR,220,1964,184645,7631569,41.3,38400000,208,1.1
1-00891-0023,"264 LEXINGTON AVENUE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",MURRAY HILL,D4-ELEVATOR,35,1924,35734,1045219,29.2,5060000,142,1-00844-0017,"31 UNION SQUARE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",FLATIRON,D9-ELEVATOR,88,1902,118067,3369000,28.5,16300000,138,0.95,1-00902-0030,"371 2 AVENUE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",GRAMERCY,D6-ELEVATOR,94,1930,77640,2326827,30,11300000,146,0.7
1-00891-0059,"144 36 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",MURRAY HILL,D4-ELEVATOR,38,1916,39100,1317279,33.7,6380000,163,1-00575-0077,"55 11 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",GREENWICH VILLAGE-CENTRAL,D9-ELEVATOR,88,1924,63943,2074804,32.4,10100000,158,1.25,1-00764-0051,"222 15 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",CHELSEA,D9-ELEVATOR,64,1928,38330,1339000,34.9,6730000,176,1.3
1-00891-0062,"138 36 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",MURRAY HILL,D4-ELEVATOR,31,1916,40966,1380144,33.7,6690000,163,1-00575-0077,"55 11 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",GREENWICH VILLAGE-CENTRAL,D9-ELEVATOR,88,1924,63943,2074804,32.4,10100000,158,1.25,1-00764-0051,"222 15 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",CHELSEA,D9-ELEVATOR,64,1928,38330,1339000,34.9,6730000,176,1.3
1-00891-0066,"271 LEXINGTON AVENUE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",MURRAY HILL,D4-ELEVATOR,77,1924,72659,2125275,29.2,10300000,142,1-00844-0017,"31 UNION SQUARE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",FLATIRON,D9-ELEVATOR,88,1902,118067,3369000,28.5,16300000,138,0.95,1-00902-0030,"371 2 AVENUE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",GRAMERCY,D6-ELEVATOR,94,1930,77640,2326827,30,11300000,146,0.7
1-00891-0077,"120 36 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",MURRAY HILL,D4-ELEVATOR,103,1957,77193,1725263,22.35,7710000,100,1-00571-0025,"120 UNIVERSITY PLACE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",GREENWICH VILLAGE-CENTRAL,D8-ELEVATOR,95,1959,59299,1437183,24.24,6420000,108,1.1,1-00753-0051,"314 30 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",CHELSEA,D9-ELEVATOR,68,1964,62824,1287000,20.49,5750000,92,0.9
1-00891-0083,"110 36 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",MURRAY HILL,D4-ELEVATOR,63,1958,40000,918800,22.97,4110000,103,1-00816-0042,"92 5 AVENUE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",FLATIRON,D6-ELEVATOR,223,1962,180000,3910000,21.72,17500000,97,1.05,1-00571-0025,"120 UNIVERSITY PLACE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",GREENWICH VILLAGE-CENTRAL,D8-ELEVATOR,95,1959,59299,1437183,24.24,6420000,108,1.1
1-00892-0020,"288 LEXINGTON AVENUE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",MURRAY HILL,D4-ELEVATOR,100,1955,65532,2499390,38.1,12600000,192,1-00872-0001,"36 UNION SQUARE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",GRAMERCY,D8-ELEVATOR,78,1963,65430,2735524,41.8,13800000,211,0.95,1-00927-0038,"320 22 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",KIPS BAY,D9-ELEVATOR,94,1948,67048,2353723,35.1,11800000,176,0.8
1-00892-0025,"273 LEXINGTON AVENUE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",MURRAY HILL,D4-ELEVATOR,117,1966,129964,3915815,30.1,19000000,146,1-00889-0068,"120 34 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",MURRAY HILL,D6-ELEVATOR,282,1962,310860,9589498,30.8,46500000,150,0.2,1-00896-0048,"135 3 AVENUE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",GRAMERCY,D6-ELEVATOR,221,1962,158505,4663641,29.4,22600000,143,1.1
1-00892-0062,"137 36 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",MURRAY HILL,D4-ELEVATOR,112,1974,107504,3719638,34.6,18700000,174,1-00909-0028,"501 2 AVENUE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",MURRAY HILL,D6-ELEVATOR,130,1978,108614,3838941,35.3,19300000,178,0.4,1-00884-0048,"402 3 AVENUE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",MURRAY HILL,D6-ELEVATOR,150,1974,137628,4658342,33.8,22600000,164,0.4
1-00892-0080,"104 37 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",MURRAY HILL,D4-ELEVATOR,29,1938,14912,470026,31.5,2280000,153,1-00767-0043,"128 7 AVENUE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",CHELSEA,D6-ELEVATOR,65,1959,46812,1476000,31.5,7150000,153,1.15,1-00925-0060,"304 20 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",KIPS BAY,D9-ELEVATOR,70,1948,56310,1774021,31.5,8600000,153,0.9
1-00893-0002,"55 PARK AVENUE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",MURRAY HILL,D4-ELEVATOR,33,1923,37262,1265790,34,6360000,171,1-00879-0017,"131 23 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",GRAMERCY,D9-ELEVATOR,67,1925,56670,2011078,35.5,10100000,178,0.7,1-00850-0064,"12 22 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",FLATIRON,D5-ELEVATOR,87,1911,78646,2552000,32.4,12400000,158,0.8
1-00893-0014,"117 37 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",MURRAY HILL,D4-ELEVATOR,62,1954,32150,1013368,31.5,4910000,153,1-00925-0060,"304 20 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",KIPS BAY,D9-ELEVATOR,70,1948,56310,1774021,31.5,8600000,153,0.95,1-00767-0043,"128 7 AVENUE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",CHELSEA,D6-ELEVATOR,65,1959,46812,1476000,31.5,7150000,153,1.2
1-00893-0017,"296 LEXINGTON AVENUE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",MURRAY HILL,D4-ELEVATOR,97,1940,75273,2856610,37.9,14400000,191,1-00818-0010,"43 16 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",FLATIRON,D9-ELEVATOR,95,1911,64049,2588000,40.4,13000000,203,1.05,1-00879-0017,"131 23 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",GRAMERCY,D9-ELEVATOR,67,1925,56670,2011078,35.5,10100000,178,0.7
