Type of Business,Business Type Other,Company Name,Company Description,Street Address,Apt  Number,Borough,Postal Code,Business Phone,Contact Name,Contact Title,Contact Phone,Contact Fax,Location 1
Advertising,,.30 Segundos LLC,Mission statement: Create impactful advertising that connects with Hispanic comsumers emotionally and rationally in order to influence their decision.,110 5th Avenue,,Manhattan,10011,(212)463-1196,Marta Ferreira,Partner,(212)463-1196,,"110 5th Avenue
Manhattan, NY 10011
(40.737500807491074, -73.99250883300391)"
Magazine / Newspaper / Publishing,,24 Horas,24 Hora's is one of America's leading Spanish-language daily newspapers,485 Seventh Ave.,Suite 505,Manhattan,10018,(646) 839-4403,Armando Tonatiuh Hernandez,Executive Editor,(646) 839-4403,(212) 330-8083,"485 Seventh Ave
Manhattan, NY 10018
(40.75248351249917, -73.9895590567478)"
Production Company,,"AfterDark CATV PROductions, Inc","CATV PRO is a multi-media, 501 c3 organization and producers of REBEL MEDIA. The programming concept of A.C.E.S. describes the various areas through which advocates and acivists address issues of social change and evolution. They include, but are not limited to, art, culture, entrepreneurs, education, and services. Our productions incorporate and feature alternative news and information from reliable independent news and information media sources around the world. Our links and networks focus on presenting perspective excluded from the traditional and mainstream sources on both P.E.G. Access TV and the Internet. Our programs reach every basic cable subcriber in a given market as well as being web streamed worldwide. CATV PRO also provides media production services to businesses and organzations  producing commercials, PSAs, industrial videos, and archival footage for marketing and public education purposes. ",1425 Bryant Avenue,Box 16,Bronx,10459,(646) 546-0206,Felix Leo Campos,President,(646) 546-0206,,"1425 Bryant Avenue
Bronx, NY 10459
(40.83117433035773, -73.88831737096471)"
Television Network,,AIM Tell-A-Vision ,"AIM Tell-A-Vision is a division of Artist and Idea Management and is a New York City based network of English language programming for U.S. Latinos via broadcast syndication and cable. AIM Tell-A-Vision focuses on critical, underserved markets including the U.S. born Latino market. AIM Tell-A-Vision's network of programming includes ""Urban Latino TV"", ""American Latino TV"", ""Sonidos"" and ""Latin Fuze.""  ",201 East 16th Street,5th Floor,Manhattan,10003,212-627-3192,Robert G. Rose,President,212-627-3192,212-255-9232,"201 16th Street
Manhattan, NY 10003
(40.734628220570805, -73.98615233249988)"
Advertising,,Aragon Advertising,"Aragon Advertising is dedicated to using its extensive consumer insight and vast product experience to help advertisers gain leadership positions in the Hispanic market. We combine big agency capabilites with personal, hands-on, small agency service to help brands increase market share and reach marketing goals.",96-17 69th Avenue,,Queens,11375,(718)544-0151,Michelle Aragon,President-CEO,(718)544-0151,(718)575-1815,"96 17 69th Avenue
Queens, NY 11375
(40.720707263029794, -73.84628429608335)"
PR / Communications / Marketing,"P.R. Event Productions, Jingles, Publicity campaigns","Aurora Communications, Inc.","Premier Latina/woman owned firm specializing in producing special events production; publicity campaigns, music bookings and management, packaged information, scripts, jingles, articles, brochures, annual reports, position papers, creative copy.",4 East 107th Street,14C,Manhattan,10029,212-876-1936,Aurora Flores,President & Creative Director,646-345-7474,212-410-2999,"4 107th Street
Manhattan, NY 10029
(40.79491027898082, -73.95056102141076)"
Television Network,,Azteca America,TV Azteca's mission is to create shareholder value by producing and distributing the best Spanish-language television content in the world.,152 Madison Ave.,4th Floor,Manhattan,10016,(212)207-8535,Luis Echarte,President/CEO,(212)207-8535,(212)207-8223,"152 Madison Ave
Manhattan, NY 10016
(40.746610939647894, -73.98377641609937)"
Production Company,,Big Mama,"Big Mama is a new company with a fresh attitude that emerged out of frequent requests by clients to work with South American and European directors for advertising commercials. Big Mama's goal is to provide clients with high quality work at a fraction of the cost by offering exceptional local directors, production and post-production as one package.",27 W. 24th Street,Suite 9D,Manhattan,10010,(212)431-4400,Lorenzo Benedick,Executive Producer,(212)431-4400,(212)431-4445,"27 24th Street
Manhattan, NY 10010
(40.741372722233045, -73.98705068771608)"
Production Company,,BigLou Films,"Company Motto: No Flim Is A Small Film. Award winning Producer (Manito 10X Award Winning). Film & Digital Filmmaking, Video Production Services Film & Digital), Script Development (stage & film), Casting Services ,Location Scouting, Coaching for Actors, Editing Services, Video Taping, Music Video Production, and Consulting Services.",P.O. Box 918,,Bronx,10455,347-879-6894,Lou Torres,CEO,917-208-8170,347-879-6894,"918 Bronx
NY 10455
(40.813535754971156, -73.9053552520432)"
Other,,"BMI - Broadcast Music, Inc. (Latin Music Dept.)","BMI is an American performing rights organization that represents approximately 300,000 songwriters, composers and music publishers in all genres of music. The non-profit-making company, founded in 1939, collects license fees on behalf of those American creators it represents, as well as thousands of creators from around the world who chose BMI for representation in the United States. The license fees BMI collects for the ""public performances"" of its repertoire of approximately 4.5 million compositions - including radio airplay, broadcast and cable television carriage, Internet and live and recorded performances by all other users of music - are then distributed as royalties to the writers, composers and copyright holders it represents.",320 West 57th Street,3rd Floor,Manhattan,10019,212-586-2000,Porfirio Pina,"Associate Director, Latin Music",212-830-2573,212-245-8986,"320 57th Street
Manhattan, NY 10019
(40.76695555576002, -73.98353281148049)"
