PROGRAM TYPE,PROGRAM,SITE NAME,BOROUGH / COMMUNITY,AGENCY,Contact Number,Grade Level / Age Group ,Location 1
Family Support,Seniors,Asian Americans for Equality,Flushing,Asian Americans for Equality                                ,718.961.0888,Seniors,"133 04 39th Avenue
Flushing, NEW YORK 11354
(40.76862022064671, -73.82719028070687)"
Family Support,Seniors,COJO of Flatbush,Flatbush,Council of Jewish Organizations of Flatbush                 ,718.627.5602,Seniors,"1658 Coney Island Ave
Flatbush, NEW YORK 11230
(40.616970915722995, -73.96378533350548)"
Family Support,Seniors,COJO of Flatbush,Flatbush,Council of Jewish Organizations of Flatbush                 ,718.627.5602,Seniors,"1658 Coney Island Ave
Flatbush, NEW YORK 11230
(40.616970915722995, -73.96378533350548)"
Family Support,Seniors,COJO of Flatbush,Flatbush,Council of Jewish Organizations of Flatbush                 ,718.627.5602,Seniors,"1658 Coney Island Ave
Flatbush, NEW YORK 11230
(40.616970915722995, -73.96378533350548)"
Family Support,Seniors,Greater Chinatown Comm. Assoc,Chinatown,Greater Chinatown Community Association                     ,212.374.1311,Seniors,"105 Mosco Street
Chinatown, NEW YORK 10013
(40.714478163541, -73.99923576178304)"
Family Support,Seniors,U.J. C. of the East Side,Lower East Side,"United Jewish Council of the East Side, Inc.                ",212.233.6037,Seniors,"235 Broadway
Lower East Side, NEW YORK 10002
(40.714321356871665, -73.98661094444209)"
Family Support,Seniors,The Baruch Elder Services Team (BEST) Program ,New York,"Grand Street Settlement, Inc.",212.982.4171,Seniors,"72 Columbia Street
New York, NEW YORK 10002
(40.717388686577515, -73.98001783276366)"
Family Support,Seniors,Henry Street Settlement Senior Services Center ,New York,Henry Street Settlement,212.766.9200,Seniors,"334 Madison Street
New York, NEW YORK 10002
(40.71329016943547, -73.9830168780469)"
Family Support,Seniors,Vladeck Cares N.O.R.C. ,New York,Henry Street Settlement,212.766.9200,Seniors,"351 Madison Street
New York, NEW YORK 10002
(40.713407305684896, -73.9824873659316)"
Family Support,Seniors,"United Jewish Council of the East Side, Inc.",New York,"United Jewish Council of the East Side, Inc.",212.233.6037,Seniors,"235 Broadway
New York, NEW YORK 10002
(40.71436125167719, -73.98646538896702)"
Family Support,Seniors,Greater Chinatown Community Association,New York,Greater Chinatown Community Association,212.374.1311,Seniors,"105 Mosco Street
New York, NEW YORK 10013
(40.714478163541, -73.99923576178304)"
Family Support,Seniors,"St Matthews & St. Timonthys Neighborhood Center, Inc.",New York,"St. Matthews & St. Timothys Neighborhood Center, Inc.",212.362.6750,Seniors,"263 86th Street
New York, NEW YORK 10024
(40.7887128410752, -73.97736302500698)"
Family Support,Seniors,"Fort Washington Houses Services for the Elderly, Inc.",New York,"Fort Washington Houses Services for the Elderly, Inc.",212.927.5600,Seniors,"99 Fort Washington Avenue
New York, NEW YORK 10032
(40.8390432578193, -73.94352276206791)"
Family Support,Seniors,Seniors Helping Seniors,New York,Seniors Helping Seniors,212.543.9383,Seniors,"600 168 Street
New York, NEW YORK 10032
(40.8411278753413, -73.9399616966274)"
Family Support,Seniors,ARC XVI FT. WASHINGTON INC.,New York,ARC XVI FT. WASHINGTON INC.,212.781.5700,Seniors,"4111 Broadway
New York, NEW YORK 10033
(40.845160338750205, -73.93878884162382)"
Family Support,Seniors,RAIN Inwood Senior Center ,New York,"Regional Aid For Interim Needs, Inc. (R.A.I.N.)",718.892.5520,Seniors,"84 Vermilyea Ave
New York, NEW YORK 10034
(40.86598620242693, -73.92278693146737)"
Family Support,Seniors,YM-YWHA of Washington Heights Inwood,New York,"Institute For Puerto Rican Hispanic Elderly, Inc.",212.677.4181,Seniors,"54 Nagle Avenue
New York, NEW YORK 10040
(40.86003561997804, -73.92907209539446)"
Family Support,Seniors,"Aging In America Community Services, Inc",Bronx,"Aging In America Community Services, Inc",718.409.7979,Seniors,"1500 Pelham Parkway
Bronx, NEW YORK 10461
(40.85710649548991, -73.84367515955307)"
Family Support,Seniors,Parkchester Enhancement Program for Seniors,Bronx,Beth Abraham Health Services,718.409.1619,Seniors,"1525 Unionport Road
Bronx, NEW YORK 10462
(40.83691390411333, -73.85758628828341)"
Family Support,Seniors,RAIN Multi Services for Seniors,Bronx,"Regional Aid For Interim Needs, Inc.(R.A.I.N.)",718.892.5520,Seniors,"2368 Westchester
Bronx, NEW YORK 10462
(40.836448853178055, -73.84704226766401)"
Family Support,Seniors,Baychester Community Center ,Bronx,"Aging In America Community Services, Inc",718 409-7979,Seniors,"1220 229th Street
Bronx, NEW YORK 10466
(40.88459636702252, -73.84273298546154)"
Family Support,Seniors,Filomena Gardens,Bronx,"Neighborhood Self-Help by Older Persons Projects, Inc.",718.542.0006,Seniors,"641 225 Street
Bronx, NEW YORK 10466
(40.888362327283964, -73.86213681347961)"
Family Support,Seniors,Mercy Houses,Bronx,"Neighborhood Self-Help by Older Persons Projects, Inc.",718.542.0006,Seniors,"644 232 Street
Bronx, NEW YORK 10466
(40.89323716441264, -73.8593315590994)"
Family Support,Seniors,Mercy Manor ,Bronx,"Neighborhood Self-Help by Older Persons Projects, Inc.",718.542.0006,Seniors,"4170 Carpenter Avenue
Bronx, NEW YORK 10466
(40.89360386428615, -73.86061453248679)"
Family Support,Seniors,St. Lukes,Bronx,"Neighborhood Self-Help by Older Persons Projects, Inc.",718.542.0006,Seniors,"3911 Barnes Avenue
Bronx, NEW YORK 10466
(40.885144265015896, -73.85860615419493)"
Family Support,Seniors,Pelham Parkway Senior Center,Bronx,Conscientious Musical Revues,800.624.8474,Seniors,
Family Support,Seniors,Riverdale YM-YWHA,Bronx,Riverdale YM-YWHA,718.548.8200,Seniors,"5625 Arlington Avenue
Bronx, NEW YORK 10471
(40.90505439236596, -73.90714580467755)"
Family Support,Seniors,Soundview Houses Senior Center ,Bronx,Conscientious Musical Revues,800.624.8474,Seniors,"1674 Seward Avenue
Bronx, NEW YORK 10473
(40.81833626051053, -73.8690767014725)"
Family Support,Seniors,Carol Gardens,Bronx,"Neighborhood Self-Help by Older Persons Projects, Inc.",718.542.0006,Seniors,"880 Thieriot Avenue
Bronx, NEW YORK 10473
(40.82327888267286, -73.86241277558031)"
Family Support,Seniors,San Andres Church,Bronx,"Neighborhood Self-Help by Older Persons Projects, Inc.",718.542.0006,Seniors,"351 Soundview Avenue
Bronx, NEW YORK 10473
(40.8130069544523, -73.85738998185833)"
Family Support,Seniors,Jaime Towers,Bronx,"Neighborhood Self-Help by Older Persons Projects, Inc.",718.542.0006,Seniors,"2050 Seward Avenue
Bronx, NEW YORK 10473
(40.82049015838661, -73.85308993692624)"
Family Support,Seniors,St. Andrews House ,Bronx,"Neighborhood Self-Help by Older Persons Projects, Inc.",718.542.0006,Seniors,"2155 Virgil Place
Bronx, NEW YORK 10473
(40.8223487885949, -73.85023957560342)"
Family Support,Seniors,RAIN Boston Secor S.C.,Bronx,"Regional Aid For Interim Needs, Inc. (R.A.I.N.)",718.892.5520,Seniors,"3540 Bivona Street
Bronx, NEW YORK 10475
(40.8834397447261, -73.8333333132606)"
Family Support,Seniors,Agudath Israel of America / SBCO,Brooklyn,Agudath Israel of America / SBCO,718.435.1300,Seniors,"4520 18th Avenue
Brooklyn, NEW YORK 11204
(40.63020611696117, -73.97835931750974)"
Family Support,Seniors,Yolanda Senior Center,Brooklyn,Ridgewood Bushwick Senior Citizens Council,718.821.0254,Seniors,"78 Troutman
Brooklyn, NEW YORK 11206
(40.69880327788773, -73.93095466026926)"
Family Support,Seniors,"Wayside Out Reach Development, Inc",Brooklyn,"Wayside Out Reach Development, Inc",718.453.2700,Seniors,"1746 60
Brooklyn, NEW YORK 11207
(40.670802431187326, -73.89384115004901)"
Family Support,Seniors,"American Italian Coalition of Organizations, Inc.",Brooklyn,"American Italian Coalition of Organizations, Inc.",718.256.3445,Seniors,"138 Bay 20th Street
Brooklyn, NEW YORK 11214
(40.603729360660516, -74.00400341659432)"
Family Support,Seniors,Restoration Plaza ,Brooklyn,"Institute For Puerto Rican Hispanic Elderly, Inc.",212.677.4181,Seniors,"1368 Fulton Street
Brooklyn, NEW YORK 11216
(40.68016709769277, -73.94592248315027)"
Family Support,Seniors,"Council of Neighborhood Organizations, Inc.",Brooklyn,"Council of Neighborhood Organizations, Inc.",718.853.0100,Seniors,"3911 Fort Hamilton Parkway
Brooklyn, NEW YORK 11218
(40.64308126028002, -73.99056118499203)"
Family Support,Seniors,"Guardians of the Sick, Inc.",Brooklyn,"Guardians of the Sick, Inc.",718.438.2020,Seniors,"5216 11th Avenue
Brooklyn, NEW YORK 11219
(40.635910755077674, -73.9983983514248)"
Family Support,Seniors,BCA Senior Center ,Brooklyn,Brooklyn Chinese American Association,718.438.9312,Seniors,"6809 20th Avenue
Brooklyn, NEW YORK 11204
(40.614704025531445, -73.98771039717887)"
Family Support,Seniors,Brooklyn Chinese American Association,Brooklyn,Brooklyn Chinese American Association,718.438.9312,Seniors,"5010 8th Avenue
Brooklyn, NEW YORK 11220
(40.64105371224104, -74.00381858175466)"
Family Support,Seniors,Community Service Center Area IV,Brooklyn,Community Service Center Area IV,718.574.0873,Seniors,"518 Van Buren Street
Brooklyn, NEW YORK 11221
(40.69179092994217, -73.92796711904296)"
Family Support,Seniors,Gates Senior Center ,Brooklyn,Ridgewood Bushwick Senior Citizens Council,718.821.0254,Seniors,"1349 Gates Avenue
Brooklyn, NEW YORK 11221
(40.695282660522736, -73.91642982596275)"
Family Support,Seniors,Goodwin Senior Center,Brooklyn,Ridgewood Bushwick Senior Citizens Council,718.821.0254,Seniors,"55 Goodwin Place
Brooklyn, NEW YORK 11221
(40.691613703908644, -73.92379865309422)"
Family Support,Seniors,Ridgewood Bushwick Senior Citizen Housing,Brooklyn,Ridgewood Bushwick Senior Citizens Council,718.821.0254,Seniors,"143 Himrod St
Brooklyn, NEW YORK 11221
(40.69729988650432, -73.92266264657464)"
