Organization Name,Address,City,State,Zip Code,Main Phone #,Discipline,Council District,Community Board,Borough
"13 Playwrights, Inc.","195 Willoughby Avenue, #402",Brooklyn,NY,11205,(917) 886-6545,Theater,Brooklyn Council District #39,Brooklyn Community Board #6,Brooklyn
"1687, Inc.",PO Box 1000,New York,NY,10014,(212) 252-3499,"Multi-Discipline, Performing",Manhattan Council District #3,Manhattan Community Board #2,Manhattan
18 Mai Committee,"832 Franklin Avenue, PMB337",Brooklyn,NY,11225,(718) 270-6935,"Multi-Discipline, Performing",Brooklyn Council District #33,Brooklyn Community Board #6,Brooklyn
"3 Graces Theater Co., Inc.",P.O. Box 442,New York,NY,10163,(917) 385-0332,Theater,Manhattan Council District #9,Manhattan Community Board #10,Manhattan
3 Legged Dog,80 Greenwich Street,New York,NY,10006,(212) 645-0374,"Multi-Discipline, Performing",Manhattan Council District #1,Manhattan Community Board #1,Manhattan
"42nd Street Workshop, Inc.","312 West 36th Street, 4th Floor",New York,NY,10018,(212) 695-4173,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"52nd Street Project, Inc.",789 Tenth Avenue,New York,NY,10019,(212) 333-5252,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"7 Loaves, Inc.","239 East 5th Street, #1D",New York,NY,10003,(212) 777-3891,"Multi-Discipline, Performing",Manhattan Council District #1,Manhattan Community Board #3,Manhattan
"826NYC, Inc.",372 Fifth Avenue,Brooklyn,NY,11215,(718) 499-9884,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #39,Brooklyn Community Board #6,Brooklyn
"A Better Jamaica, Inc.",114-73 178th Street,Jamaica,NY,11434,(718) 657-2605,Film/Video/Audio,Queens Council District #27,Queens Community Board #12,Queens
A Gathering of the Tribes,285 East 3rd Street,New York,NY,10009,(212) 674-8262,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #2,Manhattan Community Board #3,Manhattan
"A Public Space Literary Projects, Inc.",323 Dean Street,Brooklyn,NY,11217,(718) 858-8067,Literature,Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn
ABAKUA Afro-Latin Dance Company,"250 Ninth Street, 3rd Floor",Brooklyn,NY,11215,(917) 570-6089,Dance,Brooklyn Council District #38,Brooklyn Community Board #6,Brooklyn
ABC No Rio,156 Rivington Street,New York,NY,10002,(212) 254-3697,Visual Arts,Manhattan Council District #1,Manhattan Community Board #3,Manhattan
"AHL Foundation, Inc.","420 West 23rd Street, #7A",New York,NY,10011,(516) 983-3935,Visual Arts,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"AKTINA Productions, Inc.",23-50 27th Street,Astoria,NY,11105,(718) 545-1151,Music,Queens Council District #22,Queens Community Board #1,Queens
ANDHOW! Theater Company Inc.,"138 South Oxford Street, Ste. 4C",Brooklyn,NY,11217,(718) 398-3690,Theater,Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn
"ARC on 4th Street, Inc.",59 East 4th Street,New York,NY,10003,(212) 477-5340,,Manhattan Council District #2,,Manhattan
ARTs East New York Inc.,568 Jerome St.,Brooklyn,NY,11207,(917) 756-0133,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #42,Brooklyn Community Board #5,Brooklyn
"ASDT, Inc. - The American Spanish Dance Theatre",c/o Lotus Music and Dance,New York,NY,10001,(212) 674-6725,Dance,Manhattan Council District #2,Manhattan Community Board #6,Manhattan
Aaccapella Light Sound Organization Plus,851A Prospect Avenue,Bronx,NY,10459,(646) 453-3535,"Multi-Discipline, Non-Perform",,Brooklyn Community Board #2,Brooklyn
"Aaron Davis Hall, Inc.",150 Convent Avenue,New York,NY,10031,(212) 281-9240,"Multi-Discipline, Performing",Manhattan Council District #7,Manhattan Community Board #9,Manhattan
Abingdon Theatre Company,"312 West 36th Street, 6th Floor",New York,NY,10018,(212) 868-2055 x224,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
Abraham Lincoln Brigade Archives,"799 Broadway, Ste. 341",New York,NY,10003,(212) 674-5398,Humanities,Manhattan Council District #2,Manhattan Community Board #3,Manhattan
"Abundant Waters, Inc.",400 W.43rd St. #36G,New York,NY,10036,(212) 564-2589,"Multi-Discipline, Performing",Manhattan Council District #3,Manhattan Community Board #4,Manhattan
Academy of American Poets,"584 Broadway, Suite 604",New York,NY,10012,(212) 274-0343 x19,Literature,Manhattan Council District #3,Manhattan Community Board #2,Manhattan
Actors Company Theatre,"900 Broadway, Ste. 905",New York,NY,10003,(212) 645-8228,Theater,Manhattan Council District #2,Manhattan Community Board #5,Manhattan
Actors' Fund of America,"729 Seventh Avenue, 10th Floor",New York,NY,10019,(917) 281-5924,Other,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
African American Women In Cinema,2006 Westchester Avenue,Parkchester,NY,10462,(347) 310-3445,Other,Bronx Council District #15,Bronx Community Board #12,Bronx
"African Cultural Center, Inc.","600 W 189th St, Ste 5G",New York City,NY,10040,(646) 289-1877,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #9,Manhattan Community Board #10,Manhattan
African Diaspora Film Festival,"535 Cathedral Parkway, Ste. 14B",New York,NY,10025,(212) 864-1760,Film/Video/Audio,Manhattan Council District #8,Manhattan Community Board #9,Manhattan
"African Film Festival, Inc.","154 West 18th Street, Ste. 2A",New York,NY,10011,(212) 352-1720,Film/Video/Audio,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"African Voices Communications, Inc.",270 West 96th Street,New York,NY,10025,(212) 865-2982,Literature,Manhattan Council District #7,Manhattan Community Board #9,Manhattan
"Afrikan Poetry Theatre, Inc.",176-03 Jamaica Avenue,Jamaica,NY,11432,(718) 523-3312,"Multi-Discipl, Perf & Non-Perf",Queens Council District #27,Queens Community Board #12,Queens
Afro Brazil Arts,"107 Suffolk Street, Studio 307",New York,NY,10002,(212) 677-2203,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #1,Manhattan Community Board #3,Manhattan
"Afro-Asian, Inc.","107 Suffolk Street, Apt. 213-A",New York,NY,10002,(212) 253-2280,Music,Manhattan Council District #1,Manhattan Community Board #3,Manhattan
Afro-Heritage Venture,"901 Drew Street, Suite 222",Brooklyn,NY,11208,(718) 510-5575,Folk Arts,Brooklyn Council District #42,Brooklyn Community Board #5,Brooklyn
"Afro-Latin Jazz Alliance, Inc.",1713 Eighth Avenue,Brooklyn,NY,11215,(718) 788-2025,Music,Brooklyn Council District #38,Brooklyn Community Board #7,Manhattan
"Agudath Israel of America Community Services, Inc.","42 Broadway, 14th Floor",New York,NY,10004,(212) 797-9000 x260,Humanities,Manhattan Council District #1,Manhattan Community Board #1,Manhattan
"Aims of Modzawe, Inc.",187-40 Quencer Road,St. Albans,NY,11412,(347) 231-2595,Dance,,Queens Community Board #12,Queens
Alchemy Theatre Company of Manhattan,412 West 42nd Street,New York,NY,10036,(212) 967-0901,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"Alianza Dominicana, Inc.","2410 Amsterdam Avenue, 4th floor",New York,NY,10033,(212) 740-1960,Folk Arts,Manhattan Council District #10,Manhattan Community Board #12,Manhattan
"All Faiths Restoration & Beautification Program, Inc",67-29 Metropolitan Avenue,Queens,NY,11731,(718) 821-1750,,,Queens Community Board #5,Queens
"All Out Arts, Inc.","145 East 27th Street, Apt. 1A",New York,NY,10016,(917) 701-9033,"Multi-Discipline, Performing",Manhattan Council District #2,Manhattan Community Board #3,Manhattan
"Alley Pond Environmental Center, Inc.",228-06 Northern Blvd.,Douglaston,NY,11362,(718) 229-4000 x209,Science,Queens Council District #19,Queens Community Board #11,Queens
"Alliance for Downtown New York, Inc","120 Broadway, Ste. 3340",New York,NY,10271,(212) 835-2740,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #1,Manhattan Community Board #1,Manhattan
Alliance for Inclusion in the Arts,"1560 Broadway, Suite 1600",New York,NY,10036,(212) 730-4750,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
"Alliance for Young Artists and Writers, Inc.",557 Broadway,New York,NY,10012,(212) 343-7702,"Multi-Discipline, Non-Perform",Manhattan Council District #1,Manhattan Community Board #2,Manhattan
"Alliance for the Arts, Inc.","330 West 42nd Street, Ste. 1701",New York,NY,10036,(212) 947-6340,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"Alliance for the Development of Theatre Artists, Inc.","520 Eighth Ave., Suite 315",New York,NY,10018,(212) 447-6309,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"Alliance of Queens Artists, Inc.",99-10 Metropolitan Avenue,Forest Hills,NY,11375,(718) 520-9842,Visual Arts,Queens Council District #29,,Queens
"Alliance of Resident Theatres / New York, Inc.","520 Eighth Avenue, Suite 319",New York,NY,10018,(212) 244-6667 x228,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
"Allied Productions, Inc.",P.O. Box 20260,New York,NY,10009,(212) 529-8815,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #2,Manhattan Community Board #3,Manhattan
"Alpha Omega 1-7 Theatrical Dance Company, Inc.","711 Amsterdam Avenue, Ste. 4E",New York,NY,10025,(212) 749-0095,Dance,Manhattan Council District #6,Manhattan Community Board #7,Manhattan
"Alpha Workshops, Inc.","245 West 29th Street, Suite 12A",New York,NY,10001,(212) 594-7320,Architecture/Design,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
"Alvin Ailey Dance Foundation, Inc.",The Joan Weill Center for Dance,New York,NY,10019,(212) 405-9015 x220,Dance,Manhattan Council District #6,Manhattan Community Board #4,Manhattan
Alwan Foundation,"16 Beaver Street, 4th Floor",New York,NY,10004,(212) 967-4318,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #1,Manhattan Community Board #1,Manhattan
"Amas Musical Theatre, Inc.","115 MacDougal Street, Ste. 2B",New York,NY,10012,(212) 563-2565,Theater,Manhattan Council District #3,Manhattan Community Board #2,Manhattan
American Academy of Dramatic Arts,120 Madison Ave,New York,NY,7307,(212) 686-9244 x317,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
"American Bolero Dance Company, Inc.",42-24 9th Street,Long Island City,NY,11101,(718) 392-8888,Dance,Queens Council District #26,Queens Community Board #2,Queens
"American Center for Musical Arts, Inc.","201 West 72nd Street, Ste. 3-K",New York,NY,10023,(718) 680-1680,Music,Manhattan Council District #6,Manhattan Community Board #7,Manhattan
American Composers Orchestra,"240 West 35th Street, Ste. 405",New York,NY,10001,(212) 977-8495 x203,Music,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
American Documentary,20 Jay Street,Brooklyn,NY,11201,(212) 989-8121 x307,Film/Video/Audio,Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn
American Folk Art Museum,"49 East 52nd Street, 6th floor",New York,NY,10022,(212) 265-1040 x114,Museum,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
American Friends of the Ludwig Foundation of Cuba,"3 East 69th Street, Apt. 11B",New York,NY,10021,(212) 628-3494,Film/Video/Audio,Manhattan Council District #4,Manhattan Community Board #8,Manhattan
"American Globe Theatre, Ltd.","145 West 46th Street, 3rd Floor",New York,NY,10036,(212) 869-9809,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
"American Indian Artists, Inc.",288 East 10th Street,New York,NY,10009,(212) 598-0968,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #2,Manhattan Community Board #6,Manhattan
"American Indian Community House, Inc.","11 Broadway, 2nd Floor",New York,NY,10004,(212) 598-0100 x232,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #1,Manhattan Community Board #1,Manhattan
American Institute of Architects,536 LaGuardia Place,New York,NY,10012,(212) 358-0640,Architecture/Design,,,Manhattan
American Institute of Graphic Arts,164 Fifth Avenue,New York,NY,10010,(212) 710-3125,Architecture/Design,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
American Jewish Historical Society,15 West 16th Street,New York,NY,10011,(212) 294-6160,Humanities,Manhattan Council District #3,Manhattan Community Board #2,Manhattan
American Latin Association of New York,14 West 170th st.,Bronx,NY,10452,(646) 260-3382,"Multi-Discipl, Perf & Non-Perf",,Brooklyn Community Board #2,Brooklyn
"American Lyric Theater Center, Inc.",410 West 42nd Street,New York,NY,10036,(646) 216-8298,Music,Manhattan Council District #4,Manhattan Community Board #3,Manhattan
American Modern Ensemble Inc.,"400 West 43rd Street, Ste. 39-S",New York,NY,10036,(212) 349-7009,Music,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
American Museum of Natural History,Central Park West and 79th Street,New York,NY,10024,(212) 769-5000,Museum,Manhattan Council District #6,Manhattan Community Board #7,Manhattan
American Museum of the Moving Image,36-01 35th Avenue,Astoria,NY,11106,(718) 784-4520,Film/Video/Audio,Queens Council District #26,Queens Community Board #1,Queens
"American Music Center, Inc.",322 8th Avenue,New York,NY,10001,(212) 366-5260 x13,Music,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
American Numismatic Society,Broadway @ 155th Street,New York,NY,10032,(212) 571-4470,,,,Manhattan
"American Opera Projects, Inc.",138 South Oxford Street #3B,Brooklyn,NY,11217,(718) 398-4024,Music,Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn
"American Place Theatre, Inc.","266 West 37th Street, 22nd Floor",New York,NY,10018,(212) 594-4482 x11,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
American Symphony Orchestra League,"33 West 60th Street, 5th Floor",New York,NY,10023,(646) 822-4039,Music,Manhattan Council District #6,Manhattan Community Board #7,Manhattan
"American Symphony Orchestra, Inc.",263 West 38th Street,New York,NY,10018,(212) 868-9276 x16,Music,Manhattan Council District #4,Manhattan Community Board #4,Manhattan
"American Tap Dance Foundation, Inc.",154 Christopher Street,New York,NY,10014,(646) 230-9564,Dance,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
American Theatre Wing,"570 Seventh Avenue, Ste. 501",New York,NY,10018,(212) 765-0606 x302,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
American Theatre of Harlem,138 South Oxford Street,Brooklyn,NY,11217,(718) 857-2783,"Multi-Discipline, Performing",Brooklyn Council District #35,Brooklyn Community Board #5,Brooklyn
"American Turkish Society, Inc.",3 Dag Hammarskjold Plaza,New York,NY,10017,(212) 583-7614,Film/Video/Audio,Manhattan Council District #4,Manhattan Community Board #6,Manhattan
"Americas Society, Inc.",680 Park Avenue,New York,NY,10065,(212) 277-8334,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #4,Manhattan Community Board #8,Manhattan
