DESIGNER,INFO,LOCATION,SKETCH BY DESIGNER
Stephen Burrows,"Stephen Burrows, best known for fluid body-conscious  clothes in bold colors, “stretches a rainbow over the body,” said one admirer. In 1970 he opened a boutique called Stephen Burrows’ World and Henri Bendel, where he sold his famous jersey dresses with rippled “lettuce” hems. Other trademarks include bold color blocking, decorative stitching and innovative styles in suede and leather. Burrows’ vivacious clothes were featured in the 1973 epochal American fashion show at Versailles.",577  7th Avenue,FC_Walk_of_Fame_plaque_1.jpg
Norma Kamali,"A spirit of experimentation is central to the work of Norma Kamali. She first became famous in 1980 for designing separates made from sweatshirt material. Another innovation was her use of parachute silk to make jumpsuits. Perhaps best known for her much imitated “sleeping bag coat,” Kamali also became the ultimate swimwear designer by fusing her work with Hollywood-style glamour.",577  7th Avenue,FC_Walk_of_Fame_plaque_2.jpg
Betsey Johnson,"From the beginning of her career in the 1960s, Betsey Johnson has been known for a youthful, exuberant style – epitomized by her habit of cartwheeling down the runway at the end of her fashion shows. Her colorful, flirtatious clothes often utilize feminine lingerie details, as well as innovative stretch fabrics that move with the body. Coming from a background in dance, Johnson once said, “I’m basically about a ballerina torso and a full skirt.”",567 7th Avenue,FC_Walk_of_Fame_plaque_3.jpg
Marc Jacobs,"A fashion prodigy, Marc Jacobs has attracted attention from the very beginning of his career.  Known for his clever, witty designs, as in his “Freudian Slip” dress, he became controversial with his “grunge” collection for Perry Ellis in 1992. His current success for Louis Vuitton in Paris and for his own New York-based collections, rests on his ability to meld the past with the present.",561 7th Avenue,FC_Walk_of_Fame_plaque_4.jpg
Geoffrey Beene,"A designer’s designer, Geoffrey Beene is one of the most artistic and individual of fashion’s creators. He is known for his surgically clean cutting and his fluid use of materials. His designs display a sensuous appreciation of the body and always permit movement. Beene blends masterful construction techniques with seemingly disparate elements, such as whimsically patterned fabrics. The end results are spirited garments, like his famous sequined football jersey evening gown.",555 7th Avenue,FC_Walk_of_Fame_plaque_5.jpg
Bill Blass,"Having brought the comfort and simplicity of sportswear into the realm of formal dressing, Blass can rightly be credited as one of the creators of a true “American Style.” His blending of classic fabrics, like cashmere and satin, have made him a favorite among the country’s best-dressed women. Labeled the “hardest working man on Seventh Avenue,” Blass has cultivated an unforgettable personal and professional style.",555 7th Avenue,FC_Walk_of_Fame_plaque_6.jpg
Diane von Furstenberg,"Diane von Furstenberg made fashion history in 1972 when she developed her iconic wrap dress and encouraged her customers to ""Feel like a woman. Wear a dress."" By 1976 she had sold 5 million dressesand landed on the cover of Newsweek. An entrepreneur who expanded into fragrance, cosmetics, home furnishings and home shopping, she left the New York fashion world for more than a decade, but re-emerged in 1997 , bringing the wrap dress to a whole new generation.",555 7th Avenue,FC_Walk_of_Fame_plaque_7.jpg
Calvin Klein,"There has never been a more recognizable and controversial name in American fashion than Calvin Klein. He is the master of the clean and minimal style that dominated global fashion in the late 20th Century, but is also famous for his groundbreaking advertisements for products ranging from jeans to perfume to underwear. An indisputable marketing genius, his very name evokes assertive sensuality.",555 7th Avenue,FC_Walk_of_Fame_plaque_8.jpg
Ralph Lauren,"Ralph Lauren’s genius lies in identifying and interpreting classic American style. He has drawn on every important look in this country’s clothing history – from Native American styles and the cowboy look of the Old West, to the elegance of Hollywood and the sophisticated sportswear of the Anglo-American country gentry. Having begun his career as a designer of neckties, Ralph Lauren has ultimately developed a total lifestyle approach, designing for both the body and the home.",555 7th Avenue,FC_Walk_of_Fame_plaque_9.jpg
Liz Claiborne,"In 1986, Liz Claiborne Inc. became the first company founded by a women to be ranked among the Fortune 500. When the Belgian-born designer retired from active management in 1989, it was the largest women's apparel maker in the U.S., with $1.4 Billion in sales. The company excelled because Liz Claiborne grasped exactly what American women needed as the housewife of the 1950s morphed into the professional of the 1970s. She created the template for a working woman's wardrobe.",555 7th Avenue,FC_Walk_of_Fame_plaque_10.jpg
Ralph Rucci,"Born in 1957 in Philadelphia, Rucci showed his first collection in New York in 1981. His work contains both spiritual and intellectual elements, which combined with an obsessive dedication to cut and luxury, creates a sensual appeal. Considered to be the first American couturier since Mainbocher, he is also the only American ever to be invited to show at the Paris Haute Couture collections under his own name.",535 7th Avenue,FC_Walk_of_Fame_plaque_11.jpg
