License Number,Name of Licensee,Alternative Name of Licensee,Street_Address,Zip_Code,Telephone,License Type,Location 1
License Number,Name of Licensee,Alternative Name of Licensee,Street_Address,Zip_Code,Telephone,License Type,
B80008 ,JAMZONE VAN SERVICE INC.                                    ,                                                            ,142-40 130 AVENUE,11436,718-323-2374,"TLC-licensed base (FHV, Commuter Van, or Para)",
B80012 ,MONTEGO VAN SERVICE INC.                                    ,                                                            ,258-27 147 AVENUE,11422,718-481-7715,"TLC-licensed base (FHV, Commuter Van, or Para)",
B80025 ,DESTA TRANSPORTATION                                        ,                                                            ,333 BEACH   32 STREET #15K,11691,718-471-3180,"TLC-licensed base (FHV, Commuter Van, or Para)",
B80028 ,CITY EXPRESS CORP                                           ,                                                            ,391 ADELPHI STREET #E,11238,347-539-9482,"TLC-licensed base (FHV, Commuter Van, or Para)",
B80039 ,MARIO'S TRANSPORTATION INC.                                 ,                                                            ,685 DEGRAW STREET APT. #1,11217,718-789-0113,"TLC-licensed base (FHV, Commuter Van, or Para)",
B80054 ,BROOKLYN VAN LINES INC                                      ,                                                            ,1799 BEDFORD AVENUE 1D,11225,718-484-3681,"TLC-licensed base (FHV, Commuter Van, or Para)",
B80061 ,OZONE COMMUTER VAN SERVICE                                  ,                                                            ,137-08 132 AVENUE,11436,718-529-6356,"TLC-licensed base (FHV, Commuter Van, or Para)",
B80070 ,EARLY BIRD TRANSPORTATION INC                               ,                                                            ,750 MIDWOOD STREET,11553,718-217-2308,"TLC-licensed base (FHV, Commuter Van, or Para)",
B80080 ,PEBBLES TRANSPORTATION INC.                                 ,                                                            ,3712 FLATLANDS AVENUE 2F,11234,516-354-3337,"TLC-licensed base (FHV, Commuter Van, or Para)",
B80087 ,"COMMUNITY TRANSPORTATION SYSTEMS, CORP                      ",                                                            ,159-05 HILLSIDE AVENUE 2ND FL,11432,347-203-7035,"TLC-licensed base (FHV, Commuter Van, or Para)",
B80094 ,ALPHA VAN LINE                                              ,                                                            ,115-54 238 STREET,11003,516-285-0750,"TLC-licensed base (FHV, Commuter Van, or Para)",
B80098 ,SUNSET SERVICE TRANSPORTATION INC                           ,                                                            ,2300 15TH STREET 2FL,11229,718-539-7777,"TLC-licensed base (FHV, Commuter Van, or Para)",
B80100 ,CITY LINK CORPORATION                                       ,                                                            ,144-50 177 STREET,11434,718-712-1955,"TLC-licensed base (FHV, Commuter Van, or Para)",
B80101 ,GRAND APPLE TRANSPORTATION CORP.                            ,                                                            ,133-56 41 AVENUE 101,11355,718-539-7777,"TLC-licensed base (FHV, Commuter Van, or Para)",
B80102 ,G & E EXPRESS INC                                           ,                                                            ,133-56 41 AVENUE 101,11355,718-539-7777,"TLC-licensed base (FHV, Commuter Van, or Para)",
B80104 ,J & HE TRANSPORTATION INC                                   ,                                                            ,40-06 CASE STREET 1FL,11373,718-779-4048,"TLC-licensed base (FHV, Commuter Van, or Para)",
B80107 ,FLUSHING VAN SERVICE INC                                    ,                                                            ,401 BROADWAY SUITE 802,10013,718-236-2082,"TLC-licensed base (FHV, Commuter Van, or Para)",
B80108 ,L & W EXPRESS VAN SERVICE CORP                              ,                                                            ,135-05 38 AVENUE 3A,11354,718-886-1700,"TLC-licensed base (FHV, Commuter Van, or Para)",
B80111 ,HUMMER TRANSPORTATION INC                                   ,                                                            ,253-20 147 ROAD,11422,718-723-3430,"TLC-licensed base (FHV, Commuter Van, or Para)",
B80112 ,OGO VAN SERVICE CORPORATION                                 ,                                                            ,115-45 148 STREET,11436,718-209-3660,"TLC-licensed base (FHV, Commuter Van, or Para)",
B80113 ,LENNY'S VAN SERVICE CORPORATION                             ,                                                            ,225-42 MURDOCK AVENUE,11429,718-464-4210,"TLC-licensed base (FHV, Commuter Van, or Para)",
B80121 ,"WAH LUN TRANSPORTATION,INC.                                 ",                                                            ,461 BUSHWICK AVENUE 3R,11206,718-417-0475,"TLC-licensed base (FHV, Commuter Van, or Para)",
B80132 ,EASY TRANSPORTATION CORP                                    ,                                                            ,151-17 134 AVENUE,11434,718-712-7390,"TLC-licensed base (FHV, Commuter Van, or Para)",
B80138 ,HAL TRANSPORTATION SERVICE INC                              ,                                                            ,130-34 232 STREET,11413,718-666-5062,"TLC-licensed base (FHV, Commuter Van, or Para)",
B80139 ,SCARLET GIRL VAN LINES INC                                  ,                                                            ,258-27 147 AVENUE,11422,718-481-7715,"TLC-licensed base (FHV, Commuter Van, or Para)",
B80140 ,CONFIDENCE TRANSPORTATION                                   ,                                                            ,115-54 238 STREET,11003,516-285-0750,"TLC-licensed base (FHV, Commuter Van, or Para)",
B80145 ,ALEXIS VAN LINES INC                                        ,                                                            ,3712 FLATLANDS AVENUE 2F,11234,516-775-4145,"TLC-licensed base (FHV, Commuter Van, or Para)",
B80148 ,CEDI TRANSPORTATION SVC                                     ,                                                            ,161-36 118 AVENUE,11434,718-523-0705,"TLC-licensed base (FHV, Commuter Van, or Para)",
B80149 ,BROWNIN TRANSPORTATION INC                                  ,                                                            ,148-55 EDGEWOOD STREET,11422,718-525-9309,"TLC-licensed base (FHV, Commuter Van, or Para)",
