MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Boro-Block-Lot,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Address,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Neighborhood,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Building Classification,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Total Units,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Year Built,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Gross SqFt,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Est. Gross Income,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Gross Income per SqFt,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Full Market Value,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Market Value per SqFt,COMPARABLE RENTAL – 1 –Boro-Block-Lot,COMPARABLE RENTAL – 1 –Address,COMPARABLE RENTAL – 1 –Neighborhood,COMPARABLE RENTAL – 1 –Building Classification,COMPARABLE RENTAL – 1 –Total Units,COMPARABLE RENTAL – 1 –Year Built,COMPARABLE RENTAL – 1 –Gross SqFt,COMPARABLE RENTAL – 1 –Est. Gross Income,COMPARABLE RENTAL – 1 –Gross Income per SqFt,COMPARABLE RENTAL – 1 –Full Market Value,COMPARABLE RENTAL – 1 –Market Value per SqFt,COMPARABLE RENTAL – 1 –Dist. from Coop in miles,COMPARABLE RENTAL – 2 –Boro-Block-Lot,COMPARABLE RENTAL – 2 –Address,COMPARABLE RENTAL – 2 –Neighborhood,COMPARABLE RENTAL – 2 –Building Classification,COMPARABLE RENTAL – 2 –Total Units,COMPARABLE RENTAL – 2 –Year Built,COMPARABLE RENTAL – 2 –Gross SqFt,COMPARABLE RENTAL – 2 –Est. Gross Income,COMPARABLE RENTAL – 2 –Gross Income per SqFt,COMPARABLE RENTAL – 2 –Full Market Value,COMPARABLE RENTAL – 2 –Market Value per SqFt,COMPARABLE RENTAL – 2 –Dist. from Coop in miles
1-00011-0014,"26 BEAVER STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",FINANCIAL,D4-ELEVATOR,21,1909,51387,1695771,33,8120000,158,1-00053-0033,"110 GREENWICH STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",FINANCIAL,D8-ELEVATOR,60,1929,57941,2231133,38.5,11200000,193,0.3,1-00071-0001,"156 FRONT STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",FINANCIAL,D2-ELEVATOR,64,1930,50955,1651435,32.4,7910000,155,0.35
1-00028-0001,"3 HANOVER SQUARE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",FINANCIAL,D0-ELEVATOR,209,1926,239121,7412751,31,35500000,148,1-00042-0001,"100 MAIDEN LANE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",FINANCIAL,D6-ELEVATOR,342,1930,290116,10561837,36.4,53000000,183,0.15,1-00021-0006,"69 BROADWAY
Manhattan, NY
(40.74988399964684, -73.98797699993861)",FINANCIAL,D5-ELEVATOR,237,1900,303086,9886246,32.6,47400000,156,0.25
1-00064-0008,"53 LIBERTY STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",FINANCIAL,D4-ELEVATOR,94,1911,167448,5860680,35,28100000,168,1-00077-0024,"82 FULTON STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",FINANCIAL,D7-ELEVATOR,208,1900,159000,5484019,34.5,26300000,165,0.15,1-00068-0016,"84 WILLIAM STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",FINANCIAL,D9-ELEVATOR,124,1907,111184,4867077,43.8,24400000,219,0.15
1-00065-0017,"176 BROADWAY
Manhattan, NY
(40.74988399964684, -73.98797699993861)",FINANCIAL,D4-ELEVATOR,82,1927,168176,5886160,35,28200000,168,1-00077-0024,"82 FULTON STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",FINANCIAL,D7-ELEVATOR,208,1900,159000,5484019,34.5,26300000,165,0.15,1-00068-0016,"84 WILLIAM STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",FINANCIAL,D9-ELEVATOR,124,1907,111184,4867077,43.8,24400000,219,0.15
1-00094-0001,"80 GOLD STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",SOUTHBRIDGE,D4-ELEVATOR,1664,1971,2075590,58116520,28,134766672,65,1-00934-0001,"500 2 AVENUE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",KIPS BAY,D6-ELEVATOR,900,1975,829024,28328264,34.2,123000000,148,2.5,1-00142-0025,"310 GREENWICH STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",TRIBECA,D6-ELEVATOR,3525,1975,1970736,44219589,22.44,161000000,82,0.7
1-00100-0026,"138 NASSAU STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",SOUTHBRIDGE,D4-ELEVATOR,43,1901,79422,2064972,26,8970000,113,1-01125-0009,"37 72 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",UPPER WEST SIDE (59-79),D7-ELEVATOR,94,1929,80281,2183172,27.2,10500000,131,4.75,1-00771-0046,"196 7 AVENUE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",CHELSEA,D7-ELEVATOR,85,1940,76450,1885000,24.66,8180000,107,2.3
1-00101-0001,"36 PARK ROW
Manhattan, NY
(40.74988399964684, -73.98797699993861)",SOUTHBRIDGE,D4-ELEVATOR,51,1900,111685,2903810,26,12600000,113,1-01169-0008,"2181 BROADWAY
Manhattan, NY
(40.74988399964684, -73.98797699993861)",UPPER WEST SIDE (59-79),D6-ELEVATOR,115,1924,114767,3182029,27.7,15200000,132,5.1,1-01148-0001,"341 AMSTERDAM AVENUE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",UPPER WEST SIDE (59-79),D6-ELEVATOR,103,1925,125040,3218618,25.7,14000000,112,4.95
1-00106-0007,"266 WATER STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",SOUTHBRIDGE,D0-ELEVATOR,24,1900,41203,1318496,32,6320000,153,1-01424-0029,"226 70 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",UPPER EAST SIDE (59-79),D1-ELEVATOR,50,1921,41898,1669663,39.9,8370000,200,4.55,1-01229-0006,"265 81 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",UPPER WEST SIDE (79-96),D3-ELEVATOR,36,1900,41137,1160460,28.2,5560000,135,5.4
1-00117-0001,"185 PARK ROW
Manhattan, NY
(40.74988399964684, -73.98797699993861)",CIVIC CENTER,D4-ELEVATOR,880,1960,515425,13401050,26,58200000,113,1-01465-0021,"1313 YORK AVENUE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",UPPER EAST SIDE (59-79),D6-ELEVATOR,442,1966,400612,11203842,28,53700000,134,4.35,1-01079-9029,"737 10 AVENUE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",CLINTON,D7-ELEVATOR,394,1975,419217,11626089,27.7,55700000,133,3.65
1-00134-0025,"258 BROADWAY
Manhattan, NY
(40.74988399964684, -73.98797699993861)",CIVIC CENTER,D4-ELEVATOR,46,1915,88320,2826240,32,13500000,153,1-00786-0042,"488 7 AVENUE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",FASHION,D9-ELEVATOR,108,1902,88872,3037391,34.2,14500000,163,2.85,1-01029-0036,"910 7 AVENUE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",MIDTOWN WEST,D6-ELEVATOR,66,1913,94166,2796271,29.7,13400000,142,3.85
1-00137-0005,"76 WARREN STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",TRIBECA,D4-ELEVATOR,34,1915,70000,2100000,30,10100000,144,1-01319-0029,"847 2 AVENUE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",MIDTOWN EAST,D7-ELEVATOR,92,1939,70592,2119582,30,10200000,144,3.25,1-01321-0034,"230 48 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",MIDTOWN EAST,D7-ELEVATOR,68,1928,68564,2041592,29.8,9780000,143,3.3
1-00137-0035,"90 BROADWAY
Manhattan, NY
(40.74988399964684, -73.98797699993861)",TRIBECA,D4-ELEVATOR,21,1920,48079,1490449,31,7140000,149,1-00572-0026,"24 9 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",GREENWICH VILLAGE-CENTRAL,D9-ELEVATOR,50,1923,46137,1822797,39.5,9140000,198,1.4,1-00562-0044,"25 10 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",GREENWICH VILLAGE-CENTRAL,D6-ELEVATOR,62,1929,45496,1596000,35.1,7640000,168,1.5
1-00140-0001,"139 CHAMBERS STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",TRIBECA,D4-ELEVATOR,11,1915,26531,776031,29.2,3720000,140,1-00230-0033,"25 MERCER STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",SOHO,D5-ELEVATOR,17,1920,23975,707000,29.5,3390000,141,0.5,1-00772-0045,"214 7 AVENUE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",CHELSEA,D9-ELEVATOR,44,1890,22974,668270,29.1,3200000,139,2.05
1-00143-0001,"47 HUDSON STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",TRIBECA,D4-ELEVATOR,45,1930,77630,2328900,30,11200000,144,1-00850-0064,"12 22 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",FLATIRON,D5-ELEVATOR,87,1911,78646,2990639,38,15000000,191,1.85,1-01048-0026,"307 57 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",MIDTOWN WEST,D6-ELEVATOR,125,1928,75617,2183365,28.9,10500000,139,3.65
1-00143-0004,"55 HUDSON STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",TRIBECA,D4-ELEVATOR,63,1900,103750,3112500,30,14900000,144,1-01162-0046,"228 71 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",UPPER WEST SIDE (59-79),D5-ELEVATOR,170,1917,106920,3545324,33.2,17000000,159,4.35,1-01210-0001,"401 AMSTERDAM AVENUE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",UPPER WEST SIDE (79-96),D6-ELEVATOR,80,1927,106521,2936213,27.6,14100000,132,4.8
1-00143-0009,"173 DUANE STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",TRIBECA,D4-ELEVATOR,11,1925,24500,784000,32,3760000,153,1-01468-0047,"1378 1 AVENUE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",UPPER EAST SIDE (59-79),D9-ELEVATOR,46,1910,24526,806081,32.9,3860000,157,4.5,1-01518-0039,"1600 3 AVENUE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",UPPER EAST SIDE (79-96),D6-ELEVATOR,35,1920,24942,792976,31.8,3800000,152,5.3
1-00143-0021,"335 GREENWICH STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",TRIBECA,D4-ELEVATOR,29,1931,55800,1729800,31,8290000,149,1-00590-0022,"12 JONES STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",GREENWICH VILLAGE-WEST,D1-ELEVATOR,59,1920,56700,1765933,31.1,8460000,149,1.05,1-01008-0026,"105 55 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",MIDTOWN WEST,D7-ELEVATOR,55,1917,54838,1767341,32.2,8470000,154,3.55
1-00144-0001,"16 HUDSON STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",TRIBECA,D4-ELEVATOR,33,1915,78306,2349180,30,11300000,144,1-00850-0064,"12 22 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",FLATIRON,D5-ELEVATOR,87,1911,78646,2990639,38,15000000,191,1.9,1-01048-0026,"307 57 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",MIDTOWN WEST,D6-ELEVATOR,125,1928,75617,2183365,28.9,10500000,139,3.7
1-00144-0023,"84 THOMAS STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",TRIBECA,D4-ELEVATOR,16,1910,37960,1214720,32,5820000,153,1-00775-0009,"245 25 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",CHELSEA,D1-ELEVATOR,68,1938,36500,1226104,33.6,5870000,161,2.1,1-01010-0051,"150 58 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",MIDTOWN WEST,D6-ELEVATOR,59,1927,39720,1308175,32.9,6270000,158,3.65
1-00146-0021,"134 DUANE STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",CIVIC CENTER,D0-ELEVATOR,22,1920,38700,1083600,28,5190000,134,1-00592-0082,"129 WASHINGTON PLACE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",GREENWICH VILLAGE-WEST,D9-ELEVATOR,52,1924,38214,1347000,35.2,6450000,169,1.2,1-00504-0031,"112 SULLIVAN STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",SOHO,D1-ELEVATOR,60,1920,38880,1049470,27,5030000,129,0.75
1-00150-0010,"74 READE STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",CIVIC CENTER,D4-ELEVATOR,12,1915,17056,544086,31.9,2610000,153,1-00903-0013,"217 22 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",GRAMERCY,D2-ELEVATOR,35,1920,17526,628320,35.9,3010000,172,2,1-01200-0043,"20 87 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",UPPER WEST SIDE (79-96),D1-ELEVATOR,16,1910,17046,476954,28,2280000,134,5.2
1-00161-0001,"196 PARK ROW
Manhattan, NY
(40.74988399964684, -73.98797699993861)",CIVIC CENTER,D4-ELEVATOR,253,1965,306862,10433308,34,50000000,163,1-00913-0001,"471 3 AVENUE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",MURRAY HILL,D6-ELEVATOR,311,1972,351560,12168616,34.6,58300000,166,2.4,1-01314-0021,"747 2 AVENUE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",MIDTOWN EAST,D9-ELEVATOR,276,1972,387761,12821726,33.1,61400000,158,2.8
1-00172-0001,"364 BROADWAY
Manhattan, NY
(40.74988399964684, -73.98797699993861)",CHINATOWN,D0-ELEVATOR,40,1920,93378,2367132,25.3,10300000,110,1-00786-0042,"488 7 AVENUE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",FASHION,D9-ELEVATOR,108,1902,88872,3037391,34.2,14500000,163,2.5,1-00732-0007,"455 34 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",JAVITS CENTER,D6-ELEVATOR,128,1929,97867,2574079,26.3,11200000,114,2.55
1-00178-0025,"13 WHITE STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",CIVIC CENTER,D4-ELEVATOR,29,1890,49000,1053500,21.5,4570000,93,1-01445-0035,"330 71 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",UPPER EAST SIDE (59-79),D9-ELEVATOR,59,1940,53768,1406432,26.2,6110000,114,4.15,1-01243-0061,"736 END AVENUE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",UPPER WEST SIDE (79-96),D3-ELEVATOR,57,1927,49603,840831,16.95,3330000,67,5.5
1-00179-0006,"7 WORTH STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",TRIBECA,D4-ELEVATOR,18,1920,43094,1077350,25,4680000,109,1-00564-0004,"107 UNIVERSITY PLACE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",GREENWICH VILLAGE-CENTRAL,D8-ELEVATOR,47,1940,43395,1165000,26.8,5060000,117,1.35,1-01143-0042,"124 72 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",UPPER WEST SIDE (59-79),D6-ELEVATOR,53,1916,40982,998576,24.37,4340000,106,4.3
1-00179-0011,"1 WORTH STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",TRIBECA,D4-ELEVATOR,11,1915,19285,636405,33,3050000,158,1-01341-0032,"344 49 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",MIDTOWN EAST,D7-ELEVATOR,27,1901,17900,651166,36.4,3270000,183,3.15,1-00716-0062,"448 19 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",CHELSEA,D1-ELEVATOR,40,1910,19100,638241,33.4,3060000,160,1.8
1-00179-0017,"84 HUDSON STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",TRIBECA,D0-ELEVATOR,38,1915,51748,1500692,29,7190000,139,1-01008-0026,"105 55 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",MIDTOWN WEST,D7-ELEVATOR,55,1917,54838,1767341,32.2,8470000,154,3.45,1-01467-0005,"405 72 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",UPPER EAST SIDE (59-79),D6-ELEVATOR,47,1936,49590,1295423,26.1,5620000,113,4.35
1-00179-0021,"10 LEONARD STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",TRIBECA,D0-ELEVATOR,17,1920,29610,769860,26,3340000,113,1-01568-0037,"422 89 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",UPPER EAST SIDE (79-96),D6-ELEVATOR,24,1920,29459,927181,31.5,4440000,151,5.2,1-01244-0081,"308 82 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",UPPER WEST SIDE (79-96),D1-ELEVATOR,49,1906,29100,761231,26.2,3310000,114,4.85
1-00179-0056,"100 HUDSON STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",TRIBECA,D4-ELEVATOR,49,1919,73954,2218620,30,10600000,143,1-01517-0050,"1329 LEXINGTON AVENUE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",UPPER EAST SIDE (79-96),D6-ELEVATOR,98,1929,80351,2414297,30,11600000,144,5.1,1-01217-0025,"115 86 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",UPPER WEST SIDE (79-96),D3-ELEVATOR,81,1931,83837,2437771,29.1,11700000,140,5
1-00187-0030,"105 HUDSON STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",TRIBECA,D0-ELEVATOR,32,1920,89724,2512272,28,12000000,134,1-00786-0042,"488 7 AVENUE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",FASHION,D9-ELEVATOR,108,1902,88872,3037391,34.2,14500000,163,2.5,1-01029-0036,"910 7 AVENUE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",MIDTOWN WEST,D6-ELEVATOR,66,1913,94166,2796271,29.7,13400000,142,3.5
1-00188-0001,"55 MOORE STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",TRIBECA,D4-ELEVATOR,14,1915,23700,734700,31,3520000,149,1-00174-0007,"75 LEONARD STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",CIVIC CENTER,C7-WALK-UP,18,1920,23072,750212,32.5,3590000,156,0.3,1-00765-0065,"242 16 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",CHELSEA,C4-WALK-UP,48,1910,21642,651000,30.1,3120000,144,1.45
1-00189-0025,"34 MOORE STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",TRIBECA,D0-ELEVATOR,14,1910,28500,897750,31.5,4300000,151,1-00590-0016,"22 JONES STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",GREENWICH VILLAGE-WEST,D7-ELEVATOR,38,1940,28656,936000,32.7,4480000,156,0.9,1-01568-0037,"422 89 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",UPPER EAST SIDE (79-96),D6-ELEVATOR,24,1920,29459,927181,31.5,4440000,151,5.1
1-00189-0030,"20 MOORE STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",TRIBECA,D4-ELEVATOR,20,1921,60600,1408950,23.25,6120000,101,1-01143-0060,"166 72 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",UPPER WEST SIDE (59-79),D6-ELEVATOR,51,1911,59210,1501444,25.4,6520000,110,4.2,1-01995-0016,"41 TIEMANN PLACE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",MORNINGSIDE HEIGHTS,D7-ELEVATOR,94,1907,57996,1228963,21.19,5340000,92,7.1
1-00210-0026,"45 LISPENARD STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",TRIBECA,D4-ELEVATOR,19,1920,37400,897600,24,3900000,104,1-00576-0076,"71 12 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",GREENWICH VILLAGE-CENTRAL,D1-ELEVATOR,46,1922,37824,970000,25.6,4210000,111,1.15,1-00553-0041,"123 WAVERLY PLACE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",GREENWICH VILLAGE-CENTRAL,D3-ELEVATOR,47,1917,37939,838196,22.09,3640000,96,0.9
1-00214-0025,"135 HUDSON STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",TRIBECA,C6-WALK-UP,12,1915,22363,637345,28.5,3050000,136,1-01045-0042,"320 55 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",MIDTOWN WEST,C4-WALK-UP,40,1900,17552,495371,28.2,2370000,135,3.3,1-01057-0048,"426 48 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",CLINTON,C4-WALK-UP,36,1900,20235,627534,31,3010000,149,2.95
1-00219-0026,"165 HUDSON STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",TRIBECA,D0-ELEVATOR,18,1910,30000,930000,31,4450000,148,1-01568-0037,"422 89 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",UPPER EAST SIDE (79-96),D6-ELEVATOR,24,1920,29459,927181,31.5,4440000,151,5,1-00844-0008,"9 16 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",FLATIRON,D6-ELEVATOR,16,1900,30680,1205914,39.3,6050000,197,1.35
1-00229-0020,"71 GRAND STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",SOHO,D4-ELEVATOR,18,1920,42240,1436160,34,6880000,163,1-00591-0040,"317 BLEECKER STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",GREENWICH VILLAGE-WEST,D7-ELEVATOR,56,1900,41748,1538526,36.9,7720000,185,0.85,1-00617-0021,"221 12 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",GREENWICH VILLAGE-WEST,D6-ELEVATOR,53,1930,43280,1547000,35.7,7410000,171,1.15
1-00229-0022,"75 GRAND STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",SOHO,D4-ELEVATOR,31,1915,85676,2527442,29.5,12100000,141,1-01515-0007,"103 86 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",UPPER EAST SIDE (79-96),D6-ELEVATOR,52,1914,91260,2722144,29.8,13000000,142,4.7,1-01217-0025,"115 86 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",UPPER WEST SIDE (79-96),D3-ELEVATOR,81,1931,83837,2437771,29.1,11700000,140,4.8
1-00230-0015,"16 GREENE STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",SOHO,D4-ELEVATOR,12,1920,23628,756096,32,3620000,153,1-00230-0033,"25 MERCER STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",SOHO,D5-ELEVATOR,17,1920,23975,707000,29.5,3390000,141,0,1-00488-0037,"508 BROOME STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",SOHO,D5-ELEVATOR,14,1900,21598,777850,36,3900000,181,0.25
1-00230-0031,"31 MERCER STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",SOHO,D4-ELEVATOR,14,1920,30000,930000,31,4450000,148,1-00506-0016,"30 CHARLTON STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",SOHO,D1-ELEVATOR,86,1920,44256,1431367,32.3,6860000,155,0.4,1-00230-0033,"25 MERCER STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",SOHO,D5-ELEVATOR,17,1920,23975,707000,29.5,3390000,141,0
1-00232-0009,"452 BROADWAY
Manhattan, NY
(40.74988399964684, -73.98797699993861)",SOHO,D4-ELEVATOR,28,1900,42111,1221219,29,5850000,139,1-00562-0044,"25 10 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",GREENWICH VILLAGE-CENTRAL,D6-ELEVATOR,62,1929,45496,1596000,35.1,7640000,168,0.95,1-00564-0004,"107 UNIVERSITY PLACE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",GREENWICH VILLAGE-CENTRAL,D8-ELEVATOR,47,1940,43395,1165000,26.8,5060000,117,1.05
1-00243-0056,"645 WATER STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",LOWER EAST SIDE,D4-ELEVATOR,212,1962,251500,4992275,19.85,18200000,72,1-00246-0001,"257 SOUTH STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",LOWER EAST SIDE,D6-ELEVATOR,254,1978,262875,5809716,22.1,25200000,96,0.3,1-01896-0043,"425 RIVERSIDE DRIVE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",UPPER WEST SIDE (96-116),D3-ELEVATOR,178,1925,263040,4626472,17.59,18300000,70,6.7
1-00244-0019,"605 WATER STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",LOWER EAST SIDE,D4-ELEVATOR,124,1964,124600,1993600,16,4670000,37.5,1-01970-0002,"1423 AMSTERDAM AVENUE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",HARLEM-WEST,D1-ELEVATOR,130,1988,120570,2272139,18.84,8990000,75,7.4,1-02119-0036,"2034 AMSTERDAM AVENUE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",WASHINGTON HEIGHTS LOWER,D3-ELEVATOR,110,1983,123015,1836495,14.93,6700000,54,8.8
1-00253-0001,"2 MONROE STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",LOWER EAST SIDE,D4-ELEVATOR,1618,1935,1396625,17848867,12.78,61600000,44.1,1-00934-0001,"500 2 AVENUE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",KIPS BAY,D6-ELEVATOR,900,1975,829024,28328264,34.2,123000000,148,2.2,1-02001-9005,"3301 BROADWAY
Manhattan, NY
(40.74988399964684, -73.98797699993861)",HARLEM-WEST,D3-ELEVATOR,1193,1975,1443724,20638677,14.3,48300000,33.5,7.8
1-00259-0001,"604 WATER STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",LOWER EAST SIDE,D4-ELEVATOR,124,1964,126150,2018400,16,4730000,37.5,1-01970-0002,"1423 AMSTERDAM AVENUE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",HARLEM-WEST,D1-ELEVATOR,130,1988,120570,2272139,18.84,8990000,75,7.3,1-02119-0036,"2034 AMSTERDAM AVENUE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",WASHINGTON HEIGHTS LOWER,D3-ELEVATOR,110,1983,123015,1836495,14.93,6700000,54,8.8
1-00259-0071,"35 MONTGOMERY STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",LOWER EAST SIDE,D4-ELEVATOR,145,1964,287175,4724028,16.45,11100000,38.7,1-00246-0001,"257 SOUTH STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",LOWER EAST SIDE,D6-ELEVATOR,254,1978,262875,5809716,22.1,25200000,96,0.2,1-00248-0015,"82 WATER STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",LOWER EAST SIDE,D9-ELEVATOR,201,1995,260000,2816504,10.83,8750000,33.7,0.35
