Agency,Indicator ID,Indicator Name,Indicator Sequence,Sub-Indicator,Subindicator Sequence,Record Type,Desired Direction,Critical Flag,Geography,Measure Type,Fiscal Year,Conditional Format,Raw Value,Format Type,Value Percent,Value Number,Value Currency,Value Time,Value Ratio
HRA,1-E6YH,Medicaid - Existing Applicant or Enrollee,0,,0,INQ,NA,NA,NA,% of Inquiries,2012,,5.741239686452903,N,,5.74,,,
HRA,1-E6VP,Food Stamp Assistance,0,,0,INQ,NA,NA,NA,% of Inquiries,2013,,12.322972227331249,N,,12.32,,,
HRA,1-E6VP,Food Stamp Assistance,0,,0,INQ,NA,NA,NA,% of Inquiries,2012,,11.532091255333278,N,,11.53,,,
HRA,1-1-068N1E9,One Shot Deal - Short Term Emergency Assistance,0,,0,INQ,NA,NA,NA,% of Inquiries,2013,,7.096875903202922,N,,7.1,,,
HRA,1-1-068N1E9,One Shot Deal - Short Term Emergency Assistance,0,,0,INQ,NA,NA,NA,% of Inquiries,2012,,5.822145217796164,N,,5.82,,,
HRA,1-1-00BHDK4,Food Stamp Center,0,,0,INQ,NA,NA,NA,% of Inquiries,2013,,12.541930511398968,N,,12.54,,,
HRA,1-1-00BHDK4,Food Stamp Center,0,,0,INQ,NA,NA,NA,% of Inquiries,2012,,13.551676499996185,N,,13.55,,,
HPD,1-6SAH,Heat Complaint - Residential Building - Inadequate Heat,0,,0,INQ,NA,NA,NA,% of Inquiries,2013,,11.039965652782199,N,,11.04,,,
HPD,1-6SAH,Heat Complaint - Residential Building - Inadequate Heat,0,,0,INQ,NA,NA,NA,% of Inquiries,2012,,12.991542365062278,N,,12.99,,,
HPD,1-6S7P,Landlord Complaint - Maintenance,0,,0,INQ,NA,NA,NA,% of Inquiries,2013,,39.26390359091279,N,,39.26,,,
HPD,1-6S7P,Landlord Complaint - Maintenance,0,,0,INQ,NA,NA,NA,% of Inquiries,2012,,43.605105335998765,N,,43.61,,,
HPD,1-6RR1,Affordable Housing Information - English,0,,0,INQ,NA,NA,NA,% of Inquiries,2013,,4.42516525897358,N,,4.43,,,
HPD,1-6RR1,Affordable Housing Information - English,0,,0,INQ,NA,NA,NA,% of Inquiries,2012,,4.102106719975396,N,,4.1,,,
HPD,1-1-0BLJSH5,"Bed Bug Complaint - Residence, Hotel or Single Room Occupancy",0,,0,INQ,NA,NA,NA,% of Inquiries,2013,,6.915338549570289,N,,6.92,,,
HPD,1-1-0A2CE35,No Hot Water Complaint - Residential Building - From Tenant,0,,0,INQ,NA,NA,NA,% of Inquiries,2013,,8.676373703651613,N,,8.68,,,
HPD,1-1-0A2CE35,No Hot Water Complaint - Residential Building - From Tenant,0,,0,INQ,NA,NA,NA,% of Inquiries,2012,,7.229278794402585,N,,7.23,,,
HPD,1-1-03N8WLS,Bed Bug Complaint - Residence,0,,0,INQ,NA,NA,NA,% of Inquiries,2012,,5.733968937413501,N,,5.73,,,
HHC,1-1-091SAOJ,Adult Immunization Clinic,0,,0,INQ,NA,NA,NA,% of Inquiries,2013,,4.725730942496246,N,,4.73,,,
