vac_date,num,pf,street,typ,sf,bor,date_of_lif,area_vac,div
05/19/2008,1234,,INTERVALE,AVE,,BX,,ENTIRE BLDG,6
05/31/2008,1556,,PARKER,ST,,BX,,BASEMENT,6
03/17/2009,1420,,CROTONA,AVE,,BX,,ENTIRE BUILDING,6
07/03/2009,414,E,140,ST,,BX,,3rd floor and one room 2nd floor,6
01/27/2010,1698,,DAVIDSON,AVE,,BX,,2ND FLOOR REAR,7
02/12/2010,366,,BRONX PARK,AVE,,BX,,ENTIRE BUILDING,7
02/23/2010,1312,,BUSHWICK,AVE,,BR,,2ND & 3RD FLOOR,15
03/16/2010,1233,,BOYNTON,AVE,,BX,,BASEMENT,6
04/23/2010,838,,MONROE,ST,,BR,,3RD FLOOR AND 8&10 ON 4TH,15
06/21/2010,685,,GREENE,AVE,,BR,,4TH FLOOR FRONT & REAR,11
09/15/2010,90-03,,196,ST,,QU,,CELLAR,13
09/20/2010,130-11,,ATLANTIC,AVE,,QU,,BASEMENT & 2ND FLOOR,13
11/10/2010,2368,,DAVIDSON,AVE,,BX,,BASEMENT,7
12/09/2010,1443,,TAYLOR,AVE,,BX,,BASEMENT FRONT,7
01/04/2011,1535,,63,ST,,BR,,ALL FLOORS,8
01/20/2011,90-71,,PITKIN,AVE,,QU,,GAS PUMP AREA,13
04/20/2011,146,W,28,ST,,MA,,FLOOR 4 AND 5,1
05/02/2011,1812,,WALLACE,AVE,,BX,,ENTIRE,7
05/03/2011,1039,,LOWELL,ST,,BX,,BASEMENT,6
05/10/2011,302,,5,STR,,BR,,2ND FLOOR FRONT,11
05/10/2011,440,,IRVING,AVE,,BR,,1ST FLOOR AND CELLAR,11
05/17/2011,1131,,FOREST,AVE,,BX,,3RD FLOOR & 4TH FLOOR,6
05/17/2011,1129,,FOREST,AVE,,BX,,3RD & 4TH FLOORS,6
05/17/2011,1133,,FOREST,AVE,,BX,,ENTIRE BUILDING,6
05/24/2011,1165,,GERARD,AVE,,BX,,APARTMENT # 22 FRONT ROOM,6
05/24/2011,173-01,,91,AVE,,QU,,BASEMENT,13
06/01/2011,134-06,,140,ST,,QU,,CELLAR,13
06/01/2011,650,,MARCY,AVE,,BR,,1ST FLR FRONT; 3RD & 4TH FLR,11
06/02/2011,309,E,94,ST,,BR,,CELLAR,15
06/02/2011,1233,,BOYNTON,AVE,,BX,,BASEMENT & 2ND FLOOR,6
06/11/2011,82,W,105,STR,,MA,,CELLAR & 1ST FLOOR,3
06/18/2011,2686,,3,AVE,,BX,,ENTIRE BUILDING,6
06/24/2011,309,E,94,ST,,BR,,Cellar - 4 apts,15
07/06/2011,669,,JEFFERSON,PLA,,BX,,"BSMT, 1, 2 & 3",6
07/07/2011,1209,,TINTON,AVE,,BX,,ENTIRE BUILDING,6
07/17/2011,1991,,MORRIS,AVE,,BX,,FLR 1-3,7
07/17/2011,1989,,MORRIS,AVE,,BX,,FLR 2 & 3,7
08/12/2011,1702,,CLAY,AVE,,BX,,BASEMENT,6
09/19/2011,522,W,136,ST,,MA,,6 BASEMENT APTS,6
09/20/2011,70-78,,WILLOUGHBY,ST,,BR,,ENTIRE BLDG EXCEPT PET,11
10/03/2011,1345,,MYRTLE,AVE,,BR,,1ST FLOOR AND CELLAR,11
10/17/2011,1126,,60,ST,,BR,,CELLAR,8
10/20/2011,2932,,HOLLAND,AVE,,BX,,3 FLOOR AND BASEMENT,7
