BRONX CONDOMINIUM PROPERTY Boro-Block-Lot,BRONX CONDOMINIUM PROPERTY Condo Section,BRONX CONDOMINIUM PROPERTY Address,BRONX CONDOMINIUM PROPERTY Neighborhood,BRONX CONDOMINIUM PROPERTY Building Classification,BRONX CONDOMINIUM PROPERTY Total Units,BRONX CONDOMINIUM PROPERTY Year Built,BRONX CONDOMINIUM PROPERTY Gross SqFt,BRONX CONDOMINIUM PROPERTY Est. Gross Income,BRONX CONDOMINIUM PROPERTY Gross Income per SqFt,BRONX CONDOMINIUM PROPERTY Full Market Value,BRONX CONDOMINIUM PROPERTY Market Value per SqFt, COMPARABLE RENTAL 1 Boro-Block-Lot,COMPARABLE RENTAL 1 Address,COMPARABLE RENTAL 1  Neighborhood,COMPARABLE RENTAL 1  Building Classification,COMPARABLE RENTAL 1  Total Units,COMPARABLE RENTAL 1  Year Built,COMPARABLE RENTAL 1  Gross SqFt,COMPARABLE RENTAL 1  Est. Gross Income,COMPARABLE RENTAL 1  Gross Income per SqFt,COMPARABLE RENTAL 1 Full Market Value,COMPARABLE RENTAL 1  Market Value per SqFt,COMPARABLE RENTAL 1  Dist. from Coop in miles,COMPARABLE RENTAL 2  Boro-Block-Lot,COMPARABLE RENTAL 2  Address,COMPARABLE RENTAL 2  Neighborhood,COMPARABLE RENTAL 2  Building Classification,COMPARABLE RENTAL 2  Total Units,COMPARABLE RENTAL 2  Year Built,COMPARABLE RENTAL 2  Gross SqFt,COMPARABLE RENTAL 2  Est. Gross Income,COMPARABLE RENTAL 2  Gross Income per SqFt,COMPARABLE RENTAL 2  Full Market Value,COMPARABLE RENTAL 2  Market Value per SqFt,COMPARABLE RENTAL 2  Dist. from Coop in miles
2-02315-7501,93-R1,305 EAST 140 STREET,MOTT HAVEN/PORT MORRIS,R2-WALK-UP,11,1904,21092,717128,34,3339998,158,2-02938-0016,1436 CROTONA PARK EAST,CROTONA PARK,D1-ELEVATOR,11,1906,15835,161412,10.19,384000,24.25,2.2,2-02571-0014,354 CYPRESS AVENUE,MOTT HAVEN/PORT MORRIS,D1-ELEVATOR,87,1906,69450,1084400,15.61,3670000,53,0.7
2-02364-7501,99-R1,3044 3 AVENUE,MORRISANIA/LONGWOOD,R4-ELEVATOR,61,2006,72000,1566000,21.75,6489993,90,2-02264-0014,197 BROOK AVENUE,MOTT HAVEN/PORT MORRIS,D7-ELEVATOR,17,1909,14720,319415,21.7,1320000,90,1,2-02264-0005,198 BROWN PLACE,MOTT HAVEN/PORT MORRIS,D5-ELEVATOR,22,1900,15985,349531,21.87,1450000,91,1
2-02368-7501,97-R1,488 EAST 164 STREET,MORRISANIA/LONGWOOD,R4-ELEVATOR,100,2003,58252,1266981,21.75,5250000,90,2-02264-0014,197 BROOK AVENUE,MOTT HAVEN/PORT MORRIS,D7-ELEVATOR,17,1909,14720,319415,21.7,1320000,90,1.4,2-02264-0005,198 BROWN PLACE,MOTT HAVEN/PORT MORRIS,D5-ELEVATOR,22,1900,15985,349531,21.87,1450000,91,1.4
2-02369-7501,112-R1,3305 3 AVENUE,MORRISANIA/LONGWOOD,R9-CONDOPS,60,2007,45973,935780,20.35,3200000,70,2-02266-0040,525 EAST 138 STREET,MOTT HAVEN/PORT MORRIS,C7-WALK-UP,14,1915,9190,210944,22.95,874000,95,1.35,2-02266-0037,529 EAST 138 STREET,MOTT HAVEN/PORT MORRIS,C7-WALK-UP,14,1915,9190,214034,23.29,887000,97,1.35
2-02369-7502,122-R1,500 EAST 165 STREET,MORRISANIA/LONGWOOD,R4-ELEVATOR,128,2007,150121,3265132,21.75,14023489,93,2-02692-0048,1157 INTERVALE AVENUE,MORRISANIA/LONGWOOD,D1-ELEVATOR,66,2007,64245,792000,12.33,2230000,34.7,0.6,2-03061-0005,4278 3 AVENUE,EAST TREMONT,D1-ELEVATOR,97,2007,92291,2125461,23.03,8800000,95,1.7
2-02381-7501,115-R1,837 WASHINGTON AVENUE,MORRISANIA/LONGWOOD,R4-ELEVATOR,90,2008,128643,2605020,20.25,9739988,76,2-02264-0007,202 BROWN PLACE,MOTT HAVEN/PORT MORRIS,D5-ELEVATOR,26,1900,18837,376040,19.96,1410000,75,1.15,2-02264-0005,198 BROWN PLACE,MOTT HAVEN/PORT MORRIS,D5-ELEVATOR,22,1900,15985,349531,21.87,1450000,91,1.15
2-02382-7501,94-R1,871 ELTON AVENUE,MORRISANIA/LONGWOOD,R9-CONDOPS,110,2005,111182,2715620,24.42,11200000,101,2-02529-0025,1285 MERRIAM AVENUE,HIGHBRIDGE/MORRIS HEIGHTS,D1-ELEVATOR,85,2005,74448,744533,10,1580000,21.22,1.3,2-02379-0051,3097 3 AVENUE,MORRISANIA/LONGWOOD,D1-ELEVATOR,85,2005,76000,765315,10.07,1620000,21.32,0.15
2-02382-7502,108-R1,406 EAST 161 STREET,MORRISANIA/LONGWOOD,R9-CONDOPS,88,2006,100012,2442793,24.42,10100000,101,2-02872-0036,1401 JESUP AVENUE,HIGHBRIDGE/MORRIS HEIGHTS,D1-ELEVATOR,81,2006,25200,568669,22.57,2360000,94,1.3,2-02442-0060,2996 CONCOURSE VILLAGE EA,MELROSE/CONCOURSE,D1-ELEVATOR,72,2006,97761,1188464,12.16,3340000,34.2,0.5
2-02516-7501,73-R1,1209 NELSON AVENUE,HIGHBRIDGE/MORRIS HEIGHTS,R4-ELEVATOR,28,2005,24262,549776,22.66,2280008,94,2-02379-0051,3097 3 AVENUE,MORRISANIA/LONGWOOD,D1-ELEVATOR,85,2005,76000,765315,10.07,1620000,21.32,1.3,2-02529-0025,1285 MERRIAM AVENUE,HIGHBRIDGE/MORRIS HEIGHTS,D1-ELEVATOR,85,2005,74448,744533,10,1580000,21.22,0.15
2-02686-7501,53-R1,717 KELLY STREET,MORRISANIA/LONGWOOD,R2-WALK-UP,13,1909,14384,210366,14.63,711004,49.4,2-02636-0037,753 JACKSON AVENUE,MORRISANIA/LONGWOOD,C4-WALK-UP,11,1906,6500,105060,16.16,355000,55,0.35,2-02757-0042,1050 LOWELL STREET,MORRISANIA/LONGWOOD,C4-WALK-UP,11,1911,10950,174807,15.96,591000,54,1
2-02703-7501,74-R1,950 WESTCHESTER AVENUE,MORRISANIA/LONGWOOD,R4-ELEVATOR,111,2006,112935,1425239,12.62,5478300,48.5,2-02456-0181,185 MC CLELLAN STREET,MELROSE/CONCOURSE,D7-ELEVATOR,117,1936,123000,1226378,9.97,2920000,23.74,1.4,2-03024-0008,355 EAST 184 STREET,FORDHAM,D7-ELEVATOR,112,1972,120000,1514491,12.62,3210000,26.8,2.5
2-02742-7501,72-R1,951 HOE AVENUE,MORRISANIA/LONGWOOD,R9-CONDOPS,300,2005,279904,6836655,24.42,28300000,101,2-02529-0025,1285 MERRIAM AVENUE,HIGHBRIDGE/MORRIS HEIGHTS,D1-ELEVATOR,85,2005,74448,744533,10,1580000,21.22,2.2,2-02379-0051,3097 3 AVENUE,MORRISANIA/LONGWOOD,D1-ELEVATOR,85,2005,76000,765315,10.07,1620000,21.32,1.15
2-02748-7501,46-R1,1010 FAILE STREET,MORRISANIA/LONGWOOD,R2-WALK-UP,78,1930,93600,1624896,17.36,6070005,65,2-02418-0008,300 EAST 159 STREET,MELROSE/CONCOURSE,C1-WALK-UP,21,1931,11725,217195,18.52,812000,69,1.45,2-02398-0034,381 EAST 151 STREET,MELROSE/CONCOURSE,C1-WALK-UP,30,1911,19850,321471,16.2,1090000,55,1.5
2-02931-7501,96-R1,1349 FRANKLIN AVENUE,MORRISANIA/LONGWOOD,R2-WALK-UP,16,2007,18300,266800,14.58,902000,49.3,2-03348-0081,315 EAST 209 STREET,BEDFORD PARK/NORWOOD,C1-WALK-UP,23,1926,18450,224308,12.16,476000,25.8,3.4,2-04847-0039,800 EAST 223 STREET,WILLIAMSBRIDGE,C1-WALK-UP,23,1927,18850,290110,15.39,815000,43.2,4.25
2-02980-7501,87-R1,1308 SOUTHERN BOULEVARD,MORRISANIA/LONGWOOD,R2-WALK-UP,12,2005,10816,146340,13.53,530000,49,2-02968-0028,801 FREEMAN STREET,MORRISANIA/LONGWOOD,C7-WALK-UP,12,1931,11335,123577,10.9,262000,23.11,0.35,2-02690-0105,954 PROSPECT AVENUE,MORRISANIA/LONGWOOD,C4-WALK-UP,12,1904,12495,132743,10.62,344000,27.5,0.75
