PROGRAM TYPE,PROGRAM,SITE NAME,BOROUGH / COMMUNITY,AGENCY,Contact Number,Grade Level / Age Group ,Location 1
After-School Programs,Teen Action Program,Lower East Side Preparatory School / AAFE,New York,Asian Americans for Equality,212.979.8381 ext.117,13 to 21,"145 Stanton Street 111 Norfolk Street
New York, NEW YORK 10002
(40.721076261986575, -73.98736928964402)"
After-School Programs,Teen Action Program,Grand Street Settlement Beacon Center,New York,"Grand Street Settlement, Inc.",212.674.1740,13 to 21,"145 Stanton Street
New York, NEW YORK 10002
(40.720595191279564, -73.98575072490124)"
After-School Programs,Teen Action Program,Vanderbilt YMCA of Greater  New York,New York,YMCA of Greater New York/Vanderbilt,212.912.2557,13 to 21,"224 47th Street
New York, NEW YORK 10017
(40.75367123996815, -73.97158674865985)"
After-School Programs,Teen Action Program,Frederick Douglass Center,New York,The Children's Aid Society,212.865.6337,13 to 21,"885 Columbus Avenue
New York, NEW YORK 10025
(40.79771334863237, -73.963944750805)"
After-School Programs,Teen Action Program,Dunlevy Milbank Center,New York,The Children's Aid Society,212.996.1716,13 to 21,"14 32 West 118 Street
New York, NEW YORK 10026
(40.80305812163505, -73.95334277604826)"
After-School Programs,Teen Action Program,Manhattan Center For Science and Mathematics,New York,The Children's Aid Society,212.949.4921,13 to 21,"280 Pleasant Avenue
New York, NEW YORK 10029
(40.79480422455373, -73.93330103742075)"
After-School Programs,Teen Action Program,JHS 045 John S. Roberts,New York,"City Year, Inc.",646.452.3624,13 to 21,"2351 First Avenue
New York, NEW YORK 10035
(40.798869844574995, -73.93335561512028)"
After-School Programs,Teen Action Program,I S 218 SALOME UKENA (M218),New York,The Children's Aid Society,212.949.4921,13 to 21,"4600 Broadway
New York, NEW YORK 10040
(40.861067654316855, -73.93051856552427)"
After-School Programs,Teen Action Program,"Isabella Geriatric Center, Inc.",New York,"Isabella Geriatric Center, Inc.",212.342.9352,13 to 21,"515 Audubon Avenue
New York, NEW YORK 10040
(40.85474542045091, -73.92794650452043)"
After-School Programs,Teen Action Program,PS 198 Isador E Ida Straus,New York,"Stanley M. Isaacs Neighborhood Center, Inc.",212.360.7625 ext.10,13 to 21,"1700 Third Avenue
New York, NEW YORK 10128
(40.7852258951129, -73.94934848503704)"
After-School Programs,Teen Action Program,I S 061 WILLIAM A MORRIS (R061),Staten Island,The Children's Aid Society,718.727.8481,13 to 21,"445 Castleton Avenue
Staten Island, NEW YORK 10301
(40.6340162289717, -74.09782241749545)"
After-School Programs,Teen Action Program,I S 051 EDWIN MARKHAM (R051),Staten Island,"Sports and Arts In Schools Foundation, Inc.",347.417.8161,13 to 21,"20 HOUSTON STREET
Staten Island, NEW YORK 10302
(40.62266353739592, -74.14530969597477)"
After-School Programs,Teen Action Program,IS 027 ANNING S PRALL (R027),Staten Island,"Sports and Arts In Schools Foundation, Inc.",347.417.8161,13 to 21,"11 CLOVE LAKE PLACE
Staten Island, NEW YORK 10310
(40.62819560442818, -74.11703328220538)"
After-School Programs,Teen Action Program,PS 018 JOHN G WHITTIER (R018),Staten Island,"United Activities Unlimited, Inc.",718.448.0477,13 to 21,"221 Broadway
Staten Island, NEW YORK 10310
(40.63603930909672, -74.11747369098056)"
After-School Programs,Teen Action Program,COMMUNITY SCHOOL FOR SOCIAL JUSTICE (X427),Bronx,"Citizens Advice Bureau, Inc.",718.293.0727 ext.204,13 to 21,"350 Gerard Avenue
Bronx, NEW YORK 10451
(40.81592907979086, -73.93038870033499)"
