District,Grade,Year,Category,Number Tested,Mean Scale Score,Level 1 #,Level 1 %,Level 2 #,Level 2 %,Level 3 #,Level 3 %,Level 4 #,Level 4 %,Level 3+4 #,Level 3+4 %
1,3,2006,Asian,155,704,4,2.6%,4,2.6%,68,43.9%,79,51%,147,94.8%
1,3,2006,Black,185,659,21,11.4%,47,25.4%,104,56.2%,13,7%,117,63.2%
1,3,2006,Hispanic,494,664,46,9.3%,111,22.5%,264,53.4%,73,14.8%,337,68.2%
1,3,2006,White,94,702,1,1.1%,5,5.3%,45,47.9%,43,45.7%,88,93.6%
1,3,2007,Asian,131,703,2,1.5%,4,3.1%,58,44.3%,67,51.1%,125,95.4%
1,3,2007,Black,150,668,17,11.3%,24,16%,85,56.7%,24,16%,109,72.7%
1,3,2007,Hispanic,440,672,28,6.4%,53,12%,301,68.4%,58,13.2%,359,81.6%
1,3,2007,White,89,702,0,0%,2,2.2%,49,55.1%,38,42.7%,87,97.8%
1,3,2008,Asian,137,713,0,0%,3,2.2%,54,39.4%,80,58.4%,134,97.8%
1,3,2008,Black,150,675,4,2.7%,22,14.7%,99,66%,25,16.7%,124,82.7%
1,3,2008,Hispanic,443,677,11,2.5%,59,13.3%,317,71.6%,56,12.6%,373,84.2%
1,3,2008,White,100,708,1,1%,2,2%,46,46%,51,51%,97,97%
1,3,2009,Asian,162,723,0,0%,3,1.9%,66,40.7%,93,57.4%,159,98.1%
1,3,2009,Black,172,675,2,1.2%,20,11.6%,130,75.6%,20,11.6%,150,87.2%
1,3,2009,Hispanic,434,680,6,1.4%,38,8.8%,321,74%,69,15.9%,390,89.9%
1,3,2009,White,114,708,0,0%,2,1.8%,58,50.9%,54,47.4%,112,98.2%
1,3,2010,Asian,166,714,6,3.6%,25,15.1%,55,33.1%,80,48.2%,135,81.3%
1,3,2010,Black,126,689,14,11.1%,46,36.5%,39,31%,27,21.4%,66,52.4%
1,3,2010,Hispanic,428,685,66,15.4%,166,38.8%,134,31.3%,62,14.5%,196,45.8%
1,3,2010,White,137,719,3,2.2%,18,13.1%,45,32.8%,71,51.8%,116,84.7%
1,3,2011,Asian,159,700,8,5%,25,15.7%,67,42.1%,59,37.1%,126,79.2%
1,3,2011,Black,120,684,14,11.7%,46,38.3%,46,38.3%,14,11.7%,60,50%
1,3,2011,Hispanic,394,680,54,13.7%,164,41.6%,142,36%,34,8.6%,176,44.7%
1,3,2011,White,141,707,2,1.4%,10,7.1%,57,40.4%,72,51.1%,129,91.5%
1,4,2006,Asian,155,702,3,1.9%,8,5.2%,60,38.7%,84,54.2%,144,92.9%
1,4,2006,Black,167,656,20,12%,46,27.5%,86,51.5%,15,9%,101,60.5%
1,4,2006,Hispanic,483,660,53,11%,127,26.3%,239,49.5%,64,13.3%,303,62.7%
1,4,2006,White,81,698,4,4.9%,5,6.2%,33,40.7%,39,48.1%,72,88.9%
1,4,2007,Asian,141,714,0,0%,5,3.5%,51,36.2%,85,60.3%,136,96.5%
1,4,2007,Black,170,657,22,12.9%,43,25.3%,92,54.1%,13,7.6%,105,61.8%
1,4,2007,Hispanic,446,664,38,8.5%,107,24%,246,55.2%,55,12.3%,301,67.5%
1,4,2007,White,84,698,1,1.2%,5,6%,44,52.4%,34,40.5%,78,92.9%
1,4,2008,Asian,129,707,2,1.6%,3,2.3%,48,37.2%,76,58.9%,124,96.1%
1,4,2008,Black,149,663,13,8.7%,36,24.2%,84,56.4%,16,10.7%,100,67.1%
1,4,2008,Hispanic,448,667,29,6.5%,100,22.3%,267,59.6%,52,11.6%,319,71.2%
1,4,2008,White,88,704,0,0%,2,2.3%,40,45.5%,46,52.3%,86,97.7%
1,4,2009,Asian,131,719,0,0%,1,0.8%,39,29.8%,91,69.5%,130,99.2%
1,4,2009,Black,142,674,10,7%,22,15.5%,73,51.4%,37,26.1%,110,77.5%
1,4,2009,Hispanic,441,676,37,8.4%,54,12.2%,249,56.5%,101,22.9%,350,79.4%
1,4,2009,White,103,707,1,1%,8,7.8%,39,37.9%,55,53.4%,94,91.3%
1,4,2010,Asian,164,713,4,2.4%,15,9.1%,49,29.9%,96,58.5%,145,88.4%
1,4,2010,Black,165,670,17,10.3%,80,48.5%,47,28.5%,21,12.7%,68,41.2%
1,4,2010,Hispanic,450,677,36,8%,173,38.4%,184,40.9%,57,12.7%,241,53.6%
1,4,2010,White,117,712,1,0.9%,19,16.2%,29,24.8%,68,58.1%,97,82.9%
1,4,2011,Asian,158,717,2,1.3%,12,7.6%,39,24.7%,105,66.5%,144,91.1%
1,4,2011,Black,127,682,10,7.9%,39,30.7%,53,41.7%,25,19.7%,78,61.4%
1,4,2011,Hispanic,427,675,39,9.1%,171,40%,157,36.8%,60,14.1%,217,50.8%
1,4,2011,White,138,714,3,2.2%,12,8.7%,41,29.7%,82,59.4%,123,89.1%
1,5,2006,Asian,129,700,4,3.1%,6,4.7%,58,45%,61,47.3%,119,92.2%
1,5,2006,Black,149,642,30,20.1%,60,40.3%,52,34.9%,7,4.7%,59,39.6%
1,5,2006,Hispanic,452,648,69,15.3%,158,35%,200,44.2%,25,5.5%,225,49.8%
1,5,2006,White,62,670,6,9.7%,9,14.5%,33,53.2%,14,22.6%,47,75.8%
1,5,2007,Asian,148,702,3,2%,5,3.4%,61,41.2%,79,53.4%,140,94.6%
1,5,2007,Black,165,657,19,11.5%,42,25.5%,94,57%,10,6.1%,104,63%
1,5,2007,Hispanic,457,657,43,9.4%,132,28.9%,236,51.6%,46,10.1%,282,61.7%
1,5,2007,White,75,696,1,1.3%,7,9.3%,34,45.3%,33,44%,67,89.3%
1,5,2008,Asian,146,713,0,0%,2,1.4%,50,34.2%,94,64.4%,144,98.6%
1,5,2008,Black,156,661,10,6.4%,38,24.4%,97,62.2%,11,7.1%,108,69.2%
1,5,2008,Hispanic,433,666,22,5.1%,76,17.6%,288,66.5%,47,10.9%,335,77.4%
1,5,2008,White,85,706,1,1.2%,4,4.7%,32,37.6%,48,56.5%,80,94.1%
1,5,2009,Asian,124,710,0,0%,3,2.4%,37,29.8%,84,67.7%,121,97.6%
1,5,2009,Black,144,670,7,4.9%,31,21.5%,79,54.9%,27,18.8%,106,73.6%
1,5,2009,Hispanic,417,677,5,1.2%,61,14.6%,256,61.4%,95,22.8%,351,84.2%
1,5,2009,White,90,712,0,0%,1,1.1%,37,41.1%,52,57.8%,89,98.9%
1,5,2010,Asian,138,709,1,0.7%,14,10.1%,45,32.6%,78,56.5%,123,89.1%
1,5,2010,Black,136,666,18,13.2%,59,43.4%,45,33.1%,14,10.3%,59,43.4%
1,5,2010,Hispanic,420,674,48,11.4%,171,40.7%,135,32.1%,66,15.7%,201,47.9%
1,5,2010,White,104,697,1,1%,16,15.4%,43,41.3%,44,42.3%,87,83.7%
1,5,2011,Asian,164,717,2,1.2%,10,6.1%,41,25%,111,67.7%,152,92.7%
1,5,2011,Black,150,675,18,12%,56,37.3%,58,38.7%,18,12%,76,50.7%
1,5,2011,Hispanic,428,673,44,10.3%,166,38.8%,171,40%,47,11%,218,50.9%
1,5,2011,White,123,708,1,0.8%,12,9.8%,43,35%,67,54.5%,110,89.4%
1,6,2006,Asian,150,701,0,0%,7,4.7%,64,42.7%,79,52.7%,143,95.3%
1,6,2006,Black,197,645,36,18.3%,76,38.6%,75,38.1%,10,5.1%,85,43.1%
1,6,2006,Hispanic,470,646,80,17%,145,30.9%,217,46.2%,28,6%,245,52.1%
1,6,2006,White,88,689,0,0%,15,17%,35,39.8%,38,43.2%,73,83%
1,6,2007,Asian,130,706,2,1.5%,6,4.6%,50,38.5%,72,55.4%,122,93.8%
1,6,2007,Black,129,647,23,17.8%,40,31%,58,45%,8,6.2%,66,51.2%
1,6,2007,Hispanic,422,654,51,12.1%,112,26.5%,234,55.5%,25,5.9%,259,61.4%
