Priority,Community Name
1,"Bloomville, Towns of Kortright & Stamford (Delaware County)"
2,"Boiceville, Town of Olive (Ulster County)"
3,"Hamden, Town of Hamden (Delaware County)"
4,"Delancey, Town of Hamden (Delaware County)"
5,"Bovina Center, Town of Bovina (Delaware County)"
6,"Ashland, Town of Ashland (Greene County)"
7,"Haines Falls, Town of Hunter (Greene County)"
8,"Trout Creek, Town of Tomkins (Delaware County)"
9,"Lexington, Town of Lexington (Greene County)"
10,"South Kortright, Towns of Kortright & Stamford (Delaware County)"
11,"Shandaken, Town of Shandaken (Ulster County)"
12,"West Conesville, Town of Conesville (Schoharie County)"
13,"Claryville, Towns of Denning & Neversink (Ulster & Sullivan Counties)"
14,"Halcottsville, Town of Middletown (Delaware County)"
15,"New Kingston, Town of Middletown (Delaware County)"
