BRONX CONDOMINIUM PROPERTY Boro-Block-Lot,BRONX CONDOMINIUM PROPERTY Condo Section,BRONX CONDOMINIUM PROPERTY Address,BRONX CONDOMINIUM PROPERTY Neighborhood,BRONX CONDOMINIUM PROPERTY Building Classification,BRONX CONDOMINIUM PROPERTY Total Units,BRONX CONDOMINIUM PROPERTY Year Built,BRONX CONDOMINIUM PROPERTY Gross SqFt,BRONX CONDOMINIUM PROPERTY Est. Gross Income,BRONX CONDOMINIUM PROPERTY Gross Income per SqFt,BRONX CONDOMINIUM PROPERTY Full Market Value,BRONX CONDOMINIUM PROPERTY Market Value per SqFt, COMPARABLE RENTAL 1 Boro-Block-Lot,COMPARABLE RENTAL 1 Address,COMPARABLE RENTAL 1  Neighborhood,COMPARABLE RENTAL 1  Building Classification,COMPARABLE RENTAL 1  Total Units,COMPARABLE RENTAL 1  Year Built,COMPARABLE RENTAL 1  Gross SqFt,COMPARABLE RENTAL 1  Est. Gross Income,COMPARABLE RENTAL 1  Gross Income per SqFt,COMPARABLE RENTAL 1 Full Market Value,COMPARABLE RENTAL 1  Market Value per SqFt,COMPARABLE RENTAL 1  Dist. from Coop in miles,COMPARABLE RENTAL 2  Boro-Block-Lot,COMPARABLE RENTAL 2  Address,COMPARABLE RENTAL 2  Neighborhood,COMPARABLE RENTAL 2  Building Classification,COMPARABLE RENTAL 2  Total Units,COMPARABLE RENTAL 2  Year Built,COMPARABLE RENTAL 2  Gross SqFt,COMPARABLE RENTAL 2  Est. Gross Income,COMPARABLE RENTAL 2  Gross Income per SqFt,COMPARABLE RENTAL 2  Full Market Value,COMPARABLE RENTAL 2  Market Value per SqFt,COMPARABLE RENTAL 2  Dist. from Coop in miles
2-03432-7501,33-R5,"201 SUNSET BOULEVARD
Bronx, New York
(40.806653690768954, -73.85345263364847)",SOUNDVIEW,R2-WALK-UP,18,1989,20304,258876,12.75,972999,47.9,2-03802-0028,"2040 GLEASON AVENUE
Bronx, New York
(40.8311879381066, -73.85635222470977)",CASTLE HILL/UNIONPORT,C1-WALK-UP,33,1964,20971,279547,13.33,1050000,50,1.65,2-05844-1935,"5431 SYLVAN AVENUE
Bronx, New York
(40.90234024583237, -73.89860942690258)",RIVERDALE,C1-WALK-UP,24,1972,18756,236069,12.59,887000,47.3,7
2-03432-7501,33-R6,"301 ADMIRAL LANE
Bronx, New York
(40.80721994081736, -73.85425866391431)",SOUNDVIEW,R2-WALK-UP,28,1989,34516,440079,12.75,1650000,47.8,2-03802-0028,"2040 GLEASON AVENUE
Bronx, New York
(40.8311879381066, -73.85635222470977)",CASTLE HILL/UNIONPORT,C1-WALK-UP,33,1964,20971,279547,13.33,1050000,50,1.65,2-05371-0060,"3080 TREMONT AVENUE
Bronx, New York
(40.838890343940704, -73.83598154844488)",SCHUYLERVILLE/PELHAM BAY,C9-WALK-UP,27,1962,16507,172550,10.45,583000,35.3,2.35
2-03929-7501,23-R1,"99 METROPOLITAN OVAL
Bronx, New York
(40.83892705859676, -73.86116402997288)",PARKCHESTER,R4-ELEVATOR,128,1933,109764,1007633,9.18,3319981,30.2,2-03925-0018,"1565 THIERIOT AVENUE
Bronx, New York
(40.83962442171181, -73.86590116580125)",PARKCHESTER,D1-ELEVATOR,120,1930,130500,1198097,9.18,3950000,30.3,0.45,2-03932-0050,"2022 BENEDICT AVENUE
Bronx, New York
(40.83436926010643, -73.85719438536798)",PARKCHESTER,D1-ELEVATOR,92,1928,103284,902271,8.74,2770000,26.8,0.25
2-03929-7501,23-R2,"1469 WEST AVENUE
Bronx, New York
(40.836916936059666, -73.86146798266108)",PARKCHESTER,R4-ELEVATOR,2121,1933,1867373,15910017,8.52,52400174,28.1,2-03925-0018,"1565 THIERIOT AVENUE
Bronx, New York
(40.83962442171181, -73.86590116580125)",PARKCHESTER,D1-ELEVATOR,120,1930,130500,1198097,9.18,3950000,30.3,0.25,2-04286-0022,"2100 BRONX PARK
Bronx, New York
(40.85369968438688, -73.86913805069814)",PELHAM PARKWAY SOUTH,D1-ELEVATOR,157,1929,168990,1651470,9.77,5580000,33,1.2
2-03929-7501,23-R3,"1925 MC GRAW AVENUE
Bronx, New York
(40.83464527093203, -73.86080385141857)",PARKCHESTER,R4-ELEVATOR,2659,1933,2723821,23206954,8.52,76499825,28.1,2-03925-0018,"1565 THIERIOT AVENUE
Bronx, New York
(40.83962442171181, -73.86590116580125)",PARKCHESTER,D1-ELEVATOR,120,1930,130500,1198097,9.18,3950000,30.3,0.5,2-04286-0022,"2100 BRONX PARK
Bronx, New York
(40.85369968438688, -73.86913805069814)",PELHAM PARKWAY SOUTH,D1-ELEVATOR,157,1929,168990,1651470,9.77,5580000,33,1.3
2-03929-7501,23-R4,"14 METROPOLITAN OVAL
Bronx, New York
(40.838622659221365, -73.85909415089381)",PARKCHESTER,R4-ELEVATOR,3378,1933,3364977,28669604,8.52,94500028,28.1,2-03925-0018,"1565 THIERIOT AVENUE
Bronx, New York
(40.83962442171181, -73.86590116580125)",PARKCHESTER,D1-ELEVATOR,120,1930,130500,1198097,9.18,3950000,30.3,0.4,2-04286-0022,"2100 BRONX PARK
Bronx, New York
(40.85369968438688, -73.86913805069814)",PELHAM PARKWAY SOUTH,D1-ELEVATOR,157,1929,168990,1651470,9.77,5580000,33,1
2-03944-7501,2-R1,"9 METROPOLITAN OVAL
Bronx, New York
(40.83886317525398, -73.85993000541329)",PARKCHESTER,R4-ELEVATOR,3857,1955,3801490,31134203,8.19,95600027,25.1,2-03895-0001,"1500 NOBLE AVENUE
Bronx, New York
(40.83659795948078, -73.87132561263411)",PARKCHESTER,D1-ELEVATOR,238,1965,265625,2239219,8.43,7380000,27.8,0.65,,,,,,,,,,,,
2-03944-7501,2-R2,"1722 PURDY STREET
Bronx, New York
(40.84078593174481, -73.85428773001182)",PARKCHESTER,R4-ELEVATOR,128,1955,109764,898967,8.19,2759988,25.1,2-03895-0001,"1500 NOBLE AVENUE
Bronx, New York
(40.83659795948078, -73.87132561263411)",PARKCHESTER,D1-ELEVATOR,238,1965,265625,2239219,8.43,7380000,27.8,0.9,,,,,,,,,,,,
2-04163-7501,12-R1,"1725 EDISON AVENUE
Bronx, New York
(40.84569734589022, -73.83267760842133)",SCHUYLERVILLE/PELHAM BAY,R4-ELEVATOR,35,1965,27316,341450,12.5,1280009,46.9,2-04249-0042,"2023 BURR AVENUE
Bronx, New York
(40.85363238339884, -73.8274096854293)",SCHUYLERVILLE/PELHAM BAY,D1-ELEVATOR,37,1963,31125,387617,12.45,1460000,46.9,0.6,,,,,,,,,,,,
2-04174-7501,66-R1,"1600 PARKVIEW AVENUE
Bronx, New York
(40.8451083255108, -73.82671654201354)",SCHUYLERVILLE/PELHAM BAY,R4-ELEVATOR,21,2003,16688,260332,15.6,1059999,64,2-04153-0008,"1632 HUTCH RIVER PARKWAY
Bronx, New York
(40.82557699997852, -73.91844899972153)",SCHUYLERVILLE/PELHAM BAY,D1-ELEVATOR,44,2002,41800,652916,15.62,2660000,64,0.5,,,,,,,,,,,,
2-04284-7501,70-R1,"2040 WHITE PLAINS ROAD
Bronx, New York
(40.85128019743304, -73.86777365319543)",MORRIS PARK/VAN NEST,R9-CONDOPS,100,2005,108100,1061542,9.82,3590000,33.2,2-04253-0080,"1975 BIRCHALL AVENUE
Bronx, New York
(40.84875298960186, -73.86854224641134)",MORRIS PARK/VAN NEST,D1-ELEVATOR,90,2002,87902,863246,9.82,2920000,33.2,0.25,2-04253-0084,"678 SAGAMORE STREET
Bronx, New York
(40.848874545954786, -73.86813384908811)",MORRIS PARK/VAN NEST,D1-ELEVATOR,90,2002,82015,698346,8.51,2300000,28,0.25
2-04307-7501,27-R1,"1144 LYDIG AVENUE
Bronx, New York
(40.85548686044779, -73.85515336738887)",PELHAM PARKWAY SOUTH,R4-ELEVATOR,48,1964,56000,649600,11.6,2290010,40.9,2-04322-0043,"2179 MATTHEWS AVENUE
Bronx, New York
(40.8561337973631, -73.86291209775094)",PELHAM PARKWAY SOUTH,C9-WALK-UP,48,1948,35960,418199,11.63,1470000,40.9,0.45,2-04324-0001,"2126 MULINER AVENUE
Bronx, New York
(40.855072774712745, -73.86194037772134)",PELHAM PARKWAY SOUTH,C9-WALK-UP,38,1950,28979,364290,12.57,1370000,47.3,0.35
2-04340-7501,14-R1,"610 WARING AVENUE
Bronx, New York
(40.86137590618242, -73.87030804429679)",BRONXDALE,R4-ELEVATOR,122,1960,116200,764596,6.58,2350042,20.22,2-04338-0012,"660 THWAITES PLACE
Bronx, New York
(40.85884589717509, -73.86908775600037)",BRONXDALE,D1-ELEVATOR,108,1954,137350,904026,6.58,2780000,20.24,0.15,2-04337-0064,"620 REISS PLACE
Bronx, New York
(40.85818447760466, -73.87060787968669)",BRONXDALE,D1-ELEVATOR,74,1959,86527,623376,7.2,1910000,22.07,0.15
2-04340-7502,17-R1,"2385 BARKER AVENUE
Bronx, New York
(40.8611226339905, -73.86948299458209)",BRONXDALE,R4-ELEVATOR,122,1960,127290,837568,6.58,2570010,20.19,2-04338-0012,"660 THWAITES PLACE
Bronx, New York
(40.85884589717509, -73.86908775600037)",BRONXDALE,D1-ELEVATOR,108,1954,137350,904026,6.58,2780000,20.24,0.15,2-04337-0064,"620 REISS PLACE
Bronx, New York
(40.85818447760466, -73.87060787968669)",BRONXDALE,D1-ELEVATOR,74,1959,86527,623376,7.2,1910000,22.07,0.15
2-04664-7501,75-R1,"720 217 STREET
Bronx, New York
(40.881931979406566, -73.86293165668216)",WILLIAMSBRIDGE,R2-WALK-UP,24,2006,19225,322299,16.76,1310008,68,2-03740-0052,"1145 BOYNTON AVENUE
Bronx, New York
(40.827268105000826, -73.87796148689328)",SOUNDVIEW,C1-WALK-UP,25,1926,18720,181027,9.67,612000,32.7,3.8,2-03973-0036,"1405 ROWLAND STREET
Bronx, New York
(40.837704045804394, -73.84558860310194)",WESTCHESTER,C1-WALK-UP,27,1927,22560,216715,9.61,732000,32.4,3.1
2-04668-7501,76-R1,"724 221 STREET
Bronx, New York
(40.8849655322864, -73.86202734608659)",WILLIAMSBRIDGE,R2-WALK-UP,24,2005,29320,348686,11.89,1230001,42,2-04753-0029,"3333 BRUNER AVENUE
Bronx, New York
(40.877389917419265, -73.84061918715909)",BAYCHESTER,D1-ELEVATOR,23,2000,30000,354600,11.82,1250000,41.7,1.15,2-05047-0006,"4360 FURMAN AVENUE
Bronx, New York
(40.8971275412153, -73.85416982404126)",WAKEFIELD,C1-WALK-UP,27,1931,26280,258624,9.84,874000,33.3,1
2-05529-7501,83-R1,"24 PENNYFIELD AVENUE
Bronx, New York
(40.80937142610439, -73.80255564460533)",THROGS NECK,R2-WALK-UP,15,2000,12624,170424,13.5,641001,51,2-03802-0028,"2040 GLEASON AVENUE
Bronx, New York
(40.8311879381066, -73.85635222470977)",CASTLE HILL/UNIONPORT,C1-WALK-UP,33,1964,20971,279547,13.33,1050000,50,3.1,2-05430-0052,"835 THROGS NECK
Bronx, New York
(40.82557699997852, -73.91844899972153)",THROGS NECK,C1-WALK-UP,14,1989,8792,84900,9.66,287000,32.6,1.6
2-05529-7502,82-R1,"1 PENNYFIELD AVENUE
Bronx, New York
(40.80904368703452, -73.8016836146566)",THROGS NECK,R2-WALK-UP,45,1998,63738,557707,8.75,1840002,28.9,2-03212-0021,"2290 DR
Bronx, New York
(40.82557699997852, -73.91844899972153)",KINGSBRIDGE HTS/UNIV HTS,C1-WALK-UP,52,1959,52204,465805,8.92,1540000,29.5,6.3,2-05703-0183,"3044 KINGSBRIDGE AVENUE
Bronx, New York
(40.87897447957347, -73.9073386479331)",KINGSBRIDGE/JEROME PARK,C1-WALK-UP,38,1973,38873,338345,8.7,1120000,28.8,7.1
2-05604-7501,16-R1,"2718 SCHURZ AVENUE
Bronx, New York
(40.81359720042147, -73.82172494179507)",THROGS NECK,R4-ELEVATOR,52,1984,63416,982948,15.5,4000024,63,2-03142-0200,"1937 WEBSTER AVENUE
Bronx, New York
(40.848882305037634, -73.90040602107877)",FORDHAM,D1-ELEVATOR,99,1972,94682,1728310,18.25,4880000,52,4.85,2-05851-2105,"6425 BROADWAY
Bronx, New York
(40.82557699997852, -73.91844899972153)",RIVERDALE,D3-ELEVATOR,55,1974,48100,746149,15.51,3030000,63,7.4
2-05606-7502,56-R1,"195 BALCOM AVENUE
Bronx, New York
(40.81406013727949, -73.82164687550397)",THROGS NECK,R2-WALK-UP,20,1997,19080,324360,17,1319994,69,2-05786-0240,"3205 OXFORD AVENUE
Bronx, New York
(40.884672613797655, -73.90934989376196)",RIVERDALE,C1-WALK-UP,12,1985,6260,108560,17.34,442000,71,6.7,2-05798-0101,"3615 OXFORD AVENUE
Bronx, New York
(40.88687780488597, -73.90863158513936)",RIVERDALE,C1-WALK-UP,15,1980,7550,143532,19.01,584000,77,6.8
2-05643-7501,60-R1,"190 FORDHAM STREET
Bronx, New York
(40.84770157013164, -73.78435283167151)",CITY ISLAND,R2-WALK-UP,16,1897,16605,180994,10.9,637998,38.4,2-05388-0009,"1564 MAYFLOWER AVENUE
Bronx, New York
(40.84251286457159, -73.8346978549363)",SCHUYLERVILLE/PELHAM BAY,C1-WALK-UP,13,1931,10100,92516,9.16,305000,30.2,2.65,2-05394-0014,"1527 PLYMOUTH AVENUE
Bronx, New York
(40.84255543265455, -73.83201770082817)",SCHUYLERVILLE/PELHAM BAY,C1-WALK-UP,23,1931,17400,189567,10.89,668000,38.4,2.6
2-05723-7501,84-R1,"2287 JOHNSON AVENUE
Bronx, New York
(40.87797756732057, -73.91924771048251)",RIVERDALE,R4-ELEVATOR,73,1983,99590,1195080,12,4209998,42.3,2-05787-0137,"3220 NETHERLAND AVENUE
Bronx, New York
(40.88396156817513, -73.91151120526435)",RIVERDALE,D1-ELEVATOR,85,1954,100498,1155727,11.5,4070000,40.5,0.6,2-05904-0267,"600 239 STREET
Bronx, New York
(40.88957945719757, -73.91117478584692)",RIVERDALE,D1-ELEVATOR,90,1956,98681,1187061,12.03,4180000,42.4,0.85
2-05725-7501,11-R1,"2600 HENRY HUDSON PARKWAY
Bronx, New York
(40.82557699997852, -73.91844899972153)",RIVERDALE,R4-ELEVATOR,24,1941,35000,460250,13.15,1730004,49.4,2-05716-0287,"2475 PALISADE AVENUE
Bronx, New York
(40.88009283995462, -73.92234413928037)",RIVERDALE,D1-ELEVATOR,25,1932,31098,472245,15.19,1920000,62,0.3,2-05781-1100,"3900 HENRY HUDSON PARKWAY
Bronx, New York
(40.82557699997852, -73.91844899972153)",RIVERDALE,D1-ELEVATOR,37,1928,37962,396156,10.44,1340000,35.3,0.8
2-05745-7501,28-R1,"2521 PALISADE AVENUE
Bronx, New York
(40.880759467454595, -73.92227888543619)",RIVERDALE,R4-ELEVATOR,36,1986,62350,779375,12.5,2929999,47,2-03156-0141,"210 181 STREET
Bronx, New York
(40.82557699997852, -73.91844899972153)",FORDHAM,D7-ELEVATOR,78,1955,78750,764368,9.71,2520000,32,2.3,2-05792-0430,"530 236 STREET
Bronx, New York
(40.88639581976764, -73.90827463171819)",RIVERDALE,D7-ELEVATOR,86,1954,103392,1327517,12.84,4990000,48.3,0.75
2-05771-7501,41-R1,"3636 FIELDSTON ROAD
Bronx, New York
(40.886850149315386, -73.90650160250377)",RIVERDALE,R9-CONDOPS,106,1962,132000,1283040,9.72,4340000,32.9,2-05732-0924,"2700 HENRY HUDSON PARKWAY
Bronx, New York
(40.82557699997852, -73.91844899972153)",RIVERDALE,D1-ELEVATOR,78,1955,108955,1108732,10.18,3750000,34.4,0.6,2-05798-0086,"3640 JOHNSON AVENUE
Bronx, New York
(40.887904997599065, -73.90934838068124)",RIVERDALE,D1-ELEVATOR,84,1954,120650,1097204,9.09,3620000,30,0.15
2-05777-7501,79-R1,"3816 WALDO AVENUE
Bronx, New York
(40.88753990769145, -73.90373683836431)",KINGSBRIDGE/JEROME PARK,R4-ELEVATOR,25,2004,59005,796567,13.5,2989992,51,2-03328-0108,"3555 BAINBRIDGE AVENUE
Bronx, New York
(40.88220149253238, -73.87814692675988)",BEDFORD PARK/NORWOOD,D7-ELEVATOR,68,1959,62000,807536,13.02,3040000,49,1.35,2-04332-0005,"1130 PELHAM PARKWAY
Bronx, New York
(40.82557699997852, -73.91844899972153)",PELHAM PARKWAY SOUTH,D7-ELEVATOR,58,1956,51600,705172,13.67,2800000,54,3.25
2-05780-7501,40-R1,"3900 GREYSTONE AVENUE
Bronx, New York
(40.88950389842045, -73.9044515066065)",RIVERDALE,R4-ELEVATOR,78,1928,95061,1045671,11,3689993,38.8,2-03219-0055,"2400 WEBB AVENUE
Bronx, New York
(40.863590585737036, -73.90748669874066)",KINGSBRIDGE HTS/UNIV HTS,D1-ELEVATOR,75,1963,79000,886375,11.22,3120000,39.5,1.65,2-05787-0137,"3220 NETHERLAND AVENUE
Bronx, New York
(40.88396156817513, -73.91151120526435)",RIVERDALE,D1-ELEVATOR,85,1954,100498,1155727,11.5,4070000,40.5,0.45
2-05787-7501,30-R1,"3240 NETHERLAND AVENUE
Bronx, New York
(40.884102974299424, -73.91146048350238)",RIVERDALE,R4-ELEVATOR,15,1988,10108,187200,18.52,760999,75,2-03145-0025,"2283 TIEBOUT AVENUE
Bronx, New York
(40.85637849486805, -73.89743231901254)",FORDHAM,C1-WALK-UP,16,1925,9424,127387,13.52,360000,38.2,2.1,2-05798-0101,"3615 OXFORD AVENUE
Bronx, New York
(40.88687780488597, -73.90863158513936)",RIVERDALE,C1-WALK-UP,15,1980,7550,143532,19.01,584000,77,0.2
2-05789-7501,32-R1,"3220 FAIRFIELD AVENUE
Bronx, New York
(40.8845719860308, -73.91358651014508)",RIVERDALE,R4-ELEVATOR,32,1989,30743,476516,15.5,1940002,63,2-05851-2105,"6425 BROADWAY
Bronx, New York
(40.82557699997852, -73.91844899972153)",RIVERDALE,D3-ELEVATOR,55,1974,48100,746149,15.51,3030000,63,1.55,2-05907-0348,"3725 BLACKSTONE AVENUE
Bronx, New York
(40.88893264531127, -73.91159285467639)",RIVERDALE,D1-ELEVATOR,42,1968,41803,582915,13.94,2310000,55,0.3
2-05798-7501,62-R1,"3614 JOHNSON AVENUE
Bronx, New York
(40.8871137381048, -73.90952421612441)",RIVERDALE,R4-ELEVATOR,15,2002,14969,282914,18.9,1150000,77,2-03145-0025,"2283 TIEBOUT AVENUE
Bronx, New York
(40.85637849486805, -73.89743231901254)",FORDHAM,C1-WALK-UP,16,1925,9424,127387,13.52,360000,38.2,2.25,2-05798-0101,"3615 OXFORD AVENUE
Bronx, New York
(40.88687780488597, -73.90863158513936)",RIVERDALE,C1-WALK-UP,15,1980,7550,143532,19.01,584000,77,0
2-05798-7502,67-R1,"3625 OXFORD AVENUE
Bronx, New York
(40.887109701747804, -73.90860455351628)",RIVERDALE,R4-ELEVATOR,23,2005,40468,607020,15,2410001,60,2-05716-0287,"2475 PALISADE AVENUE
Bronx, New York
(40.88009283995462, -73.92234413928037)",RIVERDALE,D1-ELEVATOR,25,1932,31098,472245,15.19,1920000,62,0.9,2-05907-0348,"3725 BLACKSTONE AVENUE
Bronx, New York
(40.88893264531127, -73.91159285467639)",RIVERDALE,D1-ELEVATOR,42,1968,41803,582915,13.94,2310000,55,0.2
2-05857-7501,19-R1,"5775 MOSHOLU AVENUE
Bronx, New York
(40.905590353715006, -73.89817197110878)",RIVERDALE,R4-ELEVATOR,68,1962,71146,1067190,15,4230003,59,2-03612-0013,"2155 VIRGIL PLACE
Bronx, New York
(40.8223487885949, -73.85023957560342)",CASTLE HILL/UNIONPORT,D1-ELEVATOR,79,1982,65520,1272181,19.42,3590000,55,6.2,2-05909-0825,"600 246 STREET
Bronx, New York
(40.89262683915381, -73.90994891428436)",RIVERDALE,D3-ELEVATOR,403,1958,443283,8181864,18.46,33300000,75,1.2
