Borough,District,Bldg I.D.,Building Name,Bldg Enroll,Bldg Capacity,Bldg Over/Under,Bldg Utilization,Org ID,Organization Name,Org Enroll,Org Capacity,Org Over/Under,Org Utilization,No. of Spec rooms used,Inclusionary
BRONX,75,X012,P.S. 12 - BRONX,218,312,-94,70,X012,X012 SPED - BRONX                 ,218,312,-94,70,0,
BRONX,75,X034,P.S. 34 - BRONX,230,267,-37,86,X188,X188 SPED - BRONX,230,267,-37,86,0,
BRONX,75,X084,P.S. 811 (OLD I84) - BRONX,556,652,-96,85,X811,X811 SPED - BRONX                 ,556,652,-96,85,0,
BRONX,75,X084,P.S. 811 (OLD I84) - BRONX,0,0,0,0,XG06,DISTRICT 12 FOOD SERVICES - X     ,0,0,0,0,0,
BRONX,75,X084,P.S. 811 (OLD I84) - BRONX,0,0,0,0,XG12,DISTRICT OFFICE #12 - BRONX       ,0,0,0,0,0,
BRONX,75,X136,P.S. 186 (OLD J136) - BRONX,344,526,-182,65,X186,X186 SPED - BRONX                 ,344,526,-182,65,0,
BRONX,75,X155,P.S. 754 (OLD IS155) - BRONX,742,1082,-340,69,X502,HOME INSTRUCTION - BRONX,0,0,0,0,0,
BRONX,75,X155,P.S. 754 (OLD IS155) - BRONX,0,0,0,0,X520,FLAGS ACADEMY - BRONX,311,617,-306,50,1,
BRONX,75,X155,P.S. 754 (OLD IS155) - BRONX,0,0,0,0,X754,X754 SPED - BRONX,431,465,-34,93,0,
BRONX,75,X155,P.S. 754 (OLD IS155) - BRONX,0,0,0,0,XG15,BRONX ATC - BRONX                 ,0,0,0,0,0,
BRONX,75,X701,P.S. 10 - BRONX,48,68,-20,71,X723,X723 SPED - BRONX,48,68,-20,71,0,
BRONX,75,X722,P.S. 721 (OTC) - BRONX,359,283,76,127,X721,X721 SPED - BRONX,359,283,76,127,0,
BRONX,75,X817,P.S. 811 ANNEX - BRONX,40,44,-4,91,X010,X010 SPED - BRONX                 ,40,44,-4,91,0,
BROOKLYN,75,K085,P.S. 753 (OLD P85/STERLING HS) - K,156,223,-67,70,K753,K753 SPED - BROOKLYN              ,156,223,-67,70,0,
BROOKLYN,75,K148,P.S. 373 (OLD P148) - BROOKLYN,416,673,-257,62,K373,K373 SPED - BROOKLYN,269,256,13,105,0,
BROOKLYN,75,K148,P.S. 373 (OLD P148) - BROOKLYN,0,0,0,0,K703,BEGINNING WITH CHLDREN CHARTER-K,147,417,-270,35,0,
BROOKLYN,75,K286,P.S. 811 (OLD P286) - BROOKLYN,324,323,1,100,K811,K811 SPED - BROOKLYN              ,324,323,1,100,0,
BROOKLYN,75,K369,P.S. 369 (COY COX SCHOOL) - K,155,157,-2,99,K369,K369 SPED - BROOKLYN,155,157,-2,99,0,
BROOKLYN,75,K370,P.S. 370 - BROOKLYN,110,155,-45,71,K370,K370 SPED - BROOKLYN              ,110,155,-45,71,0,
BROOKLYN,75,K371,P.S. 371 (OLD 615) - BROOKLYN,211,493,-282,43,K371,K371 SPED - BROOKLYN,211,493,-282,43,0,
BROOKLYN,75,K396,P.S. 396 (TANDEM K327-D23) - K,294,279,15,105,K327,P.S. 327 - BROOKLYN               ,74,60,14,123,0,
BROOKLYN,75,K396,P.S. 396 (TANDEM K327-D23) - K,0,0,0,0,K396,K396 SPED - BROOKLYN,220,219,1,100,0,
BROOKLYN,75,K722,P.S. 721 OTC - BROOKLYN           ,457,519,-62,88,K721,K721 SPED - BROOKLYN,457,519,-62,88,0,
BROOKLYN,75,K834,P.S. 372 (OUR LADY OF PEACE)-K,458,493,-35,93,K372,K372 SPED - BROOKLYN              ,132,118,14,112,0,
BROOKLYN,75,K834,P.S. 372 (OUR LADY OF PEACE)-K,0,0,0,0,K418,P.S. 418 - BROOKLYN               ,326,375,-49,87,0,
BROOKLYN,75,K838,P.S. 53 (OLD P838) - BROOKLYN,134,141,-7,95,K053,K053 SPED - BROOKLYN              ,134,141,-7,95,0,
BROOKLYN,75,K843,P.S. 4 (ECC) - BROOKLYN,36,24,12,150,K004,K004 SPED - BROOKLYN              ,36,24,12,150,0,
BROOKLYN,75,K853,P.S. 93 AX (ECF BD STUY ECC2)-K,26,35,-9,74,K004,K004 SPED - BROOKLYN              ,26,35,-9,74,0,
BROOKLYN,75,K857,P.S. 36 ANNEX - BROOKLYN,180,240,-60,75,K036,K036 SPED - BROOKLYN              ,180,240,-60,75,0,
BROOKLYN,75,K877,P.S. 369 AX-(OL 396X/FLTB TN HL)-K,20,40,-20,50,K036,K036 SPED - BROOKLYN              ,20,40,-20,50,0,
BROOKLYN,75,K902,P.S. 77 ANNEX - BROOKLYN,325,445,-120,73,K077,K077 SPED - BROOKLYN              ,136,134,2,101,0,Some
BROOKLYN,75,K902,P.S. 77 ANNEX - BROOKLYN,0,0,0,0,K266,I.S. 266 - BROOKLYN               ,189,311,-122,61,0,
BROOKLYN,75,K902,P.S. 77 ANNEX - BROOKLYN,0,0,0,0,KG05,UFT CHAPTER LEADER - K            ,0,0,0,0,0,
MANHATTAN,75,M058,P.S. 35 (OLD 58/MNHT HS) - M,215,279,-64,77,M035,M035 SPED - MANHATTAN             ,195,223,-28,87,0,
MANHATTAN,75,M058,P.S. 35 (OLD 58/MNHT HS) - M,0,0,0,0,MG02,LYFE CENTER - M                   ,0,0,0,0,0,
MANHATTAN,75,M058,P.S. 35 (OLD 58/MNHT HS) - M,0,0,0,0,Q950,GED PLUS - CITYWIDE,20,56,-36,36,4,
MANHATTAN,75,M079,P.S. 79 (MULT. HANDICAP) - M,285,340,-55,84,M079,M079 SPED - MANHATTAN             ,285,340,-55,84,0,
MANHATTAN,75,M169,P.S. 169 (ECF) - MANHATTAN,148,260,-112,57,M169,M169 SPED - MANHATTAN             ,148,260,-112,57,0,
MANHATTAN,75,M169,P.S. 169 (ECF) - MANHATTAN,0,0,0,0,MG15,QCPC - MANHATTAN                  ,0,0,0,0,0,
MANHATTAN,75,M380,P.S. 380- MANHATTAN,28,69,-41,41,M226,M226 SPED - MANHATTAN,28,69,-41,41,0,
MANHATTAN,75,M751,P.S. 751 (CAR.DEV/OLD 25) - M,206,231,-25,89,M751,M751 SPED - MANHATTAN             ,206,231,-25,89,0,
MANHATTAN,75,M751,P.S. 751 (CAR.DEV/OLD 25) - M,0,0,0,0,MG15,MANHATTAN TRANS. CTR - MANHATTAN  ,0,0,0,0,0,
MANHATTAN,75,M841,P.S. 811 (OLD P148/LIVINGS HS) - M,175,171,4,102,M811,M811 SPED - MANHATTAN,175,171,4,102,0,
MANHATTAN,75,M844,P.S. 138 ANNEX (OLD M047 AX) - M,14,41,-27,34,M721,M721 SPED - MANHATTAN             ,14,41,-27,34,0,
MANHATTAN,75,M875,P.S. 226 (FIRST PRESB CHURCH) - M,35,40,-5,88,M226,M226 SPED - MANHATTAN             ,35,40,-5,88,0,
QUEENS,75,Q009,P.S. 9 (W REED SCHOOL) - QUEENS,153,189,-36,81,Q009,Q009 SPED - QUEENS                ,153,189,-36,81,0,
QUEENS,75,Q075,P.S. 75 (R PEARY SCHOOL)-QUEENS,179,190,-11,94,Q075,Q075 SPED - QUEENS,179,190,-11,94,0,
QUEENS,75,Q142,P.S. 752 (OLD J142) - QUEENS,404,753,-349,54,Q540,QUEENS ACADEMY HIGH SCHOOL - Q,153,348,-195,44,4,
QUEENS,75,Q142,P.S. 752 (OLD J142) - QUEENS,0,0,0,0,Q752,Q752 SPED - QUEENS                ,251,405,-154,62,0,
QUEENS,75,Q142,P.S. 752 (OLD J142) - QUEENS,0,0,0,0,QG06,FOOD SERVICES - QUEENS,0,0,0,0,0,
QUEENS,75,Q177,P.S. 177 - QUEENS,422,310,112,136,Q177,Q177 SPED - QUEENS,422,310,112,136,0,
QUEENS,75,Q667,SKILLMAN HIGH SCHOOL - QUEENS,96,143,-47,67,Q004,Q004 SPED - QUEENS,96,143,-47,67,0,
QUEENS,75,Q722,P.S. 721 (OTC) - QUEENS,337,390,-53,86,Q721,Q721 SPED - QUEENS                ,337,390,-53,86,0,
QUEENS,75,Q809,P.S. 224 ANNEX - QUEENS,64,42,22,152,Q224,Q224 SPED - QUEENS,64,42,22,152,0,
QUEENS,75,Q811,P.S. 811 (OLD 187) - QUEENS,165,215,-50,77,Q811,Q811 SPED - QUEENS,165,215,-50,77,0,
QUEENS,75,Q816,P.S. 256 ANNEX - QUEENS,76,96,-20,79,Q256,Q256 SPED - QUEENS,76,96,-20,79,0,
QUEENS,75,Q822,P.S. 811 MINISCHOOL (OLD 136 MN)-Q,40,44,-4,91,Q811,Q811 SPED - QUEENS                ,40,44,-4,91,0,
QUEENS,75,Q835,P.S. 233 MINISCHOOL1 (OLD P134)-Q,40,67,-27,60,Q233,Q233 SPED - QUEENS                ,40,67,-27,60,0,
QUEENS,75,Q875,P.S. 233 MINISCHOOL2 (OLD P752)-Q,77,117,-40,66,Q233,Q233 SPED - QUEENS                ,77,117,-40,66,0,
QUEENS,75,Q979,P.S. 177 TEMP. C.R. BLDG. - Q,0,0,0,0,Q177,Q177 SPED - QUEENS                ,0,0,0,0,0,
STATEN ISLAND,75,R025,P.S. 25 ANNEX (OLD 4) - S. I.,47,104,-57,45,R025,R025 SPED - STATEN ISLAND,47,104,-57,45,0,
STATEN ISLAND,75,R040,P.S. 373 (OLD P40) - STATEN ISLAND,234,254,-20,92,R373,R373 SPED - STATEN ISLAND,234,254,-20,92,0,
STATEN ISLAND,75,R722,P.S. 722 (OTC) - STATEN ISLAND,190,228,-38,83,R721,R721 SPED - STATEN ISLAND,190,228,-38,83,0,
STATEN ISLAND,75,R722,P.S. 722 (OTC) - STATEN ISLAND,0,0,0,0,RG15,DIST 75 TRANSITION - STATEN ISLAND,0,0,0,0,0,
