License Number,Name of Licensee,Alternative Name of Licensee,Street_Address,Zip_Code,Telephone,License Type,Location 1
License Number,Name of Licensee,Alternative Name of Licensee,Street_Address,Zip_Code,Telephone,License Type,
B00008 ,T-D MAINTENANCE CORP                                        ,FOUR ONES CAR SERVICE                                       ,69-90 73 PLACE,11379,718-456-1111,"TLC-licensed base (FHV, Commuter Van, or Para)",
B00009 ,T-D MAINTENANCE                                             ,FOUR ONES CAR SERVICE                                       ,69-90 73 PLACE,11379,718-456-1111,"TLC-licensed base (FHV, Commuter Van, or Para)",
B00021 ,MEXICANA HIGH CLASS INC.                                    ,CAPITAL CAR SERVICE                                         ,52-02 103 STREET,11368,718-592-1200,"TLC-licensed base (FHV, Commuter Van, or Para)",
B00023 ,F.J.A. LIVERY CORP                                          ,VILLAGE CAR SERVICE                                         ,3747A VICTORY BOULEVARD,10314,718-698-4493,"TLC-licensed base (FHV, Commuter Van, or Para)",
B00029 ,COMMUNITY CAR SVC CORP                                      ,                                                            ,1322 EAST GUN HILL ROAD,10469,718-881-0708,"TLC-licensed base (FHV, Commuter Van, or Para)",
B00030 ,TREMONT DISPATCHING CORP                                    ,                                                            ,3552 EAST TREMONT AVENUE,10465,718-822-7777,"TLC-licensed base (FHV, Commuter Van, or Para)",
B00031 ,QUEENS VILLAGE INC.                                         ,                                                            ,96-23 SPRINGFIELD BOULEVARD,11429,718-776-8787,"TLC-licensed base (FHV, Commuter Van, or Para)",
B00037 ,TRANSP UNLIMITED C/S                                        ,                                                            ,1226 NOSTRAND AVENUE,11225,718-363-1000,"TLC-licensed base (FHV, Commuter Van, or Para)",
B00041 ,COMMUNITY CAR SERVICE PRISCILLA CORP.                       ,                                                            ,9-17 WYCKOFF AVENUE,11385,718-366-8800,"TLC-licensed base (FHV, Commuter Van, or Para)",
B00054 ,128 BLUE BIRD TRANSPORT INC.                                ,LATCH CAR SERVICE                                           ,111-05 128 STREET,11420,718-529-7748,"TLC-licensed base (FHV, Commuter Van, or Para)",
B00055 ,TRY MANAGEMENT CO. INC.                                     ,APPLE CAR SERVICE                                           ,3-01 27 AVENUE,11102,718-267-7200,"TLC-licensed base (FHV, Commuter Van, or Para)",
B00056 ,TRANSIT PVT C/S INC.                                        ,                                                            ,1417 ROCKAWAY PARKWAY,11236,718-649-4100,"TLC-licensed base (FHV, Commuter Van, or Para)",
B00058 ,NEW COLLEGE CAR SVCE INC                                    ,                                                            ,1588 DR M L KING JR BOULEVARD,10453,718-731-3333,"TLC-licensed base (FHV, Commuter Van, or Para)",
B00095 ,LIBERTY CAR SERVICE INC.                                    ,                                                            ,689 SENECA AVENUE,11385,718-366-6666,"TLC-licensed base (FHV, Commuter Van, or Para)",
B00106 ,HUMMINGBIRD CAR SVC                                         ,                                                            ,2616 CLARENDON ROAD,11226,718-856-6155,"TLC-licensed base (FHV, Commuter Van, or Para)",
B00112 ,HARBOR VIEW TRANS OF S I                                    ,                                                            ,9419 5 AVENUE,11209,718-680-2500,"TLC-licensed base (FHV, Commuter Van, or Para)",
B00131 ,NEW MEXICANA CAR SERVICE II INC.                            ,AZTECA EXPRESS                                              ,4906 7 AVENUE,11220,718-853-2929,"TLC-licensed base (FHV, Commuter Van, or Para)",
B00136 ,BIG D ROYAL CAR SVCE                                        ,                                                            ,117-02 MERRICK BOULEVARD,11434,718-481-8901,"TLC-licensed base (FHV, Commuter Van, or Para)",
B00149 ,RAINBOW RAD DISP INC                                        ,                                                            ,389 TROY AVENUE,11213,718-498-9291,"TLC-licensed base (FHV, Commuter Van, or Para)",
B00151 ,KINGSBAY CAR SERVICE INC                                    ,                                                            ,2111 AVENUE Z,11235,718-648-2800,"TLC-licensed base (FHV, Commuter Van, or Para)",
B00160 ,JAFFA CAR & LIMO SVC INC                                    ,                                                            ,1708 EAST   16 STREET,11229,718-376-6400,"TLC-licensed base (FHV, Commuter Van, or Para)",
B00170 ,EMUNAH CAR SERVICE INC                                      ,                                                            ,1311 51 STREET,11219,718-853-4422,"TLC-licensed base (FHV, Commuter Van, or Para)",
B00171 ,SHAMROCK DISPATCH INC                                       ,KELLY'S PRIVATE CAR SERVICE                                 ,212-35 42 AVENUE,11361,718-229-4189,"TLC-licensed base (FHV, Commuter Van, or Para)",
B00183 ,KEW GARDEN OPERATING CORP                                   ,                                                            ,122-11 HILLSIDE AVENUE,11418,718-846-6666,"TLC-licensed base (FHV, Commuter Van, or Para)",
B00196 ,NEW EASY WAY RADIO DISP INC                                 ,                                                            ,153 EAST  106 STREET,10029,212-360-6241,"TLC-licensed base (FHV, Commuter Van, or Para)",
B00210 ,QUEENS DISPATCH SVC INC.                                    ,HOWARD                                                      ,6 COLEMAN SQUARE,11414,718-835-3500,"TLC-licensed base (FHV, Commuter Van, or Para)",
B00220 ,BIG EAST MULTI GROUP CORP.                                  ,PREMIER CAR SERVICE                                         ,4916 FOSTER AVENUE,11203,718-629-1038,"TLC-licensed base (FHV, Commuter Van, or Para)",
B00221 ,PROFESSIONAL CAR SERVICE INC                                ,                                                            ,376 AUDUBON AVENUE,10033,212-923-6565,"TLC-licensed base (FHV, Commuter Van, or Para)",
