AGN,AGENCY NAME, FY 2002 Actual , FY 2003 Actual , FY 2004 Actual , FY 2005 Actual , FY 2006 Actual , FY 2007 Actual , FY 2008 Actual , FY 2009 Actual ,FY 2010 Actual,FY 2011 Plan,FY 2012 Plan,FY 2013 Plan,FY 2014 Plan,FY 2015 Plan,EXPENSE ($ IN THOUSANDS) - ALL FUNDS
2,Mayoralty,109673,94449,72939,75306,79102,85666,89377,90933,95503,99826,92421,91764,91588,91442,Plan data as of February 2011 Financial Plan
3,Board of Elections,67482,55630,68059,59788,63297,71748,80676,81054,95706,103333,69908,76508,76508,76508,Agency expenditures adjusted to exclude the impact of prepayments & debt defeasances. FY2009 & prior years restated to include TFA Debt Service.
4,Campaign Finance Board,48500,7245,14196,5357,38692,6576,6497,8658,44320,14510,13013,13017,13017,13017,
8,Office of the Actuary,3149,3277,3594,4116,4944,4539,5060,4689,4977,5302,5306,5310,5310,5310,
10,"President,Borough of Manhattan",5027,3862,3723,3889,4318,4694,5822,4996,4699,4376,2892,2902,2908,2908,
11,"President,Borough of the Bronx",6944,5358,5079,5343,5614,6359,6926,5566,4894,5204,3933,3947,3955,3955,
12,"President,Borough of Brooklyn",6090,5083,4806,5136,5436,6072,8088,5652,5300,5551,3557,3571,3579,3579,
13,"President,Borough of Queens",6290,4823,4817,4889,4947,5529,6660,4717,4596,4739,3329,3339,3346,3346,
14,"President,Borough of S.I.",4788,3709,3770,3921,4018,4267,4717,3986,3875,3798,2795,2806,2811,2811,
15,Office of the Comptroller,57602,54970,55546,56616,61335,63101,65762,67892,67657,71371,71993,72104,72252,72337,
17,Dept. of Emergency Management,0,6630,7579,9104,12272,14896,17797,19993,27224,55947,23070,7055,7063,7073,
21,Office of Administrative Tax Appeals,1992,1879,1956,2319,2366,2601,3072,3987,3707,3775,3779,3783,3783,3783,
25,Law Department,96258,101995,108603,118911,125134,125979,125308,132205,139774,139869,136296,135143,132764,132764,
30,Department of City Planning,18754,19190,19446,20969,22074,22050,24396,26895,26231,26404,22554,21988,21988,21988,
32,Department of Investigation,23138,21361,19589,19753,21131,21861,23480,24208,22720,21897,19910,19650,19650,19650,
35,NY Public Library - Research,18698,16633,16967,18154,19034,20087,24326,24974,26642,21758,17452,17452,17452,17452,
37,New York Public Library,96805,87471,89747,94737,96464,106357,117298,121990,114492,109110,85182,84832,84832,84832,
38,Brooklyn Public Library,71464,64665,66781,70286,73841,78775,87377,90557,85505,81324,63328,62978,62978,62978,
39,Queens Borough Public Library,68140,61571,63095,66834,71802,76770,85771,89177,84164,79648,61342,60992,60992,60992,
40,Department of Education,11883255,12780991,13148112,13871184,14959318,15884401,16977034,17903053,18498505,18819627,19119666,19425541,19810723,20013686,
42,City University,436923,473180,544671,575585,605277,622693,671292,707115,764705,784901,721242,715485,716513,716427,
54,Civilian Complaint Review Bd.,9329,8875,10076,9776,10142,10717,11074,11300,10091,9970,9600,9608,9611,9614,
56,Police Department,3706710,3589601,3582185,3904880,3794183,3856192,4148661,4469200,4666857,4876542,4450152,4416101,4412974,4412974,
57,Fire Department,1266416,1201248,1183700,1226513,1412325,1444538,1521281,1592673,1670022,1784347,1624895,1592653,1570818,1570373,
68,Admin. for Children Services,2375083,2345517,2257324,2283646,2326494,2758676,2854527,2844230,2877430,2760628,2710730,2684187,2681547,2682111,
69,Department of Social Services,5972625,6159736,6647548,7204062,6935913,7425152,8681886,8327785,8482385,8189483,9331306,9524178,9660745,9840610,
71,Dept. of Homeless Services,540359,632417,673802,722640,725376,732647,785533,851310,941984,1045173,803959,797012,797058,797048,
72,Department of Correction,886754,866456,833348,819961,900061,949760,965659,1010200,1011995,1036580,1020928,1012773,1012773,1012773,
73,Board of Correction,906,830,855,856,861,905,915,904,921,999,999,999,999,999,
94,Department of Employment,135866,131689,2327,0,0,0,0,0,0,0,0,0,0,0,
95,Citywide Pension Contributions,1491901,1750586,2444470,3369832,4014955,4856280,5740554,6389179,6755590,6999292,8419373,8566166,8444399,8721208,
98,Miscellaneous,4186973,4485431,4578809,6342446,6270142,7054204,6034402,6169380,6237230,6334751,6297535,7720778,8427512,9287861,
99,Debt Service,3353140,3032604,3650392,4025213,4315659,4493879,4798039,4691385,5004103,5046481,5907616,6672111,6919006,7268816,
100,M.A.C. Debt Service,462900,225236,501534,110772,10000,10000,2750,0,0,0,0,0,0,0,
101,Public Advocate,2821,1854,2069,3110,2903,3031,3115,2809,2573,2256,1797,1803,1807,1807,
102,City Council,47299,44921,46465,47428,49000,50588,51211,49526,51478,52883,52883,52883,52883,52883,
103,City Clerk,2727,2586,2998,3020,3117,3630,3812,4330,4221,4743,4602,4629,4632,4635,
125,Department for the Aging,231227,229491,228593,231264,268241,271907,290487,290255,281619,269993,217231,216654,216654,216654,
126,Department of Cultural Affairs,124681,120425,118141,122237,136303,149996,161276,151387,142906,143270,101340,101340,101340,101340,
127,Financial Info. Serv. Agency,30790,33047,35386,37278,44907,51289,56679,58423,60073,61626,63452,61217,61278,61331,
130,Department of Juvenile Justice,108943,108402,93009,95827,104291,127676,130984,134506,138353,201600,0,0,0,0,
131,Office of Payroll Admin.,6129,6733,7200,9715,9285,11308,12979,13439,23636,62669,65515,52573,36516,36516,
132,Independent Budget Office,2551,2262,2422,2518,2658,2845,2925,2884,3189,4463,4407,4407,4407,4407,
133,Equal Employment Practices Com,342,475,478,538,729,785,764,766,751,744,744,745,745,745,
134,Civil Service Commission,471,480,461,483,465,530,583,607,554,685,751,751,751,751,
136,Landmarks Preservation Comm.,3170,3046,3127,3329,3680,4224,4408,4599,4608,5405,4800,4825,4831,4831,
138,Districting Commission,0,1660,4,0,0,0,0,0,0,0,0,0,0,0,
156,Taxi & Limousine Commission,22978,21534,23170,24847,25998,25953,27763,28875,30098,31460,32174,32174,32174,32174,
226,Commission on Human Rights,7463,7756,7243,6680,6526,6673,6778,7130,6899,7308,7366,7366,7366,7366,
260,Youth & Community Development,153013,157461,244445,246167,303039,310561,384061,382705,405899,359985,257826,246388,246388,246388,
312,Conflicts of Interest Board,1624,1547,1438,1423,1435,1741,1882,1898,1909,2023,1988,1988,1988,1988,
313,Office of Collective Barg.,1482,1545,1552,1611,1702,1819,1861,1882,2030,2101,2102,2103,2103,2103,
499,Community Boards (All),11407,11537,11965,12312,13027,13165,13620,13936,13980,15042,14570,14570,14570,14570,
781,Department of Probation,89661,83205,79282,78410,79771,80679,81589,82134,82973,82152,75715,72413,72509,72615,
801,Dept. Small Business Services,97229,41954,112277,108277,125295,122408,136557,153491,159610,144471,124240,107198,98214,92926,
806,Housing Preservation & Dev.,408029,389903,418602,473873,543240,576104,597994,702224,727910,771731,565353,564392,564007,563445,
810,Department of Buildings,56378,57863,57895,64273,81526,87195,99410,109678,101530,99718,89665,89665,89683,89665,
816,Dept Health & Mental Hygiene,1436161,1428497,1470614,1443466,1509524,1561741,1586921,1712205,1685452,1675561,1542899,1533108,1531939,1533311,
817,Dept of Mental Health,276078,0,0,0,0,0,0,0,0,0,0,0,0,0,
819,Health and Hospitals Corp.,909465,914973,946842,1125427,1590636,810252,256837,204574,195610,185433,178147,177483,177489,177644,
820,Office of Administrative Trials and Hearings,0,0,0,0,0,0,0,0,0,26567,26568,26567,26567,26567,
826,Dept of Environmental Prot.,668216,701640,709230,755584,804393,868771,919095,1034095,1470930,1036019,987300,983043,983043,983043,
827,Department of Sanitation,1005312,991439,998001,1034946,1094894,1173420,1244392,1258215,1301194,1402211,1297187,1339285,1422904,1422986,
829,Business Integrity Commission,2779,4685,4383,4816,4957,5166,5771,6272,6930,7360,7305,7232,7232,7232,
836,Department of Finance,183819,181779,220635,202146,200527,205866,215498,225096,230898,222858,220423,219184,219190,218940,
841,Department of Transportation,515125,501447,501650,553590,623223,618376,697786,787993,800752,834305,669958,679913,679247,679247,
846,Dept of Parks and Recreation,270834,254169,261616,287086,308203,332561,370648,379595,382715,362661,290214,298301,298555,298639,
850,Dept. of Design & Construction,621330,162386,82566,85061,87866,96247,96541,102107,107463,110901,106115,106652,106676,106676,
856,Dept of Citywide Admin Srvces,643875,683421,688750,762188,855828,934640,997469,1092350,1077558,1169279,1098588,1102865,1102682,1102499,
858,D.O.I.T.T.,170950,190359,201380,223681,237224,255567,308265,370044,368768,415380,377474,369513,366687,367265,
860,Dept of Records & Info Serv.,4219,4218,4160,4329,4592,4729,5889,5933,5207,5643,5108,5447,5447,5447,
866,Department of Consumer Affairs,14302,13949,14627,15386,15561,17113,20513,21540,22340,23658,22429,21283,21369,21283,
901,District Attorney - N.Y.,83127,78975,78878,79272,81147,86427,90264,96919,102837,86974,75959,75959,75959,75959,
902,District Attorney - Bronx,45355,42730,43410,44219,45804,47699,50762,50463,52008,50721,45386,45055,44944,44944,
903,District Attorney - Kings,80626,72604,69994,72683,76019,79286,83584,84282,87306,81567,74335,74335,74335,74335,
904,District Attorney - Queens,39448,38756,38350,39299,41788,44351,47033,45764,48845,48013,44246,43786,43786,43786,
905,District Attorney - Richmond,7070,6352,6897,6977,6964,7595,8311,8305,8599,8335,7357,7208,7208,7208,
906,Off. of Prosec. & Spec. Narc.,16012,15110,15510,15433,16081,16782,17778,17679,18507,18468,16328,16328,16328,16328,
941,Public Administrator - N.Y.,915,992,964,1030,1086,1104,1143,1148,1168,1268,1156,1156,1156,1156,
942,Public Administrator - Bronx,329,331,320,308,317,429,418,508,426,499,425,425,425,425,
943,Public Administrator- Brooklyn,439,419,403,356,454,501,536,493,549,605,526,526,526,526,
944,Public Administrator - Queens,343,344,344,350,414,408,421,436,424,473,400,400,400,400,
945,Public Administrator -Richmond,237,223,234,269,339,348,362,365,376,380,307,307,307,307,
