Shop Name,Telephone,Store Type (category 1),Store Type (category 2),Store Type (category 3),website,Location 1
A Tempo,212 769-0368,"Clothing Shops, Shoes & Accessories",,,,"290 Columbus Avenue
New York, NY 10023
(40.77846190585765, -73.97806907192204)"
Aerosoles,212 579-8659,"Clothing Shops, Shoes & Accessories",,,www.aerosoles.com,"310 Columbus Avenue
New York, NY 10023
(40.779090781952604, -73.97761020669302)"
AG Adriano Goldschmied,212 496-5692,"Clothing Shops, Shoes & Accessories",,,www.agjeans.com,"305 Columbus Avenue
New York, NY 10023
(40.77899552592294, -73.97764303985957)"
Alskling,212 787-7066,"Clothing Shops, Shoes & Accessories",,,,"228 Columbus Avenue
New York, NY 10023
(40.776432066383855, -73.97954093116604)"
Artiste Jewelers,212 877-3320,"Clothing Shops, Shoes & Accessories",,,,"223 Columbus Avenue
New York, NY 10023
(40.77617245619519, -73.97964499858017)"
Berkley Girl,212 877-4770,"Clothing Shops, Shoes & Accessories",Childrens Stores,,www.berkleygirl.com,"410 Columbus Avenue
New York, NY 10024
(40.78243093607489, -73.97514292461813)"
Betsey Johnson,212 362-3364,"Clothing Shops, Shoes & Accessories",,,www.betseyjohnson.com,"248 Columbus Avenue
New York, NY 10023
(40.77705337167149, -73.97909413128633)"
Bit'z Kids,212 724-1415,"Clothing Shops, Shoes & Accessories",Childrens Stores,,www.bitzkidsnyc.com,"410 Columbus Avenue
New York, NY 10024
(40.78243093607489, -73.97514292461813)"
Brief Encounters,212 496-5649,"Clothing Shops, Shoes & Accessories",,,,"239 Columbus Avenue
New York, NY 10023
(40.77670597399539, -73.97926176748427)"
Club Monaco,212 724-4076,"Clothing Shops, Shoes & Accessories",,,www.clubmonaco.com,"211 Columbus Avenue
New York, NY 10023
(40.77580826174137, -73.97991642410558)"
Comptoirs des Cotonniers,212 874-0983,"Clothing Shops, Shoes & Accessories",,,www.mothers-and-daughters.com,"184 Columbus Avenue
New York, NY 10023
(40.77500588971157, -73.9805735850231)"
Crocs,212 362-1655,"Clothing Shops, Shoes & Accessories", ,,www.crocs.com,"270 Columbus Avenue
New York, NY 10023
(40.77780351096482, -73.97854767254084)"
Eileen Fisher,212 362-3000,"Clothing Shops, Shoes & Accessories",,,www.eileenfisher.com,"341 Columbus Avenue
New York, NY 10023
(40.779970188713115, -73.97688786478378)"
Footlights Shoes,212 799-1994,"Clothing Shops, Shoes & Accessories",,,,"294 Columbus Avenue
New York, NY 10023
(40.778595285301975, -73.97797326415218)"
Frank Stella,212 877-5566,"Clothing Shops, Shoes & Accessories",,,www.frankstellanyc.com,"440 Columbus Avenue
New York, NY 10024
(40.78326468817583, -73.9745665882731)"
Gas Bijoux ,212 799-0282,"Clothing Shops, Shoes & Accessories",,,www.gasbijoux.com/en,"189B Columbus Avenue
New York, NY 10023
(40.77511387603502, -73.98041737397685)"
Greenstones & Cie.,212 580-4322,"Clothing Shops, Shoes & Accessories",Childrens Stores,,,"454 Columbus Avenue
New York, NY 10024
(40.78375781642727, -73.97421153593206)"
Intermix,212 769-9116,"Clothing Shops, Shoes & Accessories",,,www.intermixonline.com,"210 Columbus Avenue
New York, NY 10023
(40.775875942149526, -73.97994877355256)"
Kangol,212 724-1172,"Clothing Shops, Shoes & Accessories",,,www.kangol.com,"196 Columbus Avenue
New York, NY 10023
(40.77540602804455, -73.98029743321584)"
