CPR Data Type,Jul-01,Aug-01,Sep-01,Oct-01,Nov-01,Dec-01,Jan-02,Feb-02,Mar-02,Apr-02,May-02,Jun-02,Jul-02,Aug-02,Sep-02,Oct-02,Nov-02,Dec-02,Jan-03,Feb-03,Mar-03,Apr-03,May-03,Jun-03,Jul-03,Aug-03,Sep-03,Oct-03,Nov-03,Dec-03,Jan-04,Feb-04,Mar-04,Apr-04,May-04,Jun-04,Jul-04,Aug-04,Sep-04,Oct-04,Nov-04,Dec-04,Jan-05,Feb-05,Mar-05,Apr-05,May-05,Jun-05,Jul-05,Aug-05,Sep-05,Oct-05,Nov-05,Dec-05,Jan-06,Feb-06,Mar-06,Apr-06,May-06,Jun-06,Jul-06,Aug-06,Sep-06,Oct-06,Nov-06,Dec-06,Jan-07,Feb-07,Mar-07,Apr-07,May-07,Jun-07,Jul-07,Aug-07,Sep-07,Oct-07,Nov-07,Dec-07,Jan-08,Feb-08,Mar-08,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11
Percent of Billed Amount Collected in 30 Days,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,49.8%,52.9%,50.6%,52.7%,51.6%,55.3%,52.3%,59.4%,57.7%,57.9%,57.8%,59.3%,29.5%,59.5%,57.2%,59.7%,56.5%,59%,54.5%,57.9%,57.4%,59.1%,61.3%,69.4%,55%,30.7%,59.9%,58.3%,58%,55.3%,56.4%,59.6%,58.5%,57%,59.3%,69%,54.2%,58%,56.4%,54.3%,56.9%,52.5%,47.8%,56%,58%,57.3%,58.7%,35%
Revenue as % Plan,98.3%,94.5%,90.8%,99.6%,95.0%,87.0%,120.2%,114.6%,107.7%,125.6%,135.7%,110.7%,141.3%,76.6%,93.7%,133.9%,101.5%,96.6%,108.1%,113.0%,96.8%,132.2%,109.1%,85.7%,99.4%,104.5%,96.3%,120.5%,91.9%,100.0%,102.5%,122.7%,119.9%,118.8%,103.1%,105.9%,93.8%,109.7%,118.5%,88.0%,109.6%,110.5%,83.3%,108.6%,101.7%,107.7%,117.6%,88.5%,100.0%,90.3%,106.0%,93.7%,113.0%,87.0%,97.3%,97.4%,94.6%,96.9%,110.4%,91.1%,100.0%,93.2%,97.2%,119.2%,96.1%,89.6%,107.5%,96.7%,84.5%,83.2%,84.2%,99.7%,100%,83.9%,79%,105.6%,101.1%,101.2%,103.9%,99.4%,85.1%,104.6%,108.8%,103.4%,100%,94%,100%,99.1%,83.4%,101.7%,85.9%,88.9%,91.4%,104.7%,82.8%,96.7%,100%,88.6%,94.5%,86.4%,91.9%,91.7%,96.6%,95.9%,93.5%,93.8%,92.5%,104.3%,100%,103.6%,105.2%,104.9%,110.8%,100.4%,106.1%,102.8%,101.7%,91.2%,95.2%,113.7%
Air Complaints Received,763,686,431,497,449,408,527,517,539,658,545,637,690,638,628,677,512,501,639,468,581,612,701,723,899,885,969,899,817,745,732,916,"1,039","1,063","1,180","1,371","1,277","1,347","1,341","1,132","1,023",858,925,930,"1,114","1,126","1,164","1,363","1,327","1,538","1,660","1,123","1,126",999,"1,010",888,"1,277","1,206","1,524","1,416","1,245","1,452","1,361","1,213",966,934,1050%,945%,1119%,970%,1469%,1414%,1443%,1397%,1367%,1191%,941%,738%,772%,658%,752%,991%,1088%,1287%,1354%,1211%,1132%,862%,733%,694%,896%,750%,859%,1053%,1059%,1089%,1068%,934%,958%,800%,676%,594%,604%,490%,672%,939%,935%,1029%,905%,985%,924%,625%,562%,486%,497%,520%,611%,714%,816%,942%
Average Days to Close Air Quality Complaints,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.5,2.7,3.1,2.4,1.0,2.7,2.3,2.3,2.7,3.5,3.3,3.7,4.5,3.2,4.8,4.2,4.8,4.4,4.0,3.4,4.5,4.6,4.7,6.6,11.1,10.6,12.8,14.5,16.1,18.6,22.2,14.4,14.9,13.1,14.2,13.6,16.1,12.0,11.3,14.0,17.1,15.5,14.5,7.7,6.0,8.3,9.1,10.1,12.0,11.1,7.9,10.2,10.8,12.7,13.6%,10%,9.3%,7.6%,8.3%,7.7%,9.3%,16.3%,9.2%,10.5%,17.6%,16%,13.9%,35.2%,24.8%,4.5%,6.4%,9.8%,10.9%,15.2%,10.8%,12.9%,16%,17%,29.5%,9.4%,5.4%,6.5%,7%,12.1%,18.9%,12.3%,12.6%,11.1%,11.8%,10.1%,13.5%,5.4%,5.3%,7.3%,8.4%,9.4%,9.3%,8.3%,7.9%,9.2%,9.7%,8.8%,9.7%,5.7%,4.8%,4.6%,5.3%,7.8%
Noise Complaints Received,"1,104",955,699,942,763,727,798,781,870,"1,082","1,109","1,101",963,861,"1,026","1,136",837,796,739,655,"1,561","1,645","2,016","2,311","2,097","1,822","2,481","2,285","2,138","1,663","1,465","1,789","2,426","2,525","3,049","4,247","3,431","3,241","3,708","3,565","2,855","2,287","2,118","2,360","3,102","3,963","3,936","3,727","2,990","3,029","4,019","3,962","3,400","2,528","3,186","2,672","3,513","4,232","4,414","3,999","2,947","3,561","4,560","4,008","3,733","2,716",2683%,2419%,3212%,3643%,4594%,3924%,5337%,4161%,5045%,5455%,3910%,2539%,3112%,2516%,3664%,4477%,4798%,4207%,3194%,3500%,4355%,4226%,3140%,2244%,2168%,2390%,3281%,3517%,3630%,3726%,2902%,2414%,3453%,3025%,2674%,1723%,1852%,1653%,2542%,3099%,3515%,2926%,1940%,2361%,3222%,3121%,1644%,1780%,1796%,1845%,2493%,3095%,3973%,2961%
Average Days to Close Noise Complaints,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.64,5.08,5.11,8.45,4.92,4.34,0.18,2.49,3.38,4.22,4.26,7.15,7.82,6.10,6.42,8.23,7.05,6.12,6.51,5.09,6.71,5.87,5.95,8.38,13.06,16.46,17.57,19.67,25.37,26.10,34.55,20.35,17.15,14.83,12.08,15.65,17.41,18.13,11.20,13.55,17.51,34.71,17.80,9.53,7.97,9.01,9.65,13.78,17.55,14.71,10.63,13.49,14.94,19.61,25.06%,15.97%,16.13%,14.07%,10.3%,10.93%,10.66%,14.74%,18.22%,10.71%,20.71%,35.02%,36.47%,28.19%,12.97%,7.28%,11.83%,12.94%,17.62%,21.51%,12.66%,12.75%,26.72%,22.75%,20.37%,12.97%,19.31%,13.79%,11.75%,12.76%,21.79%,16.22%,12.22%,14.32%,14.92%,19.07%,26.21%,15.74%,8.01%,8.27%,8.93%,18.07%,14.49%,14.45%,8.2%,9.96%,13.49%,14.04%,8.17%,8.32%,6.26%,5.24%,7.09%,9.11%
Asbestos Complaints Received,58,46,37,41,33,33,39,98,140,105,103,55,77,78,51,60,45,37,50,46,52,60,45,44,67,91,90,63,48,43,37,51,105,107,117,132,152,146,166,132,100,102,84,71,108,131,139,106,124,157,180,138,118,105,129,103,209,168,220,185,194,217,216,219,160,150,158%,116%,183%,168%,201%,200%,257%,200%,245%,260%,166%,133%,196%,145%,155%,175%,210%,208%,156%,146%,147%,133%,109%,102%,102%,102%,109%,118%,93%,74%,80%,91%,114%,99%,104%,73%,100%,76%,82%,114%,109%,138%,112%,118%,114%,113%,502%,80%,57%,83%,132%,101%,132%,152%
Average Days to Close Asbestos Complaints,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.26,1.26,0.29,0.31,0.24,0.20,0.17,0.20,0.18,0.28,0.19,0.13,0.14,0.24,0.29,0.11,0.14,0.26,0.15,0.18,0.20,0.17,0.20,0.28,0.25,0.14,0.17,0.14,0.13,0.11,0.16,0.13,0.25,0.16,0.24,0.15,0.21,0.33,0.21,0.11,0.31,0.16,0.19,0.16,0.39,0.22,0.16,0.57,0.28,0.27,0.24,0.26,0.25,0.20,0.44%,0.2%,0.27%,1.42%,0.3%,0.25%,0.21%,0.56%,0.29%,0.26%,0.24%,0.29%,0.32%,0.25%,0.27%,0.23%,0.25%,0.31%,0.29%,0.24%,0.29%,0.2%,0.15%,0.34%,0.29%,0.33%,0.25%,0.19%,0.05%,0.15%,0.38%,0.28%,0.19%,0.06%,0.23%,0.2%,0.41%,0.51%,0.45%,0.18%,0.18%,0.07%,0.19%,0.38%,0.16%,0.08%,0.21%,0.51%,0.29%,0.12%,0.29%,0.23%,0.18%,0.13%
Catch Basin Complaints Received,856,"1,555",716,473,464,405,467,295,648,780,"1,012",925,760,"1,353",931,995,627,574,528,687,824,806,836,"1,847","1,184","1,593","1,460","1,018","1,474","1,049",365,"1,039",561,"1,218","1,134","1,533","1,984","2,138","2,566",733,880,857,790,557,"1,151","1,059",800,"1,238","1,392","1,151",939,"2,922",906,797,"1,173",679,500,929,"1,552","2,401","2,511","1,719",971,"1,044","1,687",462,651%,327%,932%,2383%,888%,1344%,3280%,2936%,1217%,1752%,881%,889%,1088%,1138%,1102%,931%,1285%,1806%,846%,1472%,1606%,1322%,895%,926%,749%,391%,503%,1185%,1192%,1856%,1732%,1194%,745%,1121%,586%,789%,525%,629%,1641%,771%,868%,729%,917%,1124%,1023%,1182%,560%,685%,448%,723%,938%,847%,1185%,907%
Catch Basin Complaint Resolution Time (Days),8.2,5.8,6.6,5.7,4.1,5.0,4.8,5.0,3.6,3.5,4.5,3.9,5.0,3.9,4.1,3.7,3.7,4.4,4.2,2.7,3.8,3.6,3.2,3.9,4.8,4.8,5.3,3.9,3.1,5.5,6.3,3.7,3.8,3.2,4.5,4.7,5.2,6.0,6.7,9.8,6.6,5.6,5.7,6.4,4.7,6.7,6.9,7.2,6.4,7.7,8.4,4.2,7.8,5.8,7.0,6.3,5.7,5.8,5.0,6.0,7.2,8.2,7.5,8.0,4.6,7.1,5.7%,5.5%,4.1%,3.8%,8.6%,5.8%,4.1%,7.6%,8.8%,4.5%,5.3%,7%,6.5%,7%,6.5%,7.8%,6.1%,6.6%,9.7%,9.5%,8.7%,7%,6.1%,4.5%,4.6%,6.7%,5.7%,4.6%,3.8%,3.4%,8.4%,7.8%,9.1%,11.5%,14%,8%,8.3%,7.3%,5.5%,8%,7.5%,4.5%,5.7%,4%,4.7%,5.4%,8.1%,5.1%,5.1%,6.5%,4.9%,4.5%,4.5%,6.5%
