PROGRAM TYPE,PROGRAM,SITE NAME,BOROUGH / COMMUNITY,AGENCY,Contact Number,Grade Level / Age Group ,Location 1
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,"African Services Committee, Inc.",New York,"African Services Committee, Inc.",(212) 222-3882,16+,"429 127 Street
New York, NEW YORK 10027
(40.813196742697244, -73.95433261286013)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,Project COPE / Adult Education,Brooklyn,"Agudath Israel of America Community Services, Inc.",(212) 809-5935 x 104,16+,"1577 Coney Island Avenue
Brooklyn, NEW YORK 11230
(40.61904739455146, -73.96399704536418)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,"Agudath Israel of America Community Services, Inc.",New York,"Agudath Israel of America Community Services, Inc.",(212) 809-5935 x 104,16+,"225 Broadway
New York, NEW YORK 10007
(40.711843149995104, -74.00822898207605)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,Brooklyn Chinese-American Association,Brooklyn,Brooklyn Chinese-American Association,(718) 438-0008,16+,"5006 8th Avenue
Brooklyn, NEW YORK 11220
(40.64107406995503, -74.00379511862667)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,Brooklyn Chinese-American Association,Brooklyn,Brooklyn Chinese-American Association,(718) 438-0008,16+,"6809 20th Avenue
Brooklyn, NEW YORK 11204
(40.614704025531445, -73.98771039717887)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy,Adult Basic Education,ABE/GED", Adult Literacy,PS 25 - Eubie Blake School,Brooklyn,CAMBA,(718) 940-1737 x 424,16+,"787 Lafayette Avenue
Brooklyn, NEW YORK 11221
(40.691050099236115, -73.94139499953165)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy,Adult Basic Education,ABE/GED", Adult Literacy,CAMBA,Brooklyn,CAMBA,(718) 940-1737 x 424,16+,"885 Flatbush Avenue
Brooklyn, NEW YORK 11226
(40.65037559450013, -73.95866477725933)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,Catholic Charities Neighborhood Services,Astoria,Catholic Charities Neighborhood Services,(718) 726-9790 x 128,16+,"23 40 Astoria Boulevard
Astoria, NEW YORK 11102
(40.77152402451418, -73.92643545073543)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,Catholic Charities Neighborhood Services,Astoria,Catholic Charities Neighborhood Services,(718) 726-9790 x 128,16+,"9 18 27th Avenue
Astoria, NEW YORK 11102
(40.77152402451418, -73.92643545073543)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,Catholic Charities Neighborhood Services,Corona,Catholic Charities Neighborhood Services,(718) 726-9790 x 128,16+,"35 33 104th Street
Corona, NEW YORK 11368
(40.749678220373596, -73.85304068857687)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,Catholic Charities Neighborhood Services,Long Island City,Catholic Charities Neighborhood Services,(718) 726-9790 x 128,16+,"25 63 22nd Street
Long Island City, NEW YORK 11106
(40.761699790013324, -73.9316632529567)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,"Chinatown Manpower Project, Inc",New York,"Chinatown Manpower Project, Inc",(212) 571-1691 x 235,16+,"70 Mulberry Street
New York, NEW YORK 10013
(40.716141909295175, -73.99917280924103)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,Chinese American Planning Council,Brooklyn,Chinese American Planning Council,(212) 941-0041 x 302,16+,"4101 8th Avenue
Brooklyn, NEW YORK 11232
(40.64613150332472, -73.99844270592891)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,Chinese American Planning Council,Brooklyn,Chinese American Planning Council,(212) 941-0041 x 302,16+,"4812 9th Avenue
Brooklyn, NEW YORK 11220
(40.64083540267695, -74.00045650048278)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,Chinese American Planning Council,New York,Chinese American Planning Council,(212) 941-0041 x 302,16+,"220 Church Street
New York, NEW YORK 10013
(40.71698884234022, -74.00638009998525)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,CAB Community Center,Bronx,Citizens Advice Bureau,(718) 508-3132,16+,"1130 Grand
Bronx, NEW YORK 10456
(40.8316941436386, -73.9160410469591)"
