Agency,Indicator Name,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
311,311 Online site visits (000),,,,,,,,740.5,"1,328.80","2,117.10"
311,311 calls (000),,"8,140.90","12,503.20","14,245.40","14,314.70","15,212.90","18,363.10","18,642.60","21,730.00","18,957.50"
311,Average wait time (tier 1 calls) (minutes:seconds),,,,,0:05,0:07,0:12,0:22,0:31,0:45
311,Average wait time (tier 2 agency legacy system calls) (minutes:seconds),,,,,0:09,0:14,0:25,1:04,2:03,1:43
311,Call takers time occupied (%),,56%,73%,67%,65%,63%,69%,78%,80%,80%
311,Calls answered in 30 seconds or less (%),,90%,63%,88%,96%,97%,88%,82%,78%,71%
311,Calls handled in languages other than English (%),,1.30%,1.30%,1.90%,2.40%,1.90%,3.60%,3.40%,2.70%,2.20%
311,Calls resolved at 311 without transfer to agency for resolution (%),,,,79%,77%,80%,84%,86%,89%,90%
311,Complaints about 311 per million calls,,,,,46,36.5,32.7,29.2,24.9,30
311,Maximum answer delay (minutes:seconds),,,,17:43,20:15,42:28:00,68:76,69:36:00,86:25:00,94:16:00
ACS,Abscond rate in non-secure detention (average per 100 Total ADP in non-secure),,0.05,0.05,0.02,0.04,0.03,0.04,0.02,0.02,0.02
ACS,Abuse and/or neglect reports for children in child care,273,254,235,294,352,377,426,377,375,322
ACS,Abuse and/or neglect reports for children in child care that are substantiated (%),16.80%,16.90%,18.00%,24.70%,21.00%,26.80%,30.10%,28.30%,29.70%,24.80%
ACS,Abuse and/or neglect reports for children in foster care,"1,342","1,209","1,095","1,256","1,336","1,650","1,940","2,170","2,040","1,902"
ACS,Abuse and/or neglect reports for children in foster care that are substantiated (%),21.60%,19.00%,14.60%,14.90%,19.50%,30.00%,31.80%,33.30%,34.70%,31.00%
ACS,Abuse and/or neglect reports for children in foster care and child care,"1,615","1,463","1,330","1,551","1,688","2,027","2,366","2,548","2,416","2,223"
ACS,Abuse and/or neglect reports for children in foster care and child care that are substantiated (%) (Preliminary),21.30%,18.60%,15.20%,16.60%,23.20%,29.40%,31.50%,32.50%,33.90%,30.10%
ACS,Abuse and/or neglect reports responded to within 24 hours of receipt from the State Central Registry (%) *,96.20%,96.90%,96.40%,94.30%,96.00%,97.30%,97.60%,95.80%,93.50%,92.10%
ACS,All children entering foster care,"6,946","6,227","4,887","6,402","7,072","7,401","7,406","7,108","6,356","5,698"
ACS,Average Daily Population in Detention (Total),403,403,425.4,448.7,440.5,426.4,429.6,388.2,337.4,326.5
ACS,Average child protective specialist caseload,11.2,12.1,11.5,16.6,14.9,11,9.3,9.1,9.4,8.7
ACS,Average daily cost per juvenile in detention ($),,$438 ,$439 ,$476 ,$520 ,$588 ,$622 ,$706 ,$705 ,$634 
ACS,Average time to complete adoption (years),3.6,3.5,3.4,3.5,3.4,3.4,3.2,3.2,3,3.1
ACS,Child abuse and/or neglect allegation rate (internal) (average per 100 Total ADP),,0.09,0.1,0.1,0.09,0.08,0.13,0.11,0.09,0.09
ACS,Child abuse/neglect allegations cases (internal) reported by OCFS as Substantiated,,,,,,,,22,13,5
ACS,Children adopted,"2,793","2,735","2,364","1,831","1,562","1,472","1,344","1,156","1,186","1,295"
ACS,Children eligible for adoption (average),"4,194","3,610","3,083","2,805","2,561","2,098","1,839","1,780","1,697","1,675"
ACS,Children eligible for adoption who are adopted (%),66.60%,75.80%,76.70%,65.30%,61.00%,70.20%,73.10%,64.90%,69.90%,77.30%
ACS,Children entering foster care who are placed with relatives,18.90%,19.40%,21.40%,25.30%,28.10%,24.30%,24.50%,25.00%,27.00%,27.10%
ACS,Children in congregate care,"4,303","4,023","3,557","2,838","2,600","2,358","2,159","1,970","1,521","1,274"
ACS,Children in foster care who had one or fewer transfers from one facility to another (%),62.40%,60.50%,56.70%,55.00%,56.80%,58.60%,59.20%,58.20%,57.90%,57.80%
ACS,Children in foster kinship homes,"6,719","5,751","4,669","4,011","4,738","5,399","5,575","5,559","5,178","4,843"
ACS,Children in nonrelative foster boarding homes,"14,614","12,308","10,743","9,809","9,517","8,944","8,705","8,367","8,144","7,896"
ACS,Children in substantiated investigations with repeat substantiated investigations within a year (%) (Preliminary),9.10%,9.80%,11.50%,12.60%,14.70%,14.20%,14.70%,16.90%,17.10%,16.20%
ACS,Children placed in foster care in their borough,75.40%,72.40%,76.80%,74.10%,65.70%,54.00%,57.80%,58.80%,60.40%,57.90%
ACS,Children placed in foster care in their community,41.20%,43.10%,43.40%,38.00%,33.90%,29.10%,32.70%,31.20%,35.10%,33.50%
ACS,Children returned to parent(s) within 12 months (%),49.10%,49.10%,44.90%,55.60%,60.00%,66.80%,65.40%,64.20%,61.50%,62.20%
ACS,Children who re-enter foster care within a year of discharge to a family,9.30%,8.60%,8.70%,7.80%,11.40%,11.10%,14.10%,11.00%,11.20%,10.40%
ACS,Combined average length of stay (ALOS) in secure and non-secure detention (days),28,30,29,27,27,28,26,26,26,27
ACS,Contracted Family Child Care capacity filled (%),,,92.90%,97.90%,97.90%,98.40%,102.70%,102.50%,94.00%,89.60%
ACS,Contracted Group Child Care capacity filled (%),,,92.30%,87.90%,83.50%,85.60%,91.70%,85.60%,88.10%,86.70%
ACS,Cost per Head Start slot ($),"$8,762 ","$9,277 ","$8,808 ","$8,797 ","$10,272 ","$10,461 ","$10,820 ","$10,359 ","$11,271 ","$11,271 "
ACS,Cost per child care slot - Family child care (contract) ($),"$6,320 ","$5,775 ","$5,950 ","$6,942 ","$7,194 ","$7,306 ","$7,457 ","$7,910 ","$8,044 ","$8,185 "
ACS,Cost per child care slot - Family child care (voucher) ($),"$5,750 ","$5,710 ","$5,620 ","$6,085 ","$6,959 ","$7,048 ","$7,151 ","$8,590 ","$8,124 ","$8,207 "
ACS,Cost per child care slot - Group child care (contract) ($),"$8,522 ","$8,840 ","$8,337 ","$9,510 ","$13,214 ","$13,095 ","$12,710 ","$13,672 ","$13,995 ","$14,021 "
ACS,Cost per child care slot - Group child care (voucher) ($),"$6,677 ","$6,511 ","$6,615 ","$6,956 ","$9,675 ","$9,874 ","$10,080 ","$9,767 ","$9,926 ","$10,052 "
ACS,Cost per foster care case $ - Congregate care by level of need - Level 1,$126.19 ,$131.34 ,$134.90 ,$144.57 ,$191.93 ,$201.88 ,$213.44 ,$221.42 ,$252.76 ,$272.44 
ACS,Cost per foster care case $ - Congregate care by level of need - Level 2,$160.19 ,$165.79 ,$172.93 ,$186.29 ,$205.62 ,$215.82 ,$225.35 ,$231.76 ,$240.69 ,$316.09 
ACS,Cost per foster care case $ - Congregate care by level of need - Level 3,$180.95 ,$175.02 ,$182.95 ,$200.02 ,$262.00 ,$271.07 ,$294.63 ,$306.51 ,$311.59 ,$336.53 
ACS,Cost per foster care case $- Congregate care by level of need - Foster boarding home,$46.95 ,$49.10 ,$51.91 ,$54.58 ,$57.69 ,$63.46 ,$66.94 ,$68.35 ,$63.69 ,$66.57 
ACS,Escapes in secure detention,0,0,1,0,0,0,0,1,0,0
ACS,General healthcare cost per youth per day ($),$36 ,$41 ,$49 ,$59 ,$73 ,$83 ,$95 ,$88 ,$47 ,$52 
ACS,Head Start capacity filled (%),89.10%,92.20%,95.20%,94.70%,93.50%,92.00%,96.00%,96.10%,95.40%,95.00%
