BOROUGH,GRADE LEVEL,PROGRAM TYPE,CORE SUBJECT,SERVICE CATEGORY,CLASS SIZE,NUMBER OF CLASSES,NUMBER OF STUDENTS,PERCENT OF STUDENTS IN BOROUGH / GRADE / PROGRAM / SUBJECT
K,0K,GEN ED / CTT / G&T,-,-,<15,28,329,2%
K,0K,GEN ED / CTT / G&T,-,-,15,22,330,2%
K,0K,GEN ED / CTT / G&T,-,-,16,16,256,1%
K,0K,GEN ED / CTT / G&T,-,-,17,37,629,3%
K,0K,GEN ED / CTT / G&T,-,-,18,64,1152,6%
K,0K,GEN ED / CTT / G&T,-,-,19,60,1140,6%
K,0K,GEN ED / CTT / G&T,-,-,20,92,1840,9%
K,0K,GEN ED / CTT / G&T,-,-,21,77,1617,8%
K,0K,GEN ED / CTT / G&T,-,-,22,121,2662,13%
K,0K,GEN ED / CTT / G&T,-,-,23,100,2300,11%
K,0K,GEN ED / CTT / G&T,-,-,24,119,2856,14%
K,0K,GEN ED / CTT / G&T,-,-,25,137,3425,17%
K,0K,GEN ED / CTT / G&T,-,-,26,42,1092,5%
K,0K,GEN ED / CTT / G&T,-,-,27,19,513,2%
K,0K,GEN ED / CTT / G&T,-,-,28,10,280,1%
K,0K,GEN ED / CTT / G&T,-,-,29,5,145,1%
K,0K,GEN ED / CTT / G&T,-,-,30,3,90,0%
K,0K,GEN ED / CTT / G&T,-,-,>34,1,54,0%
K,01,GEN ED / CTT / G&T,-,-,<15,13,167,1%
K,01,GEN ED / CTT / G&T,-,-,15,16,240,1%
K,01,GEN ED / CTT / G&T,-,-,16,13,208,1%
K,01,GEN ED / CTT / G&T,-,-,17,26,442,2%
K,01,GEN ED / CTT / G&T,-,-,18,50,900,4%
K,01,GEN ED / CTT / G&T,-,-,19,69,1311,6%
K,01,GEN ED / CTT / G&T,-,-,20,66,1320,6%
K,01,GEN ED / CTT / G&T,-,-,21,82,1722,8%
K,01,GEN ED / CTT / G&T,-,-,22,121,2662,12%
K,01,GEN ED / CTT / G&T,-,-,23,132,3036,14%
K,01,GEN ED / CTT / G&T,-,-,24,100,2400,11%
K,01,GEN ED / CTT / G&T,-,-,25,96,2400,11%
K,01,GEN ED / CTT / G&T,-,-,26,79,2054,9%
K,01,GEN ED / CTT / G&T,-,-,27,39,1053,5%
K,01,GEN ED / CTT / G&T,-,-,28,26,728,3%
K,01,GEN ED / CTT / G&T,-,-,29,17,493,2%
K,01,GEN ED / CTT / G&T,-,-,30,8,240,1%
K,01,GEN ED / CTT / G&T,-,-,31,9,279,1%
K,01,GEN ED / CTT / G&T,-,-,32,6,192,1%
K,01,GEN ED / CTT / G&T,-,-,33,1,33,0%
K,01,GEN ED / CTT / G&T,-,-,34,1,34,0%
K,01,GEN ED / CTT / G&T,-,-,>34,1,39,0%
K,02,GEN ED / CTT / G&T,-,-,<15,15,202,1%
K,02,GEN ED / CTT / G&T,-,-,15,13,195,1%
K,02,GEN ED / CTT / G&T,-,-,16,16,256,1%
K,02,GEN ED / CTT / G&T,-,-,17,31,527,2%
K,02,GEN ED / CTT / G&T,-,-,18,27,486,2%
K,02,GEN ED / CTT / G&T,-,-,19,46,874,4%
K,02,GEN ED / CTT / G&T,-,-,20,74,1480,7%
K,02,GEN ED / CTT / G&T,-,-,21,75,1575,7%
K,02,GEN ED / CTT / G&T,-,-,22,78,1716,8%
K,02,GEN ED / CTT / G&T,-,-,23,106,2438,11%
K,02,GEN ED / CTT / G&T,-,-,24,120,2880,14%
K,02,GEN ED / CTT / G&T,-,-,25,114,2850,13%
K,02,GEN ED / CTT / G&T,-,-,26,77,2002,9%
K,02,GEN ED / CTT / G&T,-,-,27,48,1296,6%
K,02,GEN ED / CTT / G&T,-,-,28,32,896,4%
K,02,GEN ED / CTT / G&T,-,-,29,25,725,3%
K,02,GEN ED / CTT / G&T,-,-,30,15,450,2%
K,02,GEN ED / CTT / G&T,-,-,31,4,124,1%
K,02,GEN ED / CTT / G&T,-,-,32,8,256,1%
K,03,GEN ED / CTT / G&T,-,-,<15,16,197,1%
K,03,GEN ED / CTT / G&T,-,-,15,6,90,0%
K,03,GEN ED / CTT / G&T,-,-,16,10,160,1%
K,03,GEN ED / CTT / G&T,-,-,17,25,425,2%
K,03,GEN ED / CTT / G&T,-,-,18,38,684,3%
K,03,GEN ED / CTT / G&T,-,-,19,45,855,4%
