Police Department Disposition,2005,2006,2007,2008,2009
Guilty after trial,12%,2%,6%,1%,0%
Pleaded guilty,,,,,
      To charges and specifications,6%,10%,5%,6%,1%
      To charges and specifications,,,,,
           negotiated as command discipline,0%,3%,2%,1%,0%
      To command discipline,52%,68%,68%,43%,35%
Instructions,225%,160%,67%,42%,44%
Subtotal: Disciplinary Action,295%,243%,148%,93%,80%
Not guilty after trial,25%,13%,8%,6%,0%
Dismissed,14%,8%,1%,2%,0%
Department unable to prosecute,13%,56%,106%,55%,35%
Statute of limitations expired,7%,5%,12%,12%,12%
Department unable to prosecute,0%,0%,0%,0%,0%
Subtotal: No Disciplinary Action,59%,82%,127%,75%,47%
Cases Completed by NYPD,354%,325%,275%,168%,127%
Percent of Officers Disciplined in Completed NYPD Cases,83.3%,74.8%,53.8%,55.4%,63%
Filed*,17%,16%,10%,2%,2%
No action (pending),0%,6%,15%,49%,147%
Percent of Cases Still Pending at NYPD,0%,1.7%,5%,22.4%,53.3%
Total Number of Subject Officers,371%,347%,300%,219%,276%
"* ""Filed"" is a term used when the police department is not required to take action against the subject officer because the officer has resigned or retired from the department, or has been terminated.",,,,,
