EventName,EventTypeDescription,EventDescription,EventSetupStartDate,EventStartDate,EventEndDate,EventBreakDownEndDate,Acronym,IsRecurring,RecurringDaysNotes,Location,Borough,SpatialLocation
Ninth Avenue Association- 36th Annual 9th Ave Food Festival,Street Festival,Street Festival,5/15/10 9:00 AM,5/15/10 10:00 AM,5/16/10 6:00 PM,5/16/10 7:00 PM,SAPO,NO,, NINTH AVENUE between WEST   57 STREET and WEST   42 STREET,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (988207 219050, 986291 215593))"
PAL FESTIVAL,Street Festival,STREET FESTIVAL WITH VARIOUS PARTICIPANTS.,4/17/10 8:00 AM,4/17/10 10:00 AM,4/17/10 6:00 PM,4/17/10 7:00 PM,SAPO,NO,, UNIVERSITY PLACE between WAVERLY PLACE and EAST   14 STREET,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (985480 205496, 986546 207135))"
Gustavos Adolphus Lutheran Church/Third Ave Expo,Street Festival,STREET FESTIVAL WITH VARIOUS PARTICIPANTS,4/24/10 8:00 AM,4/24/10 10:00 AM,4/24/10 6:00 PM,4/24/10 7:00 PM,SAPO,NO,, THIRD AVENUE between EAST   23 STREET and EAST   34 STREET,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (988920 208453, 990312 210965))"
ZIUA USA - ROMANIAN DAY FESTIVAL,Street Festival,STREET FESTIVAL WITH VARIOUS PARTICIPANTS,5/1/10 8:00 AM,5/1/10 10:00 AM,5/1/10 6:00 PM,5/1/10 7:00 PM,SAPO,NO,," BROADWAY between FULTON STREET and BATTERY PLACE,  BROADWAY between MORRIS STREET and STONE STREET",Manhattan,"MULTILINESTRING ((980575 196444, 980570.40875435213 196373.75394158697, 981738 198272), (980594 195779, 980555 196138, 980570.40875435213 196373.75394158697, 980295 195926))"
OLS AT. PATRICK'S CATHEDRAL - ANNUAL VILLAGE FAIR,Street Festival,STREET FESTIVAL WITH VARIOUS PARTICIPANTS,5/2/10 8:00 AM,5/2/10 10:00 AM,5/2/10 6:00 PM,5/2/10 7:00 PM,SAPO,NO,, BROADWAY between WEST HOUSTON STREET and GRAND STREET,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (985145 203571, 984067 201898))"
"Festival Latino Americano Del Bronx, Inc.",Street Festival,Celebrating with the Latino Americano Cultural community.,7/10/10 8:00 AM,7/10/10 12:00 PM,7/11/10 8:00 PM,7/11/10 9:00 PM,SAPO,NO,,  CLAY AVENUE between EAST  173 STREET and CLAREMONT PARKWAY,Bronx,"GEOMETRYCOLLECTION (LINESTRING (1010552 246556, 1010368 245269))"
17TH PRCNT COMMUNITY COUNCIL LEXINGTON AVE. SPRING FEST.,Street Festival,STREET FESTIVAL WITH VARIOUS PARTICIPANTS.,5/29/10 8:00 AM,5/29/10 10:00 AM,5/29/10 6:00 PM,5/29/10 7:00 PM,SAPO,NO,, LEXINGTON AVENUE between EAST   42 STREET and EAST   57 STREET,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (990886 213048, 992801 216505))"
VALLEY RESTORATION LDC - AMSTERDAM AVENUE FESTIVAL,Street Festival,STREET FESTIVAL WITH VARIOUS PARTICIPANTS,5/9/10 8:00 AM,5/9/10 10:00 AM,5/9/10 6:00 PM,5/9/10 7:00 PM,SAPO,NO,, AMSTERDAM AVENUE between WEST   96 STREET and WEST  106 STREET,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (992455 228573, 993743 230900))"
GRAMERCY PARK NEIGHBORHOOD ASSOC. - GRAMERCY PARK NEIGHBORHOOD FESTIVAL,Street Festival,STREET FESTIVAL WITH VARIOUS PARTICIPANTS,5/8/10 8:00 AM,5/8/10 10:00 AM,5/8/10 6:00 PM,5/8/10 7:00 PM,SAPO,NO,, BROADWAY between EAST   17 STREET and EAST   23 STREET,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (986930 207834, 987263 209373))"
TWO BRIDGES NEIGHBORHOOD COUNCIL - LOWER 3RD AVENUE SPRING FESTIVAL,Street Festival,STREET FESTIVAL WITH VARIOUS PARTICIPANTS,6/12/10 8:00 AM,6/12/10 10:00 AM,6/12/10 6:00 PM,6/12/10 7:00 PM,SAPO,NO,,"  THIRD AVENUE between ASTOR PLACE and EAST   14 STREET,   COOPER SQUARE between ST MARKS PLACE and EAST    7 STREET",Manhattan,"GEOMETRYCOLLECTION (LINESTRING (987049 205072, 987803 206435), LINESTRING (987049 205072, 986925 204844))"
C.B.NO. 1 - NYC BUSINESS EXPO,Street Festival,STREET FESTIVAL WITH VARIOUS PARTICIPANTS,5/21/10 8:00 AM,5/21/10 10:00 AM,5/21/10 6:00 PM,5/21/10 7:00 PM,SAPO,NO,, GREENWICH STREET between BARCLAY STREET and WARREN STREET,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (981004 199281, 981171 199986))"
CHABAD OF WALL ST. CIVIC COMMUNITY FAIR,Street Festival,STREET FAIR WITH VARIOUS PARTICIPANTS,5/7/10 8:00 AM,5/7/10 10:00 AM,5/7/10 6:00 PM,5/7/10 7:00 PM,SAPO,NO,, MURRAY STREET between BROADWAY and CHURCH STREET,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (982247 199062, 981802 199332))"
IND. PLAZA TENANTS ASSOC. - TRIBECA COMMUNITY FAIR,Street Festival,STREET FESTIVAL WITH VARIOUS PARTICIPANTS,6/4/10 8:00 AM,6/4/10 10:00 AM,6/4/10 6:00 PM,6/4/10 7:00 PM,SAPO,NO,, WEST BROADWAY between BARCLAY STREET and WARREN STREET,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (981201 199162, 981566 199751))"
13TH PRCNT. COMMUNITY COUNCIL - SUMMER FAIR,Street Festival,STREET FESTIVAL WITH VARIOUS PARTICIPANTS,5/22/10 8:00 AM,5/22/10 10:00 AM,5/22/10 6:00 PM,5/22/10 7:00 PM,SAPO,NO,, LEXINGTON AVENUE between EAST   23 STREET and EAST   34 STREET,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (988478 208701, 989868 211212))"
COALITION OF ITALO-AMERICAN ASSOC.TIMES SQUARE FAIR,Street Festival,STREET FESTIVAL WITH VARIOUS PARTICIPANTS,5/23/10 8:00 AM,5/23/10 10:00 AM,5/23/10 6:00 PM,5/23/10 7:00 PM,SAPO,NO,, BROADWAY between WEST   47 STREET and WEST   57 STREET,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (988386 215944, 989278 218456))"
Cyclone Roller Coaster,Block Party,Opening Day,3/28/10 9:00 AM,3/28/10 11:00 AM,3/28/10 3:00 PM,3/28/10 5:00 PM,SAPO,NO,, WEST   10 STREET between SURF AVENUE and BOARDWALK,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (990398 148922, 990328 148162))"
INNOVATIVE COMMUNITY ENT. - MADISON AVENUE COMMUNITY EXPO,Street Festival,STREET FESTIVAL WITH VARIOUS PARTICIPANTS,5/31/10 8:00 AM,5/31/10 10:00 AM,5/31/10 6:00 PM,5/31/10 7:00 PM,SAPO,NO,, MADISON AVENUE between EAST   42 STREET and EAST   57 STREET,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (989989 213543, 991906 217000))"
C.B. NO. 1 - FINANCIAL COMMUNITY FESTIVAL SERIES,Street Festival,STREET FESTIVAL WITH VARIOUS PARTICIPANTS,5/14/10 8:00 AM,5/14/10 10:00 AM,5/14/10 6:00 PM,5/14/10 7:00 PM,SAPO,NO,, MAIDEN LANE between WATER STREET and SOUTH STREET,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (982581 196543, 982933 196211))"
BELLEVUE SOUTH COMMUNITY ASSOC.-LEXINGTON AVENUE SPRING JUBILEE,Street Festival,STREET FESTIVAL WITH VARIOUS PARTICIPANTS,5/30/10 8:00 AM,5/30/10 10:00 AM,5/30/10 6:00 PM,5/30/10 7:00 PM,SAPO,NO,, LEXINGTON AVENUE between EAST   23 STREET and EAST   34 STREET,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (988478 208701, 989868 211212))"
SEAFARERS  INT. HOUSE - THIRD AVENUE FAIR,Street Festival,STREET FESTIVAL WITH VARIOUS PARTICIPANTS,5/16/10 8:00 AM,5/16/10 10:00 AM,5/16/10 6:00 PM,5/16/10 7:00 PM,SAPO,NO,, THIRD AVENUE between EAST   14 STREET and EAST   23 STREET,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (987803 206435, 988920 208453))"
USO - AVENUE OF THE AMERICAS SUMMER FESTIVAL,Street Festival,STREET FESTIVAL WITH VARIOUS PARTCIPANTS,7/3/10 8:00 AM,7/3/10 10:00 AM,7/3/10 6:00 PM,7/3/10 7:00 PM,SAPO,NO,, AVENUE OF THE AMERICAS between WEST   42 STREET and WEST   56 STREET,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (988650 214286, 990431 217494))"
NATIONAL ETHNIC COALITION OF ORG. - NYC CELEBRATION OF NATIONS FEST.,Street Festival,STREET FESTIVAL WITH VARIOUS PARTCIPANTS,7/11/10 8:00 AM,7/11/10 10:00 AM,7/11/10 6:00 PM,7/11/10 7:00 PM,SAPO,NO,,  MADISON AVENUE between EAST   42 STREET and EAST   57 STREET,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (989989 213543, 991906 217000), LINESTRING (989989 213543, 991906 217000))"
FAB Festival and Block Party,Block Party,"The FAB! Festival & Block Party is a one day performing arts festival that highlights the upcoming work of local performing & visual artists. With performances and workshops for people of all ages, this festival kicks off the fall season on East 4th Street.",9/25/10 8:00 AM,9/25/10 1:00 PM,9/25/10 5:00 PM,9/25/10 7:00 PM,SAPO,NO,, EAST    4 STREET between BOWERY and SECOND AVENUE,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (986593 204175, 987180 203846))"
INT. IMMIGRANTS FOUNDATION - INTERNATIONAL CULTURES FESTIVAL,Street Festival,STREET FESTIVAL WITH VARIOUS PARTCIPANTS,6/5/10 8:00 AM,6/5/10 10:00 AM,6/5/10 6:00 PM,6/5/10 7:00 PM,SAPO,NO,, AVENUE OF THE AMERICAS between WEST   42 STREET and WEST   56 STREET,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (988650 214286, 990431 217494))"
EAST 55TH ST. SYNAGOGUE - LEXINGTON AVENUE SUMMER FEST.,Street Festival,STREET FESTIVAL WITH VARIOUS PARTCIPANTS,8/8/10 8:00 AM,8/8/10 10:00 AM,8/8/10 6:00 PM,8/8/10 7:00 PM,SAPO,NO,, LEXINGTON AVENUE between EAST   42 STREET and EAST   57 STREET,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (990886 213048, 992801 216505))"
AVE. OF THE AMER. ASSOC. - FESTIVAL OF THE AMERICAS,Street Festival,STREET FESTIVAL WITH VARIOUS PARTCIPANTS,7/31/10 8:00 AM,7/31/10 10:00 AM,7/31/10 6:00 PM,7/31/10 7:00 PM,SAPO,NO,, AVENUE OF THE AMERICAS between WEST   42 STREET and WEST   56 STREET,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (988650 214286, 990431 217494))"
THE WORKMEN'S CIRCLE - MADISON AVENUE SUMMER FAIR,Street Festival,STREET FESTIVAL WITH VARIOUS PARTCIPANTS,8/15/10 8:00 AM,8/15/10 10:00 AM,8/15/10 6:00 PM,8/15/10 7:00 PM,SAPO,NO,, MADISON AVENUE between EAST   42 STREET and EAST   57 STREET,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (989989 213543, 991906 217000))"
EAST SIDE RE-ZONING ALLIANCE - EAST SIDE SUMMER FESTIVAL,Street Festival,STREET FESTIVAL WITH VARIOUS PARTCIPANTS,7/17/10 8:00 AM,7/17/10 10:00 AM,7/17/10 6:00 PM,7/17/10 7:00 PM,SAPO,NO,, LEXINGTON AVENUE between EAST   42 STREET and EAST   57 STREET,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (990886 213048, 992801 216505))"
BRAZILIAN AMERICAN CULTURAL CNT. - BRAZILIAN DAY FESTIVAL,Street Festival,STREET FESTIVAL WITH VARIOUS PARTCIPANTS,9/5/10 8:00 AM,9/5/10 10:00 AM,9/5/10 6:00 PM,9/5/10 7:00 PM,SAPO,NO,," AVENUE OF THE AMERICAS between WEST   42 STREET and WEST   56 STREET,   EAST   46 STREET between MADISON AVENUE and 5 AVENUE,   WEST   46 STREET between 5 AVENUE and 7 AVENUE",Manhattan,"GEOMETRYCOLLECTION (LINESTRING (988650 214286, 990431 217494), LINESTRING (990507 214474, 990061 214720), LINESTRING (990061 214720, 988382 215651))"
ANCIENCT ORDER OF HIBERNIANS - THE GREAT IRISH FESTIVAL,Street Festival,STREET FESTIVAL WITH VARIOUS PARTCIPANTS,8/21/10 8:00 AM,8/21/10 10:00 AM,8/21/10 6:00 PM,8/21/10 7:00 PM,SAPO,NO,, AVENUE OF THE AMERICAS between WEST   42 STREET and WEST   56 STREET,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (988650 214286, 990431 217494))"
TURTLE BAY ASSOC. - TURTLE BAY FESTIVAL,Street Festival,STREET FESTIVAL WITH VARIOUS PARTCIPANTS,6/20/10 8:00 AM,6/20/10 10:00 AM,6/20/10 6:00 PM,6/20/10 7:00 PM,SAPO,NO,, LEXINGTON AVENUE between EAST   42 STREET and EAST   54 STREET,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (990886 213048, 992413 215802))"
St. George Festival/St. George Ukrainian Church,Street Festival,Church and school fundraiser and street festival,5/13/10 8:00 AM,5/14/10 4:00 PM,5/16/10 6:00 PM,5/17/10 8:00 AM,SAPO,NO,,  EAST    7 STREET between COOPER SQUARE and 2 AVENUE,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (986925 204844, 987543 204498))"
CONGRESS OF RACIAL EQUALITY - C.O.R.E. HEALTH EXPO,Street Festival,STREET FESTIVAL WITH VARIOUS PARTCIPANTS,8/1/10 8:00 AM,8/1/10 10:00 AM,8/1/10 6:00 PM,8/1/10 7:00 PM,SAPO,NO,, BROADWAY between WEST   47 STREET and WEST   57 STREET,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (988386 215944, 989278 218456))"
BIG APPLE PERFORMINGS ARTS - THE BIG APPLE PERFORMING ARTS FESTIVAL,Street Festival,STREET FESTIVAL WITH VARIOUS PARTCIPANTS,8/29/10 8:00 AM,8/29/10 10:00 AM,8/29/10 6:00 PM,8/29/10 7:00 PM,SAPO,NO,, BROADWAY between WEST   47 STREET and WEST   57 STREET,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (988386 215944, 989278 218456))"
TUDOR CITY ASSOC. - TUDOR CITY FESTIVAL,Street Festival,STREET FESTIVAL WITH VARIOUS PARTCIPANTS,9/12/10 8:00 AM,9/12/10 10:00 AM,9/12/10 6:00 PM,9/12/10 7:00 PM,SAPO,NO,, LEXINGTON AVENUE between EAST   42 STREET and EAST   52 STREET,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (990886 213048, 992159 215346))"
MIDTOWN NORTH COMMUNITY COUNCIL - 8TH AVENUE AUTUMN FESTIVAL,Street Festival,STREET FESTIVAL WITH VARIOUS PARTCIPANTS,10/10/10 8:00 AM,10/10/10 10:00 AM,10/10/10 6:00 PM,10/10/10 7:00 PM,SAPO,NO,, 8 AVENUE between WEST   42 STREET and WEST   57 STREET,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (987078 215157, 988993 218612))"
47TH STREET BLOCK ASSOC. ET AL -,Street Festival,STREET FESTIVAL WITH VARIOUS PARTCIPANTS,9/19/10 8:00 AM,9/19/10 10:00 AM,9/19/10 6:00 PM,9/19/10 7:00 PM,SAPO,NO,, 8 AVENUE between WEST   42 STREET and WEST   57 STREET,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (987078 215157, 988993 218612))"
GLOBAL ROLE MODELS - AVENUE OF THE AMERICAS FAMILY EXPO,Street Festival,STREET FESTIVAL WITH VARIOUS PARTCIPANTS,10/9/10 8:00 AM,10/9/10 10:00 AM,10/9/10 6:00 PM,10/9/10 7:00 PM,SAPO,NO,, AVENUE OF THE AMERICAS between WEST   42 STREET and WEST   56 STREET,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (988650 214286, 990431 217494))"
THE GUARDIAN ANGELS - TIMES SQUARE GUARDIAN ANGELS FAIR,Street Festival,STREET FESTIVAL WITH VARIOUS PARTCIPANTS,9/18/10 8:00 AM,9/18/10 10:00 AM,9/18/10 6:00 PM,9/18/10 7:00 PM,SAPO,NO,, BROADWAY between WEST   47 STREET and WEST   57 STREET,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (988386 215944, 989278 218456))"
CATEDRAL HIGH SCHOOL - NYC OKTOBERFEST,Street Festival,STREET FESTIVAL WITH VARIOUS PARTCIPANTS,10/3/10 8:00 AM,10/3/10 10:00 AM,10/3/10 6:00 PM,10/3/10 7:00 PM,SAPO,NO,, LEXINGTON AVENUE between EAST   42 STREET and EAST   57 STREET,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (990886 213048, 992801 216505))"
C.O.R.E. - BROADWAY AUTUMN FAIR,Street Festival,STREET FESTIVAL WITH VARIOUS PARTCIPANTS,9/25/10 8:00 AM,9/25/10 10:00 AM,9/25/10 6:00 PM,9/25/10 7:00 PM,SAPO,NO,, BROADWAY between WAVERLY PLACE and EAST   14 STREET,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (986118 205082, 986812 206998))"
ST. BARTHOLOWE'S CHURCH - MIDTOWN FAIR,Street Festival,STREET FESTIVAL WITH VARIOUS PARTCIPANTS,9/4/10 8:00 AM,9/4/10 10:00 AM,9/4/10 6:00 PM,9/4/10 7:00 PM,SAPO,NO,,"  WEST   52 STREET between FIFTH AVENUE and 7 AVENUE,   EAST   52 STREET between FIFTH AVENUE and LEXINGTON AVENUE",Manhattan,"GEOMETRYCOLLECTION (LINESTRING (990819 216088, 989139 217019), LINESTRING (990819 216088, 992159 215346))"
