Entity Type,License Number,Entity Name,Camis Trade Name,Address Bldg,Address Street Name,Address Location,Address City,Address State,Address Zip Code,Telephone Number,Location
ELECTRONICS STORE,800057,CAMERA LAND INC,,575,LEXINGTON AVENUE,,NEW YORK,NY,10022,2127535128,"LEXINGTON AVENUE
NEW YORK, NY 10022
(40.7588057463651, -73.9680023077056)"
ELECTRONICS STORE,800284,LE PETIT INC,,501,5 AVENUE,,NEW YORK,NY,10017,2128677631,"5 AVENUE
NEW YORK, NY 10017
(40.7522496887715, -73.9731014636117)"
ELECTRONICS STORE,854899,SAM ASH MUSIC CORP,,166,WEST   48 STREET,,NEW YORK,NY,10036,5169326400,"WEST   48 STREET
NEW YORK, NY 10036
(40.7593273531421, -73.9898738194582)"
ELECTRONICS STORE,888898,V B MANAGEMENT INC,PENDING-BROADWAY COMPUTER & VIDEO,1619,BROADWAY,,NEW YORK,NY,10019,2123076260,"BROADWAY
NEW YORK, NY 10019
(40.7663420649706, -73.9887856398027)"
ELECTRONICS STORE,899790,P C RICHARD & SON   L I CORP,,113-14,QUEENS BOULEVARD,,QUEENS,NY,11375,7188434355,"QUEENS BOULEVARD
QUEENS, NY 11375
(40.7209712685924, -73.8430684913952)"
ELECTRONICS STORE,899793,P C RICHARD & SON L I CORP,P C RICHARD & SON,35-18,STEINWAY STREET,,QUEENS,NY,11101,7188434355,"STEINWAY STREET
QUEENS, NY 11101
(40.7434723057655, -73.9360493960045)"
ELECTRONICS STORE,900235,RADIOSHACK CORPORATION,RADIO SHACK,1213 A,EAST  233 STREET,STORE #2673,BRONX,NY,10466,8173903116,"EAST  233 STREET
BRONX, NY 10466
(40.8922921151741, -73.8450020337582)"
ELECTRONICS STORE,900251,RADIOSHACK CORPORATION,,240,WEST   72 STREET,,NEW YORK,NY,10023,8173903116,"WEST   72 STREET
NEW YORK, NY 10023
(40.7737794581529, -73.9787941720572)"
ELECTRONICS STORE,900261,RADIOSHACK CORPORATION,,1668,1 AVENUE,STORE #2804,MANHATTAN,NY,10128,8173903116,"1 AVENUE
MANHATTAN, NY 10128
(40.7822690581095, -73.9512209586388)"
ELECTRONICS STORE,900286,RADIOSHACK CORPORATION,,110,MONTAGUE STREET,,BROOKLYN,NY,11201,8173903116,"MONTAGUE STREET
BROOKLYN, NY 11201
(40.6959970958388, -73.9990109312758)"
ELECTRONICS STORE,901503,FOTO-CARE LTD,,41,WEST   22ND STREET,,NEW YORK,NY,10010,2127412990,"WEST   22ND STREET
NEW YORK, NY 10010
(40.7387688515523, -73.9829400466123)"
ELECTRONICS STORE,903197,RENAISSANCE CAMERAS ELECTRONICS &  COMPUTERS LTD,RENAISSANCE T-SHIRTS & SWEATSHIRTS,914,7 AVENUE,,NEW YORK,NY,10019,2122459387,"7 AVENUE
NEW YORK, NY 10019
(40.7663420649706, -73.9887856398027)"
ELECTRONICS STORE,904209,TAJ MAHAL CAR STEREO AND AUDIO INC,,332,CANAL STREET,,NEW YORK,NY,10013,2122191300,"CANAL STREET
NEW YORK, NY 10013
(40.716753448275, -73.9973921516231)"
ELECTRONICS STORE,911076,"PARKS, ALFREDO",ALF SOUND & VIDEO TEQ CO,181,UTICA AVENUE,,BROOKLYN,NY,11213,7187564369,"UTICA AVENUE
BROOKLYN, NY 11213
(40.6686756925886, -73.9311301045043)"
ELECTRONICS STORE,918241,RADIOSHACK CORPORATION,,2041,86 STREET,STORE 2703,BROOKLYN,NY,11214,8173903116,"86 STREET
BROOKLYN, NY 11214
(40.6040594047834, -74.0010254126215)"
ELECTRONICS STORE,918757,APPLIANCE CONNECTION INC,APPLIANCE CONNECTION SERVICE,951,EAST  233 STREET,,BRONX,NY,10466,7183245252,"EAST  233 STREET
BRONX, NY 10466
(40.8922921151741, -73.8450020337582)"
ELECTRONICS STORE,920119,SAMSONIC TRADING CO INC,SAMSONIC TRADING CO,160,WEST   28 STREET,,NEW YORK,NY,10001,,"WEST   28 STREET
NEW YORK, NY 10001
(40.749686620988, -73.9961510872227)"
ELECTRONICS STORE,927099,RADIOSHACK CORPORATION,,1477,THIRD AVENUE,,NEW YORK,NY,10028,8173903116,"THIRD AVENUE
NEW YORK, NY 10028
(40.7761536683103, -73.9525789349031)"
ELECTRONICS STORE,928357,DATA VISION COMPUTER VIDEO INC,,445,FIFTH AVENUE,,NEW YORK,NY,10016,2126897171,"FIFTH AVENUE
NEW YORK, NY 10016
(40.7449022277921, -73.9780927008744)"
ELECTRONICS STORE,930229,COMP DIRECT INC,BARRETT'S COMPUTER WAREHOUSE,417,FIFTH AVENUE,,NEW YORK,NY,10016,2126964443,"FIFTH AVENUE
NEW YORK, NY 10016
(40.7449022277921, -73.9780927008744)"
ELECTRONICS STORE,947648,CONCORD RADIO COMMUNICATIONS INC,,712,3 AVENUE,1ST LEVEL,BROOKLYN,NY,11232,7189656150,"3 AVENUE
BROOKLYN, NY 11232
(40.6551588824883, -74.0028690227816)"
ELECTRONICS STORE,955122,"KOSASHVILI, SHALVA",CANAL S & G ELECTRONICS,353,CANAL STREET,,NEW YORK,NY,10013,2129659279,"CANAL STREET
NEW YORK, NY 10013
(40.716753448275, -73.9973921516231)"
ELECTRONICS STORE,960850,"COMPUTER ADD-ONS, INC",,143-16,45 AVENUE,,FLUSHING,NY,11355,7189397976,"45 AVENUE
FLUSHING, NY 11355
(40.7509546650493, -73.8227348203127)"
ELECTRONICS STORE,965065,"FOCUS ELECTRONICS, INC.",,4509-4523,13TH AVE,,BROOKLYN,NY,11219,7188717600,"13TH AVE
BROOKLYN, NY 11219
(40.6279723775425, -73.9994515990702)"
ELECTRONICS STORE,966944,ELECTRONIC OUTLET OF FORDHAM ROAD INC,,330,EAST FORDHAM ROAD,,BROOKLYN,NY,10458,7182203360,"EAST FORDHAM ROAD
BROOKLYN, NY 10458
(40.8582617695853, -73.8847700538939)"
ELECTRONICS STORE,969358,ULTIMATE BEEPERS INC,,89-02,165 STREET,BOOTH MW1,JAMAICA,NY,11432,7186579404,"165 STREET
JAMAICA, NY 11432
(40.7131921330389, -73.7928233696182)"
ELECTRONICS STORE,971056,CIRCUIT CITY STORES INC,CIRCUIT CITY #3686,96-05,QUEENS BOULEVARD,,REGO PARK,NY,11374,8045274000,"QUEENS BOULEVARD
REGO PARK, NY 11374
(40.7270776651714, -73.8537974032048)"
ELECTRONICS STORE,979274,KINGSBRIDGE COMPUTER MANAGEMENT INC,MICROSYS COMPUTER INC,275,WEST  231 STREET,,BRONX,NY,10463,7185438686,"WEST  231 STREET
BRONX, NY 10463
(40.870222752575, -73.9060659995477)"
