PROGRAM TYPE,PROGRAM,SITE NAME,BOROUGH / COMMUNITY,AGENCY,Contact Number,Grade Level / Age Group ,Location 1
"Immigration Services,Immigrant Support Services",Domestic Violence Program,New York Legal Assistance Group (NYLAG),Manhattan,New York Legal Assistance Group (NYLAG),212.613.5000,All Ages,"450 33rd St
Manhattan, NEW YORK 10001
(40.75347794565972, -73.99864692871675)"
"Immigration Services,Immigrant Support Services",Domestic Violence Program,Jewish Board of Family and Children Services (JBFCS)-Genesis,Manhattan,New York Legal Assistance Group (NYLAG),212.613.5098,Adult,"594 Manhattan
NEW YORK 10018
(40.756840774582145, -73.99669149981281)"
"Immigration Services,Immigrant Support Services",Domestic Violence Program,Jewish Board of Family and Children Services -  Domestic Violence Coordination and Training,Bronx,New York Legal Assistance Group (NYLAG),212.613.5098,Adult,"750 Astor Avenue
Bronx, NEW YORK 10467
(40.859547368357966, -73.86555918636485)"
"Immigration Services,Immigrant Support Services",Domestic Violence Program,Jewish Board of Family and Children Services - Horizons,Brooklyn,New York Legal Assistance Group (NYLAG),212.613.5098,Adult,"060280 Brooklyn
NEW YORK 11206
(40.70191201682616, -73.94237919854112)"
"Immigration Services,Immigrant Support Services",Domestic Violence Program,Edith and Carl Marks Jewish Community House of Bensonhurst,Brooklyn,New York Legal Assistance Group (NYLAG),212.613.5000,All Ages,"7802 Bay Parkway
Brooklyn, NEW YORK 11214
(40.606424326705934, -73.98919274272059)"
"Immigration Services,Immigrant Support Services",Domestic Violence Program,Jewish Board of Family and Children Services  - Transition Center,Queens,New York Legal Assistance Group (NYLAG),212.613.5098,Adult,"629 Far
Queens, NEW YORK 11691
(40.600614338480966, -73.76256777468302)"
"Immigration Services,Immigrant Support Services",Domestic Violence Program,CONNECT,Manhattan,Safe Space,212.206.3440 ext. 237,All Ages,"3 29th Street
Manhattan, NEW YORK 10001
(40.74552271604756, -73.987242979944)"
"Immigration Services,Immigrant Support Services",Domestic Violence Program,The Child Center of NY ? WIA Office,Jamaica,Safe Space,212.206.3440 ext. 237,All Ages,"163 18 Jamaica Av
Jamaica, NEW YORK 11432
(40.71311535449007, -73.79282099978928)"
"Immigration Services,Immigrant Support Services",Domestic Violence Program,Safe Space - Family Resource Center (Jamaica),Queens,Safe Space,718.785.9062,All Ages,"90 25 161st Street
Queens, NEW YORK 11432
(40.71311535449007, -73.79282099978928)"
"Immigration Services,Immigrant Support Services",Domestic Violence Program,Sanctuary for Families,Manhattan,Sanctuary for Families,212.349.6009          ,All Ages,"1406 Wall Street Station
Manhattan, NEW YORK 10268
(40.70545300025583, -74.00695600011926)"
