Grade,Year,Demographic,Number Tested,Mean Scale Score,Num Level 1,Pct Level 1,Num Level 2,Pct Level 2,Num Level 3,Pct Level 3,Num Level 4,Pct Level 4,Num Level 3 and 4,Pct Level 3 and 4
3,2006,ELL,13842,653,2436,17.6,3437,24.8,6735,48.7,1234,8.9,7969,57.6
3,2007,ELL,13781,666,1454,10.6,2804,20.3,7576,55,1947,14.1,9523,69.1
3,2008,ELL,12689,672,630,5,2007,15.8,8630,68,1422,11.2,10052,79.2
3,2009,ELL,13114,676,314,2.4,1640,12.5,9508,72.5,1652,12.6,11160,85.1
3,2010,ELL,13599,678,2843,20.9,5685,41.8,3628,26.7,1443,10.6,5071,37.3
3,2011,ELL,13193,675,2777,21,5844,44.3,4137,31.4,435,3.3,4572,34.7
3,2012,ELL,12238,676,2669,21.8,5052,41.3,4048,33.1,469,3.8,4517,36.9
4,2006,ELL,10435,643,2600,24.9,3013,28.9,4192,40.2,630,6,4822,46.2
4,2007,ELL,12051,651,2174,18,3440,28.5,5551,46.1,886,7.4,6437,53.4
4,2008,ELL,11319,659,1397,12.3,2694,23.8,6226,55,1002,8.9,7228,63.9
4,2009,ELL,11164,669,994,8.9,2042,18.3,6354,56.9,1774,15.9,8128,72.8
4,2010,ELL,12459,667,1751,14.1,5968,47.9,3601,28.9,1139,9.1,4740,38
4,2011,ELL,12185,668,1762,14.5,5359,44,3973,32.6,1091,9,5064,41.6
4,2012,ELL,11733,670,1651,14.1,4771,40.7,3929,33.5,1382,11.8,5311,45.3
5,2006,ELL,9947,634,3029,30.5,3495,35.1,2985,30,438,4.4,3423,34.4
5,2007,ELL,9776,644,2017,20.6,3337,34.1,3799,38.9,623,6.4,4422,45.2
5,2008,ELL,9566,654,1218,12.7,2680,28,4854,50.7,814,8.5,5668,59.3
5,2009,ELL,9955,664,661,6.6,2229,22.4,5686,57.1,1379,13.9,7065,71
5,2010,ELL,10425,664,1707,16.4,4890,46.9,2966,28.5,862,8.3,3828,36.7
5,2011,ELL,10624,665,1864,17.5,4856,45.7,3116,29.3,788,7.4,3904,36.7
5,2012,ELL,10257,665,1946,19,4182,40.8,3097,30.2,1032,10.1,4129,40.3
6,2006,ELL,8419,621,3440,40.9,2874,34.1,1846,21.9,259,3.1,2105,25
6,2007,ELL,8772,633,2730,31.1,3011,34.3,2670,30.4,361,4.1,3031,34.6
6,2008,ELL,8192,644,1493,18.2,2768,33.8,3447,42.1,484,5.9,3931,48
6,2009,ELL,8757,652,1182,13.5,2800,32,4121,47.1,654,7.5,4775,54.5
6,2010,ELL,9153,651,2546,27.8,4399,48.1,1651,18,557,6.1,2208,24.1
6,2011,ELL,9531,657,2420,25.4,4217,44.2,2249,23.6,645,6.8,2894,30.4
6,2012,ELL,8890,655,2219,25,3906,43.9,2027,22.8,738,8.3,2765,31.1
