BRONX – COOPERATIVES COMPARABLE PROPERTIES – Boro-Block-Lot,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Address,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Neighborhood,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Building Classification,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Total Units,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Year Built,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Gross SqFt,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Est. Gross Income,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Gross Income per SqFt,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Full Market Value,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Market Value per SqFt,COMPARABLE RENTAL – 1 –Boro-Block-Lot,COMPARABLE RENTAL – 1 –Address,COMPARABLE RENTAL – 1 –Neighborhood,COMPARABLE RENTAL – 1 –Building Classification,COMPARABLE RENTAL – 1 –Total Units,COMPARABLE RENTAL – 1 –Year Built,COMPARABLE RENTAL – 1 –Gross SqFt,COMPARABLE RENTAL – 1 –Est. Gross Income,COMPARABLE RENTAL – 1 –Gross Income per SqFt,COMPARABLE RENTAL – 1 –Full Market Value,COMPARABLE RENTAL – 1 –Market Value per SqFt,COMPARABLE RENTAL – 1 –Dist. from Coop in miles,COMPARABLE RENTAL – 2 –Boro-Block-Lot,COMPARABLE RENTAL – 2 –Address,COMPARABLE RENTAL – 2 –Neighborhood,COMPARABLE RENTAL – 2 –Building Classification,COMPARABLE RENTAL – 2 –Total Units,COMPARABLE RENTAL – 2 –Year Built,COMPARABLE RENTAL – 2 –Gross SqFt,COMPARABLE RENTAL – 2 –Est. Gross Income,COMPARABLE RENTAL – 2 –Gross Income per SqFt,COMPARABLE RENTAL – 2 –Full Market Value,COMPARABLE RENTAL – 2 –Market Value per SqFt,COMPARABLE RENTAL – 2 –Dist. from Coop in miles
2-02290-0001,"401 145 STREET
Bronx, NY
(40.82557699997852, -73.91844899972153)",MOTT HAVEN/PORT MORRIS,C6-WALK-UP,13,1910,10789,99151,9.19,280000,26,2-02550-0007,"218 ST ANN'S AVENUE
Bronx, NY
(40.80635278553079, -73.91777134483357)",MOTT HAVEN/PORT MORRIS,C7-WALK-UP,16,1910,13440,103987,7.74,319000,23.74,0.5,,,,,,,,,,,,
2-02293-0041,"426 149 STREET
Bronx, NY
(40.815586003474664, -73.91658913224703)",MOTT HAVEN/PORT MORRIS,C6-WALK-UP,11,1905,10845,130140,12,368000,33.9,2-02283-0062,"495 138 STREET
Bronx, NY
(40.80776740524126, -73.91965370959586)",MOTT HAVEN/PORT MORRIS,C7-WALK-UP,11,1931,9370,120310,12.84,452000,48.2,0.5,2-02265-0006,"231 BROOK AVENUE
Bronx, NY
(40.80755047250436, -73.91927853781365)",MOTT HAVEN/PORT MORRIS,C7-WALK-UP,37,1920,25460,402667,15.82,1640000,64,0.55
2-02301-0004,"330 139 STREET
Bronx, NY
(40.81069298762525, -73.92462634274597)",MOTT HAVEN/PORT MORRIS,C6-WALK-UP,11,1931,9415,112980,12,319000,33.9,2-02301-0023,"386 139 STREET
Bronx, NY
(40.809935998442064, -73.92282965099723)",MOTT HAVEN/PORT MORRIS,C7-WALK-UP,19,1905,11550,136024,11.78,480000,41.6,0,2-02301-0025,"245 WILLIS AVENUE
Bronx, NY
(40.8093524736852, -73.92275747647011)",MOTT HAVEN/PORT MORRIS,C7-WALK-UP,12,1931,8735,75861,8.68,250000,28.6,0
2-02360-0070,"530 159 STREET
Bronx, NY
(40.82138198884924, -73.91077726081927)",MORRISANIA/LONGWOOD,C6-WALK-UP,46,1928,46210,438995,9.5,1240000,26.8,2-02646-0036,"751 156 STREET
Bronx, NY
(40.81819275306702, -73.90624895084154)",MORRISANIA/LONGWOOD,C7-WALK-UP,25,1906,21834,180142,8.25,594000,27.2,0.25,2-02746-0015,"940 HOE AVENUE
Bronx, NY
(40.8219057051178, -73.89027383298013)",MORRISANIA/LONGWOOD,C1-WALK-UP,62,1913,49475,489483,9.89,1380000,27.9,1.1
2-02373-0043,"3531 3 AVENUE
Bronx, NY
(40.82557699997852, -73.91844899972153)",MORRISANIA/LONGWOOD,C6-WALK-UP,15,1920,12651,113859,9,322000,25.5,2-02410-0009,"600 MORRIS AVENUE
Bronx, NY
(40.81857169405948, -73.92218921682765)",MELROSE/CONCOURSE,C7-WALK-UP,13,1920,8958,76193,8.51,251000,28,1.25,2-02430-0033,"1191 CLAY AVENUE
Bronx, NY
(40.83192503007201, -73.91091398535674)",MELROSE/CONCOURSE,C1-WALK-UP,12,1929,11500,123050,10.7,416000,36.2,0.3
2-02375-0029,"425 153 STREET
Bronx, NY
(40.818768553987205, -73.91596089641712)",MORRISANIA/LONGWOOD,C6-WALK-UP,25,1912,17220,158424,9.2,447000,26,2-02669-0042,"991 UNION AVENUE
Bronx, NY
(40.82377785437397, -73.90146942766143)",MORRISANIA/LONGWOOD,C1-WALK-UP,21,1905,20855,198540,9.52,561000,26.9,0.75,,,,,,,,,,,,
2-02410-0031,"318 151 STREET
Bronx, NY
(40.81830039334598, -73.9203135874597)",MELROSE/CONCOURSE,C6-WALK-UP,12,1918,6948,83376,12,236000,34,2-02439-0022,"275 168 STREET
Bronx, NY
(40.83363492298151, -73.91358574377372)",MELROSE/CONCOURSE,C7-WALK-UP,23,1914,18936,202615,10.7,685000,36.2,1.2,2-02680-0017,"1130 UNION AVENUE
Bronx, NY
(40.82702745673839, -73.90003847697997)",MORRISANIA/LONGWOOD,C7-WALK-UP,17,1908,9716,138533,14.26,549000,57,1.3
2-02410-0032,"320 151 STREET
Bronx, NY
(40.81828155380546, -73.92024088615592)",MELROSE/CONCOURSE,C6-WALK-UP,12,1918,7560,90720,12,256000,33.9,2-02439-0022,"275 168 STREET
Bronx, NY
(40.83363492298151, -73.91358574377372)",MELROSE/CONCOURSE,C7-WALK-UP,23,1914,18936,202615,10.7,685000,36.2,1.2,2-02680-0017,"1130 UNION AVENUE
Bronx, NY
(40.82702745673839, -73.90003847697997)",MORRISANIA/LONGWOOD,C7-WALK-UP,17,1908,9716,138533,14.26,549000,57,1.3
2-02421-0013,"270 162 STREET
Bronx, NY
(40.8264570018299, -73.91782103862984)",MELROSE/CONCOURSE,C6-WALK-UP,11,1931,10675,117425,11,332000,31.1,2-02282-0005,"230 WILLIS AVENUE
Bronx, NY
(40.808696081694286, -73.92315455938093)",MOTT HAVEN/PORT MORRIS,C7-WALK-UP,19,1931,15406,182145,11.82,642000,41.7,1.25,,,,,,,,,,,,
2-02422-0030,"943 TELLER AVENUE
Bronx, NY
(40.82615911625451, -73.91557814166602)",MELROSE/CONCOURSE,C6-WALK-UP,37,1920,33055,363605,11,1030000,31.2,2-02427-0044,"1241 WEBSTER AVENUE
Bronx, NY
(40.832979502148255, -73.90936088363658)",MELROSE/CONCOURSE,C4-WALK-UP,16,1929,7420,68190,9.19,209000,28.2,0.6,,,,,,,,,,,,
2-02430-0035,"1187 CLAY AVENUE
Bronx, NY
(40.83184294217393, -73.91096005509546)",MELROSE/CONCOURSE,C6-WALK-UP,12,1913,11500,90850,7.9,257000,22.35,2-02430-0039,"1179 CLAY AVENUE
Bronx, NY
(40.83167968158792, -73.91105273328387)",MELROSE/CONCOURSE,C1-WALK-UP,12,1913,11500,123050,10.7,416000,36.2,0,2-02430-0041,"1175 CLAY AVENUE
Bronx, NY
(40.831598475595726, -73.91110145687918)",MELROSE/CONCOURSE,C1-WALK-UP,12,1913,11500,123050,10.7,416000,36.2,0
2-02443-0170,"773 CONCOURSE VILLAGE
Bronx, NY
(40.82292362586588, -73.91996566836853)",MELROSE/CONCOURSE,D4-ELEVATOR,1248,1964,876500,10290110,11.74,29100000,33.2,2-02314-0001,"271 138 STREET
Bronx, NY
(40.81093522735582, -73.92705486039809)",MOTT HAVEN/PORT MORRIS,D1-ELEVATOR,145,1965,137800,1741792,12.64,4920000,35.7,0.8,,,,,,,,,,,,
2-02443-9080,"780 CONCOURSE VILLAGE
Bronx, NY
(40.823141442756324, -73.91976752500315)",MELROSE/CONCOURSE,D4-ELEVATOR,936,1963,862500,10082625,11.69,28500000,33,2-02314-0001,"271 138 STREET
Bronx, NY
(40.81093522735582, -73.92705486039809)",MOTT HAVEN/PORT MORRIS,D1-ELEVATOR,145,1965,137800,1741792,12.64,4920000,35.7,0.8,,,,,,,,,,,,
2-02447-0001,"1010 SHERMAN AVENUE
Bronx, NY
(40.829403500934774, -73.91841727035265)",MELROSE/CONCOURSE,D4-ELEVATOR,67,1958,80009,640072,8,1970000,24.62,2-02378-0001,"760 MELROSE AVENUE
Bronx, NY
(40.82148960717118, -73.91524906490484)",MORRISANIA/LONGWOOD,D7-ELEVATOR,125,2004,157652,1373148,8.71,3880000,24.61,0.6,2-02531-0005,"1314 MERRIAM AVENUE
Bronx, NY
(40.84063742634763, -73.92616780805204)",HIGHBRIDGE/MORRIS HEIGHTS,D1-ELEVATOR,98,2001,96073,909120,9.46,3000000,31.2,0.85
2-02452-0029,"1113 GRANT AVENUE
Bronx, NY
(40.83143682651718, -73.91626611771085)",MELROSE/CONCOURSE,C6-WALK-UP,70,1926,57080,473764,8.3,1340000,23.48,2-02265-0048,"215 ST ANN'S AVENUE
Bronx, NY
(40.80648734730323, -73.91775756606876)",MOTT HAVEN/PORT MORRIS,C7-WALK-UP,11,1920,12540,103917,8.29,343000,27.4,1.7,2-02553-0019,"592 141 STREET
Bronx, NY
(40.808260744960485, -73.91502086729855)",MOTT HAVEN/PORT MORRIS,C4-WALK-UP,29,1920,27675,379433,13.71,1500000,54,1.65
2-02456-0030,"201 165 STREET
Bronx, NY
(40.83036073864291, -73.91891085194115)",MELROSE/CONCOURSE,C6-WALK-UP,31,1918,19955,140682,7.05,397000,19.89,2-02433-0057,"320 166 STREET
Bronx, NY
(40.829935747998604, -73.91395076514198)",MELROSE/CONCOURSE,C1-WALK-UP,15,1928,15925,170397,10.7,576000,36.2,0.25,,,,,,,,,,,,
2-02458-0090,"800 GRAND
Bronx, NY
(40.82557699997852, -73.91844899972153)",MELROSE/CONCOURSE,D4-ELEVATOR,260,1954,252105,268331,1.06,7460000,29.6,2-02314-0001,"271 138 STREET
Bronx, NY
(40.81093522735582, -73.92705486039809)",MOTT HAVEN/PORT MORRIS,D1-ELEVATOR,145,1965,137800,1741792,12.64,4920000,35.7,0.95,,,,,,,,,,,,
2-02459-0030,"860 GRAND
Bronx, NY
(40.82557699997852, -73.91844899972153)",MELROSE/CONCOURSE,D4-ELEVATOR,120,1941,115140,978690,8.5,3230000,28.1,2-02433-0023,"1055 FINDLAY AVENUE
Bronx, NY
(40.82951484188894, -73.91428390531208)",MELROSE/CONCOURSE,D1-ELEVATOR,49,1927,48475,547873,11.3,1550000,32,0.45,2-02433-0028,"1041 FINDLAY AVENUE
Bronx, NY
(40.82921458157584, -73.91447019820707)",MELROSE/CONCOURSE,D1-ELEVATOR,73,1928,101178,770446,7.61,2180000,21.55,0.45
2-02461-0045,"940 GRAND
Bronx, NY
(40.82557699997852, -73.91844899972153)",MELROSE/CONCOURSE,D4-ELEVATOR,108,1929,145728,1092960,7.5,3360000,23.06,2-02456-0218,"1174 SHERIDAN AVENUE
Bronx, NY
(40.83332086834675, -73.9171263703693)",MELROSE/CONCOURSE,D1-ELEVATOR,48,1929,43714,409646,9.37,1260000,28.8,0.35,2-02458-0080,"774 GRAND
Bronx, NY
(40.82557699997852, -73.91844899972153)",MELROSE/CONCOURSE,D1-ELEVATOR,86,1927,92950,670893,7.22,2060000,22.16,0.35
2-02461-0083,"185 163 STREET
Bronx, NY
(40.82827728271543, -73.92069827055893)",MELROSE/CONCOURSE,D4-ELEVATOR,42,1927,45483,363864,8,1030000,22.65,2-02465-0034,"114 168 STREET
Bronx, NY
(40.836263256819855, -73.91801979445482)",MELROSE/CONCOURSE,D1-ELEVATOR,59,1927,70000,462386,6.61,1420000,20.29,0.5,,,,,,,,,,,,
2-02461-0094,"1020 GRAND
Bronx, NY
(40.82557699997852, -73.91844899972153)",MELROSE/CONCOURSE,D4-ELEVATOR,466,1963,428360,5174588,12.08,18200000,42.5,2-02756-0050,"1025 ALDUS STREET
Bronx, NY
(40.82329475697987, -73.88783763979829)",MORRISANIA/LONGWOOD,D3-ELEVATOR,50,1924,45786,537066,11.73,1650000,36,1.7,2-02554-0049,"345 CYPRESS AVENUE
Bronx, NY
(40.808156355921405, -73.91314596103956)",MOTT HAVEN/PORT MORRIS,D1-ELEVATOR,40,1924,39810,525555,13.2,1980000,49.7,1.5
2-02462-0033,"1100 GRAND
Bronx, NY
(40.82557699997852, -73.91844899972153)",MELROSE/CONCOURSE,D4-ELEVATOR,74,1928,107841,846552,7.85,2600000,24.11,2-02433-0028,"1041 FINDLAY AVENUE
Bronx, NY
(40.82921458157584, -73.91447019820707)",MELROSE/CONCOURSE,D1-ELEVATOR,73,1928,101178,770446,7.61,2180000,21.55,0.3,2-02684-0079,"663 FOX STREET
Bronx, NY
(40.814108183012195, -73.9005119752781)",MORRISANIA/LONGWOOD,D1-ELEVATOR,75,1912,79172,782406,9.88,2400000,30.3,1.55
2-02464-0023,"1235 GRAND
Bronx, NY
(40.82557699997852, -73.91844899972153)",MELROSE/CONCOURSE,D4-ELEVATOR,131,1929,181700,1388188,7.64,4260000,23.45,2-02433-0028,"1041 FINDLAY AVENUE
Bronx, NY
(40.82921458157584, -73.91447019820707)",MELROSE/CONCOURSE,D1-ELEVATOR,73,1928,101178,770446,7.61,2180000,21.55,0.45,2-02755-0029,"1032 ALDUS STREET
Bronx, NY
(40.823252910745424, -73.88757762662289)",MORRISANIA/LONGWOOD,D1-ELEVATOR,49,1927,34380,483891,14.07,1490000,43.3,1.8
2-02471-0036,"1015 GRAND
Bronx, NY
(40.82557699997852, -73.91844899972153)",MELROSE/CONCOURSE,D4-ELEVATOR,62,1941,75000,600000,8,1840000,24.53,2-02518-0001,"105 168 STREET
Bronx, NY
(40.83639599047806, -73.91824056455583)",HIGHBRIDGE/MORRIS HEIGHTS,D7-ELEVATOR,303,1930,335500,3452224,10.29,11700000,34.9,0.6,2-02510-0040,"1197 ANDERSON AVENUE
Bronx, NY
(40.837154198837005, -73.92346384500779)",HIGHBRIDGE/MORRIS HEIGHTS,D1-ELEVATOR,129,1929,137282,1338325,9.75,4520000,32.9,0.45
2-02471-0050,"1001 GRAND
Bronx, NY
(40.82557699997852, -73.91844899972153)",MELROSE/CONCOURSE,D4-ELEVATOR,81,1941,90417,714294,7.9,2190000,24.22,2-02510-0063,"1172 ANDERSON AVENUE
Bronx, NY
(40.836402967571125, -73.92394898232627)",HIGHBRIDGE/MORRIS HEIGHTS,D1-ELEVATOR,48,1925,45190,239966,5.31,737000,16.31,0.4,2-02623-0147,"600 TRINITY AVENUE
Bronx, NY
(40.81458494520211, -73.90957320827579)",MORRISANIA/LONGWOOD,D1-ELEVATOR,48,1937,38040,304432,8,935000,24.58,1.3
2-02472-0011,"1075 GRAND
Bronx, NY
(40.82557699997852, -73.91844899972153)",MELROSE/CONCOURSE,D4-ELEVATOR,109,1928,118218,851169,7.2,2610000,22.08,2-02450-0029,"256 169 STREET
Bronx, NY
(40.84011780840312, -73.92611738695919)",MELROSE/CONCOURSE,D5-ELEVATOR,20,1917,26550,205905,7.76,632000,23.8,0.4,2-02465-0034,"114 168 STREET
Bronx, NY
(40.836263256819855, -73.91801979445482)",MELROSE/CONCOURSE,D1-ELEVATOR,59,1927,70000,462386,6.61,1420000,20.29,0.3
2-02473-0067,"660 WALTON AVENUE
Bronx, NY
(40.8219073858037, -73.92711756842417)",MELROSE/CONCOURSE,D4-ELEVATOR,83,1936,119500,912980,7.64,2800000,23.43,2-02465-0034,"114 168 STREET
Bronx, NY
(40.836263256819855, -73.91801979445482)",MELROSE/CONCOURSE,D1-ELEVATOR,59,1927,70000,462386,6.61,1420000,20.29,0.9,2-02520-0028,"1372 NELSON AVENUE
Bronx, NY
(40.84149258608394, -73.92263349558675)",HIGHBRIDGE/MORRIS HEIGHTS,D1-ELEVATOR,25,1936,21600,179111,8.29,590000,27.3,1.2
2-02474-0001,"811 WALTON AVENUE
Bronx, NY
(40.825435094622065, -73.92526536182996)",MELROSE/CONCOURSE,D4-ELEVATOR,150,1927,150640,1046948,6.95,3210000,21.31,2-02534-0003,"1370 DR
Bronx, NY
(40.82557699997852, -73.91844899972153)",HIGHBRIDGE/MORRIS HEIGHTS,D1-ELEVATOR,47,1928,58560,382162,6.53,1170000,19.98,1.15,2-02623-0180,"620 TRINITY AVENUE
Bronx, NY
(40.814940546635604, -73.90944281040568)",MORRISANIA/LONGWOOD,D1-ELEVATOR,103,1937,76620,640595,8.36,2110000,27.5,1.15
2-02474-0010,"828 GERARD AVENUE
Bronx, NY
(40.82624354645569, -73.92564501225654)",MELROSE/CONCOURSE,D4-ELEVATOR,54,1924,42660,298620,7,917000,21.5,2-02433-0028,"1041 FINDLAY AVENUE
Bronx, NY
(40.82921458157584, -73.91447019820707)",MELROSE/CONCOURSE,D1-ELEVATOR,73,1928,101178,770446,7.61,2180000,21.55,0.6,,,,,,,,,,,,
2-02474-0015,"825 WALTON AVENUE
Bronx, NY
(40.825799600355154, -73.9250291940732)",MELROSE/CONCOURSE,D4-ELEVATOR,54,1924,44304,310128,7,952000,21.49,2-02433-0028,"1041 FINDLAY AVENUE
Bronx, NY
(40.82921458157584, -73.91447019820707)",MELROSE/CONCOURSE,D1-ELEVATOR,73,1928,101178,770446,7.61,2180000,21.55,0.6,2-02756-0050,"1025 ALDUS STREET
Bronx, NY
(40.82329475697987, -73.88783763979829)",MORRISANIA/LONGWOOD,D3-ELEVATOR,50,1924,45786,537066,11.73,1650000,36,1.95
2-02477-0015,"1040 GERARD AVENUE
Bronx, NY
(40.83142403394375, -73.92260717197533)",MELROSE/CONCOURSE,D4-ELEVATOR,52,1959,45786,389181,8.5,1280000,28,2-02504-0075,"990 ANDERSON AVENUE
Bronx, NY
(40.832150577636526, -73.9271978073788)",HIGHBRIDGE/MORRIS HEIGHTS,D1-ELEVATOR,77,1957,70994,577793,8.14,1770000,24.93,0.25,2-02461-0070,"186 164 STREET
Bronx, NY
(40.833092031412995, -73.93003765831838)",MELROSE/CONCOURSE,D1-ELEVATOR,75,1949,66600,622166,9.34,2050000,30.8,0.15
2-02479-0001,"85 MC CLELLAN STREET
Bronx, NY
(40.83379855541416, -73.92104381076231)",MELROSE/CONCOURSE,D4-ELEVATOR,59,1940,56400,411720,7.3,1260000,22.34,2-02455-0006,"960 SHERIDAN AVENUE
Bronx, NY
(40.82861141152987, -73.91984048216516)",MELROSE/CONCOURSE,D1-ELEVATOR,60,1926,66162,502041,7.59,1540000,23.28,0.4,2-02438-0080,"1115 COLLEGE AVENUE
Bronx, NY
(40.830836135402386, -73.91455219404384)",MELROSE/CONCOURSE,D1-ELEVATOR,44,1929,42732,340036,7.96,960000,22.47,0.35
2-02488-0036,"1175 GERARD AVENUE
Bronx, NY
(40.83474386296722, -73.9207283767821)",MELROSE/CONCOURSE,C6-WALK-UP,44,1924,51000,409530,8.03,1160000,22.75,2-02400-0023,"681 MELROSE AVENUE
Bronx, NY
(40.81944120041428, -73.91628713141151)",MELROSE/CONCOURSE,C7-WALK-UP,16,1910,11425,179153,15.68,729000,64,1.05,2-02400-0015,"378 154 STREET
Bronx, NY
(40.8197158881508, -73.91704459214068)",MELROSE/CONCOURSE,C1-WALK-UP,39,1916,31875,206801,6.49,635000,19.92,1.05
2-02504-0036,"941 JEROME AVENUE
Bronx, NY
(40.83024922701045, -73.92849851515201)",HIGHBRIDGE/MORRIS HEIGHTS,D4-ELEVATOR,86,1927,114941,1245960,10.84,3520000,30.6,2-02457-0050,"1279 SHERIDAN AVENUE
Bronx, NY
(40.835836233178824, -73.9150147819894)",MELROSE/CONCOURSE,D1-ELEVATOR,27,1924,30800,344735,11.19,974000,31.6,0.65,2-02520-0028,"1372 NELSON AVENUE
Bronx, NY
(40.84149258608394, -73.92263349558675)",HIGHBRIDGE/MORRIS HEIGHTS,D1-ELEVATOR,25,1936,21600,179111,8.29,590000,27.3,0.65
2-02508-0026,"1045 ANDERSON AVENUE
Bronx, NY
(40.83333110741414, -73.92638485893377)",HIGHBRIDGE/MORRIS HEIGHTS,D4-ELEVATOR,50,1931,54180,487620,9,1610000,29.7,2-02433-0028,"1041 FINDLAY AVENUE
Bronx, NY
(40.82921458157584, -73.91447019820707)",MELROSE/CONCOURSE,D1-ELEVATOR,73,1928,101178,770446,7.61,2180000,21.55,0.7,2-02433-0023,"1055 FINDLAY AVENUE
Bronx, NY
(40.82951484188894, -73.91428390531208)",MELROSE/CONCOURSE,D1-ELEVATOR,49,1927,48475,547873,11.3,1550000,32,0.7
2-02508-0041,"1015 ANDERSON AVENUE
Bronx, NY
(40.83254671358371, -73.92698821213061)",HIGHBRIDGE/MORRIS HEIGHTS,C6-WALK-UP,22,1922,23802,182442,7.66,515000,21.64,2-02452-0051,"1194 SHERMAN AVENUE
Bronx, NY
(40.83341806312603, -73.91606269134326)",MELROSE/CONCOURSE,C1-WALK-UP,37,1922,30930,227031,7.34,697000,22.53,0.6,,,,,,,,,,,,
2-02508-0043,"1001 ANDERSON AVENUE
Bronx, NY
(40.832177322948766, -73.92726105748596)",HIGHBRIDGE/MORRIS HEIGHTS,C6-WALK-UP,22,1922,20057,159052,7.93,449000,22.39,2-02532-0033,"1343 MERRIAM AVENUE
Bronx, NY
(40.84145663467567, -73.92573290369027)",HIGHBRIDGE/MORRIS HEIGHTS,C1-WALK-UP,61,1917,66399,505005,7.61,1550000,23.34,0.55,2-02636-0026,"771 JACKSON AVENUE
Bronx, NY
(40.819406203838525, -73.9065946419602)",MORRISANIA/LONGWOOD,C1-WALK-UP,30,1916,24120,293299,12.16,1030000,42.7,1.45
2-02510-0050,"1177 ANDERSON AVENUE
Bronx, NY
(40.836513502873125, -73.92394881625822)",HIGHBRIDGE/MORRIS HEIGHTS,D4-ELEVATOR,116,1929,106386,1042582,9.8,3520000,33.1,2-02510-0040,"1197 ANDERSON AVENUE
Bronx, NY
(40.837154198837005, -73.92346384500779)",HIGHBRIDGE/MORRIS HEIGHTS,D1-ELEVATOR,129,1929,137282,1338325,9.75,4520000,32.9,0,2-02554-0049,"345 CYPRESS AVENUE
Bronx, NY
(40.808156355921405, -73.91314596103956)",MOTT HAVEN/PORT MORRIS,D1-ELEVATOR,40,1924,39810,525555,13.2,1980000,49.7,2.05
2-02510-0074,"1201 SHAKESPEARE AVENUE
Bronx, NY
(40.83689590750318, -73.92336013928463)",HIGHBRIDGE/MORRIS HEIGHTS,D4-ELEVATOR,61,1930,57230,555000,9.7,1570000,27.4,2-02510-0040,"1197 ANDERSON AVENUE
Bronx, NY
(40.837154198837005, -73.92346384500779)",HIGHBRIDGE/MORRIS HEIGHTS,D1-ELEVATOR,129,1929,137282,1338325,9.75,4520000,32.9,0.05,2-02518-0001,"105 168 STREET
Bronx, NY
(40.83639599047806, -73.91824056455583)",HIGHBRIDGE/MORRIS HEIGHTS,D7-ELEVATOR,303,1930,335500,3452224,10.29,11700000,34.9,0.2
2-02511-0027,"100 162 STREET
Bronx, NY
(40.828982618893406, -73.9247944212278)",HIGHBRIDGE/MORRIS HEIGHTS,C6-WALK-UP,16,1907,13425,111293,8.29,314000,23.39,2-02435-0015,"288 168 STREET
Bronx, NY
(40.83333596527028, -73.91288426084886)",MELROSE/CONCOURSE,C7-WALK-UP,29,1916,19950,240902,12.08,849000,42.6,0.9,2-02505-0017,"1098 ANDERSON AVENUE
Bronx, NY
(40.834705595110776, -73.92522576786169)",HIGHBRIDGE/MORRIS HEIGHTS,C7-WALK-UP,24,1924,12340,172789,14,685000,56,0.35
2-02516-0026,"136 168 STREET
Bronx, NY
(40.836087065433276, -73.91748632608989)",HIGHBRIDGE/MORRIS HEIGHTS,C6-WALK-UP,36,1926,30800,381920,12.4,1080000,35.1,2-02478-0018,"1098 GERARD AVENUE
Bronx, NY
(40.83278544776965, -73.92180174447243)",MELROSE/CONCOURSE,C1-WALK-UP,60,1925,55000,514960,9.36,1700000,30.9,0.4,2-02505-0017,"1098 ANDERSON AVENUE
Bronx, NY
(40.834705595110776, -73.92522576786169)",HIGHBRIDGE/MORRIS HEIGHTS,C7-WALK-UP,24,1924,12340,172789,14,685000,56,0.25
2-02518-0028,"132 169 STREET
Bronx, NY
(40.836905947198936, -73.91726960581475)",HIGHBRIDGE/MORRIS HEIGHTS,D4-ELEVATOR,25,1931,27018,214522,7.94,606000,22.43,2-02477-0001,"1006 GERARD AVENUE
Bronx, NY
(40.83052427400091, -73.92313828027493)",MELROSE/CONCOURSE,D1-ELEVATOR,76,1927,83793,542140,6.47,1660000,19.81,0.6,2-02510-0040,"1197 ANDERSON AVENUE
Bronx, NY
(40.837154198837005, -73.92346384500779)",HIGHBRIDGE/MORRIS HEIGHTS,D1-ELEVATOR,129,1929,137282,1338325,9.75,4520000,32.9,0.15
2-02521-0001,"127 170 STREET
Bronx, NY
(40.83948652066683, -73.91564712016492)",HIGHBRIDGE/MORRIS HEIGHTS,C6-WALK-UP,40,1925,39432,488956,12.4,1380000,35,2-02450-0048,"1235 MORRIS AVENUE
Bronx, NY
(40.83400390488387, -73.91370198275325)",MELROSE/CONCOURSE,C1-WALK-UP,49,1927,41952,374867,8.94,1240000,29.6,0.7,2-02472-0028,"1049 GRAND
Bronx, NY
(40.82557699997852, -73.91844899972153)",MELROSE/CONCOURSE,C7-WALK-UP,37,1917,29400,296446,10.08,977000,33.2,0.7
2-02522-0109,"1383 PLIMPTON AVENUE
Bronx, NY
(40.842210247633716, -73.92323872588163)",HIGHBRIDGE/MORRIS HEIGHTS,C6-WALK-UP,26,1922,19250,168630,8.76,476000,24.73,2-02504-0094,"1038 ANDERSON AVENUE
Bronx, NY
(40.833150550279285, -73.92644422203932)",HIGHBRIDGE/MORRIS HEIGHTS,C1-WALK-UP,172,1926,143606,1037361,7.22,3180000,22.14,0.75,,,,,,,,,,,,
2-02523-0150,"1015 SUMMIT AVENUE
Bronx, NY
(40.83360700450424, -73.93002678756274)",HIGHBRIDGE/MORRIS HEIGHTS,D4-ELEVATOR,38,1928,36900,254610,6.9,719000,19.49,2-02465-0034,"114 168 STREET
Bronx, NY
(40.836263256819855, -73.91801979445482)",MELROSE/CONCOURSE,D1-ELEVATOR,59,1927,70000,462386,6.61,1420000,20.29,0.7,2-02450-0029,"256 169 STREET
Bronx, NY
(40.84011780840312, -73.92611738695919)",MELROSE/CONCOURSE,D5-ELEVATOR,20,1917,26550,205905,7.76,632000,23.8,0.9
2-02534-0008,"1380 DR
Bronx, NY
(40.82557699997852, -73.91844899972153)",HIGHBRIDGE/MORRIS HEIGHTS,D4-ELEVATOR,140,1967,182218,1654539,9.08,4670000,25.6,2-02380-0051,"3103 3 AVENUE
Bronx, NY
(40.82557699997852, -73.91844899972153)",MORRISANIA/LONGWOOD,D6-ELEVATOR,64,2000,73555,1405636,19.11,3970000,54,1.55,2-02642-0070,"600 CONCORD AVENUE
Bronx, NY
(40.81440043812771, -73.9076496816058)",MORRISANIA/LONGWOOD,D1-ELEVATOR,83,2004,87072,800454,9.19,2260000,26,2.15
2-02534-0038,"185 170 STREET
Bronx, NY
(40.8390436141133, -73.91422280219068)",HIGHBRIDGE/MORRIS HEIGHTS,C6-WALK-UP,21,1926,18750,164250,8.76,464000,24.75,2-02504-0094,"1038 ANDERSON AVENUE
Bronx, NY
(40.833150550279285, -73.92644422203932)",HIGHBRIDGE/MORRIS HEIGHTS,C1-WALK-UP,172,1926,143606,1037361,7.22,3180000,22.14,0.7,,,,,,,,,,,,
