MTYPE,CompName,CompTel,Location 1
BMM,5600 MARKET CORP.,(718) 491-9324,"5600 FIRST AVENUE
BROOKLYN, NY 11220
(40.64706462390346, -74.02266384442855)"
BMM,"A. STEIN MEAT PRODUCTS, INC.",(718) 492-0760,"5600 FIRST AVENUE
BROOKLYN, NY 11220
(40.64706462390346, -74.02266384442855)"
BMM,AGRI STAR DISTRIBUTION LLC,(718) 748-1721,"5600 1ST AVENUE
BROOKLYN, NY 11210
(40.64706462390346, -74.02266384442855)"
BMM,"ALEX MEAT & PROVISION, INC.",(718) 499-7821,"126 12TH STREET
BROOKLYN, NY 11215
(40.67002182502577, -73.99334918421418)"
BMM,ALEX'S MEAT DISTRIBUTORS CORP,(718) 238-7033,"5600 FIRST AVENUE
BROOKLYN, NY 11220
(40.64706462390346, -74.02266384442855)"
BMM,"CHOW TRADING CO., INC.",(718) 238-8766,"5600 FIRST AVENUE
BROOKLYN, NY 11220
(40.64706462390346, -74.02266384442855)"
BMM,"CHOWS BROTHERS WHOLESALE MEAT CO., INC.",(718) 836-8159,"5600 FIRST AVENUE
BROOKLYN, NY 11220
(40.64706462390346, -74.02266384442855)"
BMM,CREPINI LLC,(718) 372-0505,"152 HIGHLAWN AVE
BROOKLYN, NY 11223
(40.60325854136792, -73.98049187405731)"
BMM,"E & G FOODS, INC.",(718) 680-1300,"5600 FIRST AVENUE
BROOKLYN, NY 11220
(40.64706462390346, -74.02266384442855)"
BMM,FORT MEAT INC.,(718) 439-8375,"5600 FIRST AVENUE
BROOKLYN, NY 11220
(40.64706462390346, -74.02266384442855)"
BMM,INTERNATIONAL KOSHER MEAT PROCESSING CORP.,(718) 630-5555,"5600 FIRST AVENUE
BROOKLYN, NY 11220
(40.64706462390346, -74.02266384442855)"
BMM,"KING SOLOMON FOODS, INC.",(718) 439-5410,"5600 FIRST AVENUE
BROOKLYN, NY 11220
(40.64706462390346, -74.02266384442855)"
BMM,L DONTIS PRODUCE CO. INC.,(718) 439-9096,"5600 FIRST AVENUE
BROOKLYN, NY 11220
(40.64706462390346, -74.02266384442855)"
BMM,"LANCASTER QUALITY PORK, INC.",(718) 439-8822,"5600 FIRST AVENUE
BROOKLYN, NY 11220
(40.64706462390346, -74.02266384442855)"
BMM,M & W PACKING INC,(212) 255-2745,"426 14TH STREET
NEW YORK, NY 10014
(40.74149379730113, -74.00662818886389)"
BMM,"ORAZIO & SONS MEATS, INC.",(718) 439-4574,"5600 FIRST AVENUE
BROOKLYN, NY 11220
(40.64706462390346, -74.02266384442855)"
BMM,R&C BEEF & POULTRY INC.,(631) 665-5522,"56 MERCURY AVENUE
EAST PATCHOGUE, NY 11772
(40.79347461059467, -72.96078861455032)"
BMM,RUBY FREEMAN INC.,(718) 492-9676,"5600 FIRST AVENUE
BROOKLYN, NY 11220
(40.64706462390346, -74.02266384442855)"
BMM,WEST WASHINGTON MEATS,(718) 921-9858,"5600 FIRST AVENUE
BROOKLYN, NY 11220
(40.64706462390346, -74.02266384442855)"
FFM,ALASKAN FEAST INC.,(718) 842-2288,"800 FOOD CENTER DRIVE
BRONX, NY 10474
(40.80546784368654, -73.8767948357941)"
FFM,ANDREW ADAMS INC,(914) 552-1052,"48 GAINSBOROUGH RD
SCARSDALE, NY 10583
(40.978516800864035, -73.81674486588143)"
FFM,ARS FISH CO.,9149374770,"800 FOOD CENTER DR
BRONX, NY 10474
(40.80546784368654, -73.8767948357941)"
FFM,BEYER LIGHTNING FISH CO. INC.,(718) 860-6323,"800 FOOD CENTER DRIVE
BRONX, NY 10474
(40.80546784368654, -73.8767948357941)"
FFM,BLUE RIBBON FISH CO.,7186208580,"800 FOOD CENTER DRIVE
BRONX, NY 10474
(40.80546784368654, -73.8767948357941)"
FFM,BOULIKE LLC  D/B/A THE MENU SOURCE,(631) 838-0779,"17 HOWELLS POINT ROAD
BELLPORT, NY 11713
(40.75689918366305, -72.94476269598823)"
FFM,"CALEB HALEY & CO., LLC.",7186177474,"800 FOOD CENTER DRIVE
BRONX, NY 10474
(40.80546784368654, -73.8767948357941)"
FFM,"CAPTAIN BLUE, LLC.",(703) 868-4622,
FFM,CARLS SEAFOOD INC.,7186208260,"800 FOOD CENTER DRIVE
BRONX, NY 10474
(40.80546784368654, -73.8767948357941)"
FFM,CLEARWATER FISH CO. INC.,7189437051,"800 FOOD CENTER DRIVE
BRONX, NY 10474
(40.80546784368654, -73.8767948357941)"
FFM,CROWN FISH COMPANY,7189437056,"800 FOOD CENTER DRIVE
BRONX, NY 10474
(40.80546784368654, -73.8767948357941)"
FFM,DISTINGUISHED SEAFOOD LLC,(718) 419-6111,"6520 171 STREET
FRESH MEADOWS, NY 11365
(40.73629263407913, -73.79837796213447)"
FFM,EMERALD SEAFOOD CO. INC.,7186208414,"800 FOOD CENTER DRIVE
BRONX, NY 10474
(40.80546784368654, -73.8767948357941)"
FFM,"F & S SEAFOOD, INC.",(718) 346-6500,"650 FOUNTAIN AVE
BROOKLYN, NY 11208
(40.66423936695183, -73.87008402053894)"
FFM,FAIR FISH CO. INC.,7183784590,"800 FOOD CENTER DRIVE
BRONX, NY 10474
(40.80546784368654, -73.8767948357941)"
FFM,"FIVE STAR SEAFOOD, INC.",(973) 209-7500,"9 WOODS END CT
SPARTA, NJ 07871
(41.09299117818034, -74.61003367761823)"
FFM,FRANK W. WILKISSON INC.,7185895280,
FFM,FULTON CAFÉ INC,(718) 589-2233,"800 FOOD CENTER DRIVE
BRONX, NY 10474
(40.80546784368654, -73.8767948357941)"
FFM,G & G SEAFOOD DBA UNIVERSAL,7188422200,"800 FOOD CENTER DRIVE
BRONX, NY 10474
(40.80546784368654, -73.8767948357941)"
FFM,GNY FILET FISH CO. INC.,(516) 876-0441,"800 FOOD CENTER DRIVE
BRONX, NY 10474
(40.80546784368654, -73.8767948357941)"
FFM,J & K SEAFOOD INC.,(917) 359-5990,"17 STIEG AVENUE
STATEN ISLAND, NY 10308
(40.55868424238451, -74.15469579467904)"
FFM,JMS SEASONAL SEAFOOD CORP.,7189910000,"800 FOOD CENTER DRIVE
BRONX, NY 10474
(40.80546784368654, -73.8767948357941)"
FFM,JOE MONANI FISH CO.,7186177900,"800 FOOD CENTER DRIVE
BRONX, NY 10474
(40.80546784368654, -73.8767948357941)"
FFM,KOREAN SEAFOOD ASSOCIATION OF NEW YORK,7183784848,"800 FOOD CENTER DRIVE
BRONX, NY 10474
(40.80546784368654, -73.8767948357941)"
FFM,LINDA POLICASTRI,5164583171,"800 FOOD CENTER DRIVE
BRONX, NY 10474
(40.80546784368654, -73.8767948357941)"
FFM,"LOCKWOOD & WINANT SEAFOOD, LLC.",(718) 620-8400,"800 FOOD CENTER DRIVE
BRONX, NY 10474
(40.80546784368654, -73.8767948357941)"
FFM,LOU'S FISH MARKET INC.,7183284313,"800 FOOD CENTER DRIVE
BRONX, NY 10474
(40.80546784368654, -73.8767948357941)"
FFM,M. SLAVIN & SONS LTD.,7187324800,"800 FOOD CENTER DRIVE
BRONX, NY 10474
(40.80546784368654, -73.8767948357941)"
FFM,"MEAT WITHOUT FEET, LLC.",(718) 893-0066,"800 FOOD CENTER DRIVE
BRONX, NY 10465
(40.80546784368654, -73.8767948357941)"
FFM,MERMAID SEA PRODUCTS INC.,(718) 854-7384,"800 FOOD CENTER DRIVE
BRONX, NY 10474
(40.80546784368654, -73.8767948357941)"
FFM,MOE BEHRENS SEAFOOD INC.,6316613060,"800 FOOD CENTER DRIVE
BRONX, NY 10474
(40.80546784368654, -73.8767948357941)"
FFM,MONTAUK SEAFOOD CO. INC.,7185080407,"800 FOOD CENTER DRIVE
BRONX, NY 10474
(40.80546784368654, -73.8767948357941)"
FFM,MONTES SEAFOOD EMPORIUM INC.,(718) 860-1472,"800 FOOD CENTER DRIVE
BRONX, NY 10474
(40.80546784368654, -73.8767948357941)"
FFM,MT. SINAI FISH,7186204400,"800 FOOD CENTER DRIVE
BRONX, NY 10474
(40.80546784368654, -73.8767948357941)"
FFM,NEW FULTON FISH MARKET COOPERATIVE AT HUNTS POINT,(718) 378-2356,"800 FOOD CENTER DRIVE
BRONX, NY 10474
(40.80546784368654, -73.8767948357941)"
FFM,NEW FULTON FISH MARKET COOPERATIVE AT HUNTS POINT,7183782356,"800 FOOD CENTER DRIVE
BRONX, NY 10474
(40.80546784368654, -73.8767948357941)"
FFM,NEW SEAFOOD CO. INC.,7185892526,"800 FOOD CENTER DRIVE
BRONX, NY 10474
(40.80546784368654, -73.8767948357941)"
FFM,PACIFIC GOLD SEAFOOD INC,(646) 334-4777,"800 FOOD CENTER DR
BRONX, NY 10454
(40.80546784368654, -73.8767948357941)"
FFM,SCANDIA SEAFOOD ( NEW YORK) INC.,(201) 422-0777,"260 SECAUCUS ROAD
SECAUCUS, NJ 07094
(40.772320885027234, -74.05829879598693)"
FFM,SEABRITE FOODS INC./ EAGEL SEAFOOD,(718) 842-3474,"800 FOOD CENTER DRIVE
BRONX, NY 10474
(40.80546784368654, -73.8767948357941)"
FFM,SERRANTONIO BROS.,(718) 351-7380,"301 AMBER STREET
STATEN ISLAND, NY 10306
(40.56730964570607, -74.13723833357642)"
FFM,SLIP KIDS LOADING INC.,(718) 948-4914,"800 FOOD CENTER DRIVE
BRONX, NY 10474
(40.80546784368654, -73.8767948357941)"
FFM,SMITTY'S FILLET HOUSE,7183285240,"800 FOOD CENTER DRIVE
BRONX, NY 10474
(40.80546784368654, -73.8767948357941)"
FFM,"SOHO SEAFOOD, INC.",(718) 989-3918,"800 FOOD CENTER DRIVE
BRONX, NY 10474
(40.80546784368654, -73.8767948357941)"
FFM,SOUTH STREET SEAFOOD CORP.,(718) 328-2728,"800 FOOD CENTER DRIVE
BRONX, NY 10474
(40.80546784368654, -73.8767948357941)"
FFM,THIRD GENERATION SEAFOOD INC.,7189916660,"800 FOOD CENTER DRIVE UNIT#30
BRONX, NY 10474
(40.80546784368654, -73.8767948357941)"
FFM,TONY CRAB KING INC.,7188604320,"800 FOOD CENTER DRIVE UNIT#93
BRONX, NY 10474
(40.80546784368654, -73.8767948357941)"
FFM,"WORLD WIDE DIRECT SEAFOOD, LLC.",(914) 403-4907,"800 FOOD CENTER DRIVE
BRONX, NY 10474
(40.80546784368654, -73.8767948357941)"
GMM,7M FOOD CORP.,(212) 229-2733,"93 GANSEVOORT STREET
NEW YORK, NY 10014
(40.73941679514289, -74.00780895610596)"
GMM,DEBRAGGA & SPITLER INC.,(212) 924-1311,"826D WASHINGTON STREET
NEW YORK, NY 10014
(40.73984571794641, -74.008045936879)"
GMM,GANSEVOORT MARKET COFFEE SHOP INC.,(212) 206-7592,"44 LITTLE W 12TH STREET
NY, NY 10014
(40.73358645135369, -74.01019960472792)"
GMM,J. T. JOBBAGY INC.,(212) 633-0130,"832 WASHINGTON STREET
NEW YORK, NY 10014
(40.740167276601774, -74.00801515975427)"
GMM,JOHN W. WILLIAMS INC.,(212) 242-1293,"48 LITTLE WEST 12TH STREET
NEW YORK, NY 10014
(40.74034754343406, -74.00814615389663)"
GMM,LONDON MANHATTAN CORP.,(212) 255-2135,"56 LITTLE WEST 12TH STREET
NEW YORK, NY 10014
(40.74040164664734, -74.00827329644785)"
GMM,LOUIS ZUCKER CO. INC.,(212) 242-4474,"830 WASHINGTON AVENUE
NY, NY 10014
(40.740059353236454, -74.00802747456997)"
GMM,RELIABLE WHOLESALE MEAT INC,(212) 242-3408,"826 WASHINGTON STREET
NEW YORK, NY 10014
(40.73984571794641, -74.008045936879)"
GMM,"WEICHSEL BEEF CO., INC.",(212) 675-8270,"525 WEST STREET
NEW YORK, NY 10014
(40.73872167021019, -74.00988255607643)"
HPA,"A 1 FOOD DISTRIBUTOR, LLC",(718) 617-4867,"1195 SPOFFORD AVE
BRONX, NY 10474
(40.81386440216046, -73.89117578406122)"
HPA,ABARROTES MEXICANO WHOLESALE INC,(718) 861-3089,"1170 RANDALL AVE
BRONX, NY 10474
(40.81127586695408, -73.89189015494007)"
HPA,AGRITILITY U.S. LTD.,(718) 328-3888,"426 BARRETO STREET
BRONX, NY 10474
(40.8087559940689, -73.88781788419013)"
HPA,AGROSUN,(718) 991-8895,"700 WHITTIER STREET
BRONX, NY 10474
(40.814988668647544, -73.88370068954777)"
HPA,ARAMEX GLOBAL TRADING INC,(718) 618-7300,"1380 RANDALL AVE
BRONX, NY 10007
(40.812752196092106, -73.88217085335795)"
HPA,ASSOCIATED PRODUCE ROUTE LLC,(347) 862-5374,"350 CASANOVA STREET
BRONX, NY 10474
(40.80724434772675, -73.88838163336061)"
HPA,"BEL CANTO FOODS, LLC.",(718) 497-3888,"240 FOOD CENTER DRIVE
BRONX, NY 10474
(40.81033365482919, -73.87311222234113)"
HPA,BEST POINT TROPICALS CORP,(347) 590-0699,"727 DRAKE STREET
BRONX, NY 10474
(40.81567580791993, -73.8830094990727)"
HPA,BLUE STAR MEAT CORP / LUCKY MEAT,(718) 861-2900,"530 CRAVEN STREET
BRONX, NY 10474
(40.80997186508315, -73.89205356958475)"
HPA,C H K CORP,(718) 378-2222,"1290 OAKPOINT AVE
BRONX, NY 10474
(40.81020462962799, -73.88579033605778)"
HPA,"C. KENNETH IMPORTS, INC",(718) 378-8400,"250 COSTER STREET
BRONX, NY 10474
(40.805785834685246, -73.88511959298927)"
HPA,CARAVEO PAPAYAS INC,(718) 617-2213,"1257 RANDELL AVE
BRONX, NY 10474
(40.811979223463545, -73.88762632404348)"
HPA,CARIBBEAN PRODUCE INC,(718) 292-8497,"1360 LAFAYETTE AVE
BRONX, NY 10474
(40.81718571331423, -73.88429060442392)"
HPA,"CARIVE IMPORTS, INC",(718) 328-9600,"1251 RANDALL AVE
BRONX, NY 10474
(40.81193769416817, -73.88790163282697)"
HPA,DAIRYLAND USA CORPORATION,(718) 842-8700,"1300 VIELE AVENUE
BRONX, NY 10474
(40.806815665200595, -73.88444763958597)"
HPA,FAJARO PRODUCE CORP,(718) 378-0874,"1350 LAFAYETTE AVE
BRONX, NY 10474
(40.817076917969175, -73.88468860180875)"
HPA,FIVE STAR ICE CREAM CORP / OMANJA,(718) 542-0900,"547 MANIDA STREET
BRONX, NY 10474
(40.81095293650833, -73.88750812299529)"
HPA,"FLAMINGO SMOKED MEATS, INC.",(718) 589-5145,"542 CRAVEN STREET
BRONX, NY 10474
(40.81018303323503, -73.89210843189872)"
HPA,FLM RADICCHOP KING INC,(718) 620-2177,"1301 OAK POINT AVE
BRONX, NY 10474
(40.81039483343921, -73.88538796086063)"
HPA,G. FRESH CORP,(718) 589-4989,"1240 OAKPOINT AVE
BRONX, NY 10474
(40.80985572014232, -73.88811663588432)"
HPA,"GOURMET GURU, INC",(718) 842-2828,"1123 WORTHEN STREET
BRONX, NY 10474
(40.81407797242782, -73.89403056736067)"
HPA,GURUM CORP,(718) 861-5500,"1365 LAFAYETTE AVE
BRONX, NY 10474
(40.817273251766565, -73.88408524107285)"
HPA,HJL INDEPENDENCE ICE CREAM INC.,(347) 577-1200,"1201 OAK POINT AVENUE
BRONX, NY 10474
(40.809702383096855, -73.89002746253014)"
HPA,HUNTS POINT FLOWER MARKET,(718) 328-3263,"1152 RANDALL AVE
BRONX, NY 10474
(40.811174125098724, -73.89252893193107)"
HPA,INVERSIONISTAS UNIDOS CORP.,(718) 592-1076,"95 20
REGO PARK, NY 11374
(40.72646491702238, -73.86148084756303)"
HPA,J & J NY DISTRIBUTORS CORP.,(718) 589-0517,"1343 LAFAYETTE AVE
BRONX, NY 10474
(40.81717185468214, -73.88513007043379)"
HPA,"JOHN  GEORGALLAS BANANA DISTRIBUTORS OF NY, INC",(718) 893-4111,"750 DRAKE STREET
BRONX, NY 10474
(40.816218609908816, -73.88307694532183)"
HPA,"JUST BAGELS MFG., INC",(718) 328-9700,"527 CASANOVA STREET
BRONX, NY 10474
(40.810318749311826, -73.88927101426934)"
HPA,K & T WHOLESALE FLORIST INC,(718) 823-3360,"509 MANIDA STREET
BRONX, NY 10474
(40.81027768150337, -73.88733767027557)"
HPA,LA SQUISITA FOOD CORP,(914) 667-8795,"819 GARRISON AVE
BRONX, NY 10474
(40.81563101329714, -73.89349788832865)"
HPA,LOBOY FOODS,(718) 617-6611,"341 COSTER STREET
BRONX, NY 10474
(40.80747768864446, -73.88562753206325)"
HPA,MIRON PRODUCE INC,(718) 534-4340,"129 8TH STREET
BROOKLYN, NY 11211
(40.71909163596377, -73.95820294402176)"
HPA,"NEW ERA PRODUCE, INC",(718) 328-3288,"1261 A RANDELL AVE
BRONX, NY 10474
(40.81200035753164, -73.88748120344259)"
HPA,"NEW YORK PRODUCE, INC",(201) 223-0909,"125 SEAVIEW DRIVE
SECAUCUS, NJ 07094
(40.769166828358415, -74.07638617983997)"
