License Number,Name of Licensee,Alternative Name of Licensee,Street_Address,Zip_Code,Telephone,License Type,Location 1
License Number,Name of Licensee,Alternative Name of Licensee,Street_Address,Zip_Code,Telephone,License Type,
B00001 ,LONDON TOWNCARS INC                                         ,                                                            ,40-14 23 STREET,11101,718-786-9700,"TLC-licensed base (FHV, Commuter Van, or Para)",
B00039 ,BERMUDA LIMOUSINE SERVICE INC.                              ,                                                            ,537 WEST   20 STREET,10011,212-249-8400,"TLC-licensed base (FHV, Commuter Van, or Para)",
B00078 ,R & R ROAD LIMO SVCE INC                                    ,                                                            ,865 EAST  138 STREET,10454,718-585-8500,"TLC-licensed base (FHV, Commuter Van, or Para)",
B00084 ,AUTOMOTIVE SVC SYSTEM INC                                   ,                                                            ,447 WEST   36 STREET,10018,212-966-6400,"TLC-licensed base (FHV, Commuter Van, or Para)",
B00207 ,E.R.A. LIMO SVC LTD.                                        ,                                                            ,23-50 WATERS EDGE DRIVE,11360,718-279-3723,"TLC-licensed base (FHV, Commuter Van, or Para)",
B00208 ,ERNEST SCHWARZ INC                                          ,                                                            ,15 CHAIN LANE,11801,516-287-5550,"TLC-licensed base (FHV, Commuter Van, or Para)",
B00227 ,"PARK WEST EXEC. SERVICES, INC.                              ",TOWN CARS                                                   ,36-36 33 STREET 3RD FL,11106,212-727-7800,"TLC-licensed base (FHV, Commuter Van, or Para)",
B00370 ,DAV-EL SERVICES INC                                         ,                                                            ,42-32 21 STREET,11101,718-729-2400,"TLC-licensed base (FHV, Commuter Van, or Para)",
B00387 ,FORTUNE LIMOUSINES INC                                      ,                                                            ,25-15 23 STREET,11102,718-729-6800,"TLC-licensed base (FHV, Commuter Van, or Para)",
B00472 ,FARRELL'S LEASING CO.                                       ,                                                            ,430 EAST   92 STREET,10128,212-861-6300,"TLC-licensed base (FHV, Commuter Van, or Para)",
B00552 ,HINO-MARU ENTERPRISES INC.                                  ,                                                            ,8 WEST   38 STREET STE. 1206,10018,212-752-0133,"TLC-licensed base (FHV, Commuter Van, or Para)",
B00556 ,SURREY CADILLAC LIMO SVC INC                                ,                                                            ,234 EAST 54TH STREET,10022,718-937-5700,"TLC-licensed base (FHV, Commuter Van, or Para)",
B00623 ,MANHATTAN INT'L LIMO NETWORK LLC                            ,                                                            ,49-01 27 STREET,11101,718-786-0800,"TLC-licensed base (FHV, Commuter Van, or Para)",
B00711 ,ALEGACY COACHES LTD                                         ,                                                            ,630 ST NICHOLAS AVENUE,10030,212-281-4000,"TLC-licensed base (FHV, Commuter Van, or Para)",
B00837 ,CAREY LIMO N Y INC                                          ,                                                            ,27-10 49 AVENUE,11101,718-898-1000,"TLC-licensed base (FHV, Commuter Van, or Para)",
B00853 ,SMITH LIMOUSINE CO INC                                      ,                                                            ,636 WEST   47 STREET,10036,212-247-0711,"TLC-licensed base (FHV, Commuter Van, or Para)",
B01236 ,BLS LIMO SVC OF NY INC                                      ,                                                            ,18-20 STEINWAY STREET,11105,718-746-4670,"TLC-licensed base (FHV, Commuter Van, or Para)",
B01349 ,CAPRICORN LIMO SVC INC                                      ,                                                            ,43-24 37 STREET,11101,718-729-3000,"TLC-licensed base (FHV, Commuter Van, or Para)",
B01413 ,SFL INC                                                     ,                                                            ,526 WEST   53 STREET,10019,212-397-0004,"TLC-licensed base (FHV, Commuter Van, or Para)",
B01549 ,"CLS NEW YORK,LLC                                            ",                                                            ,225 MEADOWLAND PARKWAY,7096,201-784-1200,"TLC-licensed base (FHV, Commuter Van, or Para)",
B01644 ,MUSIC EXPRESS/N.Y. INC                                      ,                                                            ,475 BOULEVARD,7407,800-421-9494,"TLC-licensed base (FHV, Commuter Van, or Para)",
B01671 ,NEW YORK KOKUSAI INC                                        ,                                                            ,104 EAST   40 STREET,10016,212-808-0810,"TLC-licensed base (FHV, Commuter Van, or Para)",
B01693 ,ABT LIMOUSINE SERVICE INC                                   ,                                                            ,401 EAST   80 STREET,10075,212-439-0950,"TLC-licensed base (FHV, Commuter Van, or Para)",
B01727 ,"CHAUFFEUR SERVICES, INC.                                    ",NICE GUYS LIMO                                              ,622 WEST   57 STREET GARAGE,10019,212-757-7788,"TLC-licensed base (FHV, Commuter Van, or Para)",
B01742 ,"AVALON TRANSPORTATION, LLC                                  ",                                                            ,25-45 BORDEN AVENUE,11101,718-361-1555,"TLC-licensed base (FHV, Commuter Van, or Para)",
B01794 ,MIZUMA INTERNATIONAL INC                                    ,                                                            ,211 EAST   43 STREET STE#1103,10017,212-922-0480,"TLC-licensed base (FHV, Commuter Van, or Para)",
B01800 ,EXEC-U-CAR LIMOUSINE INC.                                   ,EMPIRE INTERNATIONAL                                        ,225 MEADOWLANDS PARKWAY,7094,201-784-1200,"TLC-licensed base (FHV, Commuter Van, or Para)",
B01801 ,HENRY LIMOUSINE LTD                                         ,                                                            ,157 ANDERSON HILL ROAD,10577,888-546-6487,"TLC-licensed base (FHV, Commuter Van, or Para)",
B01804 ,GOLDCREST TRANSPORT LTD                                     ,                                                            ,50 COMMERCIAL STREET,11803,516-822-5555,"TLC-licensed base (FHV, Commuter Van, or Para)",
