DBN,School Name,Cohort Year,Demographic,Total Cohort Num,Total Grads Num,Num achieving APM ,Pct of cohort achieving APM,Pct of graduates achieving APM
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2006,Female,34,17,s,s,s
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2007,Female,30,18,s,s,s
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2006,Male,44,26,5,11.40%,19.20%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2007,Male,47,23,4,8.50%,17.40%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2006,Female,65,34,11,16.90%,32.40%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2007,Female,62,42,7,11.30%,16.70%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2006,Male,59,19,s,s,s
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2007,Male,88,57,12,13.60%,21.10%
01M509,MARTA VALLE SECONDARY SCHOOL,2006,Female,45,31,11,24.40%,35.50%
01M509,MARTA VALLE SECONDARY SCHOOL,2007,Female,36,20,s,s,s
01M509,MARTA VALLE SECONDARY SCHOOL,2006,Male,39,16,s,s,s
01M509,MARTA VALLE SECONDARY SCHOOL,2007,Male,59,27,2,3.40%,7.40%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2006,Female,101,65,40,39.60%,61.50%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2007,Female,121,41,24,19.80%,58.50%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2006,Male,92,40,23,25.00%,57.50%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2007,Male,114,33,21,18.40%,63.60%
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2006,Female,22,22,21,95.50%,95.50%
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2007,Female,59,57,45,76.30%,78.90%
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2006,Male,24,24,21,87.50%,87.50%
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2007,Male,69,65,54,78.30%,83.10%
01M650,CASCADES HIGH SCHOOL,2006,Female,55,34,5,9.10%,14.70%
01M650,CASCADES HIGH SCHOOL,2007,Female,67,25,3,4.50%,12.00%
01M650,CASCADES HIGH SCHOOL,2006,Male,34,15,s,s,s
01M650,CASCADES HIGH SCHOOL,2007,Male,51,20,s,s,s
01M696,BARD HIGH SCHOOL EARLY COLLEGE,2006,Female,93,90,72,77.40%,80.00%
