Queens South,2005,2006,2007,2008,2009,Total
100th Precinct,2%,1%,0%,0%,1%,4%
101st Precinct,6%,9%,6%,3%,4%,28%
102nd Precinct,1%,4%,3%,1%,0%,9%
103nd Precinct,1%,3%,3%,2%,7%,16%
105th Precinct,5%,3%,8%,3%,1%,20%
106th Precinct,2%,2%,0%,1%,1%,6%
107th Precinct,0%,2%,2%,1%,3%,8%
113th Precinct,7%,1%,0%,0%,3%,11%
Queens South Total,24%,25%,22%,11%,20%,102%
Queens North,,,,,,
104th Precinct,2%,3%,0%,3%,2%,10%
108th Precinct,0%,3%,0%,0%,1%,4%
109th Precinct,3%,6%,3%,1%,3%,16%
110th Precinct,1%,1%,0%,3%,1%,6%
111th Precinct,1%,2%,0%,0%,0%,3%
112th Precinct,0%,0%,0%,1%,3%,4%
114th Precinct,4%,2%,2%,2%,2%,12%
115th Precinct,1%,3%,3%,1%,1%,9%
Queens North Total,12%,20%,8%,11%,13%,64%
Queens Total,36%,45%,30%,22%,33%,166%
Percentage of Citywide Substantiated Complaints,13.8%,17%,13.9%,13.7%,16.8%,15.1%
