Age of Case in Months,2005 Number of Cases,2005 Percent of Docket,2006 Number of Cases,2006 Percent of Docket,2007 Number of Cases,2007 Percent of Docket,2008 Number of Cases,2008 Percent of Docket,2009 Number of Cases,2009 Percent of Docket
3 or younger,8,3.1%,13,4.9%,2,0.9%,0,0%,0,0%
4 months,14,5.4%,22,8.3%,8,3.7%,2,1.2%,1,0.5%
5 months,13,5%,24,9.1%,27,12.5%,6,3.7%,2,1%
6 months,23,8.8%,20,7.6%,21,9.7%,7,4.3%,5,2.5%
7 months,21,8.1%,18,6.8%,15,6.9%,18,11.2%,10,5.1%
8 months,23,8.8%,26,9.8%,21,9.7%,9,5.6%,10,5.1%
9 months,19,7.3%,24,9.1%,19,8.8%,17,10.6%,8,4.1%
10 months,22,8.5%,18,6.8%,18,8.3%,8,5%,21,10.7%
11 months,14,5.4%,22,8.3%,10,4.6%,13,8.1%,20,10.2%
12 months,23,8.8%,19,7.2%,16,7.4%,18,11.2%,16,8.1%
13 months,17,6.5%,13,4.9%,16,7.4%,10,6.2%,18,9.1%
14 months,27,10.4%,17,6.4%,14,6.5%,14,8.7%,15,7.6%
15 or older,36,13.8%,28,10.6%,29,13.4%,39,24.2%,71,36%
Total Docket,260,100%,264,100%,216,100%,161,100%,197,100%
