DBN,Grade,Year,Category,Number Tested,Mean Scale Score,Level 1 #,Level 1 %,Level 2 #,Level 2 %,Level 3 #,Level 3 %,Level 4 #,Level 4 %,Level 3+4 #,Level 3+4 %
01M015,3,2006,Female,23,675,0,0%,7,30.4%,12,52.2%,4,17.4%,16,69.6%
01M015,3,2006,Male,16,657,2,12.5%,4,25%,8,50%,2,12.5%,10,62.5%
01M015,3,2007,Female,11,679,2,18.2%,0,0%,6,54.5%,3,27.3%,9,81.8%
01M015,3,2007,Male,20,668,0,0%,3,15%,16,80%,1,5%,17,85%
01M015,3,2008,Female,17,661,0,0%,5,29.4%,12,70.6%,0,0%,12,70.6%
01M015,3,2008,Male,20,674,0,0%,1,5%,17,85%,2,10%,19,95%
01M015,3,2009,Female,13,667,0,0%,1,7.7%,11,84.6%,1,7.7%,12,92.3%
01M015,3,2009,Male,20,668,0,0%,3,15%,17,85%,0,0%,17,85%
01M015,3,2010,Female,13,681,2,15.4%,7,53.8%,3,23.1%,1,7.7%,4,30.8%
01M015,3,2010,Male,13,673,4,30.8%,5,38.5%,3,23.1%,1,7.7%,4,30.8%
01M015,3,2011,Female,12,672,5,41.7%,4,33.3%,3,25%,0,0%,3,25%
01M015,3,2011,Male,16,671,5,31.3%,9,56.3%,2,12.5%,0,0%,2,12.5%
01M015,4,2006,Female,19,628,8,42.1%,7,36.8%,4,21.1%,0,0%,4,21.1%
01M015,4,2006,Male,30,630,12,40%,11,36.7%,6,20%,1,3.3%,7,23.3%
01M015,4,2007,Female,23,660,2,8.7%,8,34.8%,11,47.8%,2,8.7%,13,56.5%
01M015,4,2007,Male,17,657,2,11.8%,5,29.4%,7,41.2%,3,17.6%,10,58.8%
01M015,4,2008,Female,16,661,2,12.5%,4,25%,8,50%,2,12.5%,10,62.5%
01M015,4,2008,Male,25,651,3,12%,11,44%,10,40%,1,4%,11,44%
01M015,4,2009,Female,15,647,3,20%,4,26.7%,8,53.3%,0,0%,8,53.3%
01M015,4,2009,Male,24,660,1,4.2%,11,45.8%,10,41.7%,2,8.3%,12,50%
01M015,4,2010,Female,14,652,6,42.9%,5,35.7%,3,21.4%,0,0%,3,21.4%
01M015,4,2010,Male,15,673,1,6.7%,7,46.7%,6,40%,1,6.7%,7,46.7%
01M015,4,2011,Female,12,666,1,8.3%,7,58.3%,3,25%,1,8.3%,4,33.3%
01M015,4,2011,Male,16,669,2,12.5%,7,43.8%,6,37.5%,1,6.3%,7,43.8%
01M015,5,2006,Female,14,637,3,21.4%,5,35.7%,6,42.9%,0,0%,6,42.9%
01M015,5,2006,Male,17,625,9,52.9%,4,23.5%,4,23.5%,0,0%,4,23.5%
01M015,5,2007,Female,21,640,4,19%,10,47.6%,6,28.6%,1,4.8%,7,33.3%
01M015,5,2007,Male,29,634,6,20.7%,14,48.3%,9,31%,0,0%,9,31%
01M015,5,2008,Female,19,655,2,10.5%,7,36.8%,9,47.4%,1,5.3%,10,52.6%
01M015,5,2008,Male,17,665,1,5.9%,4,23.5%,10,58.8%,2,11.8%,12,70.6%
01M015,5,2009,Female,13,659,1,7.7%,5,38.5%,4,30.8%,3,23.1%,7,53.8%
01M015,5,2009,Male,26,662,1,3.8%,9,34.6%,12,46.2%,4,15.4%,16,61.5%
01M015,5,2010,Female,13,652,4,30.8%,5,38.5%,4,30.8%,0,0%,4,30.8%
01M015,5,2010,Male,22,668,2,9.1%,14,63.6%,5,22.7%,1,4.5%,6,27.3%
01M015,5,2011,Female,11,664,2,18.2%,4,36.4%,5,45.5%,0,0%,5,45.5%
01M015,5,2011,Male,14,669,3,21.4%,4,28.6%,7,50%,0,0%,7,50%
01M015,6,2006,Female,21,633,7,33.3%,6,28.6%,8,38.1%,0,0%,8,38.1%
01M015,6,2006,Male,18,646,3,16.7%,6,33.3%,9,50%,0,0%,9,50%
01M015,All Grades,2006,Female,77,,18,23.4%,25,32.5%,30,39%,4,5.2%,34,44.2%
01M015,All Grades,2006,Male,81,,26,32.1%,25,30.9%,27,33.3%,3,3.7%,30,37%
01M015,All Grades,2007,Female,55,,8,14.5%,18,32.7%,23,41.8%,6,10.9%,29,52.7%
01M015,All Grades,2007,Male,66,,8,12.1%,22,33.3%,32,48.5%,4,6.1%,36,54.5%
01M015,All Grades,2008,Female,52,,4,7.7%,16,30.8%,29,55.8%,3,5.8%,32,61.5%
01M015,All Grades,2008,Male,62,,4,6.5%,16,25.8%,37,59.7%,5,8.1%,42,67.7%
01M015,All Grades,2009,Female,41,,4,9.8%,10,24.4%,23,56.1%,4,9.8%,27,65.9%
01M015,All Grades,2009,Male,70,,2,2.9%,23,32.9%,39,55.7%,6,8.6%,45,64.3%
01M015,All Grades,2010,Female,40,,12,30%,17,42.5%,10,25%,1,2.5%,11,27.5%
01M015,All Grades,2010,Male,50,,7,14%,26,52%,14,28%,3,6%,17,34%
01M015,All Grades,2011,Female,35,668,8,22.9%,15,42.9%,11,31.4%,1,2.9%,12,34.3%
01M015,All Grades,2011,Male,46,670,10,21.7%,20,43.5%,15,32.6%,1,2.2%,16,34.8%
01M019,3,2006,Female,36,678,3,8.3%,4,11.1%,19,52.8%,10,27.8%,29,80.6%
01M019,3,2006,Male,30,667,4,13.3%,6,20%,15,50%,5,16.7%,20,66.7%
01M019,3,2007,Female,21,679,1,4.8%,3,14.3%,12,57.1%,5,23.8%,17,81%
01M019,3,2007,Male,23,676,1,4.3%,1,4.3%,18,78.3%,3,13%,21,91.3%
01M019,3,2008,Female,28,677,0,0%,5,17.9%,19,67.9%,4,14.3%,23,82.1%
01M019,3,2008,Male,23,676,0,0%,5,21.7%,15,65.2%,3,13%,18,78.3%
01M019,3,2009,Female,27,690,0,0%,1,3.7%,20,74.1%,6,22.2%,26,96.3%
01M019,3,2009,Male,21,683,0,0%,2,9.5%,16,76.2%,3,14.3%,19,90.5%
01M019,3,2010,Female,16,687,0,0%,9,56.3%,5,31.3%,2,12.5%,7,43.8%
01M019,3,2010,Male,2,s,s,s,s,s,s,s,s,s,s,s
01M019,3,2010,Male,20,677,3,15%,7,35%,9,45%,1,5%,10,50%
01M019,3,2011,Female,17,676,1,5.9%,14,82.4%,2,11.8%,0,0%,2,11.8%
01M019,3,2011,Male,17,682,1,5.9%,9,52.9%,5,29.4%,2,11.8%,7,41.2%
01M019,4,2006,Female,26,660,2,7.7%,5,19.2%,17,65.4%,2,7.7%,19,73.1%
01M019,4,2006,Male,35,658,4,11.4%,10,28.6%,14,40%,7,20%,21,60%
01M019,4,2007,Female,25,673,2,8%,5,20%,11,44%,7,28%,18,72%
01M019,4,2007,Male,24,654,6,25%,3,12.5%,12,50%,3,12.5%,15,62.5%
01M019,4,2008,Female,22,668,2,9.1%,4,18.2%,13,59.1%,3,13.6%,16,72.7%
01M019,4,2008,Male,27,665,2,7.4%,4,14.8%,18,66.7%,3,11.1%,21,77.8%
01M019,4,2009,Female,25,694,2,8%,1,4%,9,36%,13,52%,22,88%
01M019,4,2009,Male,17,696,0,0%,0,0%,11,64.7%,6,35.3%,17,100%
01M019,4,2010,Female,21,684,0,0%,8,38.1%,9,42.9%,4,19%,13,61.9%
01M019,4,2010,Male,1,s,s,s,s,s,s,s,s,s,s,s
01M019,4,2010,Male,20,674,1,5%,9,45%,8,40%,2,10%,10,50%
01M019,4,2011,Female,21,688,0,0%,6,28.6%,12,57.1%,3,14.3%,15,71.4%
01M019,4,2011,Male,18,672,2,11.1%,5,27.8%,10,55.6%,1,5.6%,11,61.1%
01M019,5,2006,Female,31,647,6,19.4%,12,38.7%,11,35.5%,2,6.5%,13,41.9%
01M019,5,2006,Male,33,644,7,21.2%,9,27.3%,15,45.5%,2,6.1%,17,51.5%
01M019,5,2007,Female,25,665,0,0%,7,28%,14,56%,4,16%,18,72%
01M019,5,2007,Male,28,666,4,14.3%,5,17.9%,11,39.3%,8,28.6%,19,67.9%
01M019,5,2008,Female,34,670,2,5.9%,5,14.7%,22,64.7%,5,14.7%,27,79.4%
01M019,5,2008,Male,30,665,3,10%,5,16.7%,14,46.7%,8,26.7%,22,73.3%
01M019,5,2009,Female,19,692,1,5.3%,1,5.3%,9,47.4%,8,42.1%,17,89.5%
01M019,5,2009,Male,23,690,1,4.3%,1,4.3%,11,47.8%,10,43.5%,21,91.3%
01M019,5,2010,Female,21,687,1,4.8%,5,23.8%,9,42.9%,6,28.6%,15,71.4%
01M019,5,2010,Male,1,s,s,s,s,s,s,s,s,s,s,s
01M019,5,2010,Male,17,688,0,0%,3,17.6%,10,58.8%,4,23.5%,14,82.4%
01M019,5,2011,Female,21,688,0,0%,7,33.3%,10,47.6%,4,19%,14,66.7%
01M019,5,2011,Male,18,689,0,0%,5,27.8%,9,50%,4,22.2%,13,72.2%
01M019,6,2006,Female,18,644,2,11.1%,7,38.9%,8,44.4%,1,5.6%,9,50%
01M019,6,2006,Male,29,660,3,10.3%,8,27.6%,13,44.8%,5,17.2%,18,62.1%
01M019,7,2006,Female,1,s,s,s,s,s,s,s,s,s,s,s
01M019,All Grades,2006,Female,112,,13,11.6%,29,25.9%,55,49.1%,15,13.4%,70,62.5%
01M019,All Grades,2006,Male,127,,18,14.2%,33,26%,57,44.9%,19,15%,76,59.8%
01M019,All Grades,2007,Female,71,,3,4.2%,15,21.1%,37,52.1%,16,22.5%,53,74.6%
01M019,All Grades,2007,Male,75,,11,14.7%,9,12%,41,54.7%,14,18.7%,55,73.3%
01M019,All Grades,2008,Female,84,,4,4.8%,14,16.7%,54,64.3%,12,14.3%,66,78.6%
01M019,All Grades,2008,Male,80,,5,6.3%,14,17.5%,47,58.8%,14,17.5%,61,76.3%
01M019,All Grades,2009,Female,71,,3,4.2%,3,4.2%,38,53.5%,27,38%,65,91.5%
01M019,All Grades,2009,Male,61,,1,1.6%,3,4.9%,38,62.3%,19,31.1%,57,93.4%
01M019,All Grades,2010,Female,58,,1,1.7%,22,37.9%,23,39.7%,12,20.7%,35,60.3%
01M019,All Grades,2010,Male,4,,s,s,s,s,s,s,s,s,s,s
01M019,All Grades,2010,Male,57,,4,7%,19,33.3%,27,47.4%,7,12.3%,34,59.6%
01M019,All Grades,2010,Male,57,,4,7%,19,33.3%,27,47.4%,7,12.3%,34,59.6%
01M019,All Grades,2011,Female,59,685,1,1.7%,27,45.8%,24,40.7%,7,11.9%,31,52.5%
01M019,All Grades,2011,Male,53,681,3,5.7%,19,35.8%,24,45.3%,7,13.2%,31,58.5%
01M020,3,2006,Female,62,672,2,3.2%,10,16.1%,37,59.7%,13,21%,50,80.6%
01M020,3,2006,Male,53,677,1,1.9%,6,11.3%,33,62.3%,13,24.5%,46,86.8%
01M020,3,2007,Female,66,683,2,3%,7,10.6%,40,60.6%,17,25.8%,57,86.4%
01M020,3,2007,Male,40,677,1,2.5%,3,7.5%,29,72.5%,7,17.5%,36,90%
01M020,3,2008,Female,47,679,1,2.1%,2,4.3%,38,80.9%,6,12.8%,44,93.6%
01M020,3,2008,Male,35,692,1,2.9%,0,0%,22,62.9%,12,34.3%,34,97.1%
01M020,3,2009,Female,50,689,1,2%,1,2%,39,78%,9,18%,48,96%
01M020,3,2009,Male,51,680,2,3.9%,4,7.8%,39,76.5%,6,11.8%,45,88.2%
01M020,3,2010,Female,45,685,4,8.9%,18,40%,17,37.8%,6,13.3%,23,51.1%
01M020,3,2010,Male,1,s,s,s,s,s,s,s,s,s,s,s
01M020,3,2010,Male,50,686,8,16%,15,30%,20,40%,7,14%,27,54%
01M020,3,2011,Female,36,678,4,11.1%,16,44.4%,13,36.1%,3,8.3%,16,44.4%
01M020,3,2011,Male,45,686,3,6.7%,13,28.9%,26,57.8%,3,6.7%,29,64.4%
01M020,4,2006,Female,55,673,1,1.8%,8,14.5%,36,65.5%,10,18.2%,46,83.6%
01M020,4,2006,Male,50,679,2,4%,5,10%,29,58%,14,28%,43,86%
01M020,4,2007,Female,54,669,2,3.7%,10,18.5%,36,66.7%,6,11.1%,42,77.8%
01M020,4,2007,Male,51,676,1,2%,12,23.5%,28,54.9%,10,19.6%,38,74.5%
01M020,4,2008,Female,61,673,2,3.3%,7,11.5%,46,75.4%,6,9.8%,52,85.2%
01M020,4,2008,Male,37,674,2,5.4%,4,10.8%,25,67.6%,6,16.2%,31,83.8%
01M020,4,2009,Female,46,683,2,4.3%,3,6.5%,27,58.7%,14,30.4%,41,89.1%
01M020,4,2009,Male,32,690,1,3.1%,2,6.3%,20,62.5%,9,28.1%,29,90.6%
01M020,4,2010,Female,45,683,1,2.2%,17,37.8%,18,40%,9,20%,27,60%
