Type of Abuse of Authority Allegation,Substantiated Number,Sunstantiated rate,Exonerated number,Exonerated rate,Unsubstantiated number,Unsubstantiated rate,Unfounded number,Unfounded rate,Officer Unidentified number,Officer Unidentified rate,Miscellaneous,Miscellaneous rate
Gun fired,2,2.4%,65,78.3%,5,6%,1,1.2%,0,0%,10,12%
Gun pointed,22,1.9%,707,60.4%,160,13.7%,184,15.7%,70,6%,27,2.3%
Nightstick as club,12,1.6%,246,33%,142,19.1%,219,29.4%,114,15.3%,12,1.6%
Gun as club,4,4.3%,8,8.7%,25,27.2%,43,46.7%,6,6.5%,6,6.5%
Police shield,0,0%,20,60.6%,6,18.2%,2,6.1%,5,15.2%,0,0%
Vehicle,2,2.3%,11,12.8%,27,31.4%,36,41.9%,8,9.3%,2,2.3%
Other blunt instrument as club,5,2.6%,14,7.2%,42,21.5%,99,50.8%,29,14.9%,6,3.1%
Hit against inanimate object,5,1.3%,80,20.4%,126,32.1%,141,36%,32,8.2%,8,2%
Chokehold,5,1%,1,0.2%,145,30%,274,56.7%,55,11.4%,3,0.6%
Pepper spray,24,2.8%,598,70.9%,72,8.5%,81,9.6%,60,7.1%,9,1.1%
Physical force*,192,1.7%,5940,52.9%,2203,19.6%,1815,16.1%,852,7.6%,237,2.1%
Radio as club,1,0.8%,4,3.1%,26,20%,79,60.8%,13,10%,7,5.4%
Flashlight as club,1,1.5%,6,9.2%,20,30.8%,28,43.1%,8,12.3%,2,3.1%
Handcuffs too tight,2,0.9%,6,2.8%,76,35.2%,92,42.6%,34,15.7%,6,2.8%
Nonlethal restraining device,2,1.9%,66,61.1%,9,8.3%,24,22.2%,3,2.8%,4,3.7%
Animal,0,0%,8,57.1%,1,7.1%,2,14.3%,3,21.4%,0,0%
Other,4,2.7%,48,32%,36,24%,50,33.3%,8,5.3%,4,2.7%
Total,283,1.8%,7828,48.8%,3121,19.5%,3170,19.8%,1300,8.1%,343,2.1%
"* ""Physical force"" includes: dragged/pulled, pushed/shoved/threw, beat, punched/kicked/kneed, slapped, fought, and bit. ",,,,,,,,,,,,
