STATEN ISLAND – COOPERATIVES COMPARABLE PROPERTIES – Boro-Block-Lot,STATEN ISLAND – COOPERATIVES COMPARABLE PROPERTIES – Address,STATEN ISLAND – COOPERATIVES COMPARABLE PROPERTIES – Neighborhood,STATEN ISLAND – COOPERATIVES COMPARABLE PROPERTIES – Building Classification,STATEN ISLAND – COOPERATIVES COMPARABLE PROPERTIES – Total Units,STATEN ISLAND – COOPERATIVES COMPARABLE PROPERTIES – Year Built,STATEN ISLAND – COOPERATIVES COMPARABLE PROPERTIES – Gross SqFt,STATEN ISLAND – COOPERATIVES COMPARABLE PROPERTIES – Est. Gross Income,STATEN ISLAND – COOPERATIVES COMPARABLE PROPERTIES – Gross Income per SqFt,STATEN ISLAND – COOPERATIVES COMPARABLE PROPERTIES – Full Market Value,STATEN ISLAND – COOPERATIVES COMPARABLE PROPERTIES – Market Value per SqFt,COMPARABLE RENTAL – 1 –Boro-Block-Lot,COMPARABLE RENTAL – 1 –Address,COMPARABLE RENTAL – 1 –Neighborhood,COMPARABLE RENTAL – 1 –Building Classification,COMPARABLE RENTAL – 1 –Total Units,COMPARABLE RENTAL – 1 –Year Built,COMPARABLE RENTAL – 1 –Gross SqFt,COMPARABLE RENTAL – 1 –Est. Gross Income,COMPARABLE RENTAL – 1 –Gross Income per SqFt,COMPARABLE RENTAL – 1 –Full Market Value,COMPARABLE RENTAL – 1 –Market Value per SqFt,COMPARABLE RENTAL – 1 –Dist. from Coop in miles,COMPARABLE RENTAL – 2 –Boro-Block-Lot,COMPARABLE RENTAL – 2 –Address,COMPARABLE RENTAL – 2 –Neighborhood,COMPARABLE RENTAL – 2 –Building Classification,COMPARABLE RENTAL – 2 –Total Units,COMPARABLE RENTAL – 2 –Year Built,COMPARABLE RENTAL – 2 –Gross SqFt,COMPARABLE RENTAL – 2 –Est. Gross Income,COMPARABLE RENTAL – 2 –Gross Income per SqFt,COMPARABLE RENTAL – 2 –Full Market Value,COMPARABLE RENTAL – 2 –Market Value per SqFt,COMPARABLE RENTAL – 2 –Dist. from Coop in miles
5-00593-0680,"151 ARLO ROAD
Staten Island, NY
(40.619607564842234, -74.0947917040224)",GRYMES HILL,C6-WALK-UP,24,1951,28600,411268,14.38,1630000,57,5-01015-0001,"137 HEBERTON AVENUE
Staten Island, NY
(40.63677941950782, -74.13131334974379)",PORT RICHMOND,C1-WALK-UP,28,1933,20800,281893,13.55,1060000,51,2.2,5-00115-0090,"395 VICTORY BOULEVARD
Staten Island, NY
(40.632670280999676, -74.08683212401286)",TOMPKINSVILLE,C1-WALK-UP,17,1931,17320,475607,27.5,2300000,133,0.85
5-00597-0120,"556 HOWARD AVENUE
Staten Island, NY
(40.61860692966038, -74.09378346522982)",GRYMES HILL,C6-WALK-UP,128,1951,121750,1056790,8.68,3480000,28.6,5-00590-0001,"700 VICTORY BOULEVARD
Staten Island, NY
(40.625670055825246, -74.09224343694464)",GRYMES HILL,D3-ELEVATOR,228,1962,242500,3141570,12.95,11800000,48.7,0.6,,,,,,,,,,,,
5-02833-0031,"20 CLIFF STREET
Staten Island, NY
(40.6111776502839, -74.0606066595655)",ARROCHAR-SHORE ACRES,D4-ELEVATOR,122,1964,146640,1347622,9.19,4440000,30.3,5-03157-0001,"1950 CLOVE ROAD
Staten Island, NY
(40.60600405116905, -74.08661513939974)",GRASMERE,D1-ELEVATOR,177,1973,180495,1690099,9.36,5570000,30.9,1.55,,,,,,,,,,,,
5-02925-0432,"361 SKYLINE DRIVE
Staten Island, NY
(40.612546177166195, -74.0800538318982)",CONCORD-FOX HILLS,C6-WALK-UP,11,1999,21780,222809,10.23,753000,34.6,5-03591-0008,"261 LINCOLN AVENUE
Staten Island, NY
(40.576986694649065, -74.1046700516757)",GRANT CITY,C9-WALK-UP,16,1933,12300,337758,27.5,1640000,133,2.75,,,,,,,,,,,,
5-02925-0450,"295 SKYLINE DRIVE
Staten Island, NY
(40.6130095652697, -74.0789169248592)",CONCORD-FOX HILLS,C6-WALK-UP,11,2000,21865,223679,10.23,756000,34.6,5-03591-0008,"261 LINCOLN AVENUE
Staten Island, NY
(40.576986694649065, -74.1046700516757)",GRANT CITY,C9-WALK-UP,16,1933,12300,337758,27.5,1640000,133,2.75,5-02972-0070,"162 ST MARY'S AVENUE
Staten Island, NY
(40.614004218866334, -74.07255775111317)",ROSEBANK,C7-WALK-UP,11,1931,6875,205288,29.9,995000,145,0.35
5-02925-0479,"46 CIRCLE LOOP
Staten Island, NY
(40.613540506446355, -74.0792470743342)",CONCORD-FOX HILLS,C6-WALK-UP,19,2000,37220,380761,10.23,1290000,34.7,5-03591-0008,"261 LINCOLN AVENUE
Staten Island, NY
(40.576986694649065, -74.1046700516757)",GRANT CITY,C9-WALK-UP,16,1933,12300,337758,27.5,1640000,133,2.75,5-02972-0070,"162 ST MARY'S AVENUE
Staten Island, NY
(40.614004218866334, -74.07255775111317)",ROSEBANK,C7-WALK-UP,11,1931,6875,205288,29.9,995000,145,0.35
5-02986-0012,"390 MARYLAND AVENUE
Staten Island, NY
(40.609357387836525, -74.07361237773283)",ROSEBANK,C6-WALK-UP,178,1974,155396,1196549,7.7,3670000,23.62,5-03157-0001,"1950 CLOVE ROAD
Staten Island, NY
(40.60600405116905, -74.08661513939974)",GRASMERE,D1-ELEVATOR,177,1973,180495,1690099,9.36,5570000,30.9,0.75,,,,,,,,,,,,
5-03191-0061,"1160 RICHMOND ROAD
Staten Island, NY
(40.60667400010499, -74.16240100000613)",DONGAN HILLS,D4-ELEVATOR,71,1969,63600,654444,10.29,2210000,34.7,5-03168-0161,"1000 TARGEE STREET
Staten Island, NY
(40.60461509117981, -74.09113051231361)",GRASMERE,D5-ELEVATOR,98,1972,74260,863625,11.63,3040000,40.9,0.4,,,,,,,,,,,,
5-03546-0001,"45 VERA STREET
Staten Island, NY
(40.5846655199337, -74.09703416886231)",GRANT CITY,C6-WALK-UP,118,1969,58350,477887,8.19,1470000,25.2,5-03168-0161,"1000 TARGEE STREET
Staten Island, NY
(40.60461509117981, -74.09113051231361)",GRASMERE,D5-ELEVATOR,98,1972,74260,863625,11.63,3040000,40.9,1.3,,,,,,,,,,,,
5-03546-0031,"35 VERA STREET
Staten Island, NY
(40.58481345841429, -74.0968439622444)",GRANT CITY,C6-WALK-UP,20,1969,10000,81900,8.19,251000,25.1,5-03594-0001,"2162 RICHMOND ROAD
Staten Island, NY
(40.60667400010499, -74.16240100000613)",GRANT CITY,C7-WALK-UP,13,1939,10200,147568,14.47,585000,57,0.85,5-04243-0027,"280 BEACH AVENUE
Staten Island, NY
(40.60667400010499, -74.16240100000613)",NEW DORP,C1-WALK-UP,12,1936,10800,133164,12.33,501000,46.4,1.45
5-04640-0022,"3745 AMBOY ROAD
Staten Island, NY
(40.55211483039692, -74.14412187507199)",GREAT KILLS,C6-WALK-UP,36,1974,26490,437085,16.5,1780000,67,5-05015-0016,"7 BENTON COURT
Staten Island, NY
(40.55837971702469, -74.13656139884175)",GREAT KILLS-BAY TERRACE,C9-WALK-UP,43,1971,25420,409079,16.09,1660000,65,0.6,5-05016-0005,"25 BAY TERRACE
Staten Island, NY
(40.60667400010499, -74.16240100000613)",GREAT KILLS-BAY TERRACE,C9-WALK-UP,65,1976,43018,710136,16.51,2890000,67,0.5
5-05090-0035,"3482 AMBOY ROAD
Staten Island, NY
(40.556922389090666, -74.13883201993653)",GREAT KILLS-BAY TERRACE,C6-WALK-UP,108,1977,67000,938000,14,3720000,56,5-05460-0001,"4163 AMBOY ROAD
Staten Island, NY
(40.548472372372345, -74.15508930347012)",GREAT KILLS,C9-WALK-UP,24,1973,19200,275736,14.36,1090000,57,1.1,5-05015-0016,"7 BENTON COURT
Staten Island, NY
(40.55837971702469, -74.13656139884175)",GREAT KILLS-BAY TERRACE,C9-WALK-UP,43,1971,25420,409079,16.09,1660000,65,0.25
5-05229-0007,"475 ARMSTRONG AVENUE
Staten Island, NY
(40.544976260737215, -74.15778947352781)",GREAT KILLS,C6-WALK-UP,60,1974,38647,578932,14.98,2290000,59,5-05015-0016,"7 BENTON COURT
Staten Island, NY
(40.55837971702469, -74.13656139884175)",GREAT KILLS-BAY TERRACE,C9-WALK-UP,43,1971,25420,409079,16.09,1660000,65,1.45,5-05016-0005,"25 BAY TERRACE
Staten Island, NY
(40.60667400010499, -74.16240100000613)",GREAT KILLS-BAY TERRACE,C9-WALK-UP,65,1976,43018,710136,16.51,2890000,67,1.4
