QUEENS CONDOMINIUM PROPERTY Boro-Block-Lot,QUEENS CONDOMINIUM PROPERTY Condo Section,QUEENS CONDOMINIUM PROPERTY Address,QUEENS CONDOMINIUM PROPERTY Neighborhood,QUEENS CONDOMINIUM PROPERTY Building Classification,QUEENS CONDOMINIUM PROPERTY Total Units,QUEENS CONDOMINIUM PROPERTY Year Built,QUEENS CONDOMINIUM PROPERTY Gross SqFt,QUEENS CONDOMINIUM PROPERTY Est. Gross Income,QUEENS CONDOMINIUM PROPERTY Gross Income per SqFt,QUEENS CONDOMINIUM PROPERTY Full Market Value,QUEENS CONDOMINIUM PROPERTY Market Value per SqFt, COMPARABLE RENTAL 1 Boro-Block-Lot,COMPARABLE RENTAL 1 Address,COMPARABLE RENTAL 1  Neighborhood,COMPARABLE RENTAL 1  Building Classification,COMPARABLE RENTAL 1  Total Units,COMPARABLE RENTAL 1  Year Built,COMPARABLE RENTAL 1  Gross SqFt,COMPARABLE RENTAL 1  Est. Gross Income,COMPARABLE RENTAL 1  Gross Income per SqFt,COMPARABLE RENTAL 1 Full Market Value,COMPARABLE RENTAL 1  Market Value per SqFt,COMPARABLE RENTAL 1  Dist. from Coop in miles,COMPARABLE RENTAL 2  Boro-Block-Lot,COMPARABLE RENTAL 2  Address,COMPARABLE RENTAL 2  Neighborhood,COMPARABLE RENTAL 2  Building Classification,COMPARABLE RENTAL 2  Total Units,COMPARABLE RENTAL 2  Year Built,COMPARABLE RENTAL 2  Gross SqFt,COMPARABLE RENTAL 2  Est. Gross Income,COMPARABLE RENTAL 2  Gross Income per SqFt,COMPARABLE RENTAL 2  Full Market Value,COMPARABLE RENTAL 2  Market Value per SqFt,COMPARABLE RENTAL 2  Dist. from Coop in miles
4-01536-7502,33-R1,"76 26 47 AVENUE
Queens, New York
(40.749436300045204, -73.79729979984586)",ELMHURST,R4-ELEVATOR,22,1980,27450,405711,14.78,1610004,59,4-01312-0010,"72 10 41 AVENUE
Queens, New York
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,143,1955,128535,1534432,11.94,5410000,42.1,0.5,4-01554-0023,"41 42 ELBERTSON STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,74,1954,77960,907470,11.64,3200000,41,0.6
4-01611-7501,161-R1,"41 10 97 PLACE
Queens, New York
(40.749436300045204, -73.79729979984586)",CORONA,R2-WALK-UP,12,1987,9424,150784,16,612996,65,4-01606-0052,"40 37 97 STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",CORONA,C1-WALK-UP,16,1990,12304,159599,12.97,600000,48.8,0.1,4-01764-0017,"98 15 ROOSEVELT AVENUE
Queens, New York
(40.749436300045204, -73.79729979984586)",CORONA,C7-WALK-UP,12,1988,12300,232327,18.89,945000,77,0.2
4-01775-7501,469-R1,"104 19 39 AVENUE
Queens, New York
(40.749436300045204, -73.79729979984586)",CORONA,R2-WALK-UP,16,2005,14000,350000,25,1560000,111,4-01782-0040,"112 31 38 AVENUE
Queens, New York
(40.749436300045204, -73.79729979984586)",CORONA,D9-ELEVATOR,17,2006,15077,362000,24.01,1600000,106,0.4,4-02011-0036,"110 17 CORONA AVENUE
Queens, New York
(40.749436300045204, -73.79729979984586)",CORONA,D1-ELEVATOR,18,2001,11000,176952,16.09,720000,65,0.85
4-01779-7501,452-R1,"38 11 108 STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",CORONA,R4-ELEVATOR,87,2005,78190,1604458,20.52,7170004,92,4-05182-0009,"140 26 FRANKLIN AVENUE
Queens, New York
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,54,1999,53860,926507,17.2,3770000,70,1.85,4-04954-0131,"32 08 UNION STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,27,1999,35100,730080,20.8,3260000,93,1.95
4-01781-7501,426-R1,"118 37 AVENUE
Queens, New York
(40.749436300045204, -73.79729979984586)",CORONA,R2-WALK-UP,24,2002,21312,426240,20,1899994,89,4-02004-0043,"48 10 111 STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",CORONA,D1-ELEVATOR,22,1988,18000,234747,13.04,882000,49,0.55,,,,,,,,,,,,
4-01837-7501,333-R1,"88 30 51 AVENUE
Queens, New York
(40.749436300045204, -73.79729979984586)",ELMHURST,R4-ELEVATOR,74,1959,64938,662367,10.2,2239984,34.5,4-01251-0030,"78 01 34 AVENUE
Queens, New York
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D1-ELEVATOR,96,1950,90950,878328,9.66,2970000,32.7,1.3,4-01279-0001,"79 06 35 AVENUE
Queens, New York
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D1-ELEVATOR,96,1950,95000,898632,9.46,2960000,31.2,1
4-01842-7501,98-R1,"87 08 JUSTICE AVENUE
Queens, New York
(40.749436300045204, -73.79729979984586)",ELMHURST,R4-ELEVATOR,100,1986,104150,0,0,3048109,29.3,4-05863-0250,"23 50 CORPORAL KENNEDY ST
Queens, New York
(40.749436300045204, -73.79729979984586)",BAYSIDE,D9-ELEVATOR,150,1981,124877,2191600,17.55,6190000,49.6,5.8,4-01704-0172,"110 14 ASTORIA BOULEVARD
Queens, New York
(40.749436300045204, -73.79729979984586)",EAST ELMHURST,D3-ELEVATOR,63,1991,84580,782258,9.25,2580000,30.5,1.75
4-01853-7503,360-R1,"90 70 51 AVENUE
Queens, New York
(40.749436300045204, -73.79729979984586)",ELMHURST,R2-WALK-UP,14,1989,8807,123298,14,488998,56,4-01505-0076,"40 23 ITHACA STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,21,1991,19250,241090,12.52,906000,47.1,0.65,4-01518-0047,"85 11 ELMHURST AVENUE
Queens, New York
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,21,1992,16101,254501,15.81,1040000,65,0.5
4-01855-7501,454-R1,"53 11 90 STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",ELMHURST,R4-ELEVATOR,77,1964,72000,1292400,17.95,3945058,55,4-01519-0028,"75 06 WOODSIDE AVENUE
Queens, New York
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,74,1962,52553,815958,15.53,3320000,63,1,4-01913-0001,"94 10
Queens, New York
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,88,1965,75360,1130450,15,4480000,59,0.45
4-01857-7501,445-R1,"90 20 55 AVENUE
Queens, New York
(40.749436300045204, -73.79729979984586)",ELMHURST,R4-ELEVATOR,20,2004,22536,375224,16.65,1530000,68,4-01349-0016,"70 06 WOODSIDE AVENUE
Queens, New York
(40.749436300045204, -73.79729979984586)",ELMHURST,C1-WALK-UP,23,1961,13772,229500,16.66,933000,68,1.25,4-01838-0041,"52 08 90 STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",ELMHURST,C1-WALK-UP,16,1974,10400,109954,10.57,372000,35.8,0.2
4-01910-7501,129-R1,"57 10 JUNCTION BOULEVARD
Queens, New York
(40.749436300045204, -73.79729979984586)",ELMHURST,R9-CONDOPS,66,1961,75780,996507,13.15,3750000,49.5,4-01491-0021,"80 15 41 AVENUE
Queens, New York
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,287,1959,248620,3522156,14.17,14000000,56,1.2,4-01505-0037,"40 70 HAMPTON STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,104,1963,89772,1108448,12.35,4170000,46.5,1.05
4-01910-7501,129-R2,"94 31 59 AVENUE
Queens, New York
(40.749436300045204, -73.79729979984586)",ELMHURST,R9-CONDOPS,132,1961,151162,1987780,13.15,7470000,49.4,4-01505-0037,"40 70 HAMPTON STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,104,1963,89772,1108448,12.35,4170000,46.5,1.1,4-01491-0021,"80 15 41 AVENUE
Queens, New York
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,287,1959,248620,3522156,14.17,14000000,56,1.25
4-01910-7501,129-R3,"94 31 60 AVENUE
Queens, New York
(40.749436300045204, -73.79729979984586)",ELMHURST,R9-CONDOPS,264,1961,302236,3974403,13.15,14900004,49.3,4-01491-0021,"80 15 41 AVENUE
Queens, New York
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,287,1959,248620,3522156,14.17,14000000,56,1.3,4-01505-0037,"40 70 HAMPTON STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,104,1963,89772,1108448,12.35,4170000,46.5,1.15
4-01910-7501,129-R4,"94 30 60 AVENUE
Queens, New York
(40.749436300045204, -73.79729979984586)",ELMHURST,R9-CONDOPS,66,1961,75693,995362,13.15,3740000,49.4,4-01491-0021,"80 15 41 AVENUE
Queens, New York
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,287,1959,248620,3522156,14.17,14000000,56,1.35,4-01505-0037,"40 70 HAMPTON STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,104,1963,89772,1108448,12.35,4170000,46.5,1.2
4-01955-7501,367-R1,"54 09 108 STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",CORONA,R4-ELEVATOR,29,1992,25040,325520,13,1220000,48.7,4-02004-0043,"48 10 111 STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",CORONA,D1-ELEVATOR,22,1988,18000,234747,13.04,882000,49,0.3,4-01606-0052,"40 37 97 STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",CORONA,C1-WALK-UP,16,1990,12304,159599,12.97,600000,48.8,0.8
4-01993-7501,502-R1,"106 19 50 AVENUE
Queens, New York
(40.749436300045204, -73.79729979984586)",CORONA,R4-ELEVATOR,30,2004,18136,415314,22.9,1859999,103,4-04977-0017,"136 14 NORTHERN BOULEVARD
Queens, New York
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D6-ELEVATOR,63,2000,52477,1220725,23.26,5460000,104,1.9,4-00531-0059,"14 56 31 DRIVE
Queens, New York
(40.749436300045204, -73.79729979984586)",ASTORIA,D6-ELEVATOR,63,2001,61700,1272343,20.62,5690000,92,4.25
4-02075-7501,143-R1,"92 28 QUEENS BOULEVARD
Queens, New York
(40.749436300045204, -73.79729979984586)",REGO PARK,R4-ELEVATOR,112,1985,137200,2154040,15.7,8759990,64,4-02098-0018,"63 36 98 PLACE
Queens, New York
(40.749436300045204, -73.79729979984586)",REGO PARK,D1-ELEVATOR,66,1980,66962,1003304,14.98,3980000,59,0.4,4-04954-0131,"32 08 UNION STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,27,1999,35100,730080,20.8,3260000,93,3.2
4-02082-7501,229-R1,"62 54 97 PLACE
Queens, New York
(40.749436300045204, -73.79729979984586)",REGO PARK,R4-ELEVATOR,206,1988,190498,2285976,12,8060019,42.3,4-01918-0072,"98 32 57 AVENUE
Queens, New York
(40.749436300045204, -73.79729979984586)",CORONA,D1-ELEVATOR,232,1965,224000,2539658,11.34,8950000,40,0.2,4-01918-0080,"98 38 57 AVENUE
Queens, New York
(40.749436300045204, -73.79729979984586)",CORONA,D1-ELEVATOR,224,1965,220000,2647233,12.03,9330000,42.4,0.2
4-02090-7501,322-R1,"97 12 63 DRIVE
Queens, New York
(40.749436300045204, -73.79729979984586)",REGO PARK,R4-ELEVATOR,73,1992,51254,922572,18,3750000,73,4-04954-0131,"32 08 UNION STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,27,1999,35100,730080,20.8,3260000,93,3.1,,,,,,,,,,,,
4-02099-7501,457-R1,"63 26 99 STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",REGO PARK,R4-ELEVATOR,32,1999,30520,747740,24.5,3340006,109,4-05182-0009,"140 26 FRANKLIN AVENUE
Queens, New York
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,54,1999,53860,926507,17.2,3770000,70,2.45,4-04954-0131,"32 08 UNION STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,27,1999,35100,730080,20.8,3260000,93,2.95
4-02112-7501,61-R1,"63 60 102 STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",REGO PARK,R4-ELEVATOR,139,1949,132000,1716000,13,6450000,48.9,4-05137-0012,"42 49 COLDEN STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D3-ELEVATOR,284,1962,270499,3787000,14,15000000,55,2.2,4-05137-0084,"43 32 KISSENA BOULEVARD
Queens, New York
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D3-ELEVATOR,287,1962,267554,3694000,13.81,14600000,55,2.2
4-02118-7501,334-R1,"99 32 66 ROAD
Queens, New York
(40.749436300045204, -73.79729979984586)",REGO PARK,R9-CONDOPS,489,1952,418980,5237250,12.5,19700000,47,4-02090-0026,"63 60 98 STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",REGO PARK,D1-ELEVATOR,129,1951,121110,1376596,11.37,4850000,40,0.4,4-02122-0028,"102 50 62 ROAD
Queens, New York
(40.749436300045204, -73.79729979984586)",FOREST HILLS,D1-ELEVATOR,102,1956,94350,1184349,12.55,4450000,47.2,0.5
4-02119-7501,183-R1,"100 25 QUEENS BOULEVARD
Queens, New York
(40.749436300045204, -73.79729979984586)",REGO PARK,R4-ELEVATOR,157,1959,148800,1934400,13,7270007,48.9,4-03156-0133,"98 05 67 AVENUE
Queens, New York
(40.749436300045204, -73.79729979984586)",REGO PARK,D3-ELEVATOR,181,1960,177710,2431751,13.68,9640000,54,0.25,4-03078-0085,"93 10 QUEENS BOULEVARD
Queens, New York
(40.749436300045204, -73.79729979984586)",REGO PARK,D7-ELEVATOR,114,1950,104708,1449479,13.84,5750000,55,0.75
4-02186-7501,172-R1,"110 14 65 AVENUE
Queens, New York
(40.749436300045204, -73.79729979984586)",FOREST HILLS,R2-WALK-UP,20,1951,26054,403837,15.5,1639998,63,4-00893-0002,"19 09 21 AVENUE
Queens, New York
(40.749436300045204, -73.79729979984586)",ASTORIA,C9-WALK-UP,27,1949,20763,322543,15.53,1310000,63,5.1,4-15574-0028,"14 09 GATEWAY BOULEVARD
Queens, New York
(40.749436300045204, -73.79729979984586)",FAR ROCKAWAY,C1-WALK-UP,24,1947,23500,444385,18.91,1460000,62,10.3
4-02224-7501,75-R1,"109 33 71 ROAD
Queens, New York
(40.749436300045204, -73.79729979984586)",FOREST HILLS,R4-ELEVATOR,73,1960,57269,847581,14.8,3360017,59,4-02090-0047,"97 25 64 AVENUE
Queens, New York
(40.749436300045204, -73.79729979984586)",REGO PARK,D1-ELEVATOR,113,1950,90500,1137494,12.57,4280000,47.3,1.1,4-02113-0034,"99 60 64 AVENUE
Queens, New York
(40.749436300045204, -73.79729979984586)",REGO PARK,D1-ELEVATOR,132,1952,110985,1387000,12.5,5210000,46.9,0.9
4-02239-7501,177-R1,"111 01 QUEENS BOULEVARD
Queens, New York
(40.749436300045204, -73.79729979984586)",FOREST HILLS,R9-CONDOPS,120,1966,144310,1948185,13.5,7320000,51,4-02132-0045,"66 25 103 STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",FOREST HILLS,D1-ELEVATOR,148,1964,159348,2163049,13.57,8130000,51,0.95,4-02134-0013,"102 30 67 AVENUE
Queens, New York
(40.749436300045204, -73.79729979984586)",FOREST HILLS,D1-ELEVATOR,123,1963,125400,1697316,13.54,6380000,51,0.85
4-02264-7501,339-R1,"112 01 QUEENS BOULEVARD
Queens, New York
(40.749436300045204, -73.79729979984586)",FOREST HILLS,R4-ELEVATOR,226,1991,282298,5984717,21.2,26699997,95,4-02098-0018,"63 36 98 PLACE
Queens, New York
(40.749436300045204, -73.79729979984586)",REGO PARK,D1-ELEVATOR,66,1980,66962,1003304,14.98,3980000,59,1.5,4-04954-0131,"32 08 UNION STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,27,1999,35100,730080,20.8,3260000,93,3.45
4-02267-7501,342-R1,"76 01 113 STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",FLUSHING MEADOW PARK,R4-ELEVATOR,28,1990,32000,512000,16,2080000,65,4-02098-0018,"63 36 98 PLACE
Queens, New York
(40.749436300045204, -73.79729979984586)",REGO PARK,D1-ELEVATOR,66,1980,66962,1003304,14.98,3980000,59,1.65,4-04954-0131,"32 08 UNION STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,27,1999,35100,730080,20.8,3260000,93,3.5
4-02383-7501,154-R1,"65 31 52 AVENUE
Queens, New York
(40.749436300045204, -73.79729979984586)",MASPETH,R2-WALK-UP,17,1987,17400,207060,11.9,730002,42,4-05005-0045,"35 20 149 STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,C1-WALK-UP,16,1975,12120,144450,11.92,509000,42,4.8,4-05293-0045,"166 15 DEPOT ROAD
Queens, New York
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,C1-WALK-UP,16,1975,13549,143700,10.61,486000,35.9,5.6
4-02467-7502,519-R1,"79 39 CALAMUS AVENUE
Queens, New York
(40.749436300045204, -73.79729979984586)",ELMHURST,R4-ELEVATOR,15,1990,15441,321172,20.8,1439999,93,4-00620-0178,"25 16 33 STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",ASTORIA,D3-ELEVATOR,11,2004,11596,241197,20.8,1080000,93,2.85,4-00573-0046,"27 10 ASTORIA BOULEVARD
Queens, New York
(40.749436300045204, -73.79729979984586)",ASTORIA,D7-ELEVATOR,27,2004,25920,515860,19.9,2310000,89,3.1
4-02474-7501,480-R1,"81 18 QUEENS BOULEVARD
Queens, New York
(40.749436300045204, -73.79729979984586)",ELMHURST,R4-ELEVATOR,30,2004,24285,849975,35,4269998,176,4-01505-0076,"40 23 ITHACA STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,21,1991,19250,241090,12.52,906000,47.1,0.7,4-01518-0047,"85 11 ELMHURST AVENUE
Queens, New York
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,21,1992,16101,254501,15.81,1040000,65,0.45
4-02476-7501,145-R1,"51 33 GOLDSMITH STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",ELMHURST,R4-ELEVATOR,62,1962,51341,747011,14.55,2959974,58,4-01553-0028,"40 94 WHITNEY AVENUE
Queens, New York
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,77,1960,53250,666174,12.51,2500000,46.9,0.75,4-01519-0028,"75 06 WOODSIDE AVENUE
Queens, New York
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,74,1962,52553,815958,15.53,3320000,63,0.65
4-02500-7501,203-R1,"55 36 69 PLACE
Queens, New York
(40.749436300045204, -73.79729979984586)",ELMHURST,R4-ELEVATOR,12,1988,11782,131958,11.2,465000,39.5,4-01505-0076,"40 23 ITHACA STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,21,1991,19250,241090,12.52,906000,47.1,1.5,4-01838-0041,"52 08 90 STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",ELMHURST,C1-WALK-UP,16,1974,10400,109954,10.57,372000,35.8,1.3
4-02756-7501,153-R1,"62 36 59 DRIVE
Queens, New York
(40.749436300045204, -73.79729979984586)",MASPETH,R4-ELEVATOR,11,1987,9765,160146,16.4,651000,67,4-02016-0046,"111 88 43 AVENUE
Queens, New York
(40.749436300045204, -73.79729979984586)",CORONA,D7-ELEVATOR,24,1988,15000,245386,16.36,998000,67,3.35,4-03359-0011,"123 20 82 AVENUE
Queens, New York
(40.749436300045204, -73.79729979984586)",KEW GARDENS,D7-ELEVATOR,18,1996,12905,233085,18.06,948000,73,3.85
