Type of Abuse of Authority Allegation,Substantiated Number,Sunstantiated rate,Exonerated number,Exonerated rate,Unsubstantiated number,Unsubstantiated rate,Unfounded number,Unfounded rate,Officer Unidentified number,Officer Unidentified rate,Miscellaneous,Miscellaneous rate
Gun fired,0,0%,12,85.7%,0,0%,0,0%,0,0%,2,14.3%
Gun pointed,9,4.6%,102,52%,13,6.6%,52,26.5%,15,7.7%,5,2.6%
Nightstick as club,0,0%,31,38.8%,11,13.8%,25,31.3%,12,15%,1,1.3%
Gun as club,0,0%,3,25%,2,16.7%,4,33.3%,1,8.3%,2,16.7%
Police shield,0,0%,2,66.7%,0,0%,1,33.3%,0,0%,0,0%
Vehicle,0,0%,0,0%,8,50%,6,37.5%,1,6.3%,1,6.3%
Other blunt instrument as club,0,0%,5,12.8%,5,12.8%,22,56.4%,3,7.7%,4,10.3%
Hit against inanimate object,2,3.4%,8,13.8%,26,44.8%,16,27.6%,5,8.6%,1,1.7%
Chokehold,0,0%,0,0%,23,28.4%,50,61.7%,8,9.9%,0,0%
Pepper spray,8,5.4%,106,71.1%,10,6.7%,9,6%,10,6.7%,6,4%
Physical force*,60,2.8%,1106,51.1%,328,15.2%,467,21.6%,151,7%,52,2.4%
Radio as club,0,0%,0,0%,1,3.4%,24,82.8%,3,10.3%,1,3.4%
Flashlight as club,1,4.8%,2,9.5%,4,19%,10,47.6%,3,14.3%,1,4.8%
Handcuffs too tight,0,0%,0,0%,18,41.9%,17,39.5%,6,14%,2,4.7%
Nonlethal restraining device,0,0%,7,70%,0,0%,2,20%,0,0%,1,10%
Animal,0,0%,3,100%,0,0%,0,0%,0,0%,0,0%
Other,1,3.6%,5,17.9%,8,28.6%,13,46.4%,1,3.6%,0,0%
Total,81,2.7%,1392,47.3%,457,15.5%,718,24.4%,219,7.4%,79,2.7%
"* ""Physical force"" includes: dragged/pulled, pushed/shoved/threw, beat, punched/kicked/kneed, slapped, fought, and bit. ",,,,,,,,,,,,
