Tenure,2005,2006,2007,2008,2009
Less than 1 year,7%,10%,18%,6%,13%
1 year,26%,39%,36%,20%,33%
2 years,27%,29%,22%,26%,35%
3 years,30%,33%,14%,17%,31%
4 years,24%,20%,25%,14%,20%
5 to 7 years,71%,66%,49%,39%,46%
8 to 11 years,86%,51%,51%,33%,28%
12 to 15 years,56%,69%,62%,40%,35%
16 years and over,42%,30%,22%,24%,34%
Subtotal,369%,347%,299%,219%,275%
Officer unidentified,2%,0%,1%,0%,1%
Total,371%,347%,300%,219%,276%
Tenure,2005%,2006%,2007%,2008%,2009%
Less than 1 year,1.9%,2.9%,6%,2.7%,4.7%
1 year,7%,11.2%,12%,9.1%,12%
2 years,7.3%,8.4%,7.4%,11.9%,12.7%
3 years,8.1%,9.5%,4.7%,7.8%,11.3%
4 years,6.5%,5.8%,8.4%,6.4%,7.3%
5 to 7 years,19.2%,19%,16.4%,17.8%,16.7%
8 to 11 years,23.3%,14.7%,17.1%,15.1%,10.2%
12 to 15 years,15.2%,19.9%,20.7%,18.3%,12.7%
16 years and over,11.4%,8.6%,7.4%,11%,12.4%
Subtotal,100%,100%,100%,100%,100%
