Borough,Cohort Year,Cohort Category,Demographic,Total Cohort Num,Total Grads Num,Total Grads Pct of cohort,Total Regents Num,Total Regents Pct of cohort,Total Regents Pct of grads,Advanced Regents Num,Advanced Regents Pct of cohort,Advanced Regents Pct of grads,Regents w/o Advanced Num,Regents w/o Advanced Pct of cohort,Regents w/o Advanced Pct of grads,Local Num,Local Pct of cohort,Local Pct of grads,Still Enrolled Num,Still Enrolled Pct of cohort,Dropped Out Num,Dropped Out Pct of cohort
Bronx,2001,4 Year  June,Not Student with Disability,"9,194","4,604",50.10%,"2,604",28.30%,56.60%,992,10.80%,21.50%,"1,612",17.50%,35.00%,"2,000",21.80%,43.40%,"2,951",32.10%,"1,572",17.10%
Bronx,2001,5 Year,Not Student with Disability,"9,194","5,704",62.00%,"2,819",30.70%,49.40%,"1,016",11.10%,17.80%,"1,803",19.60%,31.60%,"2,893",31.50%,50.70%,"1,238",13.50%,"2,177",23.70%
Bronx,2001,6 Year,Not Student with Disability,"9,194","5,996",65.20%,"2,855",31.10%,47.60%,"1,016",11.10%,16.90%,"1,839",20.00%,30.70%,"3,174",34.50%,52.90%,496,5.40%,"2,595",28.20%
Bronx,2002,4 Year  June,Not Student with Disability,"10,438","5,073",48.60%,"3,077",29.50%,60.70%,991,9.50%,19.50%,"2,086",20.00%,41.10%,"2,003",19.20%,39.50%,"3,467",33.20%,"1,651",15.80%
Bronx,2002,5 Year,Not Student with Disability,"10,438","6,279",60.20%,"3,357",32.20%,53.50%,"1,012",9.70%,16.10%,"2,345",22.50%,37.30%,"2,973",28.50%,47.30%,"1,377",13.20%,"2,470",23.70%
Bronx,2002,6 Year,Not Student with Disability,"10,438","6,594",63.20%,"3,410",32.70%,51.70%,"1,013",9.70%,15.40%,"2,397",23.00%,36.40%,"3,235",31.00%,49.10%,879,8.40%,"2,650",25.40%
Bronx,2003,4 Year  June,Not Student with Disability,"11,359","6,027",53.10%,"3,801",33.50%,63.10%,"1,247",11.00%,20.70%,"2,554",22.50%,42.40%,"2,226",19.60%,36.90%,"3,236",28.50%,"1,879",16.50%
Bronx,2003,5 Year,Not Student with Disability,"11,359","7,213",63.50%,"4,105",36.10%,56.90%,"1,263",11.10%,17.50%,"2,842",25.00%,39.40%,"3,108",27.40%,43.10%,"1,469",12.90%,"2,440",21.50%
Bronx,2003,6 Year,Not Student with Disability,"11,486","7,609",66.20%,"4,176",36.40%,54.90%,"1,264",11.00%,16.60%,"2,912",25.40%,38.30%,"3,433",29.90%,45.10%,816,7.10%,"2,694",23.50%
Bronx,2004,4 Year  June,Not Student with Disability,"11,976","6,930",57.90%,"4,498",37.60%,64.90%,"1,380",11.50%,19.90%,"3,118",26.00%,45.00%,"2,432",20.30%,35.10%,"3,222",26.90%,"1,750",14.60%
