Code,Disposition
A1,BUILDINGS VIOLATIONS(S) SERVED
A2,CRIMINAL COURT SUMMONS SERVED
A3,FULL STOP WORK ORDER SERVED
A4,BUILDINGS VIOLATIONS(S) AND CRIMINAL COURT SUMMONS SERVED
A6,VACANT/OPEN/UNGUARDED STRUCTURE - VIOLATION(S) ISSUED
A7,COMPLAINT ACCEPTED BY PADLOCK UNIT
A8,ECB VIOLATION SERVED
A9,ECB & DOB VIOLATIONS SERVED
B1,BUILDINGS VIOLATION(S) PREPARED AND ATTEMPT TO SERVE WILL BE MADE
B2,ECB VIOLATIONS(S) PREPARED AND ATTEMPT TO SERVE WILL BE MADE
C1,INSPECTOR UNABLE TO GAIN ACCESS - ATTEMPT MADE
C2,INSPECTOR UNABLE TO GAIN ACCESS - FINAL ATTEMPT
C3,ACCESS DENIED - ATTEMPT MADE
C4,ACCESS DENIED - FINAL ATTEMPT 
D1,COMPLAINT REASSIGNED TO CONSTRUCTION UNIT
D2,COMPLAINT REASSIGNED TO PLUMBING UNIT
D3,COMPLAINT REASSIGNED TO ELEVATOR UNIT
D4,COMPLAINT REASSIGNED TO BEST SQUAD
D5,COMPLAINT REASSIGNED TO EMERGENCY RESPONSE TEAM
D6,COMPLAINT REASSIGNED TO BOILER UNIT
D7,COMPLAINT REASSIGNED TO CRANES AND DERRICKS UNIT
D9,COMPLAINT REASSIGNED TO ELECTRICAL UNIT
EA,COMPLAINT ASSIGNED TO INTERIOR DEMOLITION UNIT
E1,COMPLAINT REASSIGNED FOR REVIEW
E2,COMPLAINT REASSIGNED TO PADLOCK UNIT
E3,COMPLAINT REASSIGNED TO BOROUGH OFFICE FOR FINAL INSPECTION
E6,COMPLAINT REASSIGNED TO SPECIAL OPERATIONS UNIT
E7,COMPLAINT REASSIGNED TO SCAFFOLD SAFETY TEAM
E8,COMPLAINT ASSIGNED TO EXCAVATION INSPECTION & AUDITS TEAM
E9,COMPLAINT ASSIGNED TO STALLED SITES UNIT
F1,COMPLAINT REFERRED TO DEPARTMENT OF ENVIRONMENTAL PROTECTION(DEP)
F2,COMPLAINT REFERRED TO NYS DIVISION OF HOUSING AND COMMUNITY RENEWAL
F3,COMPLAINT REFERRED TO DEPARTMENT OF HEALTH AND MENTAL HYGIENE
F5,COMPLAINT REFERRED TO DEPARTMENT OF SANITATION (DOS)
F6,COMPLAINT REFERRED TO DEPARTMENT OF TRANSPORTATION
F7,COMPLAINT REFERRED TO NYS OFFICE OF REAL PROPERTIES SERVICES
F8,COMPLAINT REFERRED TO HOUSING PRESERVATION AND DEVELOPMENT (HPD)
F9,COMPLAINT REFERRED TO HOUSING AND URBAN DEVELOPMENT - FEDERAL
G2,COMPLAINT REFERRED TO DEPARTMENT OF PARKS AND RECREATION
G3,COMPLAINT REFERRED TO TAXI AND LIMOUSINE COMMISSION
G4,COMPLAINT REFERRED TO DEPARTMENT OF CONSUMER AFFAIRS
G5,COMPLAINT REFERRED TO NEW YORK POLICE DEPARTMENT
G6,COMPLAINT REFERRED TO FIRE DEPARTMENT OF NEW YORK
G7,"COMPLAINT REFERRED TO MAYOR'S OFFICE OF SPECIAL ENFORCEMENT
G8	COMPLAINT REFERRED TO NYC HOUSING AUTHORITY
G9	COMPLAINT REFERRED TO DEPARTMENT OF CITYWIDE ADMINISTRATIVE SERVICES
H1	PLEASE SEE COMPLAINT NUMBER
H3	BUILDING VIOLATION ISSUED FOR FAILURE TO OBEY STOP WORK ORDER
H4	CRIMINAL COURT SUMMONS SERVED DUE TO FAILURE TO OBEY SWO
H5	STOP ALL WORK / NO TCAO (TEMPORARY CERTIFICATE OF APPROVAL AND OPERATION)
I1	COMPLAINT UNSUBSTANTIATED BASED ON DEPARTMENT RECORDS
I2	NO VIOLATION WARRANTED FOR COMPLAINT AT TIME OF INSPECTION
J1	FOLLOW-UP INSPECTION TO BE SCHEDULED UPON FURTHER RESEARCH
K1	INSUFFICIENT INFORMATION/UNABLE TO LOCATE ADDRESS
K2	ADDRESS INVALID - PENDING BUILDINGS VERIFICATION
K3	CRANES AND DERRICKS - NO ADDRESS - SEE COMMENTS
K4	CRANES AND DERRICKS - STOP WORK ORDER - NO ASSOCIATED ADDRESS
L1	PARTIAL STOP WORK ORDER
L2	STOP WORK ORDER FULLY RESCINDED
L3	STOP WORK ORDER PARTIALLY RESCINDED
M1	BICYCLE ACCESS PLAN: ELEVATOR USE ACCEPTABLE
M2	BICYCLE ACCESS PLAN: ELEVATOR USE NOT ACCEPTABLE
M3	BICYCLE ACCESS PLAN: ALTERNATE USE PARKING REQUIREMENT MET   
M4	BICYCLE ACCESS PLAN: ALTERNATE USE PARKING REQUIREMENT NOT MET
P1	JOB VESTED
P2	FOLLOW UP INSPECTION REQUIRED PENDING ADOPTION
P3	CLOSURE / PADLOCK ORDER ISSUED
P4	CLOSURE / PADLOCK ORDER ISSUED RESCINDED
P5	POTENTIAL PLUMBING WORK
P6	INITIAL NOTIFICATION ACCEPTED
RA	COMMISSIONER'S ORDER - ISSUED TO OWNER"
RB,"COMMISSIONER'S ORDER - OWNER REMEDIATION PLANS ACCEPTED
RC	COMMISSIONER'S ORDER - OWNER REMEDIATION IN PROGRESS"
RD,"COMMISSIONER'S ORDER - DAILY MONITORING
RE	COMMISSIONER'S ORDER - WEEKLY MONITORING"
RF,"COMMISSIONER'S ORDER - MONTHLY MONITORING
RG	COMMISSIONER'S ORDER - OWNER REMEDIATION COMPLETED"
RH,EMERGENCY DECLARATION - ISSUED
