DBN,Grade,Year,Category,Number Tested,Mean Scale Score,Level 1 #,Level 1 %,Level 2 #,Level 2 %,Level 3 #,Level 3 %,Level 4 #,Level 4 %,Level 3+4 #,Level 3+4 %
01M015,3,2006,Female,23,655,2,8.7%,8,34.8%,13,56.5%,0,0%,13,56.5%
01M015,4,2006,Female,17,620,7,41.2%,8,47.1%,2,11.8%,0,0%,2,11.8%
01M015,5,2006,Female,13,627,1,7.7%,8,61.5%,4,30.8%,0,0%,4,30.8%
01M015,6,2006,Female,20,638,1,5%,12,60%,6,30%,1,5%,7,35%
01M015,All Grades,2006,Female,73,,11,15.1%,36,49.3%,25,34.2%,1,1.4%,26,35.6%
01M015,3,2006,Male,14,643,2,14.3%,6,42.9%,6,42.9%,0,0%,6,42.9%
01M015,4,2006,Male,29,621,11,37.9%,12,41.4%,5,17.2%,1,3.4%,6,20.7%
01M015,5,2006,Male,15,623,7,46.7%,5,33.3%,3,20%,0,0%,3,20%
01M015,6,2006,Male,16,640,1,6.3%,6,37.5%,9,56.3%,0,0%,9,56.3%
01M015,All Grades,2006,Male,74,,21,28.4%,29,39.2%,23,31.1%,1,1.4%,24,32.4%
01M015,3,2007,Female,11,633,1,9.1%,7,63.6%,3,27.3%,0,0%,3,27.3%
01M015,4,2007,Female,25,650,2,8%,10,40%,13,52%,0,0%,13,52%
01M015,5,2007,Female,19,636,2,10.5%,10,52.6%,7,36.8%,0,0%,7,36.8%
01M015,All Grades,2007,Female,55,,5,9.1%,27,49.1%,23,41.8%,0,0%,23,41.8%
01M015,3,2007,Male,22,636,5,22.7%,11,50%,6,27.3%,0,0%,6,27.3%
01M015,4,2007,Male,17,645,0,0%,11,64.7%,6,35.3%,0,0%,6,35.3%
01M015,5,2007,Male,29,637,3,10.3%,18,62.1%,8,27.6%,0,0%,8,27.6%
01M015,All Grades,2007,Male,68,,8,11.8%,40,58.8%,20,29.4%,0,0%,20,29.4%
01M015,3,2008,Female,17,640,3,17.6%,9,52.9%,5,29.4%,0,0%,5,29.4%
01M015,4,2008,Female,16,639,1,6.3%,10,62.5%,5,31.3%,0,0%,5,31.3%
01M015,5,2008,Female,19,637,2,10.5%,10,52.6%,7,36.8%,0,0%,7,36.8%
01M015,All Grades,2008,Female,52,,6,11.5%,29,55.8%,17,32.7%,0,0%,17,32.7%
01M015,3,2008,Male,22,650,0,0%,13,59.1%,9,40.9%,0,0%,9,40.9%
01M015,4,2008,Male,25,630,5,20%,14,56%,6,24%,0,0%,6,24%
01M015,5,2008,Male,17,649,0,0%,9,52.9%,8,47.1%,0,0%,8,47.1%
01M015,All Grades,2008,Male,64,,5,7.8%,36,56.3%,23,35.9%,0,0%,23,35.9%
01M015,3,2009,Female,12,649,0,0%,7,58.3%,5,41.7%,0,0%,5,41.7%
01M015,4,2009,Female,15,627,3,20%,7,46.7%,5,33.3%,0,0%,5,33.3%
01M015,5,2009,Female,14,659,0,0%,5,35.7%,9,64.3%,0,0%,9,64.3%
01M015,All Grades,2009,Female,41,,3,7.3%,19,46.3%,19,46.3%,0,0%,19,46.3%
01M015,3,2009,Male,21,642,1,4.8%,12,57.1%,8,38.1%,0,0%,8,38.1%
01M015,4,2009,Male,23,643,3,13%,11,47.8%,9,39.1%,0,0%,9,39.1%
01M015,5,2009,Male,27,657,0,0%,10,37%,17,63%,0,0%,17,63%
01M015,All Grades,2009,Male,71,,4,5.6%,33,46.5%,34,47.9%,0,0%,34,47.9%
01M015,3,2010,Female,13,648,6,46.2%,5,38.5%,2,15.4%,0,0%,2,15.4%
01M015,4,2010,Female,14,644,4,28.6%,9,64.3%,1,7.1%,0,0%,1,7.1%
01M015,5,2010,Female,13,653,4,30.8%,7,53.8%,2,15.4%,0,0%,2,15.4%
01M015,All Grades,2010,Female,40,,14,35%,21,52.5%,5,12.5%,0,0%,5,12.5%
01M015,3,2010,Male,12,655,4,33.3%,6,50%,1,8.3%,1,8.3%,2,16.7%
01M015,4,2010,Male,14,650,2,14.3%,11,78.6%,1,7.1%,0,0%,1,7.1%
01M015,5,2010,Male,22,658,5,22.7%,12,54.5%,4,18.2%,1,4.5%,5,22.7%
01M015,All Grades,2010,Male,48,,11,22.9%,29,60.4%,6,12.5%,2,4.2%,8,16.7%
01M015,3,2011,Female,12,642,5,41.7%,5,41.7%,2,16.7%,0,0%,2,16.7%
01M015,4,2011,Female,12,663,0,0%,10,83.3%,2,16.7%,0,0%,2,16.7%
01M015,5,2011,Female,11,659,2,18.2%,6,54.5%,3,27.3%,0,0%,3,27.3%
01M015,All Grades,2011,Female,35,654,7,20%,21,60%,7,20%,0,0%,7,20%
01M015,3,2011,Male,16,650,2,12.5%,13,81.3%,1,6.3%,0,0%,1,6.3%
01M015,4,2011,Male,15,658,4,26.7%,6,40%,5,33.3%,0,0%,5,33.3%
01M015,5,2011,Male,14,654,4,28.6%,8,57.1%,2,14.3%,0,0%,2,14.3%
01M015,All Grades,2011,Male,45,654,10,22.2%,27,60%,8,17.8%,0,0%,8,17.8%
01M019,3,2006,Female,30,658,2,6.7%,12,40%,15,50%,1,3.3%,16,53.3%
01M019,4,2006,Female,25,649,2,8%,11,44%,12,48%,0,0%,12,48%
01M019,5,2006,Female,30,655,2,6.7%,9,30%,18,60%,1,3.3%,19,63.3%
01M019,6,2006,Female,17,643,1,5.9%,10,58.8%,6,35.3%,0,0%,6,35.3%
01M019,7,2006,Female,1,s,s,s,s,s,s,s,s,s,s,s
01M019,All Grades,2006,Female,103,,7,6.8%,43,41.7%,51,49.5%,2,1.9%,53,51.5%
01M019,3,2006,Male,26,648,5,19.2%,5,19.2%,16,61.5%,0,0%,16,61.5%
01M019,4,2006,Male,29,641,7,24.1%,9,31%,13,44.8%,0,0%,13,44.8%
01M019,5,2006,Male,31,650,4,12.9%,10,32.3%,16,51.6%,1,3.2%,17,54.8%
01M019,6,2006,Male,28,653,0,0%,12,42.9%,15,53.6%,1,3.6%,16,57.1%
01M019,All Grades,2006,Male,114,,16,14%,36,31.6%,60,52.6%,2,1.8%,62,54.4%
01M019,3,2007,Female,21,662,1,4.8%,6,28.6%,14,66.7%,0,0%,14,66.7%
01M019,4,2007,Female,26,654,2,7.7%,7,26.9%,17,65.4%,0,0%,17,65.4%
01M019,5,2007,Female,24,657,0,0%,10,41.7%,14,58.3%,0,0%,14,58.3%
01M019,All Grades,2007,Female,71,,3,4.2%,23,32.4%,45,63.4%,0,0%,45,63.4%
01M019,3,2007,Male,23,650,2,8.7%,10,43.5%,11,47.8%,0,0%,11,47.8%
01M019,4,2007,Male,22,645,4,18.2%,6,27.3%,12,54.5%,0,0%,12,54.5%
