DBN,School Name,Cohort Year,Cohort Category,Demographic,Total Cohort Num,Total Grads Num,Total Grads Pct of cohort,Total Regents Num,Total Regents Pct of cohort,Total Regents Pct of grads,Advanced Regents Num,Advanced Regents Pct of cohort,Advanced Regents Pct of grads,Regents w/o Advanced Num,Regents w/o Advanced Pct of cohort,Regents w/o Advanced Pct of grads,Local Num,Local Pct of cohort,Local Pct of grads,Still Enrolled Num,Still Enrolled Pct of cohort,Dropped Out Num,Dropped Out Pct of cohort
01M056,CORLEARS SCHOOL,2001,4 Year  June,Hispanic,1, s ,s, s ,s,s, s ,s,s, s ,s,s, s ,s,s, s ,s, s ,s
01M056,CORLEARS SCHOOL,2001,5 Year,Hispanic,1, s ,s, s ,s,s, s ,s,s, s ,s,s, s ,s,s, s ,s, s ,s
01M056,CORLEARS SCHOOL,2001,6 Year,Hispanic,1, s ,s, s ,s,s, s ,s,s, s ,s,s, s ,s,s, s ,s, s ,s
01M056,CORLEARS SCHOOL,2003,4 Year  June,Hispanic,1, s ,s, s ,s,s, s ,s,s, s ,s,s, s ,s,s, s ,s, s ,s
01M056,CORLEARS SCHOOL,2003,5 Year,Hispanic,1, s ,s, s ,s,s, s ,s,s, s ,s,s, s ,s,s, s ,s, s ,s
01M056,CORLEARS SCHOOL,2003,6 Year,Hispanic,1, s ,s, s ,s,s, s ,s,s, s ,s,s, s ,s,s, s ,s, s ,s
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2003,4 Year  June,Asian,2, s ,s, s ,s,s, s ,s,s, s ,s,s, s ,s,s, s ,s, s ,s
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2003,5 Year,Asian,2, s ,s, s ,s,s, s ,s,s, s ,s,s, s ,s,s, s ,s, s ,s
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2003,6 Year,Asian,2, s ,s, s ,s,s, s ,s,s, s ,s,s, s ,s,s, s ,s, s ,s
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2004,4 Year  June,Asian,10, s ,s, s ,s,s, s ,s,s, s ,s,s, s ,s,s, s ,s, s ,s
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2004,5 Year,Asian,10, s ,s, s ,s,s, s ,s,s, s ,s,s, s ,s,s, s ,s, s ,s
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2004,6 Year,Asian,10, s ,s, s ,s,s, s ,s,s, s ,s,s, s ,s,s, s ,s, s ,s
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2005,4 Year  June,Asian,8, s ,s, s ,s,s, s ,s,s, s ,s,s, s ,s,s, s ,s, s ,s
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2005,4 Year August,Asian,8, s ,s, s ,s,s, s ,s,s, s ,s,s, s ,s,s, s ,s, s ,s
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2005,5 Year,Asian,9, s ,s, s ,s,s, s ,s,s, s ,s,s, s ,s,s, s ,s, s ,s
