PROGRAM TYPE,PROGRAM,SITE NAME,BOROUGH / COMMUNITY,AGENCY,Contact Number,Grade Level / Age Group ,Location 1
"Youth Employment, NDA Youth Employment",Youth Employment,The Children's Aid Society,New York,The Children's Aid Society,212.865.6337,HS,"885 Columbus Avenue
New York, NEW YORK 10025
(40.79771334863237, -73.963944750805)"
"Youth Employment, NDA Youth Employment",Youth Employment,ECDO Community Partnership Center ,New York,Ecumenical Community Development Organization,212.678.0037,HS,"413 125th Street
New York, NEW YORK 10027
(40.811640915586565, -73.95464737557035)"
"Youth Employment, NDA Youth Employment",Youth Employment,"Boys & Girls Harbor, Inc",New York,"Boys & Girls Harbor, Inc",212.427.2244,,"1 104th Street
New York, NEW YORK 10029
(40.79298338723134, -73.95200031741886)"
"Youth Employment, NDA Youth Employment",Youth Employment,Harlem RBI (Reviving Baseball in Inner Cities),New York,Harlem RBI (Reviving Baseball in Inner Cities),212.722.1608,MS/HS,"333 100 Street
New York, NEW YORK 10029
(40.7864951475855, -73.94439880643534)"
"Youth Employment, NDA Youth Employment",Youth Employment,"STEPS, Inc ",New York,"Support For Training and Educational Services, Inc.",212.831.9080,,"1325 5th Avenue
New York, NEW YORK 10029
(40.79757895315326, -73.94866453390082)"
"Youth Employment, NDA Youth Employment",Youth Employment,Police Athletic League PAL\Harlem Center ,New York,"Police Athletic League, Inc.",212.665.8699,MS/HS,"441 Manhattan Avenue
New York, NEW YORK 10026
(40.80669464442542, -73.95561864336202)"
"Youth Employment, NDA Youth Employment",Youth Employment,Lt. Joseph P. Kennedy Jr. Memorial Community Center,New York,"Catholic Charities Community Service, Archdiocese of N.Y.",212.371.1000,HS,"34 134th Street
New York, NEW YORK 10037
(40.812765068123156, -73.93981755530723)"
"Youth Employment, NDA Youth Employment",Youth Employment,"Mid-Bronx Council Services, Inc.",Bronx,"Mid-Bronx Council Services, Inc.",718.588.8200,HS,"1125 Grand
Bronx, NEW YORK 10452
(40.83772426336412, -73.9233322114124)"
"Youth Employment, NDA Youth Employment",Youth Employment,Woodycrest Center,Bronx,Woodycrest Center For Human Development,718.992.2178,All grades,"153 165th Street
Bronx, NEW YORK 10452
(40.83108457687954, -73.92085753444195)"
"Youth Employment, NDA Youth Employment",Youth Employment,Bronx Community Resource Center,Bronx,Covenant House/Under 21,718.294. 7182,HS,"81 83C Featherbed Lane
Bronx, NEW YORK 10452
(40.83772426336412, -73.9233322114124)"
"Youth Employment, NDA Youth Employment",Youth Employment,Project Ready Headquarters,Bronx,Mount Hope Housing Company,718.466.3600,MS/HS,"55 175th Street
Bronx, NEW YORK 10453
(40.847312989377464, -73.91136475443619)"
"Youth Employment, NDA Youth Employment",Youth Employment,"Claremont Neighborhood Centers, Inc.",Bronx,"Claremont Neighborhood Centers, Inc.",718.588.1000,All grades,"489 169th Street
Bronx, NEW YORK 10456
(40.83300943887456, -73.90573521731622)"
"Youth Employment, NDA Youth Employment",Youth Employment,"Southeast Bronx Neighborhood Center, Inc. (SEBNC)",Bronx,"Southeast Bronx Neighborhood Center, Inc. (SEBNC)",718.542.2727,All grades,"751 163rd Street
Bronx, NEW YORK 10456
(40.82293544110214, -73.90393806191068)"
"Youth Employment, NDA Youth Employment",Youth Employment,William H. Taft High School - H.S. 410 ,Bronx,Woodycrest Center For Human Development,718.992.2178,All grades,"240 172nd Street
Bronx, NEW YORK 10457
(40.84038797720987, -73.9108816444482)"
"Youth Employment, NDA Youth Employment",Youth Employment,Police Athletic League PAL-Webster Center ,Bronx,"Police Athletic League, Inc.",212.477.9450,,"2255 Webster Avenue
Bronx, NEW YORK 10457
(40.85563091671904, -73.89602321003798)"
"Youth Employment, NDA Youth Employment",Youth Employment,Rafael Academy School ,Bronx,"Simpson Street Development Association, Inc.",718.589.1510,MS/HS,"977 Fox Street
Bronx, NEW YORK 10459
(40.822428225918, -73.89392410102988)"
"Youth Employment, NDA Youth Employment",Youth Employment,Youth Employment Program ,Bronx,"Mosholu Montefiore Community Center, Inc.",718.652-1471,HS,"3400 Reservoir Oval
Bronx, NEW YORK 10467
(40.87877505492227, -73.87563356258636)"
"Youth Employment, NDA Youth Employment",Youth Employment,"Riverdale Neighborhood House, Inc.",Bronx,"Riverdale Neighborhood House, Inc.",718.549.8100,HS,"5521 Mosholu Avenue
Bronx, NEW YORK 10471
(40.90296572432813, -73.90384240450045)"
"Youth Employment, NDA Youth Employment",Youth Employment,"Jacob A. Riis Neighborhood Settlement, Inc.",Queens,"Jacob A. Riis Neighborhood Settlement, Inc.",718.784.7447,HS,"10 25 41st Avenue
Queens, NEW YORK 11101
(40.74570244980828, -73.93866902925225)"
"Youth Employment, NDA Youth Employment",Youth Employment,Intermediate School 232 - WInthrop School,Brooklyn,"Sesame Flyers International, Inc.",718.693.0500,HS,"905 Winthrop Street
Brooklyn, NEW YORK 11203
(40.65845142217417, -73.92913135988232)"
"Youth Employment, NDA Youth Employment",Youth Employment,Samuel J. Tilden High School - H.S. 415,Brooklyn,"Church Avenue Merchants Block Association, Inc.",718.629.4523,HS,"5800 Tilden Avenue
Brooklyn, NEW YORK 11203
(40.648631368632266, -73.92228549725635)"
"Youth Employment, NDA Youth Employment",Youth Employment,SCO Family of Services,Brooklyn,SCO Family of Services,718.455.1166,HS,"75 Lewis Avenue
Brooklyn, NEW YORK 11206
(40.69500799941421, -73.93742230252869)"
"Youth Employment, NDA Youth Employment",Youth Employment,St. Stephen Outreach,Brooklyn,St. Stephen Outreach,718.384.8854,All grades,"874 Myrtle Avenue
Brooklyn, NEW YORK 11206
(40.69557673055322, -73.94723933262884)"
"Youth Employment, NDA Youth Employment",Youth Employment,"Concord Family Services, Inc.",Brooklyn,"Concord Family Services, Inc.",718.398.3499,HS,"583 593 Vermont Street
Brooklyn, NEW YORK 11207
(40.670802431187326, -73.89384115004901)"
"Youth Employment, NDA Youth Employment",Youth Employment,East NY Development Corporation,Brooklyn,East NY Development Corporation,718.566.2127,HS,"2644 Atlantic Avenue
Brooklyn, NEW YORK 11207
(40.67565526230447, -73.89675297527339)"
"Youth Employment, NDA Youth Employment",Youth Employment,Police Athletic League #1A (PAL) ,Brooklyn,"Police Athletic League, Inc.",212.477.9450,,"127 Pennsylvania Avenue
Brooklyn, NEW YORK 11207
(40.67474021180885, -73.89657635302484)"
"Youth Employment, NDA Youth Employment",Youth Employment,Bnos Yakov Educational Center,Brooklyn,Bnos Yakov Educational Center,718.963.1212,MS/HS,"62 Harrison Avenue
Brooklyn, NEW YORK 11211
(40.70509777565483, -73.95271360115831)"
"Youth Employment, NDA Youth Employment",Youth Employment,"Project Care of Brooklyn, Inc",Brooklyn,"Project Care of Brooklyn, Inc",718.387.4500,HS,"164 Clymer Street
Brooklyn, NEW YORK 11211
(40.70663220083857, -73.96345063704595)"
"Youth Employment, NDA Youth Employment",Youth Employment,Police Athletic League (Brownsville Beacon),Brooklyn,"Police Athletic League, Inc.",212.477.9450,,"985 Rockaway Avenue
Brooklyn, NEW YORK 11212
(40.656451255408264, -73.90732282830548)"
"Youth Employment, NDA Youth Employment",Youth Employment,Junior High School 258 (K) - David Ruggles School ,Brooklyn,"Vannguard Urban Improvement Association, Inc.",718.453.3330,MS/HS,"141 Macon Street
Brooklyn, NEW YORK 11216
(40.681569834987634, -73.94559613967623)"
"Youth Employment, NDA Youth Employment",Youth Employment,BCA Education Center ,Brooklyn,Brooklyn Chinese American Association,718.438.9312,MS/HS,"5000 8th Avenue
Brooklyn, NEW YORK 11220
(40.641104606526014, -74.0037599239347)"
"Youth Employment, NDA Youth Employment",Youth Employment,Flatbush Development Corporation,Brooklyn,Flatbush Development Corporation,718.859.3800,MS/HS,"1616 Newkirk Avenue
Brooklyn, NEW YORK 11226
(40.6359962740795, -73.96230212887792)"
"Youth Employment, NDA Youth Employment",Youth Employment,Youth for Education and Sports,Brooklyn,Youth for Education and Sports,718.941.7532,,"681 Ocean Avenue
Brooklyn, NEW YORK 11226
(40.64618768082565, -73.96023613104816)"
"Youth Employment, NDA Youth Employment",Youth Employment,Public School 217 - Col. David Marcus Elementary School ,Brooklyn,Flatbush Development Corporation,718.859.3800,MS/HS,"1100 Newkirk Avenue
Brooklyn, NEW YORK 11230
(40.63396096439908, -73.96650550631493)"
"Youth Employment, NDA Youth Employment",Youth Employment,Miccio Center ,Brooklyn,"Police Athletic League, Inc.",212.477.9450,,"110 9th Street
Brooklyn, NEW YORK 11231
(40.67578212491029, -74.0015232923829)"
"Youth Employment, NDA Youth Employment",Youth Employment,Intermediate School 68 - Isaac Bildersee School,Brooklyn,"Sesame Flyers International, Inc.",718.693.0500,HS,"956 82nd Street
Brooklyn, NEW YORK 11236
(40.63549167783704, -73.91076105116055)"
"Youth Employment, NDA Youth Employment",Youth Employment,Italian American Civil Rights League (Italian American Civil),Brooklyn,Italian American Civil Rights League (Italian American Civil),718.642.2180,HS,"1460 Pennsylvania Avenue
Brooklyn, NEW YORK 11239
(40.64607779528712, -73.87995018190169)"
"Youth Employment, NDA Youth Employment",Youth Employment,Queens Community Resource Center ,Queens,Covenant House/Under 21,718.725.9851,HS,"159 17 Hillside Avenue
Queens, NEW YORK 11432
(40.71311535449007, -73.79282099978928)"
"Youth Employment, NDA Youth Employment",Youth Employment,Afrikan Poetry Theatre ,Queens,Afrikan Poetry Theatre,718.523.3312,MS/HS,"176 03 Jamaica Avenue
Queens, NEW YORK 11432
(40.71311535449007, -73.79282099978928)"
"Youth Employment, NDA Youth Employment",Youth Employment,ChaRosa Foundation Corporation,Queens,ChaRosa Foundation Corporation,718.723.0218,HS,"161 10 Jamaica Avenue
Queens, NEW YORK 11432
(40.71311535449007, -73.79282099978928)"
"Youth Employment, NDA Youth Employment",Youth Employment,Intermediate School 43 ,Queens,Federation Employment & Guidance Services (FEGS),212.366.8401,MS/HS,"160 Beach 29th Street
Queens, NEW YORK 11691
(40.594515128003, -73.76182654029463)"
"Youth Employment, NDA Youth Employment",Youth Employment,Rockaway Development & Revitalization Corporation,Queens,Rockaway Development & Revitalization Corporation,718.327.5300,HS,"1920 Mott Avenue
Queens, NEW YORK 11691
(40.6038795254241, -73.7521789315517)"
"Youth Employment, NDA Youth Employment",Youth Employment,Flatbush Development Corp.,Brooklyn,Flatbush Development Corporation                            ,718.859.4763,,"1616 Newkirk Avenue
Brooklyn, NEW YORK 11226
(40.6359962740795, -73.96230212887792)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,Alianza Mosaic Beacon,Bronx,"Alianza Dominicana, Inc.",212-740-1960,14 to 21,"1257 Ogden Avenue
Bronx, NEW YORK 10452
(40.83927054580515, -73.92578827979769)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,"Alianza Dominicana, Inc. Manhattan",Manhattan,"Alianza Dominicana, Inc.",212-740-1960,14 to 21,"2410 Amsterdam Avenue
Manhattan, NEW YORK 10033
(40.847155142523604, -73.93158875873911)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,"Asociaciones Dominicanas, Inc - Vulnerable Youth",Brooklyn,"Asociaciones Dominicanas, Inc.",718-599-2386 ,14 to 21,
"Jobs & Internships, Youth Employment",Summer Youth Employment ,Detances Community Center,Bronx,"Aspira of New York, Inc.",212-564-6880,14 to 21,"545 146th Street
Bronx, NEW YORK 10455
(40.81273816362159, -73.91531036829375)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,Brooklyn Neighborhood Improvement Association,Brooklyn,Brooklyn Neighborhood Improvement Association,718-773-4116,14 to 21,"1482 St Johns Place
Brooklyn, NEW YORK 11213
(40.67047059360309, -73.92935613018749)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,"Church Avenue Merchants Block Association, Inc.",Brooklyn,"Church Avenue Merchants Block Association, Inc.",718-462-2597 ,14 to 21,"1957 Nostrand Ave
Brooklyn, NEW YORK 11210
(40.637924792990376, -73.94816819471524)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,"Catholic Charities Neighborhood Services, Inc.",Brooklyn,"Catholic Charities Neighborhood Services, Inc.",718-875-8801   ,14 to 21,"200 Gold Street
Brooklyn, NEW YORK 11201
(40.69828882200633, -73.98309740031785)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,The Children's Aid Society,Manhattan,The Children's Aid Society,212-949-4800,14 to 21,"105 22nd Street
Manhattan, NEW YORK 10010
(40.73943216627024, -73.98656260495757)"
