District,Bldg I.D.,Building Name,Bldg Enroll,Bldg Adjusted Capacity(Historical),Bldg Over/Under(Historical),Bldg Utilization(Historical),Bldg Capacity(Target),Bldg Over/Under(Target),Bldg Utilization(Target),Org ID,Organization Name,Org Enroll,Org Adjusted Capacity(Historical),Org Over/Under(Historical),Org Utilization(Historical),Org Adjusted Capacity(Target),Org Over Under(Target),Org Utilization(Target),No. of Spec rooms used,Inclusionary
1,M097,BARD COLLEGE HS (OLD M097) - M,617,783,-166,79,796,-179,78,M696,BARD COLLEGE HS - MANHATTAN       ,617,783,-166,79,796,-179,78,7,
1,M446,UNIVERSITY NEIGHBORHOOD - M,394,697,-303,57,694,-300,57,M448,UNIVERSITY NEIGHBORHOOD HS - M    ,394,697,-303,57,694,-300,57,10,
2,M066,RICHARD R GREEN HS OF TEACHING - M,280,769,-489,36,616,-336,45,M151,P.S. 151 - MANHATTAN,280,769,-489,36,616,-336,45,0,
2,M282,BROADWAY EDUCATION CAMPUS - MANHATTAN,1277,1528,-251,84,1425,-148,90,M316,URBAN ASSEMBLY SCHOOL - MANHATTAN,378,548,-170,69,498,-120,76,6,
2,M282,BROADWAY EDUCATION CAMPUS - MANHATTAN,0,0,0,0,0,0,0,M580,RICHARD R. GREEN HS OF TEACHING - MANHATTAN,610,610,0,100,573,37,106,5,
2,M282,BROADWAY EDUCATION CAMPUS - MANHATTAN,0,0,0,0,0,0,0,M896,I.S. 896 - MANHATTAN,289,370,-81,78,354,-65,82,5,
2,M440,BAYARD RUSTIN EDUCATIONAL COMP-M,1868,2397,-529,78,2325,-457,80,M313,JAMES BALDWIN SCHOOL - MANHATTAN  ,248,290,-42,86,289,-41,86,1,
2,M440,BAYARD RUSTIN EDUCATIONAL COMP-M,0,0,0,0,0,0,0,M392,MANHATTAN BUSINESS ACADEMY,332,282,50,118,262,70,127,0,
2,M440,BAYARD RUSTIN EDUCATIONAL COMP-M,0,0,0,0,0,0,0,M419,LANDMARK HS - MANHATTAN           ,421,610,-189,69,587,-166,72,1,
2,M440,BAYARD RUSTIN EDUCATIONAL COMP-M,0,0,0,0,0,0,0,M422,I.S. 422 - MANHATTAN,232,194,38,120,204,28,114,0,
2,M440,BAYARD RUSTIN EDUCATIONAL COMP-M,0,0,0,0,0,0,0,M437,HUDSON HS OF LEARNING TECH - MANHATTAN,226,162,64,140,152,74,149,0,
2,M440,BAYARD RUSTIN EDUCATIONAL COMP-M,0,0,0,0,0,0,0,M440,BAYARD RUSTIN EDUCATIONAL COMP-M  ,208,612,-404,34,600,-392,35,9,
2,M440,BAYARD RUSTIN EDUCATIONAL COMP-M,0,0,0,0,0,0,0,M605,HUMANITIES PREPARATORY ACAD - M   ,192,247,-55,78,231,-39,83,1,
2,M440,BAYARD RUSTIN EDUCATIONAL COMP-M,0,0,0,0,0,0,0,M751,M751 SPED - MANHATTAN             ,9,0,9,0,0,9,0,0,All
2,M445,SEWARD PARK HS - MANHATTAN,1767,2198,-431,80,2167,-400,82,M294,ESSEX STREET ACADEMY - MANHATTAN  ,343,501,-158,68,479,-136,72,4,
2,M445,SEWARD PARK HS - MANHATTAN,0,0,0,0,0,0,0,M305,URBAN ASSEMBLY ACADEMY - MANHATTAN,312,432,-120,72,454,-142,69,3,
2,M445,SEWARD PARK HS - MANHATTAN,0,0,0,0,0,0,0,M308,LOWER MANHATTAN ARTS - MANHATTAN  ,336,306,30,110,290,46,116,1,
2,M445,SEWARD PARK HS - MANHATTAN,0,0,0,0,0,0,0,M543,NEW DESIGN HS - MANHATTAN         ,423,518,-95,82,485,-62,87,4,
2,M445,SEWARD PARK HS - MANHATTAN,0,0,0,0,0,0,0,M545,DUAL LANGUAGE HS - MANHATTAN      ,353,441,-88,80,459,-106,77,5,
2,M460,WASHINGTON IRVING HS - MANHATTAN,1947,3145,-1198,62,2930,-983,66,M374,GRAMMERCY ARTS HS - MANHATTAN     ,495,605,-110,82,534,-39,93,10,
2,M460,WASHINGTON IRVING HS - MANHATTAN,0,0,0,0,0,0,0,M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,244,442,-198,55,417,-173,59,2,
2,M460,WASHINGTON IRVING HS - MANHATTAN,0,0,0,0,0,0,0,M438,INT'L HS AT UNION SQUARE - MANHATTAN,176,475,-299,37,442,-266,40,1,
2,M460,WASHINGTON IRVING HS - MANHATTAN,0,0,0,0,0,0,0,M460,WASHINGTON IRVING HS - MANHATTAN  ,1032,1623,-591,64,1537,-505,67,11,
2,M460,WASHINGTON IRVING HS - MANHATTAN,0,0,0,0,0,0,0,M473,WASHINGTON IRVING YABC - MANNHATTAN,,,0,,,0,,0,
2,M460,WASHINGTON IRVING HS - MANHATTAN,0,0,0,0,0,0,0,MG05,UFT USE - MANHATTAN               ,,,0,,,0,,0,
2,M460,WASHINGTON IRVING HS - MANHATTAN,0,0,0,0,0,0,0,MG06,FOOD SERVICES - MANHATTAN         ,,,0,,,0,,0,
2,M460,WASHINGTON IRVING HS - MANHATTAN,0,0,0,0,0,0,0,MG12,"ACDP,FEGS,RAPP,CLEARY GOTTLIEB - M",,,0,,,0,,0,
2,M460,WASHINGTON IRVING HS - MANHATTAN,0,0,0,0,0,0,0,MG18,"DOH DENTAL CLINIC, HEALTH CTR - M ",,,0,,,0,,0,
2,M460,WASHINGTON IRVING HS - MANHATTAN,0,0,0,0,0,0,0,MG20,WSHINGTON IRVING CAMPUS,,,0,,,0,,0,
2,M475,HEALTH PROFESSIONS HS (OL STY) - M,2322,1715,607,135,1597,725,145,M226,M226 SPED - MANHATTAN             ,65,74,-9,88,74,-9,88,0,
2,M475,HEALTH PROFESSIONS HS (OL STY) - M,0,0,0,0,0,0,0,M407,INSTITUTE FOR COLLABORATIVE ED - M,489,422,67,116,383,106,128,5,
2,M475,HEALTH PROFESSIONS HS (OL STY) - M,0,0,0,0,0,0,0,M420,HS FOR HEALTH PROF & HUMAN SERV-M ,1768,1219,549,145,1140,628,155,20,
2,M475,HEALTH PROFESSIONS HS (OL STY) - M,0,0,0,0,0,0,0,MG16,PACE/LIBERTY - MANHATTAN          ,,,0,,,0,,0,
2,M477,STUYVESANT HS (NEW) - MANHATTAN,3313,2806,507,118,2791,522,119,M475,STUYVESANT HS - MANHATTAN         ,3297,2778,519,119,2763,534,119,37,
2,M477,STUYVESANT HS (NEW) - MANHATTAN,0,0,0,0,0,0,0,M721,M721 SPED - MANHATTAN             ,16,28,-12,57,28,-12,57,0,
2,M477,STUYVESANT HS (NEW) - MANHATTAN,0,0,0,0,0,0,0,MG13,SPARK - MANHATTAN                 ,,,0,,,0,,0,
2,M480,JULIA RICHMAN ED. COMPLEX - M,1790,2445,-655,73,2252,-462,79,M225,P.S. 225 - MANHATTAN              ,321,412,-91,78,335,-14,96,0,
2,M480,JULIA RICHMAN ED. COMPLEX - M,0,0,0,0,0,0,0,M226,M226 SPED - MANHATTAN             ,52,62,-10,84,62,-10,84,0,
2,M480,JULIA RICHMAN ED. COMPLEX - M,0,0,0,0,0,0,0,M449,VANGUARD HS - MANHATTAN           ,444,569,-125,78,535,-91,83,4,
2,M480,JULIA RICHMAN ED. COMPLEX - M,0,0,0,0,0,0,0,M459,MANHATTAN INTERNATIONAL HS - M    ,325,413,-88,79,425,-100,76,4,
2,M480,JULIA RICHMAN ED. COMPLEX - M,0,0,0,0,0,0,0,M519,TALENT UNLIMITED HS - MANHATTAN   ,491,683,-192,72,618,-127,79,11,
2,M480,JULIA RICHMAN ED. COMPLEX - M,0,0,0,0,0,0,0,M565,URBAN ACADEMY LABORATORY HS - M   ,157,306,-149,51,277,-120,57,2,
2,M480,JULIA RICHMAN ED. COMPLEX - M,0,0,0,0,0,0,0,MG02,LYFE CENTER - MANHATTAN           ,,,0,,,0,,0,
2,M480,JULIA RICHMAN ED. COMPLEX - M,0,0,0,0,0,0,0,MG11,MT. SINAI HEALTH CENTER - M       ,,,0,,,0,,0,
2,M486,J. K. ONASSIS HS FOR INT CAREERS-M,724,552,172,131,545,179,133,M529,J. K. ONASIS HS FOR INT CAREERS-M ,724,552,172,131,545,179,133,7,
2,M520,MURRY BERGTRAUM HS (ECF) - M ,2073,2189,-116,95,2134,-61,97,M520,BERGTRAUM HS - MANHATTAN          ,2073,2189,-116,95,2134,-61,97,29,
2,M520,MURRY BERGTRAUM HS (ECF) - M ,0,0,0,0,0,0,0,MG05,UFT USE - MANHATTAN               ,,,0,,,0,,0,
2,M520,MURRY BERGTRAUM HS (ECF) - M ,0,0,0,0,0,0,0,MG13,SCHOOL SAFETY - MANHATTAN         ,,,0,,,0,,0,
2,M535,PARK WEST HS (ECF) - MANHATTAN,2344,3399,-1055,69,3187,-843,74,M138,M138 SPED - MANHATTAN             ,69,72,-3,96,72,-3,96,0,
2,M535,PARK WEST HS (ECF) - MANHATTAN,0,0,0,0,0,0,0,M288,FOOD AND FINANCE HS - MANHATTAN   ,433,635,-202,68,584,-151,74,13,
2,M535,PARK WEST HS (ECF) - MANHATTAN,0,0,0,0,0,0,0,M296,HOSPITALITY MANAGEMENT HS - M     ,419,819,-400,51,780,-361,54,8,
2,M535,PARK WEST HS (ECF) - MANHATTAN,0,0,0,0,0,0,0,M300,URBAN ASSEMBLY HS - MANHATTAN     ,431,666,-235,65,613,-182,70,10,
