QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Boro-Block-Lot,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Address,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Neighborhood,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Building Classification,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Total Units,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Year Built,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Gross SqFt,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Est. Gross Income,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Gross Income per SqFt,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Full Market Value,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Market Value per SqFt,COMPARABLE RENTAL – 1 –Boro-Block-Lot,COMPARABLE RENTAL – 1 –Address,COMPARABLE RENTAL – 1 –Neighborhood,COMPARABLE RENTAL – 1 –Building Classification,COMPARABLE RENTAL – 1 –Total Units,COMPARABLE RENTAL – 1 –Year Built,COMPARABLE RENTAL – 1 –Gross SqFt,COMPARABLE RENTAL – 1 –Est. Gross Income,COMPARABLE RENTAL – 1 –Gross Income per SqFt,COMPARABLE RENTAL – 1 –Full Market Value,COMPARABLE RENTAL – 1 –Market Value per SqFt,COMPARABLE RENTAL – 1 –Dist. from Coop in miles,COMPARABLE RENTAL – 2 –Boro-Block-Lot,COMPARABLE RENTAL – 2 –Address,COMPARABLE RENTAL – 2 –Neighborhood,COMPARABLE RENTAL – 2 –Building Classification,COMPARABLE RENTAL – 2 –Total Units,COMPARABLE RENTAL – 2 –Year Built,COMPARABLE RENTAL – 2 –Gross SqFt,COMPARABLE RENTAL – 2 –Est. Gross Income,COMPARABLE RENTAL – 2 –Gross Income per SqFt,COMPARABLE RENTAL – 2 –Full Market Value,COMPARABLE RENTAL – 2 –Market Value per SqFt,COMPARABLE RENTAL – 2 –Dist. from Coop in miles
4-01447-0001,"86 10 34 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D4-ELEVATOR,84,1937,104476,1206697,11.55,3390000,32.4,4-01475-0001,"87 10 37 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D1-ELEVATOR,88,1954,100000,1217908,12.18,3420000,34.2,0.3,4-01432-0034,"33 52 85 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D1-ELEVATOR,49,1954,50900,592868,11.65,1540000,30.3,0.15
4-01448-0001,"87 10 34 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D4-ELEVATOR,90,1950,73800,852390,11.55,2400000,32.5,4-01475-0001,"87 10 37 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D1-ELEVATOR,88,1954,100000,1217908,12.18,3420000,34.2,0.3,4-01448-0032,"87 07 35 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D1-ELEVATOR,84,1951,79012,916724,11.6,2580000,32.7,0
4-01449-0001,"88 10 34 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D4-ELEVATOR,90,1950,73800,852390,11.55,2400000,32.5,4-01475-0001,"87 10 37 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D1-ELEVATOR,88,1954,100000,1217908,12.18,3420000,34.2,0.3,4-01448-0032,"87 07 35 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D1-ELEVATOR,84,1951,79012,916724,11.6,2580000,32.7,0.05
4-01449-0032,"88 01 35 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D4-ELEVATOR,97,1953,73900,853545,11.55,2400000,32.5,4-01475-0001,"87 10 37 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D1-ELEVATOR,88,1954,100000,1217908,12.18,3420000,34.2,0.3,4-01448-0032,"87 07 35 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D1-ELEVATOR,84,1951,79012,916724,11.6,2580000,32.7,0.05
4-01450-0032,"34 58 90 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D4-ELEVATOR,54,1928,53394,616700,11.55,1730000,32.4,4-01456-0046,"35 53 82 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D1-ELEVATOR,47,1938,46854,647048,13.81,2010000,42.9,0.35,4-01456-0029,"35 54 83 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D1-ELEVATOR,48,1937,46854,649384,13.86,2020000,43.1,0.35
4-01450-0039,"34 59 89 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D4-ELEVATOR,56,1928,53394,616700,11.55,1730000,32.4,4-01456-0046,"35 53 82 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D1-ELEVATOR,47,1938,46854,647048,13.81,2010000,42.9,0.35,4-01456-0029,"35 54 83 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D1-ELEVATOR,48,1937,46854,649384,13.86,2020000,43.1,0.35
4-01451-0001,"90 10 34 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D4-ELEVATOR,111,1958,89340,1031877,11.55,2900000,32.5,4-01475-0001,"87 10 37 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D1-ELEVATOR,88,1954,100000,1217908,12.18,3420000,34.2,0.3,4-01448-0032,"87 07 35 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D1-ELEVATOR,84,1951,79012,916724,11.6,2580000,32.7,0.15
4-01451-0032,"90 11 35 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D4-ELEVATOR,114,1956,89340,1031877,11.55,2900000,32.5,4-01475-0001,"87 10 37 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D1-ELEVATOR,88,1954,100000,1217908,12.18,3420000,34.2,0.3,4-01448-0032,"87 07 35 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D1-ELEVATOR,84,1951,79012,916724,11.6,2580000,32.7,0.15
4-01453-0034,"92 11 35 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D4-ELEVATOR,96,1940,98400,1136520,11.55,3190000,32.4,4-01456-0029,"35 54 83 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D1-ELEVATOR,48,1937,46854,649384,13.86,2020000,43.1,0.5,4-01456-0046,"35 53 82 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D1-ELEVATOR,47,1938,46854,647048,13.81,2010000,42.9,0.5
4-01454-0001,"34 10 94 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D4-ELEVATOR,96,1955,121770,1406443,11.55,3950000,32.4,4-01475-0001,"87 10 37 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D1-ELEVATOR,88,1954,100000,1217908,12.18,3420000,34.2,0.4,4-01448-0032,"87 07 35 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D1-ELEVATOR,84,1951,79012,916724,11.6,2580000,32.7,0.3
4-01455-0030,"94 11 34 ROAD
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D4-ELEVATOR,81,1959,72324,835342,11.55,2350000,32.5,4-01475-0001,"87 10 37 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D1-ELEVATOR,88,1954,100000,1217908,12.18,3420000,34.2,0.45,4-01448-0032,"87 07 35 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D1-ELEVATOR,84,1951,79012,916724,11.6,2580000,32.7,0.35
4-01456-0052,"35 45 82 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,C6-WALK-UP,20,1920,19685,267716,13.6,833000,42.3,4-01300-0040,"40 20 69 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",WOODSIDE,C1-WALK-UP,30,1927,17662,292234,16.55,988000,56,0.75,4-01431-0035,"83 11 34 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,C1-WALK-UP,16,1928,13179,221528,16.81,828000,63,0.25
4-01456-0056,"35 35 82 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,C6-WALK-UP,20,1920,19685,267716,13.6,833000,42.3,4-01300-0040,"40 20 69 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",WOODSIDE,C1-WALK-UP,30,1927,17662,292234,16.55,988000,56,0.75,4-01431-0035,"83 11 34 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,C1-WALK-UP,16,1928,13179,221528,16.81,828000,63,0.25
4-01457-0001,"83 12 35 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D4-ELEVATOR,66,1937,85002,1020024,12,2870000,33.8,4-01451-0047,"34 19 90 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D1-ELEVATOR,162,1927,95904,1544803,16.11,5220000,54,0.35,4-01512-0026,"88 35 ELMHURST AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,84,1938,99383,1068035,10.75,2770000,27.9,0.4
4-01457-0006,"83 10 35 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D4-ELEVATOR,67,1937,85002,1020024,12,2870000,33.8,4-01451-0047,"34 19 90 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D1-ELEVATOR,162,1927,95904,1544803,16.11,5220000,54,0.35,4-01512-0026,"88 35 ELMHURST AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,84,1938,99383,1068035,10.75,2770000,27.9,0.4
4-01457-0018,"35 34 84 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D4-ELEVATOR,70,1930,78378,940536,12,2640000,33.7,4-01451-0047,"34 19 90 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D1-ELEVATOR,162,1927,95904,1544803,16.11,5220000,54,0.35,4-01512-0026,"88 35 ELMHURST AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,84,1938,99383,1068035,10.75,2770000,27.9,0.4
4-01457-0048,"35 49 83 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,C6-WALK-UP,29,1948,17000,231200,13.6,720000,42.4,4-01743-0047,"35 15 102 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",CORONA,C1-WALK-UP,20,1926,15752,209276,13.29,652000,41.4,0.95,4-01532-0016,"45 26 80 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,C1-WALK-UP,16,1933,14952,216520,14.48,732000,49,0.7
4-01458-0001,"84 02 35 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D4-ELEVATOR,84,1937,109476,1264447,11.55,3550000,32.4,4-01451-0047,"34 19 90 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D1-ELEVATOR,162,1927,95904,1544803,16.11,5220000,54,0.35,4-01512-0026,"88 35 ELMHURST AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,84,1938,99383,1068035,10.75,2770000,27.9,0.35
4-01458-0012,"35 16 85 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D4-ELEVATOR,108,1940,123000,1420650,11.55,3990000,32.4,4-01451-0047,"34 19 90 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D1-ELEVATOR,162,1927,95904,1544803,16.11,5220000,54,0.35,4-01512-0026,"88 35 ELMHURST AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,84,1938,99383,1068035,10.75,2770000,27.9,0.35
4-01458-0020,"35 50 85 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D4-ELEVATOR,90,1955,89424,1032847,11.55,2900000,32.4,4-01475-0001,"87 10 37 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D1-ELEVATOR,88,1954,100000,1217908,12.18,3420000,34.2,0.2,4-01448-0032,"87 07 35 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D1-ELEVATOR,84,1951,79012,916724,11.6,2580000,32.7,0.2
4-01459-0001,"35 11 86 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D4-ELEVATOR,348,1953,306990,3545734,11.55,9960000,32.4,4-01475-0001,"87 10 37 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D1-ELEVATOR,88,1954,100000,1217908,12.18,3420000,34.2,0.2,4-01432-0034,"33 52 85 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D1-ELEVATOR,49,1954,50900,592868,11.65,1540000,30.3,0.25
4-01461-0006,"35 06 88 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D4-ELEVATOR,42,1938,53268,692484,13,2160000,40.5,4-01456-0046,"35 53 82 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D1-ELEVATOR,47,1938,46854,647048,13.81,2010000,42.9,0.25,4-01456-0029,"35 54 83 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D1-ELEVATOR,48,1937,46854,649384,13.86,2020000,43.1,0.25
4-01462-0001,"88 02 35 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D4-ELEVATOR,96,1953,81900,945945,11.55,2660000,32.5,4-01475-0001,"87 10 37 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D1-ELEVATOR,88,1954,100000,1217908,12.18,3420000,34.2,0.15,4-01448-0032,"87 07 35 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D1-ELEVATOR,84,1951,79012,916724,11.6,2580000,32.7,0.15
4-01463-0001,"89 10 35 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D4-ELEVATOR,83,1931,79022,912704,11.55,2560000,32.4,4-01475-0001,"87 10 37 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D1-ELEVATOR,88,1954,100000,1217908,12.18,3420000,34.2,0.15,4-01432-0034,"33 52 85 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D1-ELEVATOR,49,1954,50900,592868,11.65,1540000,30.3,0.35
4-01470-0012,"37 16 83 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D4-ELEVATOR,84,1928,59678,775814,13,2420000,40.6,4-01456-0046,"35 53 82 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D1-ELEVATOR,47,1938,46854,647048,13.81,2010000,42.9,0.15,4-01456-0029,"35 54 83 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D1-ELEVATOR,48,1937,46854,649384,13.86,2020000,43.1,0.15
4-01470-0024,"37 30 83 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D4-ELEVATOR,79,1955,83814,968051,11.55,2720000,32.5,4-01475-0001,"87 10 37 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D1-ELEVATOR,88,1954,100000,1217908,12.18,3420000,34.2,0.25,4-01432-0034,"33 52 85 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D1-ELEVATOR,49,1954,50900,592868,11.65,1540000,30.3,0.45
4-01472-0011,"37 12 85 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,C6-WALK-UP,12,1921,14300,195195,13.65,608000,42.5,4-01743-0047,"35 15 102 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",CORONA,C1-WALK-UP,20,1926,15752,209276,13.29,652000,41.4,0.95,4-01532-0016,"45 26 80 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,C1-WALK-UP,16,1933,14952,216520,14.48,732000,49,0.6
4-01472-0015,"37 22 85 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,C6-WALK-UP,18,1921,17240,234464,13.6,730000,42.3,4-01743-0047,"35 15 102 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",CORONA,C1-WALK-UP,20,1926,15752,209276,13.29,652000,41.4,0.95,4-01532-0016,"45 26 80 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,C1-WALK-UP,16,1933,14952,216520,14.48,732000,49,0.6
4-01472-0020,"37 34 85 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,C6-WALK-UP,18,1921,18900,257040,13.6,800000,42.3,4-01743-0047,"35 15 102 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",CORONA,C1-WALK-UP,20,1926,15752,209276,13.29,652000,41.4,0.95,4-01532-0016,"45 26 80 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,C1-WALK-UP,16,1933,14952,216520,14.48,732000,49,0.6
4-01472-0028,"37 46 85 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,C6-WALK-UP,18,1921,17240,234464,13.6,730000,42.3,4-01743-0047,"35 15 102 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",CORONA,C1-WALK-UP,20,1926,15752,209276,13.29,652000,41.4,0.95,4-01532-0016,"45 26 80 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,C1-WALK-UP,16,1933,14952,216520,14.48,732000,49,0.6
4-01472-0034,"37 56 85 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,C6-WALK-UP,12,1921,14300,194480,13.6,605000,42.3,4-01743-0047,"35 15 102 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",CORONA,C1-WALK-UP,20,1926,15752,209276,13.29,652000,41.4,0.95,4-01532-0016,"45 26 80 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,C1-WALK-UP,16,1933,14952,216520,14.48,732000,49,0.6
4-01472-0047,"37 55 84 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,C6-WALK-UP,12,1921,14300,194480,13.6,605000,42.3,4-01743-0047,"35 15 102 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",CORONA,C1-WALK-UP,20,1926,15752,209276,13.29,652000,41.4,0.95,4-01532-0016,"45 26 80 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,C1-WALK-UP,16,1933,14952,216520,14.48,732000,49,0.6
